"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DIST_RATIO_1"|"DIST_RATIO_2"|"DIST_RATIO_3"|"DIST_RATIO_4"|"DIST_RATIO_5"|"AVG_DIST_RATIO"|"VALUE_NONCHAR_ASSETS"|"ONE_PCT_INV_INC"|"RATIO_PLUS_INV_INC"|"QUAL_DIST_V"|"DIST_RATIO_NONCHAR_ASSETS"
"01-0351827"|"HELEN R COE TRUST"|"583842"|"0.0397107274"|"0.0525753400"|"0.0439862575"|"0.0474862288"|"0.0506622748"|""|""|""|""|""|""
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"|"0.0372745202"|"0.0464655939"|""|""|""|""|""|""|""|""|""
"02-6061834"|"ANDREWS MARIE B T/U/W"|"583844"|"0.0299671679"|"0.0428872698"|"0.0495394318"|"0.0342049373"|"0.0908811596"|""|""|""|""|""|""
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"|"0.0704230000"|"0.0709230000"|"0.0565780000"|"0.0681920000"|"0.0586530000"|""|""|""|""|""|""
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"583846"|"0.0499588937"|"0.0630272902"|"0.0528411219"|"0.0480775505"|"0.0434705592"|""|""|""|""|""|""
"04-6029538"|"SOPHIA F ROMERO T/U/W"|"583847"|"0.0401004019"|"0.0542939961"|"0.0544341079"|"0.0046797856"|"0.0582088416"|""|""|""|""|""|""
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"|"0.0530527810"|"0.0506458766"|"0.0500262413"|"0.0511610334"|"0.0425870001"|""|""|""|""|""|""
"04-6429961"|"BROWN EMMA S U/DECL 3/12/79"|"584880"|"0.0350590243"|"0.0376471364"|""|""|""|""|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"|"0.0473791788"|"0.0582106475"|"0.0471304321"|"0.0393950424"|"0.0570853473"|""|""|""|""|""|""
"01-6040690"|"MEANS ELIZABETH W"|"586710"|"0.0447464769"|"0.0078482346"|"0.0854576660"|"0.0084948995"|"0.0560356660"|""|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"586712"|"0.0465415727"|"0.0095967715"|""|""|""|""|""|""|""|""|""
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"|"0.0483623357"|"0.0615586057"|"0.0539497529"|"0.0563952748"|"0.0568970966"|""|""|""|""|""|""
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"|"0.0531846597"|"0.0377893612"|"0.0629837430"|"0.0605039359"|"0.0285030030"|""|""|""|""|""|""
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"586824"|"0.0466186029"|"0.0420667529"|"0.0816501186"|"0.0533140238"|"0.0469248096"|""|""|""|""|""|""
"04-2104012"|"COBURN CHARITABLE SOCIETY, INC"|"586825"|"0.0391310000"|"0.1014000000"|"0.0371070000"|"0.0502670000"|"0.0662850000"|""|""|""|""|""|""
"04-2103755"|"CHARLESBANK HOMES"|"588012"|"0.0645070000"|"0.0553880000"|"0.0490820000"|"0.0369580000"|"0.0454900000"|""|""|""|""|""|""
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"588013"|"0.0631285576"|"0.0756604843"|"0.0424545368"|"0.0452213141"|"0.0505626039"|""|""|""|""|""|""
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"|"0.0511081190"|"0.0512585926"|""|""|""|""|""|""|""|""|""
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"588015"|"0.0536740000"|"0.0532470000"|"0.0464220000"|"0.0463860000"|"0.0470860000"|""|""|""|""|""|""
"01-0705471"|"THE NORWOOD FOUNDATION"|"588413"|"206.7538900000"|"51.7848970000"|"10.1243830000"|"1.5224170000"|"2.0409270000"|""|""|""|""|""|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"588415"|"0.0379119068"|"0.0527010675"|"0.0497480314"|"0.0530867073"|"0.0385103991"|""|""|""|""|""|""
"04-2104291"|"Humane Society of the Communwalth of MA"|"588417"|""|""|""|""|""|""|""|""|""|""|""
"04-6420685"|"CONSTANCE KILLAM TRUST U/W #0714865"|"588418"|"0.2617560000"|"0.0992400000"|"0.1058730000"|"0.0936370000"|"0.0705470000"|""|""|""|""|""|""
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"589195"|"0.0597354307"|"0.0400699688"|"0.0488504514"|"0.0756436879"|"0.0282007935"|""|""|""|""|""|""
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"589196"|"0.0874065631"|"0.0857194267"|"0.0643105574"|"0.0578042631"|"0.0414542417"|""|""|""|""|""|""
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"589197"|"0.0558760000"|"0.0568260000"|"0.0474100000"|"0.0430140000"|"0.0670280000"|""|""|""|""|""|""
"01-0514859"|"THE OLD BUG LIGHT CHARITABLE FOUNDATION"|"590191"|"0.1146810000"|"0.0000000000"|"0.0000000000"|"0.0589850000"|"0.1072000000"|""|""|""|""|""|""
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"590192"|"0.0531900000"|"0.0620650000"|"0.0496780000"|"0.0502240000"|"0.0499910000"|""|""|""|""|""|""
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"590198"|"0.0523530000"|"0.0483660000"|"0.0514000000"|"0.0499860000"|"0.0503870000"|""|""|""|""|""|""
"04-6382377"|"Mary Elizabeth Pearce Foundation Tr."|"590199"|"0.0481900000"|"0.0589300000"|"0.0432900000"|"0.0427200000"|"0.0393100000"|""|""|""|""|""|""
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"590733"|"0.0775230941"|"0.0785714518"|"0.0409907616"|"0.0310689823"|"0.0392821672"|""|""|""|""|""|""
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"605546"|"0.0435950000"|"0.0732290000"|"0.0478970000"|"0.0467060000"|"0.0449810000"|""|""|""|""|""|""
"02-6004800"|"ARTHUR H BRITTON TR U/W 360097018"|"605547"|"0.0494386081"|"0.0494883584"|"0.0494534399"|"0.0543184620"|"0.0385896063"|""|""|""|""|""|""
"04-2103910"|"BOSTON CENTER FOR BLIND CHILDREN INC"|"605548"|"0.0370800000"|"0.0263060000"|"0.0355030000"|"0.0185660000"|"0.0000000000"|""|""|""|""|""|""
"01-0523143"|"OXFORD HILLS SCHOLARSHIP FOUNDATION 686792011"|"607597"|"0.0413106876"|"0.0635385359"|"0.0563629510"|"0.1100482955"|"0.0463534336"|""|""|""|""|""|""
"02-0534424"|"THE MICHAEL & HELEN SCHAFFER FOUNDATION"|"607598"|"0.0669140000"|"0.0584960000"|"0.0934160000"|"0.0572830000"|"0.0559140000"|""|""|""|""|""|""
"02-6012645"|"DEERING FOUNDATION, INC."|"607599"|"0.0525100000"|"0.0539860000"|"0.0466940000"|"0.0478180000"|"0.0499370000"|""|""|""|""|""|""
"02-6058742"|"BENJAMIN S COHEN TRUST U/W 361722010"|"607600"|"0.0501870049"|"0.0513361102"|"0.0506928952"|"0.0500117349"|"0.0537986275"|""|""|""|""|""|""
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"607602"|"0.0325900000"|"0.0264400000"|"0.0588300000"|"0.0599400000"|"0.0570000000"|""|""|""|""|""|""
"04-2714929"|"WILLIAM HAROLD FRANCIS AUSTIN TRUST U/W EASTERN BANK, TRUSTEE"|"607603"|"0.0607425128"|"0.0844942397"|"0.0572656631"|"0.0588771404"|"0.0374164517"|""|""|""|""|""|""
"04-3371560"|"JOHN A. MCNEICE, JR. CHARITABLE FOUNDATION"|"607605"|"0.0528818748"|"0.0585698015"|"0.0412088302"|"0.0355459503"|"0.0480179061"|""|""|""|""|""|""
"04-3417222"|"ARCHIBALD FAMILY FOUNDATION"|"607606"|"0.0519590000"|"0.0631360000"|"0.0470980000"|"0.0434000000"|"0.0401000000"|""|""|""|""|""|""
"04-3663738"|"DONALD D. ROGERS FOUNDATION INC."|"607607"|"0.1254730000"|"0.0786830000"|"0.0989780000"|"0.0686450000"|"0.0442620000"|""|""|""|""|""|""
"04-6049261"|"THE JEFFE FOUNDATION"|"607609"|"0.3441850000"|"0.2334790000"|"0.1453560000"|"0.1075160000"|"0.0920560000"|""|""|""|""|""|""
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"607611"|""|""|""|""|""|""|""|""|""|""|""
"04-6111827"|"TR UW G GORHAM PETERS 7567 7552007373"|"607612"|"0.0567340000"|"0.0423480000"|""|""|""|""|""|""|""|""|""
"04-6555836"|"MANUEL, VIOLA G. TRUST 42C081017"|"607613"|"0.0487546647"|"0.0669036435"|"0.0449788621"|"0.0491909596"|"0.0480142313"|""|""|""|""|""|""
"04-6864140"|"CATHERINE HAWKINS FOUNDATION T PECKHAM, ESQ & E TAYLOR, TTEES"|"607615"|"0.0518340000"|"0.0344140000"|"0.0616470000"|"0.0484810000"|"0.0445570000"|""|""|""|""|""|""
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOFSKA, TRUSTEES"|"607616"|"0.0594160000"|"0.0878440000"|"0.0651920000"|"0.0410230000"|"0.0668510000"|""|""|""|""|""|""
"01-6007504"|"JOHN W MANSON TRUST"|"609898"|"0.0505029045"|"0.0602138646"|""|""|""|""|""|""|""|""|""
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|"609900"|"107.7764540000"|"52.1716560000"|"22.9200640000"|"6.5259510000"|"4.6733900000"|""|""|""|""|""|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"611079"|"0.0485760000"|"0.0623360000"|"0.0489880000"|"0.0484000000"|"0.0497620000"|""|""|""|""|""|""
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10-101230022680"|"611080"|"0.0504529442"|"0.0510288040"|"0.0557023785"|"0.0528416554"|"0.0539469682"|""|""|""|""|""|""
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|"611081"|"0.1761043762"|"0.4536561512"|"0.1742327586"|"0.4967563287"|"0.5990418054"|""|""|""|""|""|""
"02-6004792"|"TRUST U/W HERBERT G ABBOT 360090013"|"611085"|"0.0500848473"|"0.0499080243"|"0.0499043602"|"0.0751296538"|"0.0180365764"|""|""|""|""|""|""
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"611086"|"0.0347540957"|"0.0755803106"|""|""|""|""|""|""|""|""|""
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION INC"|"611088"|"0.0524100000"|"0.0612860000"|"0.0494260000"|"0.0446900000"|"0.0211590000"|""|""|""|""|""|""
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON, INC."|"611089"|"0.0608510000"|"0.0720340000"|"0.0575800000"|"0.0613180000"|"0.0568880000"|""|""|""|""|""|""
"04-2121771"|"Newburyport Society for the Relief of Aged Women, Inc."|"611090"|""|""|""|""|""|""|""|""|""|""|""
"04-2399760"|"THE TJX FOUNDATION, INC."|"611091"|"0.1894940000"|"0.2920660000"|"0.2183580000"|"0.2345010000"|"0.3692860000"|""|""|""|""|""|""
"04-2613244"|"JAMES G MARTIN MEMORIAL TRUST"|"611092"|""|""|""|""|""|""|""|""|""|""|""
"04-3292646"|"Information Research Foundation"|"611093"|""|""|""|""|""|""|""|""|""|""|""
"04-3538929"|"BEN E FACTORS FOUNDATION 7665-7560016259"|"611094"|"0.0559390000"|"0.0692920000"|"0.0468940000"|"0.0472910000"|"0.0486030000"|""|""|""|""|""|""
"04-6015548"|"MYRON L. FULLER TRUST"|"611095"|"0.0527827641"|"0.0597369807"|""|""|""|""|""|""|""|""|""
"04-6026880"|"The Nichols Trust"|"611096"|"0.0448140000"|"0.0489690000"|"0.0584640000"|"0.0379340000"|"0.0397690000"|""|""|""|""|""|""
"04-6038982"|"TR U/W OF ETHEL H BRADLEY"|"611097"|"0.0491115837"|"0.0449759554"|"0.0449607571"|""|""|""|""|""|""|""|""
"04-6047689"|"JOHN M THORNE AND ETHEL C THORNE FOUNDATION INC"|"611098"|""|""|""|""|""|""|""|""|""|""|""
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"611099"|"0.0704842869"|"0.0658926952"|"0.0413488741"|"0.0459077113"|"0.0439515577"|""|""|""|""|""|""
"04-6504871"|"DORIS L. BENZ TRUST"|"611100"|"0.0456050000"|"0.0628870000"|"0.0440210000"|"0.0316960000"|"0.0472660000"|""|""|""|""|""|""
"04-6599655"|"HATHAWAY MEMORIAL CHARIT TR"|"611101"|"0.0441919054"|"0.0578271288"|"0.0510858114"|"0.0489304917"|"0.0488022085"|""|""|""|""|""|""
"04-6773530"|"WILSON FAMILY FOUNDATION"|"611102"|"0.3889520000"|"0.1234570000"|"0.0552980000"|"0.1200950000"|"0.2110660000"|""|""|""|""|""|""
"04-6822881"|"ALTURAS ENDOWMENT"|"611103"|"0.0791820000"|"0.0576010000"|"0.0318700000"|"0.0423080000"|"0.0451280000"|""|""|""|""|""|""
"04-3382001"|"SOMERVILLE HEALTH FOUNDATION INC"|"611535"|"0.0661958454"|"0.0774471975"|"0.0558436523"|"0.0605436339"|"0.0575250396"|""|""|""|""|""|""
"03-6087553"|"HELEN P. LEFEVRE CHARITABLE TRUST"|"611995"|"0.0394855757"|"0.0829050097"|"0.0421267835"|"0.0390290616"|"0.0390799669"|""|""|""|""|""|""
"04-3528464"|"THE JOHANNA K AND JEFFREY T BLACK FOUNDATION"|"611996"|"0.0492477035"|"0.0313784320"|"0.0335146474"|"0.0335413851"|"0.0212549559"|""|""|""|""|""|""
"04-6191561"|"TRASK JOSPHINE B IRR TR DTD 7/24/68"|"612195"|"0.0602534709"|"0.0661111055"|""|""|""|""|""|""|""|""|""
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY FOR 10 -101160016280"|"613604"|"0.0549921447"|"0.0500203874"|""|""|""|""|""|""|""|""|""
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|"613605"|"1.1172240000"|"2.7241610000"|"6.8436660000"|"0.9879620000"|"0.2781460000"|""|""|""|""|""|""
"02-6008379"|"THE GREENSPAN FOUNDATION"|"613606"|"0.0549440000"|"0.0543150000"|"0.0447860000"|"0.0516010000"|"0.0577630000"|""|""|""|""|""|""
"04-2103796"|"HOWARD HOME TRUSTEES HOME FOR AGED MEN BROCKTON"|"613608"|"0.0472290000"|"0.0413940000"|"0.0019500000"|"0.0233220000"|"0.0622200000"|""|""|""|""|""|""
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"613609"|""|""|""|""|""|""|""|""|""|""|""
"04-3466878"|"RCB CHARITABLE FOUNDATION, INC."|"613610"|"1.2681890000"|"0.8515640000"|"0.4529900000"|"0.7611720000"|"0.6700880000"|""|""|""|""|""|""
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"613611"|"0.0348210000"|"0.0317190000"|"0.0310950000"|"0.0275200000"|"0.0483790000"|""|""|""|""|""|""
"04-6837671"|"THE BOPP FAMILY CHARITABLE TRUST"|"613612"|"0.0507080000"|"0.0519480000"|"0.0488150000"|"0.0472370000"|"0.0481540000"|""|""|""|""|""|""
"01-0463183"|"Schiavi Family Foundation"|"614035"|"0.0000000000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|""|""|""|""|""|""
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"614036"|"0.0392600000"|"0.0870660000"|"0.0321060000"|"0.0446270000"|"0.0538940000"|""|""|""|""|""|""
"04-6019494"|"NELLA M GRIMM FOX FOUNDATION"|"614038"|"0.0353155250"|"0.0513080172"|""|""|""|""|""|""|""|""|""
"01-6180488"|"FRANCIS J & ELIZABETH BRISSON MACKSEY CHARITABLE TRUST"|"614221"|"0.0646500000"|"0.0541600000"|"0.0600100000"|"0.0526800000"|"0.0463000000"|""|""|""|""|""|""
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"614222"|"0.0529981746"|"0.0574585859"|"0.0471755410"|"0.0374776401"|"0.0546136315"|""|""|""|""|""|""
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION #1030064973"|"614889"|"0.0703921742"|"0.0643242929"|"0.0629507336"|"0.0616328399"|"0.0744543642"|""|""|""|""|""|""
"04-6029322"|"GEORGE W. HATHWAY TR U/D"|"615766"|"0.0352194000"|"0.0537949896"|""|""|""|""|""|""|""|""|""
"04-6051719"|"CLYDE PARK CHARITABLE FOUNDATION"|"615767"|"0.1054100000"|"0.0043350000"|"0.0268340000"|"0.0393080000"|"0.0561570000"|""|""|""|""|""|""
"02-6142736"|"STERZING MEMORIAL SCHOLARSHIP FUND"|"616242"|"0.0487960000"|"0.0542780000"|"0.0512590000"|"0.0443840000"|"0.0347750000"|""|""|""|""|""|""
"04-3435338"|"FLORENCE E SEELEY EDUCATION FDTN+"|"616243"|"0.0462429731"|"0.0660633176"|"0.0542345893"|"0.0481266270"|"0.0077493190"|""|""|""|""|""|""
"04-3566439"|"BERKSHIRE LIFE CHARITABLE FOUNDATION"|"616244"|"0.0574010000"|"0.0602600000"|"0.0503170000"|"0.0498920000"|"0.0530660000"|""|""|""|""|""|""
"04-6050139"|"FP Worthen Foundation"|"616245"|"0.0502920000"|"0.0634170000"|"0.0425530000"|"0.0351680000"|"0.0136450000"|""|""|""|""|""|""
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN 2012168"|"616246"|"0.0501242868"|"0.0603214955"|"0.1881593451"|"0.0032290160"|"0.1326352160"|""|""|""|""|""|""
"02-0310404"|"Gilman Home Inc."|"631570"|"0.1772000000"|"0.7078000000"|"1.4710000000"|"1.0050000000"|"0.8364000000"|""|""|""|""|""|""
"04-3294711"|"THE MARTIN & DEBORAH HALE FOUNDATION"|"631636"|"0.0365260000"|"0.0335060000"|"0.0508050000"|"0.0484350000"|"0.0709480000"|""|""|""|""|""|""
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"631639"|"0.0404000000"|"0.0586290000"|"0.1747930000"|"0.0523380000"|"0.0393460000"|""|""|""|""|""|""
"04-3494605"|"SYMES FAMILY CHARITABLE FOUNDATION"|"631642"|"0.0862910000"|"0.0570280000"|"0.0535510000"|"0.0578680000"|"0.0594710000"|""|""|""|""|""|""
"04-6014010"|"SHOLLEY FOUNDATION"|"631648"|"0.0456770000"|"0.0466090000"|"0.0360340000"|"0.0312880000"|"0.0347130000"|""|""|""|""|""|""
