"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"COMPENSATION"|"OTHER_SALARIES"|"PENSION_PLANS"|"LEGAL_FEES"|"ACCOUNTING_FEES"|"PROFESSIONAL_FEES"|"INTEREST"|"TAXES"|"DEPRECIATION"|"OCCUPANCY"|"CONFERENCES"|"PRINTING"|"OTHER_EXPENSES"|"TOTAL_OPERATING_EXPENSES"|"CONTRIBUTIONS"|"TOTAL_EXPENSES"|"NET_INVESTMENT_INCOME"|"ADJUSTED_NET_INCOME"|"INTEREST_SAVINGS"|"DIVIDENDS_SECURITIES"|"GROSS_RENTS"|"SALE_ASSETS"|"PROFIT_SALES"|"OTHER_INC"|"TOTAL_INC"|"REV_INVEST_INC"|"COMPENSATION_INV"|"COMPENSATION_DIS"|"OTHER_SALARIES_INV"|"OTHER_SALARIES_DIS"|"PENSION_PLANS_INV"|"PENSION_PLANS_DIS"|"LEGAL_FEES_INV"|"LEGAL_FEES_DIS"|"ACCOUNTING_FEES_INV"|"ACCOUNTING_FEES_DIS"|"PROFESSIONAL_FEES_CBX"|"PROFESSIONAL_FEES_INV"|"PROFESSIONAL_FEES_DIS"|"INTEREST_DIS"|"TAXES_DIS"|"OCCUPANCY_DIS"|"CONFERENCES_DIS"|"PRINTING_DIS"|"OTHER_EXPENSES_CBX"|"OTHER_EXPENSES_DIS"|"TOTAL_OA_EXPENSES_INV"|"TOTAL_OA_EXPENSES_DIS"|"CONTRIBUTIONS_DIS"|"TOTAL_EXPENSES_INV"|"TOTAL_EXPENSES_DIS"|"CONTRIBUTIONS_RCVD"
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"552807"|"6077.0000"|""|""|""|"750.0000"|""|""|""|""|""|""|""|""|"6827.0000"|"22000.0000"|"28827.0000"|"19488.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6385523"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"555155"|"18570.0000"|""|""|"3210.0000"|"2200.0000"|"37329.0000"|""|"9991.0000"|""|""|""|""|"5705.0000"|"77005.0000"|"150000.0000"|"227005.0000"|"139594.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3190300"|"DR ANTON R FRIED MEMORIAL TRUST"|"555422"|"17526.0000"|""|""|"1700.0000"|"845.0000"|""|""|"304.0000"|""|""|""|""|"1.0000"|"20376.0000"|"83053.0000"|"103429.0000"|"45186.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"|"0.0000"|""|""|""|"1150.0000"|""|""|"162.0000"|""|""|"2019.0000"|""|"1928.0000"|"5259.0000"|"155780.0000"|"161039.0000"|"19791.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"|"28113.0000"|""|""|""|"1101.0000"|""|""|"5004.0000"|""|""|""|""|"2.0000"|"34220.0000"|"89281.0000"|"123501.0000"|"154027.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"|"24829.0000"|""|""|""|"948.0000"|""|""|"1320.0000"|""|""|""|""|"5316.0000"|"32413.0000"|"85200.0000"|"117613.0000"|"62057.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222133"|"Oliver JM Gilman Trust"|"562844"|"13288.0000"|""|""|""|""|""|""|"355.0000"|""|""|""|""|"5524.0000"|"19167.0000"|"64616.0000"|"83783.0000"|"42491.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0406835"|"NASH FOUNDATION, INC."|"562847"|"0.0000"|""|""|"138.0000"|"750.0000"|""|""|"1074.0000"|""|""|""|""|"6966.0000"|"8928.0000"|"26095.0000"|"35023.0000"|"13324.0000"|"13324.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"|"0.0000"|""|""|"900.0000"|"1950.0000"|""|""|"249.0000"|""|""|""|""|"6413.0000"|"9512.0000"|"25000.0000"|"34512.0000"|"29307.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"|"76482.0000"|"319369.0000"|"20852.0000"|"13200.0000"|"59914.0000"|"40990.0000"|""|"39438.0000"|"63748.0000"|"64717.0000"|""|""|"441750.0000"|"1140460.0000"|"0.0000"|"1140460.0000"|"609887.0000"|"392547.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2235130"|"THE HORACE SMITH FUND"|"562862"|"63263.0000"|"6547.0000"|""|""|"17348.0000"|"30358.0000"|""|"7954.0000"|"2239.0000"|"12486.0000"|""|""|"22036.0000"|"162231.0000"|"228750.0000"|"390981.0000"|"261910.0000"|"220672.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"|"32250.0000"|""|""|""|""|""|""|"5902.0000"|""|""|""|""|"70.0000"|"38222.0000"|"220000.0000"|"258222.0000"|"250887.0000"|"227970.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"562870"|"31150.0000"|""|""|""|"166.0000"|""|""|"2107.0000"|""|""|""|""|""|"33423.0000"|"144067.0000"|"177490.0000"|"118434.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"|"23048.0000"|""|""|""|"833.0000"|""|""|"574.0000"|""|""|""|""|"75.0000"|"24530.0000"|"110640.0000"|"135170.0000"|"215802.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"|"0.0000"|""|""|"0.0000"|"1500.0000"|"2240.0000"|""|"314.0000"|"0.0000"|""|""|""|"1000.0000"|"5054.0000"|"139390.0000"|"144444.0000"|"28413.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"|"6881.0000"|""|""|""|""|""|""|"1200.0000"|""|""|""|""|"158.0000"|"8239.0000"|"29612.0000"|"37851.0000"|"32389.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"|"11848.0000"|""|""|"5041.0000"|"136.0000"|""|""|"529.0000"|""|""|""|""|"35.0000"|"17589.0000"|"29174.0000"|"46763.0000"|"47274.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"|"10091.0000"|""|""|""|"1041.0000"|""|""|"689.0000"|""|""|""|""|"35.0000"|"11856.0000"|"26325.0000"|"38181.0000"|"63293.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"567083"|"8280.0000"|""|""|""|"994.0000"|""|""|"653.0000"|""|""|""|""|""|"9927.0000"|"16500.0000"|"26427.0000"|"55840.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"567826"|""|""|""|""|""|"33404.0000"|""|""|""|""|""|""|"240.0000"|"33644.0000"|"206750.0000"|"240394.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2104681"|"Faith Home, Inc."|"573628"|"0.0000"|""|""|""|"1850.0000"|""|""|""|""|""|""|""|"4738.0000"|"6588.0000"|"31540.0000"|"38128.0000"|"29367.0000"|"23475.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"|"13949.0000"|""|""|""|""|""|""|"1285.0000"|""|""|""|""|"13249.0000"|"28483.0000"|"84500.0000"|"112983.0000"|"66514.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"576691"|"0.0000"|"83675.0000"|""|""|"9453.0000"|""|""|"7458.0000"|"37135.0000"|"53173.0000"|""|""|"53453.0000"|"244347.0000"|"1200.0000"|"245547.0000"|"169617.0000"|"149344.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0536250"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"576693"|"0.0000"|""|""|"0.0000"|"1500.0000"|"47650.0000"|""|"3185.0000"|"0.0000"|""|""|""|"211.0000"|"52546.0000"|"110000.0000"|"162546.0000"|"290342.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"576694"|"10065.0000"|""|""|""|"500.0000"|""|""|""|""|""|""|""|"75.0000"|"10640.0000"|"81286.0000"|"91926.0000"|"41799.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"576696"|"22715.0000"|""|""|""|"500.0000"|""|""|""|""|""|""|""|"75.0000"|"23290.0000"|"107898.0000"|"131188.0000"|"53280.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"576708"|"0.0000"|""|""|""|""|"9629.0000"|""|""|""|""|""|""|"18380.0000"|"28009.0000"|"137500.0000"|"165509.0000"|"4384.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"576712"|"0.0000"|""|""|""|""|""|"55435.0000"|""|""|""|""|""|"350.0000"|"55785.0000"|"110800.0000"|"166585.0000"|"25.0000"|"25.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"576714"|"63388.0000"|""|"12253.0000"|""|"24625.0000"|"83869.0000"|""|"35795.0000"|"512.0000"|"15921.0000"|""|""|"13405.0000"|"249768.0000"|"621234.0000"|"871002.0000"|"1362174.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0312307"|"MARY A. SWEENEY HOME"|"582702"|"0.0000"|"102211.0000"|""|""|"3100.0000"|"31976.0000"|""|"8887.0000"|"51111.0000"|""|""|""|"147748.0000"|"345033.0000"|"0.0000"|"345033.0000"|"172968.0000"|"290908.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"582704"|"29830.0000"|""|""|""|""|""|""|""|""|""|""|""|"242.0000"|"30072.0000"|"102320.0000"|"132392.0000"|"10344.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"583443"|"0.0000"|""|""|""|"2575.0000"|""|""|""|""|""|""|""|"17368.0000"|"19943.0000"|"52800.0000"|"72743.0000"|"51653.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0351827"|"HELEN R COE TRUST"|"583842"|"20861.0000"|""|""|""|"845.0000"|""|""|"1949.0000"|""|""|""|""|""|"23655.0000"|"74950.0000"|"98605.0000"|"140517.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"|"24144.0000"|""|""|""|"430.0000"|""|""|"2466.0000"|""|""|""|""|""|"27040.0000"|"102093.0000"|"129133.0000"|"164869.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6061834"|"ANDREWS MARIE B T/U/W"|"583844"|"12667.0000"|""|""|"156.0000"|""|""|""|"182.0000"|""|""|""|""|"350.0000"|"13355.0000"|"63820.0000"|"77175.0000"|"118572.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"|"0.0000"|""|""|"355.0000"|"1120.0000"|""|""|"489.0000"|""|""|""|""|"15016.0000"|"16980.0000"|"135537.0000"|"152517.0000"|"127544.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"583846"|"4956.0000"|""|""|""|"450.0000"|""|""|""|""|""|""|""|"795.0000"|"6201.0000"|"26520.0000"|"32721.0000"|"15496.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6029538"|"SOPHIA F ROMERO T/U/W"|"583847"|"30360.0000"|""|""|""|"800.0000"|""|""|"8627.0000"|""|""|""|""|"435.0000"|"40222.0000"|"80000.0000"|"120222.0000"|"153435.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"|"40429.0000"|""|""|""|"1281.0000"|""|""|"371.0000"|""|""|""|""|"16372.0000"|"58453.0000"|"155000.0000"|"213453.0000"|"186533.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6429961"|"BROWN EMMA S U/DECL 3/12/79"|"584880"|"54620.0000"|""|""|""|"978.0000"|""|""|"2275.0000"|""|""|""|""|"70.0000"|"57943.0000"|"284018.0000"|"341961.0000"|"1139391.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"|"8508.0000"|""|""|""|"854.0000"|""|""|"859.0000"|""|""|""|""|"35.0000"|"10256.0000"|"32635.0000"|"42891.0000"|"59884.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6040690"|"MEANS ELIZABETH W"|"586710"|"10409.0000"|""|""|"5476.0000"|"1007.0000"|""|""|"547.0000"|""|""|""|""|"1088.0000"|"18527.0000"|"50169.0000"|"68696.0000"|"57451.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"586712"|"30007.0000"|""|""|""|"800.0000"|""|""|"408.0000"|""|""|""|""|""|"31215.0000"|"57113.0000"|"88328.0000"|"15019.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"|"32331.0000"|""|""|""|"1719.0000"|""|""|"3323.0000"|""|""|""|""|"1261.0000"|"38634.0000"|"115000.0000"|"153634.0000"|"209996.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"|"45122.0000"|""|""|"2134.0000"|"1213.0000"|""|""|"2007.0000"|""|""|""|""|"470.0000"|"50946.0000"|"214757.0000"|"265703.0000"|"456102.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"586824"|"78372.0000"|""|""|""|"1583.0000"|""|""|"5937.0000"|""|""|""|""|""|"85892.0000"|"370000.0000"|"455892.0000"|"888162.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2104012"|"COBURN CHARITABLE SOCIETY, INC"|"586825"|"0.0000"|""|""|""|"1475.0000"|"1125.0000"|""|""|""|""|""|""|"237.0000"|"2837.0000"|"83005.0000"|"85842.0000"|"17085.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2103755"|"CHARLESBANK HOMES"|"588012"|"0.0000"|""|""|""|"9000.0000"|"34830.0000"|""|"3786.0000"|""|""|""|""|"4872.0000"|"52488.0000"|"967750.0000"|"1020238.0000"|"985724.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"588013"|""|""|""|""|"2900.0000"|"28170.0000"|""|"2889.0000"|""|""|""|""|"502.0000"|"34461.0000"|"230000.0000"|"264461.0000"|"97560.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"|"100254.0000"|""|""|""|"4011.0000"|""|""|"18890.0000"|""|""|""|""|"250.0000"|"123405.0000"|"445542.0000"|"568947.0000"|"989014.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
