"C_EIN"|"C_Org_Name"|"activity_id"|"XML_DOCUMENT_ID"|"ACTIVITY"|"EXPENSES"
"04-3292646"|"Information Research Foundation"|"42766"|"611093"|"Research books provided to graduate and post graduate students 1595 Research Travel grant 1200."|"2795.0000"
"04-3292646"|"Information Research Foundation"|"42767"|"611093"|"Small grants to ASEE, Purdue Foundation, Dana - Farber, etc. 200. UMass Dartmouth Seminar grant 600"|"800.0000"
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|"43317"|"613605"|"CONTRIBUTING TO OTHER CHARITABLE ACTIVITIES"|"138071.0000"
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"43418"|"614036"|"FOUNDATION PROVIDES GRANTS OF FINANCIAL AID FOR POST SECONDARY EDUCATION"|"14438.0000"
"02-0787615"|"CALABAR FOUNDATION"|"44431"|"646412"|"ACTIVITIES INCLUDE PROVIDING GUIDANCE AND SUPPORT OF INSTRUCTIONAL ACTIVITIES TO PRIMPY AND SECONDARY SCHOOLS."|"379658.0000"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"44432"|"646420"|"MERRIMACK VALLEY HOSPICE NEW BUILDING PROGRAM"|"25000.0000"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"44433"|"646420"|"ANDOVER BOARD OF HEALTH SHINGLES VACCINATION PROGRAM AND CHOLESTEROL CREENING"|"20500.0000"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"44434"|"646420"|"FAMILY SERVICE, INC. COMMUNITY OUTREACH AND CONSULTATION"|"21840.0000"
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"44435"|"646420"|"HOME HEALTH VNA FOOT CARE CLINIC"|"13300.0000"
"02-0471515"|"LYMAN FUND INC"|"44583"|"647222"|"PROVIDE SCHOLARSHIPS TO INDIVIDUALS FOR EDUCATIONAL PURPOSES"|"20000.0000"
"02-0471515"|"LYMAN FUND INC"|"44584"|"647222"|"SPONSOR GATHERING TO DISCUSS ACCOMPLISHMENTS WITH PRIOR YEAR'S GRANT RECIPIENTS"|"931.0000"
"03-6009912"|"General Educational Fund, Inc."|"44585"|"647225"|"The foundation provides college education grants to vermont High School Students"|"72384.0000"
"04-3582018"|"BROOKS FAMILY FOUNDATION"|"44586"|"647231"|"THE FOUNDATION'S SOLE CHARITABLE ACTIVITY DURING THE TAX YEAR WAS TO MAKE CASH CONTRIBUTIONS TO CHARITABLE ORGANIZATIONS, EACH OF WHICH IS AN IRC SEC. 501(C)(3) ORG."|"0.0000"
"04-3321452"|"THE RICHARD ERIC ROSENBERG FOUNDATION, INC."|"45115"|"651716"|"PROVIDE CONTRIBUTIONS TO ORGANIZATIONS THAT PROMOTE THE IMPROVEMENT OF THE HUMAN CONDITION"|"15000.0000"
"04-2133252"|"Hopedale Community House Inc"|"45262"|"652301"|"MAINTAINING A COMMUNITY HOUSE AND GYMNASIUM FOR THE LOCAL RESIDENTS INCLUDING MEETING ROOMS, CONFERENCE ROOMS, AND SOCIAL ACTIVITIES"|"416809.0000"
"02-0222149"|"TAYLOR COMMUNITY"|"45416"|"652820"|"OPERATION AND MAINTENANCE OF 250 UNITS OF INDEPENDENT HOUSING AND 82 ASSISTED LIVING/NURSING UNITS TO PROVIDE HEALTH CARE MANAGEMENT AND LONG-TERM HEALTH CARE FOR ELDERLY PERSONS"|"11145635.0000"
"02-6134751"|"MARY DALY MACFARLAND FOUNDATION"|"45417"|"652822"|"FOUNDATION IS NOT ENGAGED IN ANY DIRECT CHARITABLE ACTIVITIES. IT PROVIDES GRANTS AND CONTRIBUTIONS TO CHARITABLE ORGANIZATIONS."|"0.0000"
"04-2761754"|"THE WHITE FUND, INC."|"45418"|"652825"|"LECTURE SERIES"|"9958.0000"
"04-2961763"|"EAST LONGMEADOW ROTARY MEMORIAL SCHOLARSHIP"|"45654"|"653594"|"PROVIDE SCHOLARSHIPS TO COLLEGE BOUND HIGH SCHOOL SENIORS"|"12000.0000"
"01-0499178"|"Brook Family Foundation"|"46109"|"655097"|"CASH CONTRIBUTIONS TO CHARITABLE ORGANIZATION. DURING THE YEAR ENDING 3/31/10 CONTRIBUTIONS WERE MADE TO 37 CHARITIES."|"151857.0000"
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"46110"|"655102"|"MAINTAIN LIBRARY & MUSIC ROOM"|"144637.0000"
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"46111"|"655102"|"PRESENT CONCERTS"|"95520.0000"
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"46112"|"655102"|"CONTRIBUTIONS TO MUSIC & MUSIC RELATED ORGANIZATIONS"|"28000.0000"
"04-6056778"|"North Attleboro Scholarship Foundation"|"46113"|"655114"|"Paid Schoarships to 16 Graduating Seniors from the North Attleboro High School Class of 2009"|"0.0000"
"02-2229190"|"CHASE HOME FOR CHILDREN"|"46415"|"656399"|"ORGANIZATION OPERATES A RESIDENTIAL HOME FOR TEENAGE CHILDREN AND PROVIDES THERAPEUTIC SERVICES TO CHILDREN AND FAMILIES."|"1226340.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"46989"|"685701"|"SAMUEL A TAMPOSI SR SCHOLARSHIP FUND"|"5000.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"46990"|"685701"|"RIVIER COLLEGE"|"3000.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"46991"|"685701"|"BIG BROTHERS BIG SISTER"|"1750.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"46992"|"685701"|"BIG BROTHERS BIG SISTER"|"1000.0000"
"02-6098262"|"EDWIN C. REMICK TESTAMENTARY TRUST"|"46993"|"685725"|"THE TESTAMENTARY TRUST PROVIDES FUNDING FOR THE PRIMARY BENEFICIARY, THE EDWIN C. REMICK FOUNDATION"|"660000.0000"
"04-6753154"|"WILLIAM VANDERHOUT TRUST 42C129014"|"46994"|"685864"|"FUND WAS ESTABLISHED TO PROVIDE SCHOLARSHIPS TO NAUSET REGIONAL HIGH SCHOOL GRADUATES RESIDING IN MASSACHUSETTS TOWNS OF EASTHAM, ORLEANS, BREWSTER OR WELLFLEET WHO ARE PURSUING A BACHELOR OR EQUIVALENT DEGREE FROM AN ACCREDITED COLLEGE."|"70000.0000"
"04-6855617"|"VIRGINIA COOK FOUNDATION 42C161017"|"46995"|"685865"|"FEDERATED CHURCH OR ORLEANS FBO V. J. COOK FOUNDATION"|"66000.0000"
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|"47225"|"689601"|"THE GEORGE W. MERGENS FOUNDATION PROVIDES GRANTS TO 501(C)(3) ORGANIZATIONS FOR VARIOUS CHARITABLE PURPOSES."|"0.0000"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY, INC."|"47226"|"689603"|"MEDICAL TRANSPORTATION OF SENIOR CITIZENS"|"17000.0000"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY, INC."|"47227"|"689603"|"CHILD CARE ASSISTANCE - SUPPORT DAY CARE PROGRAMS AND FACILITIES"|"24060.0000"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY, INC."|"47228"|"689603"|"REFERRALS - SUPPORTS RESIDENTS OF MARBLEHEAD WITH PAYMENT OF OVERDUE BILLS"|"87900.0000"
"04-2104694"|"MARBLEHEAD FEMALE HUMANE SOCIETY, INC."|"47229"|"689603"|"VNA HOME AID PROGRAM AND CLINIC"|"13650.0000"
"04-6038293"|"GERMAN AID SOCIETY OF BOSTON INC"|"47230"|"689623"|"SUPPORT AND ASSISTANCE PAID TO OR ON BEHALF OF 7 FAMILIES AND INDIVIDUALS IN NEED"|"25550.0000"
"04-6038293"|"GERMAN AID SOCIETY OF BOSTON INC"|"47231"|"689623"|"GRANTS TO DEUTCHES ALTENHEIM, A 501(C)(3) ORGANIZATION TO INSURE ADMISSIONS TO THIS NURSING CARE FACILITY FOR THE AGED"|"0.0000"
"04-6038293"|"GERMAN AID SOCIETY OF BOSTON INC"|"47232"|"689623"|"DONATIONS TO VARIOUS 501(C)(3) ORGANIZATIONS"|"1200.0000"
"04-6038293"|"GERMAN AID SOCIETY OF BOSTON INC"|"47233"|"689623"|"GRANTS TO DEUTSCHES ALTENHEIM A 501(C)(3)ORGANIZATION FOR GENERAL SUPPORT TO THIS NURSING FACILITY FOR THE AGED"|"11500.0000"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"47234"|"689624"|"COMMUNITY ACTION $ 7500.00"|"7500.0000"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"47235"|"689624"|"GIRLS SCOUTS $ 1500.00"|"1500.0000"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"47236"|"689624"|"PETTENGILL HOUSE $ 1000.00"|"1000.0000"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"47237"|"689624"|"HORIZEN CLUB $ 500.00"|"500.0000"
"01-0485292"|"ELLEN M LEACH MEMORIAL HOME"|"47570"|"691646"|"DEVELOP LOW-INCOME HOUSING IN BREWER, ME"|"2550.0000"
"01-0485292"|"ELLEN M LEACH MEMORIAL HOME"|"47571"|"691646"|"PROVIDE RENT SUBSIDIES TO LOW-INCOME ELDERLY HOUSEHOLDS IN BREWER, MAINE"|"275812.0000"
"04-6069834"|"The Fragment Society"|"47572"|"691652"|"Clothing and bedding to destitute children"|"105568.0000"
"02-0474928"|"LINWOOD EDUCATIONAL TRUST FUND, INC"|"47663"|"692894"|"Provides scholarships to individuals based on financial need, academic achievements and community service 17 scholarships provided during this period."|""
"04-2680681"|"ALBERT E. MARKS CHARITABLE TRUST"|"47664"|"692905"|"NONE - GRANT MAKING ORGANIZATION"|"0.0000"
"04-6014190"|"SALEM FEMALE CHARITABLE SOCIETY"|"47667"|"692914"|"FUNDS ARE USED FOR AIDING AND MAKING GRANTS TO AGED AND INDIGENT WOMEN IN SALEM, MA AND VICINITY"|"46500.0000"
"04-2722163"|"FUNDACAO BENEFICIENTE FAIALENSE, INC."|"47749"|"697828"|"SCHOLARSHIPS GRANTED TO 16 INDIVIDUALS"|"15250.0000"
"04-6208360"|"HAZEL CHASE GIFFORD FUND 31C009011"|"47750"|"697884"|"FUND WAS ESTABLISHED TO PROVIDE SCHOLARSHIPS FOR RESIDENTS OF YARMOUTH, MA WHO ARE STUDENTS OF DENNIS/YARMOUTH HIGH SCHOOL"|"12000.0000"
"04-6740855"|"VERROCHI FAMILY CHARITABLE TRUST"|"47751"|"697886"|"MAKING CONTRIBUTIONS TO PRESELECTED CHARITABLE ORGANIZATIONS."|"226495.0000"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD., INC."|"47807"|"706810"|"THE KNOWLES SCIENCE TEACHING FOUNDATION IS DEDICATED TO ENHANCING THE QUANTITY OF HIGH QUALITY HIGH SCHOOL SCIENCE AND MATHEMATICS TEACHERS IN THE UNITED STATES. IT DOES THIS"|"5265545.0000"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD., INC."|"47808"|"706810"|"BY SPONSORING TEACHING FELLOWSHIPS, RESEARCH FELLOWSHIPS AND CONFERENCES. PLEASE VISIT OUR WEBSITE (KSTF.ORG) FOR ADDITIONAL INFORMATION. SINCE 2002 THE FOUNDATION HAS"|"0.0000"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD., INC."|"47809"|"706810"|"INDUCTED NEARLY 155 NEW FELLOWS AND OUR GOAL IS TO SELECT ABOUT 40 NEW FELLOWS EACH YEAR."|"0.0000"
"04-3721096"|"THE BLACK DOG FOUNDATION"|"47810"|"707083"|"NO DIRECT CHARITABLE ACTIVITIES ARE CONDUCTED"|"0.0000"
"04-6012766"|"AMERICAN MEMORIAL HOSPITAL, INC."|"47811"|"707095"|"PROVIDE FINANCIAL ASSISTANCE TO THE AMERICAN MEMORIAL HOSPITAL LOCATED IN REIMS, FRANCE"|""
"04-6049543"|"GERMAN LADIES AID SOCIETY OF BOSTON, INC"|"47812"|"707098"|"OPERATING EXPENSES AND CASH CONTRIBUTIONS TO DEUTSCHES ALTENHEIM, INC. (HOME FOR THE AGED), A 501 (C)(3) ORGANIZATION."|"105400.0000"
"04-6049543"|"GERMAN LADIES AID SOCIETY OF BOSTON, INC"|"47813"|"707098"|"DIRECTOR OF THE ""HOME"", AND PARTICIPATE IN DECISION MAKING."|"0.0000"
"01-0248064"|"Camden Home For Senior Citizens"|"47962"|"713898"|"Financial support is given to needy individuals for fuel, grocery, and medical costs. The maximum support given per individual is $400. There are approx. 350 annual recipients."|""
"01-0265587"|"MAINE HIGHER EDUCATION ASSISTANCE FOUNDATION"|"47963"|"713902"|"THE ORGANIZATION PROVIDES SCHOLARSHIPS TO STUDENTS OF MAINE SCHOOLS."|""
"03-6007183"|"FLETCHER FARM FOUNDATION INC"|"48023"|"716259"|"Fletcher Farm has for many years mad donations to Fletcher Memorial Library located in Ludlow, Vermont The Library serves several thousand local residents residing in the Ludlow area"|"39996.0000"
"03-6007183"|"FLETCHER FARM FOUNDATION INC"|"48024"|"716259"|"Fletcher Farm provides facilities for the use of The association of Vermont Crafts men which consists of several hundred Crafts people from all over New England"|"50000.0000"
"03-6007183"|"FLETCHER FARM FOUNDATION INC"|"48025"|"716259"|"Fletcher Farm made a donation to the Cavendish Fletcher Community Library, Proctorsville, VT The library serves several thousand residents residing in the Ludlow/Proctorsville, VT area"|"10000.0000"
"04-2104858"|"ROXBURY HOME FOR AGED WOMEN"|"48026"|"716270"|"DONATIONS TO THE SOPHIA SNOW HOUSE, INC AND THE SOPHIA SNOW INDEPENDENT LIVING, INC WHICH ARE 503(C)(3) ORGANIZATIONS SUPPORTED BY ROXBURY HOME FOR AGED WOMEN"|"600000.0000"
"04-2104858"|"ROXBURY HOME FOR AGED WOMEN"|"48027"|"716270"|"ROXBURY HOME FOR AGED WOMEN PAYS THE SALARY AND RELATED BENEFITS FOR THE EXECUTIVE DIRECTOR OF THE SOPHIA SNOW HOUSE, INC AND THE SOPHIA SNOW INDEPENDENT LIVING, INC"|"199942.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"48028"|"716279"|"CPMC FOUNDATION CONTRIBUTION"|"600000.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"48029"|"716279"|"CALIFORNIA SCIENCE CENTER CONTRIBUTION"|"590067.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"48030"|"716279"|"PARA LOS MINOS CONTRIBUTION"|"300000.0000"
"04-2864138"|"TECHNICAL TRAINING FOUNDATION"|"48031"|"716279"|"NORTHERN ESSEX COMMUNITY COLLEGE CONTRIBUTION"|"250000.0000"
"04-6044779"|"THE HOPEDALE FOUNDATION"|"48032"|"716307"|"GRANTS TO RELIGIOUS, CHARITABLE, SCIENTIFIC, LITERARY OR EDUCATIONAL ORGANIZATIONS"|"221000.0000"
"04-6044779"|"THE HOPEDALE FOUNDATION"|"48033"|"716307"|"LOANS TO COLLEGE STUDENTS WHO GRADUATED FROM HOPEDALE HIGH SCHOOL"|"157871.0000"
"04-6110988"|"THE COLONIAL SOCIETY OF MASSACHUSETTS THOMAS R APPLETON, TREASURER"|"48034"|"716311"|"PUBLICATION & RESEARCH"|"104635.0000"
"04-6110988"|"THE COLONIAL SOCIETY OF MASSACHUSETTS THOMAS R APPLETON, TREASURER"|"48035"|"716311"|"OUTREACH PROGRAM"|"13625.0000"
"04-6110988"|"THE COLONIAL SOCIETY OF MASSACHUSETTS THOMAS R APPLETON, TREASURER"|"48036"|"716311"|"MAINTENANCE OF HISTORICAL SITE AND ALL OTHER"|"207327.0000"
"04-2111388"|"The Fitch Home, Inc."|"48120"|"717289"|"To provide a real home with a maximum of confort and a warm friendly atmosphere the aged."|""
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"48183"|"715657"|"DOMINICA FOUNDATION 14 SBARS BLVD MOORESTOWN, NJ 08057"|"3500.0000"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"48184"|"715657"|"SHORE MEMORIAL HOSPITAL ONE EAST NY AVE SOMERS POINT, NJ 08244"|"2500.0000"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"48185"|"715657"|"UNIVERSITY OF DELAWARE HULLIHEN HALL NEWARK, DE"|"5000.0000"
"03-0547269"|"THE SYKORA FAMILY CHARITABLE FOUNDATION"|"48186"|"715657"|"SANFORD SCHOOL PO BOX 888 HOCKESSIN, DE"|"3500.0000"
"04-6035480"|"SHERBORN WIDOWS AND ORPHANS BENEVOLENT SOCIETY"|"48311"|"720119"|"FINANCIAL ASSISTANCE PROVIDE TO 11 INDIGENT INDIVIDUALS/FAMILIES RESIDENT OR STRONGLY CONNECTED TO THE TOWN OF SHERBORN, MA"|"17054.0000"
"04-6035480"|"SHERBORN WIDOWS AND ORPHANS BENEVOLENT SOCIETY"|"48312"|"720119"|"MATERIAL ASSISTANCE TO APPROXIMATELY 103 INDIVIDUALS SIMILARLY SITUATED TO THOSE IN LINE 1"|"541.0000"
"03-0179406"|"THE CONVERSE HOME INC"|"48377"|"721194"|"OPERATION OF COMMUNITY CARE HOME FOR ELDERLY INDIVIDUALS66 RESIDENTS"|"3720306.0000"
"04-2111219"|"Newburyport Society for the Relief of Aged Men"|"48378"|"721208"|"The sole purpose of the organization is to provide a home for the elderly men of the community and all expeditures are related to that purpose"|"499893.0000"
"04-3619122"|"THE SPENCE FAMILY FOUNDATION"|"48427"|"723098"|"SUPPORT OF VARIOUS 501(C)(3) ORGANIZATIONS - TOTAL OF 5 ORGANIZATIONS AND ONE INDIVIDUAL SCHOLARSHIP."|"24300.0000"
"01-0566453"|"THE B Z FOUNDATION"|"48475"|"724483"|"SYNAGOGOUES BENEVELENT AND RELIGIOUS SCHOOLS APPROXIMATELY 50 DIFFERENT ORGANIZATIONS"|"204359.0000"
"04-2828143"|"BALFOUR GOLD DUSTERS"|"48476"|"724522"|"THE ORGANIZATION WAS FOUNDED TO ENHANCE THE LIVES OF THE BALFOUR COMPANY RETIREES THE ORGANIZATION PROVIDES INFORMATION AND RESOURCES IN THE AREAS OF HEALTH AND FINANCE"|"87097.0000"
"04-6111826"|"Gardiner Howland Shaw Foundation"|"48477"|"724548"|""|"39555.0000"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|"48502"|"723069"|"PER TERMS OF THE TRUST, INCOME IS TO BE PAID TO LISTED CHARITABLE BENEFICIARIES."|"274358.0000"
"03-0343444"|"VAILE & CLEAVELAND SCHOLARSHIP FUND 43V168019"|"48503"|"723072"|"PER TERMS OF TRUST DOCUMENT, DISTRIBUTIONS MADE IN THE FORM OF SCHOLARSHIPS FOR ELIGIBLE COLLEGE-BOUND STUDENTS."|"17502.0000"
"03-6037557"|"RICHARD F & LENA S BARKER TR FUND 31C078016"|"48504"|"723081"|"NET INCOME PAYABLE TO ORGANIZATIONS AS DESCRIBED IN TUW"|"35455.0000"
"03-6047004"|"SCOTT A 43C039013"|"48505"|"723083"|"SCHOLARSHIP AWARDS FOR THE BENEFIT OF STUDENTS GRADUATING FROM CHAMPLAIN VALLEY UNION HIGH SCHOOL, HINESBURG, VT NORTHFIELD HIGH SCHOOL, NORTHFIELD, VT AND CHELSEA HIGH SCHOOL, CHELSEA, VT"|"72849.0000"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|"48506"|"723086"|"PER TERMS OF TRUST DOCUMENT, MAINTENANCE OF SENIOR CENTER PROPERTY IN MONTPELIER, VT"|"46639.0000"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|"48507"|"723086"|"PER TERMS OF TRUST DOCUMENT, SCHOLARSHIP AWARDS FOR THE BENEFIT OF STUDENTS GRADUATINGFROM MONTPELIER HIGH SCHOOL, MONTEPELIER, VT"|"46639.0000"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|"48508"|"723087"|"PER TRUST DOCUMENT, NET INCOME IS DISTRIBUTED TO NAMED CHARITIES TO FURTHER THEIR CHARITABLE WORK"|"54784.0000"
"04-6028058"|"AMERICAN OPTICAL FOUNDATION"|"48509"|"723091"|"CHARITABLE ACTIVITIES ARE LIMITED TO SELECTION OF ORGANIZATIONS AND INDIVIDUALS FOR SCHOLARSHIPS OR EDUCATIONAL AWARDS. EXPENSES ARE MINIMAL."|""
"04-6691795"|"ROGER K. BERLE CHARITABLE TRUST"|"48510"|"723096"|"DIRECT CONTRIBUTION TO CHARITABLE ORGANIZATIONS"|"0.0000"
"04-6828957"|"JOSEPH & KATHERINE O'DONNELL CHARITABLE TRUST"|"48511"|"723099"|"NO ACTIVITY OTHER THAN MAKING GRANTS"|"0.0000"
"01-0226346"|"Deborah Lincoln House"|"48637"|"733968"|"Operation of state-licensed boarding facility for elderly women"|"639432.0000"
"04-2400070"|"LYNN HOME FOR ELDERLY PERSONS"|"48638"|"734005"|"THE FOUNDATION OPERATES A NURSING HOME FOR CITIZENS OF THE GREATER LYNN AREA OVER THE AGE OF 65. THE HOME HOUSES 32 RESIDENTS AS OF 8/31/11."|"1426104.0000"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|"48661"|"733104"|"PER TRUST AGREEMENT, INCOME IS TO BE DISTRIBUTED TO PRESELECTED AREA CHURCHES AND HOSPITALS IN SUPPORT OF THEIR CHARITABLE ACTIVITIES."|"62264.0000"
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|"48662"|"733107"|"TO PROVIDE ASSISTANCE TO NEEDY MARINERS, THEIR WIDOWS AND CHILDREN, IN THE COMMONWEALTH OF MASSACHUSETTS AND ELSEWHERE."|"247931.0000"
"04-3466803"|"NORTH EAST ROOFING EDUCATIONAL FOUNDATION, INC."|"48723"|"739258"|"THE FOUNDATION WAS ORGANIZED TO PROVIDE FINANCIAL ASSISTANCE TO STUDENTS SEEKING POST-SECONDARY EDUCATION IN COLLEGE OR VOCATIONAL PROGRAMS."|"30000.0000"
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|"48724"|"739384"|"OPERATION OF A FACILITY FOR AGED AND/OR INVALID PERSONS COMPRISED OF 29 APARTMENT UNITS AND A 51 BED NURSING HOME. THE FACILITY SERVED AN AVERAGE OF 70 RESIDENTS."|"6705057.0000"
"04-6047957"|"HAVERHILL FEMALE BENEVOLENT SOCIETY"|"48726"|"739418"|"PROVIDE FOOD, CLOTHING AND UTILITY ASSISTANCE TO NUMEROUS INDIGENT INDIVIDUALS"|"0.0000"
