"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"PERIOD_BEGIN"|"PERIOD_END"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PHONE"|"TYPE"|"FAIR_MARKET_VALUE"|"last_modified"|"TERMINATED_CBX"|"FINAL_RETURN_CBX"|"INIT_RET_CBX"|"INITIAL_RETURN_FORMER_PC"|"CHANGE_ADDRESS_CBX"|"CHANGE_NAME_CBX"
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"552806"|"N"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"BURNS AND LEVINSON LLP 125 SUMMER ST."|""|"BOSTON"|"MA"|"USA"|"02110"|"617-345-3000"|"F"|"1245367.0000"|"12/30/2011 2:20:21 AM"|""|""|""|""|""|""
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"552807"|"N"|"WARMAN SCHOLARSHIP FUND PFDN 10 -101160523040"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"KEYBANK, 4900 TIEDEMAN RD. OH-01-49-0150"|""|"BROOKLYN"|"OH"|"USA"|"44144-2302"|"866-238-8650"|"F"|"542221.0000"|"12/30/2011 2:20:23 AM"|""|""|""|""|""|""
"04-6385523"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"555155"|"N"|"ELIZABETH KILLAM RODGERS TR U/W #0713941"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"NUTTER, MCCLENNEN &FISH LLP PO BOX 51400"|""|"BOSTON"|"MA"|"USA"|"02205-8982"|"617-439-2458"|"F"|"8165762.0000"|"12/31/2011 3:49:42 AM"|""|""|""|""|""|""
"04-3190300"|"DR ANTON R FRIED MEMORIAL TRUST"|"555422"|"N"|"DR ANTON R FRIED MEMORIAL TRUST"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"1428983.0000"|"12/31/2011 4:20:57 AM"|""|""|""|""|""|""
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|"562833"|"N"|"THE DUGAS FAMILY FOUNDATION"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|"94 WOODLANDS ROAD"|""|"ALTON BAY"|"NH"|"USA"|"03810"|"207-799-5713"|"F"|"423103.0000"|"1/2/2012 12:11:25 AM"|""|""|""|""|""|""
"01-6020236"|"BRACKETT WADE F & ISABEL"|"562839"|"N"|"BRACKETT WADE F & ISABEL"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"3435655.0000"|"1/2/2012 12:12:12 AM"|""|""|""|""|""|""
"01-6023401"|"MAYBURY IMOGENE U/W N PL"|"562842"|"N"|"MAYBURY IMOGENE U/W N PL"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"3220538.0000"|"1/2/2012 12:12:19 AM"|""|""|""|""|""|""
"02-0222133"|"Oliver JM Gilman Trust"|"562844"|"N"|"Oliver JM Gilman Trust"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|"LSB Trust Dept"|"62 Pleasant St"|""|"Laconia"|"NH"|"USA"|"03246"|"603-527-3232"|"F"|"1598223.0000"|"1/2/2012 12:12:28 AM"|""|""|""|""|""|""
"02-0406835"|"NASH FOUNDATION, INC."|"562847"|"N"|"NASH FOUNDATION, INC."|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|"DEBRA NASH"|"40 TEMPLE STREET"|""|"NASHUA"|"NH"|"USA"|"03060"|"603-882-2702"|"F"|"659849.0000"|"1/2/2012 12:12:54 AM"|""|""|""|""|""|""
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"562853"|"N"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|"MARY E DURGIN, TRUSTEE"|"101 U.S. ROUTE 3"|""|"CAMPTON"|"NH"|"USA"|"03223"|"603-536-2400"|"T"|"818873.0000"|"1/2/2012 12:13:12 AM"|""|""|""|""|""|""
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"562859"|"N"|"DAVENPORT MEMORIAL FOUNDATION"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"70 SALEM STREET"|""|"MALDEN"|"MA"|"USA"|"02148"|"781-324-0150"|"F"|"18226823.0000"|"1/2/2012 12:13:27 AM"|""|""|""|""|""|""
"04-2235130"|"THE HORACE SMITH FUND"|"562862"|"N"|"THE HORACE SMITH FUND"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"1441 MAIN STREET"|""|"SPRINGFIELD"|"MA"|"USA"|"01103"|"413-739-4222"|"F"|"6603578.0000"|"1/2/2012 12:13:30 AM"|""|""|""|""|""|""
"04-2598211"|"Gardinor-Prunaret Foundation"|"562864"|"N"|"Gardinor-Prunaret Foundation"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|"McClintock"|"P.O. BOX 639"|""|"North Andover"|"MA"|"USA"|"01845-0639"|"978-685-4113"|"F"|"6516129.0000"|"1/2/2012 12:13:37 AM"|""|""|""|""|""|""
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"562870"|"N"|"CO-TTEE OF ROAF MEMORIAL FUND"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"2909858.0000"|"1/2/2012 12:13:55 AM"|""|""|""|""|""|""
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"562872"|"N"|"WOODWORTH, G. WALTER UNITRUST"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"2695199.0000"|"1/2/2012 12:13:58 AM"|""|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"562874"|"N"|"WISH YOU WELL FOUNDATION"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O Box 1501, NJ2-130-03-31"|""|"PENNINGTON"|"NJ"|"USA"|"08534-1501"|"609-274-6968"|"F"|"433989.0000"|"1/2/2012 12:14:04 AM"|""|""|""|""|""|""
"04-6095808"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"562878"|"N"|"BALLEY CO DECL DTD 11 30 53 CHAR FD"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|"401-278-6848"|"F"|"718851.0000"|"1/2/2012 12:14:08 AM"|""|""|""|""|""|""
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"562880"|"N"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|"P O BOX 6768"|""|"PROVIDENCE"|"RI"|"USA"|"02940-6768"|""|"T"|"761401.0000"|"1/2/2012 12:14:12 AM"|""|""|""|""|""|""
"04-6421513"|"PETSAS CHARIABLE TRUST UA"|"562882"|"N"|"PETSAS CHARIABLE TRUST UA"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"701878.0000"|"1/2/2012 12:14:17 AM"|""|""|""|""|""|""
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"567083"|"N"|"GREENLAW VERA GRACE TR SC"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O BOX 18802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"586087.0000"|"1/4/2012 4:57:45 AM"|""|""|""|""|""|""
"04-3547221"|"TALBOTS CHARITABLE FOUNDATION, INC."|"567826"|"N"|"TALBOTS CHARITABLE FOUNDATION, INC."|"1/31/2010 12:00:00 AM"|"1/29/2011 12:00:00 AM"|""|"175 BEAL STREET"|""|"HINGHAM"|"MA"|"USA"|"02043"|"781-749-7600"|"F"|""|"1/5/2012 12:12:02 AM"|""|""|""|""|""|""
"04-2104681"|"Faith Home, Inc."|"573628"|"N"|"Faith Home, Inc."|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"65 Stafford Road"|""|"Lowell"|"MA"|"USA"|"01852"|"978-454-9567"|"F"|"437533.0000"|"1/13/2012 12:44:04 AM"|""|""|""|""|""|""
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"|"N"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"2/1/2010 12:00:00 AM"|"1/31/2011 12:00:00 AM"|""|"ONE COURT SQUARE - 29TH FLOOR"|""|"LONG ISLAND CITY"|"NY"|"USA"|"11120"|""|"F"|"1894510.0000"|"1/13/2012 12:44:06 AM"|""|""|""|""|""|""
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"576691"|"N"|"NASHUA HISTORICAL SOCIETY"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"5 ABBOTT STREET"|""|"NASHUA"|"NH"|"USA"|"03064"|"603-883-0015"|"F"|"5248787.0000"|"1/17/2012 5:52:24 AM"|""|""|""|""|""|""
"02-0536250"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"576693"|"N"|"THE MATTHEW J & ANNE B SMITH FOUNDATION INC"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O Box 1501, NJ2-130-03-31"|""|"PENNINGTON"|"NJ"|"USA"|"08534-1501"|"609-274-6968"|"F"|"4830303.0000"|"1/17/2012 5:52:27 AM"|""|""|""|""|""|""
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"576694"|"N"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"870 WESTMINSTER STREET"|""|"PROVIDENCE"|"RI"|"USA"|"02903"|"603-634-7752"|"F"|"2059198.0000"|"1/17/2012 5:52:30 AM"|""|""|""|""|""|""
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"576696"|"N"|"DIXIE WONDERS IRREV TRUST 3035006329"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"870 WESTMINSTER STREET"|""|"PROVIDENCE"|"RI"|"USA"|"02903"|"603-634-7772"|"F"|"2663389.0000"|"1/17/2012 5:52:33 AM"|""|""|""|""|""|""
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"576708"|"N"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"BINGHAM MCCUTCHEN LLP, ONE FEDERAL ST"|""|"BOSTON"|"MA"|"USA"|"02110"|"617-720-5800"|"F"|"1109197.0000"|"1/17/2012 5:52:39 AM"|""|""|""|""|""|""
"04-3608094"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"576712"|"N"|"LAWRENCE E WHITE FAMILY FOUNDATION"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"625 ALTHAM AVE"|""|"ORLANDO"|"FL"|"USA"|"32809"|"407-855-1136"|"F"|"3646066.0000"|"1/17/2012 5:52:47 AM"|""|""|""|""|""|""
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"576714"|"N"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"432 COUNTY STREET"|""|"NEW BEDFORD"|"MA"|"USA"|"02740"|"508-717-0400"|"F"|"17496972.0000"|"1/17/2012 5:52:50 AM"|""|""|""|""|""|""
"02-0312307"|"MARY A. SWEENEY HOME"|"582702"|"N"|"MARY A. SWEENEY HOME"|"2/1/2010 12:00:00 AM"|"1/31/2011 12:00:00 AM"|""|"50 EAST PEARL STREET"|""|"NASHUA"|"NH"|"USA"|"03060"|"603-889-2877"|"O"|"7138512.0000"|"1/30/2012 4:50:03 AM"|""|""|""|""|""|""
"04-6918010"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"582704"|"N"|"THE ALFRED BERNHARD JACOBSEN TRUST OF 1996"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|"GLENN ROWLEY, TRUSTEE"|"PO BOX 1489"|""|"WEST CHATHAM"|"MA"|"USA"|"02669"|"508-945-1000"|"T"|"2395762.0000"|"1/30/2012 4:50:06 AM"|""|""|""|""|""|""
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"583443"|"N"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|"DAVIS WELLS"|"41 WOODLAND ROAD"|""|"LEXINGTON"|"MA"|"USA"|"02420"|"781-861-0650"|"F"|"1320365.0000"|"1/31/2012 5:03:24 AM"|""|""|""|""|""|""
"01-0351827"|"HELEN R COE TRUST"|"583842"|"N"|"HELEN R COE TRUST"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"2226052.0000"|"2/1/2012 5:05:45 AM"|""|""|""|""|""|""
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"|"N"|"CAMPBELL E W FOUNDATION TR"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"2366432.0000"|"2/1/2012 5:06:02 AM"|""|""|""|""|""|""
"02-6061834"|"ANDREWS MARIE B T/U/W"|"583844"|"N"|"ANDREWS MARIE B T/U/W"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|"401-278-6848"|"F"|"1496518.0000"|"2/1/2012 5:06:09 AM"|""|""|""|""|""|""
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"|"N"|"WARNER HOME FOR LITTLE WANDERERS"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|"DONNA ROBY"|"4 FOREST HILL DRIVE"|""|"ST. ALBANS"|"VT"|"USA"|"05478"|"802-524-6991"|"F"|"1921634.0000"|"2/1/2012 5:06:12 AM"|""|""|""|""|""|""
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"583846"|"N"|"TRUSTEES OF CHESTER ACADEMY 2726"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"P O BOX 1280"|""|"BRATTLEBORO"|"VT"|"USA"|"05302"|"802-447-5836"|"F"|"582007.0000"|"2/1/2012 5:06:31 AM"|""|""|""|""|""|""
"04-6029538"|"SOPHIA F ROMERO T/U/W"|"583847"|"N"|"SOPHIA F ROMERO T/U/W"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"2794084.0000"|"2/1/2012 5:06:34 AM"|""|""|""|""|""|""
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"|"N"|"ELMER DELOURA FOR SCHOLARSHIPS"|"2/1/2010 12:00:00 AM"|"1/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"4380533.0000"|"2/2/2012 4:54:48 AM"|""|""|""|""|""|""
"04-6429961"|"BROWN EMMA S U/DECL 3/12/79"|"584880"|"N"|"BROWN EMMA S U/DECL 3/12/79"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|"401-278-6848"|"F"|"6374172.0000"|"2/3/2012 4:50:09 AM"|""|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"|"N"|"TTEE U/D OF W F & D M SEARS"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"855026.0000"|"2/7/2012 5:02:57 AM"|""|""|""|""|""|""
"01-6040690"|"MEANS ELIZABETH W"|"586710"|"N"|"MEANS ELIZABETH W"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"758593.0000"|"2/8/2012 5:18:05 AM"|""|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"586712"|"N"|"HARRY WOLFF TRUST"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"1624043.0000"|"2/8/2012 5:18:23 AM"|""|""|""|""|""|""
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"|"N"|"MILLER UA MOREY & HELEN SCHOOL"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"3281120.0000"|"2/8/2012 5:18:43 AM"|""|""|""|""|""|""
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"|"N"|"L BIRD-EDWARD V BIRD TRUST"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"5385383.0000"|"2/8/2012 5:18:49 AM"|""|""|""|""|""|""
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"586824"|"N"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"9757637.0000"|"2/8/2012 5:22:23 AM"|""|""|""|""|""|""
"04-2104012"|"COBURN CHARITABLE SOCIETY, INC"|"586825"|"N"|"COBURN CHARITABLE SOCIETY, INC"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|"PULSIFER & ASSOCIATES"|"PO BOX 170"|""|"IPSWICH"|"MA"|"USA"|"01938"|"978-356-3530"|"F"|"937929.0000"|"2/8/2012 5:22:40 AM"|""|""|""|""|""|""
"04-2103755"|"CHARLESBANK HOMES"|"588012"|"N"|"CHARLESBANK HOMES"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|"BONANNO, SAVINO & DAVIES, P.C."|"105 CHESTNUT ST"|"32"|"NEEDHAM"|"MA"|"USA"|"02492"|"781-449-3919"|"F"|"16727179.0000"|"2/9/2012 5:08:52 AM"|""|""|""|""|""|""
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"588013"|"N"|"THE VANDERBILT FAMILY FOUNDATION"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|"FIDUCIARY TRUST COMPANY INT'L."|"600 FIFTH AVENUE"|""|"NEW YORK"|"NY"|"USA"|"10020"|"212-632-3000"|"F"|"5319269.0000"|"2/9/2012 5:08:54 AM"|""|""|""|""|""|""
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"|"N"|"E. P. BINNEY CHARITABLE FND"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"19375509.0000"|"2/9/2012 5:08:57 AM"|""|""|""|""|""|""
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"588015"|"N"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|"DAVID LEE"|"TEN POST OFFICE SQ"|"600"|"BOSTON"|"MA"|"USA"|"02109"|"617-426-6050"|"F"|"2433490.0000"|"2/9/2012 5:09:00 AM"|""|""|""|""|""|""
"01-0705471"|"THE NORWOOD FOUNDATION"|"588413"|"N"|"THE NORWOOD FOUNDATION"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|"PO BOX 792"|""|"MANITOU SPRINGS"|"CO"|"USA"|"80829"|"719-593-2600"|"F"|"1248.0000"|"2/11/2012 12:18:19 AM"|""|""|""|""|""|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"588415"|"N"|"GEORGE GARDNER & FANNY WHITING"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"460979.0000"|"2/11/2012 12:18:22 AM"|""|""|""|""|""|""
