"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVESTMENTS_GOV_FAIR_MARKET"|"INVESTMENTS_STOCKS_FAIR_MARKET"|"INVESTMENTS_BONDS_FAIR_MARKET"|"INVESTMENTS_DEPRECIATION_FAIR_MARKET"|"INVESTMENTS_LOANS_FAIR_MARKET"|"INVESTMENTS_OTHER_FAIR_MARKET"|"LAND_DEPRECIATION_FAIR_MARKET"|"OTHER_ASSETS_FAIR_MARKET"|"TOTAL_ASSETS_BOOK"|"TOTAL_ASSETS_FAIR_MARKET"|"TOTAL_LIABILITIES"|"CASH_NONINT"|"SAV_TEMPCASH"
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"586824"|""|"9538633.0000"|""|""|""|""|""|""|"8708327.0000"|"9757637.0000"|""|""|"219004.0000"
"04-2104012"|"COBURN CHARITABLE SOCIETY, INC"|"586825"|""|""|""|""|""|"928822.0000"|""|""|"949622.0000"|"937929.0000"|"0.0000"|""|"9107.0000"
"04-2103755"|"CHARLESBANK HOMES"|"588012"|""|"16664528.0000"|""|""|""|"61526.0000"|""|""|"16727179.0000"|"16727179.0000"|"0.0000"|""|""
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"588013"|""|"4265225.0000"|"484502.0000"|""|""|"472127.0000"|""|""|"3986956.0000"|"5319269.0000"|"3451.0000"|""|"97415.0000"
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"|""|"19006707.0000"|""|""|""|""|""|""|"16785626.0000"|"19375509.0000"|""|""|"368802.0000"
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"588015"|""|"1640103.0000"|""|""|""|"599767.0000"|""|""|"2433490.0000"|"2433490.0000"|"0.0000"|""|"193620.0000"
"01-0705471"|"THE NORWOOD FOUNDATION"|"588413"|""|""|""|""|""|""|""|""|"1248.0000"|"1248.0000"|"1248.0000"|"1248.0000"|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"588415"|""|"449080.0000"|""|""|""|""|""|""|"433273.0000"|"460979.0000"|""|""|"11899.0000"
"04-2104291"|"Humane Society of the Communwalth of MA"|"588417"|"300488.0000"|"3821895.0000"|"369907.0000"|""|""|""|""|""|"3953294.0000"|"4648956.0000"|"7501.0000"|"40368.0000"|"116298.0000"
"04-6420685"|"CONSTANCE KILLAM TRUST U/W #0714865"|"588418"|"477455.0000"|"2249501.0000"|"113511.0000"|""|""|""|""|""|"1383351.0000"|"3211076.0000"|"0.0000"|"500.0000"|"370109.0000"
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"589195"|""|"1293472.0000"|""|""|""|""|""|""|"1219195.0000"|"1320291.0000"|""|""|"26819.0000"
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"589196"|""|"214362.0000"|""|""|""|"262207.0000"|""|""|"369265.0000"|"480107.0000"|""|""|"3538.0000"
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"589197"|""|"2539952.0000"|""|""|""|"1665528.0000"|""|""|"4250229.0000"|"4308923.0000"|"0.0000"|""|"103443.0000"
"01-0514859"|"THE OLD BUG LIGHT CHARITABLE FOUNDATION"|"590191"|""|"523107.0000"|"123180.0000"|""|""|"1093448.0000"|""|""|"2076446.0000"|"2487828.0000"|"0.0000"|""|"748093.0000"
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"590192"|""|""|""|""|""|"3138430.0000"|""|""|"2883893.0000"|"3207544.0000"|"0.0000"|"2595.0000"|"66519.0000"
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"590198"|"0.0000"|"2604117.0000"|"150498.0000"|""|""|"300142.0000"|""|""|"1638300.0000"|"3247944.0000"|"0.0000"|""|"193187.0000"
"04-6382377"|"Mary Elizabeth Pearce Foundation Tr."|"590199"|""|"10520884.0000"|"1008640.0000"|""|""|"1234940.0000"|""|""|"8138981.0000"|"13517509.0000"|"0.0000"|"18500.0000"|"734545.0000"
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"590733"|""|"329498.0000"|""|""|""|""|""|"25.0000"|"307663.0000"|"336660.0000"|""|""|"7137.0000"
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"605546"|""|"485710.0000"|""|""|""|""|""|""|"487292.0000"|"487292.0000"|"0.0000"|""|"1582.0000"
"02-6004800"|"ARTHUR H BRITTON TR U/W 360097018"|"605547"|"415271.0000"|"1271711.0000"|"435620.0000"|""|""|""|""|""|"2047666.0000"|"2161117.0000"|""|""|"38515.0000"
"04-2103910"|"BOSTON CENTER FOR BLIND CHILDREN INC"|"605548"|"321867.0000"|"2863060.0000"|"919008.0000"|""|""|"124270.0000"|""|""|"4240413.0000"|"4240413.0000"|"14629.0000"|""|"12208.0000"
"01-0523143"|"OXFORD HILLS SCHOLARSHIP FOUNDATION 686792011"|"607597"|"655729.0000"|"3772786.0000"|"749717.0000"|""|""|""|""|""|"4838165.0000"|"5330235.0000"|""|""|"152003.0000"
"02-0534424"|"THE MICHAEL & HELEN SCHAFFER FOUNDATION"|"607598"|"10137407.0000"|""|""|""|""|""|""|""|"9924657.0000"|"10565954.0000"|"0.0000"|""|"428547.0000"
"02-6012645"|"DEERING FOUNDATION, INC."|"607599"|""|"733991.0000"|""|""|""|""|""|""|"658725.0000"|"745681.0000"|"0.0000"|"11690.0000"|""
"02-6058742"|"BENJAMIN S COHEN TRUST U/W 361722010"|"607600"|"266889.0000"|"876819.0000"|"328668.0000"|""|""|""|""|""|"1392873.0000"|"1479036.0000"|""|""|"6660.0000"
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"607602"|""|"265636.0000"|"235938.0000"|""|""|"208873.0000"|""|""|"643930.0000"|"736984.0000"|"375.0000"|""|"26537.0000"
"04-2714929"|"WILLIAM HAROLD FRANCIS AUSTIN TRUST U/W EASTERN BANK, TRUSTEE"|"607603"|""|"596744.0000"|""|""|""|""|""|""|"876319.0000"|"911908.0000"|""|""|""
"04-3371560"|"JOHN A. MCNEICE, JR. CHARITABLE FOUNDATION"|"607605"|"824843.0000"|"3312868.0000"|"985051.0000"|""|""|""|""|""|"4241682.0000"|"5375053.0000"|""|""|"252291.0000"
"04-3417222"|"ARCHIBALD FAMILY FOUNDATION"|"607606"|"147284.0000"|"3411638.0000"|"42205.0000"|""|""|""|""|""|"2672750.0000"|"3670768.0000"|"0.0000"|""|"69641.0000"
"04-3663738"|"DONALD D. ROGERS FOUNDATION INC."|"607607"|""|"199541.0000"|""|""|""|""|""|""|"238312.0000"|"227054.0000"|"0.0000"|""|"27513.0000"
"04-6049261"|"THE JEFFE FOUNDATION"|"607609"|""|"341976.0000"|"146396.0000"|""|""|""|""|""|"416022.0000"|"545289.0000"|"720.0000"|"20374.0000"|"36543.0000"
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"607611"|""|"784795.0000"|""|""|""|"182463.0000"|""|""|"1543129.0000"|"1931279.0000"|"0.0000"|"304.0000"|"172400.0000"
"04-6111827"|"TR UW G GORHAM PETERS 7567 7552007373"|"607612"|"634318.0000"|"15005776.0000"|"837448.0000"|""|""|"0.0000"|""|""|"11709799.0000"|"16717470.0000"|"0.0000"|""|"239928.0000"
"04-6555836"|"MANUEL, VIOLA G. TRUST 42C081017"|"607613"|""|"263942.0000"|"175535.0000"|""|""|""|""|""|"391980.0000"|"446014.0000"|""|""|"6537.0000"
"04-6864140"|"CATHERINE HAWKINS FOUNDATION T PECKHAM, ESQ & E TAYLOR, TTEES"|"607615"|"465398.0000"|"3385116.0000"|""|""|""|"1964651.0000"|""|""|"4551747.0000"|"5845516.0000"|"0.0000"|"-15498.0000"|"14977.0000"
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOFSKA, TRUSTEES"|"607616"|""|"426945.0000"|"291406.0000"|""|""|"392901.0000"|""|""|"1010699.0000"|"1121024.0000"|"0.0000"|""|"9772.0000"
"01-6007504"|"JOHN W MANSON TRUST"|"609898"|""|""|""|""|""|"1362062.0000"|""|""|"1336175.0000"|"1362062.0000"|""|""|""
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|"609900"|""|""|""|""|""|""|""|""|"6501.0000"|"5976.0000"|"0.0000"|"5976.0000"|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"611079"|""|"549983.0000"|""|""|""|""|""|""|"526111.0000"|"601588.0000"|"0.0000"|""|"51605.0000"
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10-101230022680"|"611080"|""|""|""|""|""|"2103051.0000"|""|""|"1451574.0000"|"2103051.0000"|""|""|""
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|"611081"|""|"572147.0000"|""|""|""|""|""|""|"525052.0000"|"585624.0000"|""|""|"13477.0000"
"02-6004792"|"TRUST U/W HERBERT G ABBOT 360090013"|"611085"|"222670.0000"|"1171314.0000"|"167320.0000"|""|""|""|""|""|"1451208.0000"|"1576755.0000"|""|""|"15451.0000"
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"611086"|""|"2048199.0000"|""|""|""|""|""|""|"1622270.0000"|"2073538.0000"|""|""|"25339.0000"
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION INC"|"611088"|"331399.0000"|"9897058.0000"|"4222266.0000"|""|""|"2717946.0000"|""|""|"16818703.0000"|"18522091.0000"|"10000.0000"|"151446.0000"|"1201976.0000"
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON, INC."|"611089"|"1206114.0000"|"4751159.0000"|"1060239.0000"|""|""|"199994.0000"|""|"1.0000"|"7272846.0000"|"7272846.0000"|"0.0000"|"29225.0000"|"26114.0000"
"04-2121771"|"Newburyport Society for the Relief of Aged Women, Inc."|"611090"|""|"2566648.0000"|"535384.0000"|""|""|"195337.0000"|""|""|"3420817.0000"|"3420817.0000"|"0.0000"|""|"123448.0000"
"04-2399760"|"THE TJX FOUNDATION, INC."|"611091"|""|""|""|""|""|""|""|"3548.0000"|"24431377.0000"|"24431377.0000"|"1543045.0000"|"667587.0000"|"23759138.0000"
"04-2613244"|"JAMES G MARTIN MEMORIAL TRUST"|"611092"|""|"1707494.0000"|""|""|""|""|""|""|"2816111.0000"|"2491086.0000"|"0.0000"|"738919.0000"|"44673.0000"
"04-3292646"|"Information Research Foundation"|"611093"|""|""|""|""|""|""|""|""|"46901.0000"|""|"39198.0000"|""|""
"04-3538929"|"BEN E FACTORS FOUNDATION 7665-7560016259"|"611094"|""|"1147574.0000"|""|""|""|"0.0000"|""|""|"865299.0000"|"1207239.0000"|"0.0000"|""|"59665.0000"
"04-6015548"|"MYRON L. FULLER TRUST"|"611095"|""|"5553595.0000"|"52576.0000"|""|""|""|""|""|"5292640.0000"|"5738650.0000"|""|""|"132479.0000"
"04-6026880"|"The Nichols Trust"|"611096"|"156381.0000"|"795738.0000"|"372204.0000"|""|""|""|""|""|"1729043.0000"|"1776548.0000"|"0.0000"|"452225.0000"|""
"04-6038982"|"TR U/W OF ETHEL H BRADLEY"|"611097"|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6047689"|"JOHN M THORNE AND ETHEL C THORNE FOUNDATION INC"|"611098"|""|""|""|""|""|"288306.0000"|"150000.0000"|""|"477096.0000"|"447890.0000"|"0.0000"|""|"9584.0000"
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"611099"|""|"391230.0000"|""|""|""|""|""|""|"356137.0000"|"391230.0000"|""|""|""
"04-6504871"|"DORIS L. BENZ TRUST"|"611100"|""|"4852098.0000"|""|""|""|"3586412.0000"|""|""|"8259318.0000"|"8500349.0000"|"0.0000"|""|"61839.0000"
"04-6599655"|"HATHAWAY MEMORIAL CHARIT TR"|"611101"|""|"1768357.0000"|""|""|""|""|""|""|"1551641.0000"|"1796191.0000"|""|""|"27834.0000"
"04-6773530"|"WILSON FAMILY FOUNDATION"|"611102"|""|""|""|""|""|"771072.0000"|""|""|"582300.0000"|"771302.0000"|"0.0000"|""|"230.0000"
"04-6822881"|"ALTURAS ENDOWMENT"|"611103"|""|"369018.0000"|""|""|""|"1870828.0000"|""|"40.0000"|"2063883.0000"|"2291807.0000"|"1000.0000"|""|"51921.0000"
"04-3382001"|"SOMERVILLE HEALTH FOUNDATION INC"|"611535"|""|"621683.0000"|""|""|""|""|""|""|"542564.0000"|"633527.0000"|""|""|"11844.0000"
"03-6087553"|"HELEN P. LEFEVRE CHARITABLE TRUST"|"611995"|""|"1926163.0000"|""|""|""|""|""|""|"1593918.0000"|"1948118.0000"|""|"-1178.0000"|"23133.0000"
"04-3528464"|"THE JOHANNA K AND JEFFREY T BLACK FOUNDATION"|"611996"|"262298.0000"|"1111259.0000"|"168475.0000"|""|""|""|""|""|"1322937.0000"|"1638444.0000"|""|""|"96412.0000"
"04-6191561"|"TRASK JOSPHINE B IRR TR DTD 7/24/68"|"612195"|""|"1734546.0000"|""|""|""|""|""|""|"1623382.0000"|"1759827.0000"|""|""|"25281.0000"
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY FOR 10 -101160016280"|"613604"|""|""|""|""|""|"591086.0000"|""|""|"619223.0000"|"591086.0000"|""|""|""
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|"613605"|""|""|""|""|""|""|""|"0.0000"|"11579.0000"|"11579.0000"|"0.0000"|"1237.0000"|"10342.0000"
"02-6008379"|"THE GREENSPAN FOUNDATION"|"613606"|"79846.0000"|"2299518.0000"|"156349.0000"|""|""|""|""|""|"2165709.0000"|"2547431.0000"|"0.0000"|"6755.0000"|"4963.0000"
"04-2103796"|"HOWARD HOME TRUSTEES HOME FOR AGED MEN BROCKTON"|"613608"|""|"3974812.0000"|"478125.0000"|""|""|""|""|""|"4291561.0000"|"4820394.0000"|"4552.0000"|"48083.0000"|"313611.0000"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"613609"|"2467702.0000"|"4693143.0000"|""|"2407534.0000"|""|""|""|"42673.0000"|"9223560.0000"|"10307373.0000"|"301548.0000"|"344871.0000"|"146754.0000"
"04-3466878"|"RCB CHARITABLE FOUNDATION, INC."|"613610"|""|"165982.0000"|""|""|""|"869031.0000"|""|""|"1109516.0000"|"1109516.0000"|"20000.0000"|"1000.0000"|"73503.0000"
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"613611"|""|""|""|""|""|"3053161.0000"|""|""|"2555772.0000"|"3062397.0000"|"0.0000"|"9236.0000"|""
"04-6837671"|"THE BOPP FAMILY CHARITABLE TRUST"|"613612"|"37832.0000"|"132471.0000"|"0.0000"|""|""|"21906.0000"|""|""|"168239.0000"|"233692.0000"|"0.0000"|""|"41483.0000"
"01-0463183"|"Schiavi Family Foundation"|"614035"|""|"208932.0000"|""|""|""|"4271327.0000"|""|""|"4896853.0000"|"4896853.0000"|"0.0000"|""|"416594.0000"
