"C_EIN"|"C_Org_Name"|"QUAL_DIST_XIII"|"EXCESS_DIST_CORPUS_XIII"|"EXCESS_DIST_CUR_YR_XIII"|"EXCESS_DIST_NEXT_YR_XIII"|"XML_DOCUMENT_ID"
"01-0936787"|"NARROW GATE FOUNDATION"|""|""|""|"166511.0000"|"1267231"
"01-6008575"|"Z A MERSEREAU TRUST U/W"|"31691.0000"|"0.0000"|"0.0000"|"0.0000"|"1267232"
"01-6009246"|"DAVENPORT TRUST FUND"|"7225.0000"|"0.0000"|"0.0000"|"0.0000"|"1267233"
"01-6010195"|"JOSEPH HOW CHARITABLE TRUST"|"9784.0000"|""|""|""|"1267234"
"01-6019476"|"ROSAMOND THAXTER FOUNDATION"|""|""|""|"36625.0000"|"1267236"
"01-6028898"|"SUMNER O HANCOCK SCHOLARSHIP FUND"|"0.0000"|"0.0000"|"0.0000"|"19406.0000"|"1267237"
"01-6048187"|"F ROGER MILLER TRUST"|"32188.0000"|""|""|""|"1267238"
"01-6070773"|"MUHS FLORENCE H IRREV TR"|"12531.0000"|""|""|""|"1267239"
"01-6115166"|"LOIS M. GAUTHEIR CHARITABLE TRUST"|"7954.0000"|"0.0000"|"0.0000"|""|"1267240"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|"8358.0000"|""|""|"5613.0000"|"1267242"
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|"77695.0000"|"0.0000"|"0.0000"|"0.0000"|"1267243"
"01-6161852"|"ELLEN M CROUCHLEY TR FBO RIDGEFIELD LIB & HIST"|""|""|""|"38289.0000"|"1267244"
"01-6162638"|"KAREN ANNE BOLLWERK BURKE AND WILLIAM A BURKE FAMILY CHARITABLE TRUST"|"0.0000"|"388.0000"|"388.0000"|"2302.0000"|"1267245"
"01-6190683"|"ALICE E & JOSEPH C BLEWETT FOUNDATION"|""|""|""|"23165.0000"|"1267247"
"01-6225742"|"CHRIS HESS FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"42164.0000"|"1267248"
"02-0222148"|"KINGS DAUGHTERS BENEVOLENT ASSN."|"45609.0000"|""|""|""|"1267249"
"02-0364166"|"STEPHEN P BELL, TIMOTHY A BELL & TRICIA FLYNN CALEY MEMORIAL SCHOLARSHIP 3035001994"|""|""|""|"6168.0000"|"1267250"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|""|""|""|""|"1267251"
"02-0481954"|"BNH CHARITABLE FOUNDATION"|"4948.0000"|"0.0000"|"0.0000"|"154.0000"|"1267252"
"02-0500977"|"PUMPKIN HILL FOUNDATION"|"32972.0000"|""|""|""|"1267253"
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1045556.0000"|"1267254"
"02-0524940"|"SKRUNGLOO FARM, INC."|"2590.0000"|"0.0000"|"0.0000"|"18731.0000"|"1267256"
"02-0526252"|"The Ayer Scholarship Trust"|"17812.0000"|"0.0000"|"0.0000"|"0.0000"|"1267257"
"02-0534833"|"BINZER ISADORE FUND T/A 20-102110409642"|""|""|""|"239159.0000"|"1267258"
"02-0539569"|"ELIZABETH MCGEACHIN MCKEE FOUNDATION"|""|""|""|"565623.0000"|"1267259"
"02-0573327"|"BRUCE E. & DEBRA K. GREWCOCK FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"419376.0000"|"1267260"
"02-0583552"|"JAMES R. DOUGHERTY, JR. FOUNDATION, INC."|"318770.0000"|""|""|"0.0000"|"1267261"
"02-0595263"|"GOULD FAMILY FOUNDATION"|"611858.0000"|""|""|""|"1267262"
"02-0597036"|"THE CHERICOKE FOUNDATION"|"0.0000"|"1673.0000"|"1673.0000"|"22520.0000"|"1267263"
"02-0663360"|"JANE AND SAM SUTTON FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1085586.0000"|"1267264"
"02-0735167"|"NANCY JONES BEARD FOUNDATION"|"128964.0000"|"0.0000"|"0.0000"|"0.0000"|"1267265"
"02-0762912"|"THE GRAGG FOUNDATION"|"91278.0000"|"0.0000"|"0.0000"|"0.0000"|"1267266"
"02-0762991"|"JAMES I. PERKINS FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"671248.0000"|"1267267"
"02-0788743"|"ELLIS FAMILY CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"4543488.0000"|"1267268"
"02-6003982"|"HELEN BLAKE GILE TR"|"110850.0000"|""|""|""|"1267269"
"02-6004243"|"FURBUSH GEORGE T/U/W"|"15282.0000"|""|""|""|"1267270"
"02-6004465"|"THE KINGSBURY FUND"|""|"11334.0000"|"11334.0000"|"21751.0000"|"1267271"
"02-6004971"|"AGNES M. LINDSAY TRUST"|"0.0000"|"365511.0000"|"365511.0000"|"1395121.0000"|"1267272"
"02-6005861"|"NEW HAMPSHIRE BALL BEARINGS FOUNDATION"|""|""|""|"64645.0000"|"1267273"
"02-6005885"|"THE BARKER FOUNDATION INC."|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1267274"
"02-6006053"|"THE MCININCH FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1899.0000"|"1267275"
"02-6006598"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|""|""|""|"269175.0000"|"1267276"
"02-6007047"|"LADIES CHARITABLE SOCIETY OF KEENE"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1267277"
"02-6007195"|"MILFORD HOSPITAL ASSOCIATION"|"15091.0000"|""|""|"636.0000"|"1267278"
"02-6007363"|"GILBERT VERNEY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"486260.0000"|"1267279"
"02-6007760"|"J WILFRED ANCTIL FOUNDATION"|"2897.0000"|""|""|"4537.0000"|"1267280"
"02-6013780"|"WILLIAM W. TREAT FOUNDATION"|""|"24086.0000"|"24086.0000"|""|"1267281"
"02-6014169"|"ELVA S SMITH TRUST U/W 3020000"|"1523.0000"|""|""|""|"1267282"
"02-6021132"|"M L BILLINGS TR FBO NH CHARITIES 3035009497"|"1163.0000"|""|""|""|"1267283"
"02-6037670"|"OSCAR J GEORGE TRUST"|"97968.0000"|""|""|""|"1267284"
"02-6040429"|"BJB CHARITABLEACCOUNT"|"82773.0000"|""|""|"0.0000"|"1267285"
"02-6060525"|"CAMBRIDGE TRUST COMPANY 5122080"|"50653.0000"|""|""|""|"1267286"
"02-6065480"|"KEITH HENNEY TRUST"|"1936.0000"|""|""|""|"1267287"
"02-6067436"|"NHCF JANICE BERRY SCHOLARSHIP"|""|""|""|"6533.0000"|"1267288"
"02-6090073"|"ANNE SLADE FREY CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"40499.0000"|"1267289"
"02-6092657"|"STOKES SCHOLARSHIP TRUST"|"41467.0000"|""|""|""|"1267290"
"02-6100725"|"ELIZABETH PARKHILL CHARITABLE TRUST DAVID ROBY & EDWIN CHAMBERLAIN,TRUSTEES"|"7973.0000"|"0.0000"|"0.0000"|"0.0000"|"1267291"
"02-6101659"|"CAROLINE C. LEVINE CHARITABLE TRUST"|"0.0000"|"17369.0000"|"17369.0000"|"754003.0000"|"1267292"
"02-6117755"|"ALDEN N. YOUNG TRUST"|"0.0000"|"0.0000"|"0.0000"|"523629.0000"|"1267293"
"02-6123078"|"GRUNBECK JENNIFER & ROBERT FAM FOUND ROBERT & JENNIFER GRUNBECK, CO-TRUSTEES"|""|""|""|"327558.0000"|"1267295"
"02-6123968"|"ROGER R. & THERESA THOMPSON ENDOWMENT F/B/O LOCAL CHARITIES"|"0.0000"|"0.0000"|"0.0000"|"80896.0000"|"1267296"
"02-6124799"|"THE BITTY FOUNDATION"|"102700.0000"|"0.0000"|"0.0000"|"0.0000"|"1267297"
"02-6125090"|"JOHN & MARGARET BRENNAN TRUST . 3030007141"|"53189.0000"|""|""|""|"1267298"
"02-6139129"|"GEORGE A STRBA CHARITABLE TRUST"|""|""|""|""|"1267299"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|""|""|""|"54307.0000"|"1267301"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"11665.0000"|"0.0000"|"0.0000"|"0.0000"|"1267302"
"03-0307532"|"THE PIZZAGALLI FOUNDATION"|""|""|""|"1020699.0000"|"1267303"
"03-0326934"|"CARRIS CORORATE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1378877.0000"|"1267304"
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"650599.0000"|"1267305"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|""|""|""|"23072.0000"|"1267306"
"03-0466957"|"BRINDLE FOUNDATION"|"669638.0000"|"0.0000"|"0.0000"|"0.0000"|"1267307"
"03-0514974"|"THE WARREN & BERNICE HENSEL FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"18126.0000"|"1267308"
"03-0536676"|"THE V & L MARX FOUNDATION"|"2728172.0000"|"0.0000"|"0.0000"|"0.0000"|"1267309"
"03-0541650"|"AMERICO J FRANCISCO CHARITABLE TRUST"|""|""|""|""|"1267310"
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|""|""|""|""|"1267313"
"03-6009332"|"CHARITABLE FOUNDATION OF THE BRYANT CHUCKING GRINDER CO."|""|""|""|"208667.0000"|"1267314"
"03-6020099"|"MORTIMER R PROCTOR"|""|""|""|"56038.0000"|"1267315"
"03-6037557"|"RICHARD F & LENA S BARKER TR FUND 31C078016"|"20737.0000"|""|""|""|"1267316"
"03-6039645"|"ARTHUR J. WHITE & ALICE M. DEMOND 43C060019"|""|""|""|"16931.0000"|"1267317"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|""|""|""|"23502.0000"|"1267318"
"03-6059731"|"SCHULTZ-BLACKWELL TRUST"|"17997.0000"|"0.0000"|"0.0000"|"0.0000"|"1267319"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|""|"22263.0000"|""|""|"1267320"
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|"1469.0000"|"0.0000"|""|"0.0000"|"1267321"
"03-6084732"|"FERDINAND & SARAH CINELLI CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"5074.0000"|"1267322"
"03-6088692"|"S.L. GIMBEL FOUNDATION"|"4280462.0000"|"0.0000"|"0.0000"|"0.0000"|"1267323"
"03-6090656"|"LLOYD SCHMITZ CHARITABLE TRUST FBO ST. PETER'S UNITED METHODIST CHURCH"|"0.0000"|"0.0000"|"0.0000"|"114772.0000"|"1267324"
"03-6111428"|"KAUFMAN FAMILY FOUNDATION STACEY GERRISH, JENIFER MATHIEU & CFSG CO-TRUSTEES"|""|""|""|"13072.0000"|"1267326"
"04-1841679"|"GILLESPIE FAMILY FDN I/AG 20 -102301132700"|""|""|""|"333766.0000"|"1267327"
"04-2062107"|"EVERETT FOUNDATION FOR AGED PERSONS INC"|"87509.0000"|"0.0000"|"0.0000"|"0.0000"|"1267328"
"04-2104372"|"LATHROP HOME"|""|""|""|""|"1267329"
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|""|""|""|""|"1267330"
"04-2113268"|"SHURTLEFF CHILDRNE'S SERVICES-PRIN"|""|"5193.0000"|"5193.0000"|"16601.0000"|"1267331"
"04-2121312"|"COOLIDGE HILL FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"378870.0000"|"1267332"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|""|""|""|"52877.0000"|"1267333"
"04-2122137"|"WILLIAM ASHTON B/O SHRINERS HOSP"|"6430.0000"|""|""|""|"1267334"
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"0.0000"|"0.0000"|"0.0000"|"25302.0000"|"1267335"
"04-2660137"|"FOUNDATION FOR RESEARCH IN CELL BIOLOGY CANCER AND CARDIOLOGY"|"0.0000"|"67704.0000"|"67704.0000"|"5192584.0000"|"1267336"
"04-2748787"|"KENDRICK FOUNDATION"|""|"1985.0000"|"1985.0000"|"26852.0000"|"1267337"
"04-2767454"|"JOHN BOLTEN CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"80892.0000"|"1267338"
"04-2767462"|"FRANK M. BARNARD FOUNDATION, INC."|"51159.0000"|"0.0000"|"0.0000"|"0.0000"|"1267339"
"04-2767890"|"HELEN AND GEORGE LADD CHARITABLE CORPORATION #0720995"|"0.0000"|"0.0000"|"0.0000"|"106054.0000"|"1267340"
"04-2771098"|"WILLIAM O MOSELEY T/U/I"|"98068.0000"|""|""|""|"1267341"
"04-2946393"|"Sprague Foundation Inc."|"0.0000"|"127497.0000"|"127497.0000"|""|"1267342"
"04-2979426"|"THE BEAUCOURT FOUNDATION, INC."|""|""|""|"689212.0000"|"1267343"
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|""|""|""|"178249.0000"|"1267344"
"04-3000345"|"THE FEIGENBAUM FOUNDATION, INC."|"0.0000"|""|""|"324807.0000"|"1267345"
"04-3005593"|"FRASER FAMILY FOUNDATION, INC."|"0.0000"|"717308.0000"|"717308.0000"|"4059575.0000"|"1267346"
"04-3042476"|"RALPH & HELEN KELLEY FDN"|"243251.0000"|""|""|""|"1267347"
"04-3105650"|"THE HANOVER INSURANCE GROUP FOUNDATION, INC."|""|"1196778.0000"|""|"8214737.0000"|"1267348"
"04-3122206"|"DUSKY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"2771463.0000"|"1267349"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|"0.0000"|"0.0000"|"0.0000"|"5567461.0000"|"1267350"
"04-3161096"|"THE MEZITT HORTICULTURAL FOUNDATION"|"16259.0000"|"0.0000"|"0.0000"|"0.0000"|"1267351"
"04-3165980"|"THE EDGERLY FOUNDATION 02-92827"|""|""|""|"2259665.0000"|"1267352"
"04-3166698"|"THE KEEL FOUNDATION"|""|""|""|"910034.0000"|"1267353"
"04-3175266"|"PUTNAM INVESTMENTS FOUNDATION"|""|""|""|"2605181.0000"|"1267354"
"04-3177775"|"Forest Foundation"|""|""|""|"316981.0000"|"1267355"
"04-3189191"|"BOVERI-TRACKMAN FAMILY FOUNDATION, INC."|"2216.0000"|"0.0000"|"0.0000"|"38252.0000"|"1267356"
"04-3211993"|"THE NYPRO FOUNDATION, INC."|"0.0000"|"11849.0000"|"0.0000"|"20839.0000"|"1267357"
"04-3217038"|"KATHARINE L.W. AND WINTHROP M. CRANE, 3D CHARITABLE FOUNDATION"|"0.0000"|"2761.0000"|"2761.0000"|"22364.0000"|"1267358"
"04-3244069"|"THE NEW ENGLAND PATRIOTS CHARITABLE FOUNDATION, INC."|""|""|""|"8024089.0000"|"1267359"
"04-3254349"|"FREELANDER FAMILY CHARITABLE TRUST"|"0.0000"|"20203.0000"|"20203.0000"|"127277.0000"|"1267360"
"04-3293081"|"GERALD R JORDAN FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"6692042.0000"|"1267363"
"04-3294086"|"THE KRUPP FOUNDATION"|""|""|""|"759074.0000"|"1267364"
"04-3338927"|"HAZARD FAMILY FOUNDATION"|"0.0000"|"4077.0000"|"4077.0000"|"0.0000"|"1267365"
"04-3339062"|"BERT AND BETTY GREENE MEMORIAL FUND"|""|""|""|"53376.0000"|"1267366"
"04-3340006"|"MARTHA R. GERRY TOWNLEY FOUNDATION -MARK A. NOWAK, CO-TRUSTEE"|"0.0000"|"539574.0000"|"539574.0000"|"630117.0000"|"1267368"
"04-3344681"|"MAZAR FAMILY CHARITABLE FOUNDATION TRUST"|"193638.0000"|"0.0000"|"0.0000"|"0.0000"|"1267370"
"04-3359381"|"Courtney and Victoria Buffum Family Foundation"|"39286.0000"|""|""|"0.0000"|"1267371"
"04-3368079"|"THE AUSOLUS TRUST"|"650117.0000"|""|""|"0.0000"|"1267372"
"04-3368611"|"THE CROZIER FAMILY CHARITABLE FOUNDATION"|"60260.0000"|"0.0000"|"0.0000"|"0.0000"|"1267373"
"04-3371592"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"738713.0000"|"1267375"
"04-3383943"|"THE NEIL L. THOMPSON FAMILY FOUNDATION INC."|""|"10969.0000"|"129781.0000"|"21916.0000"|"1267376"
"04-3386858"|"THE MARK D. HOSTETTER AND ALEXANDER N. HABIB FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"128215.0000"|"1267377"
"04-3388562"|"ALAN D. AND SUSAN LEWIS SOLOMONT FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"2130240.0000"|"1267378"
"04-3397455"|"THE PROVIDENT COMMUNITY FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"406444.0000"|"1267379"
"04-3405965"|"John f & Dorothy H Magee Foundation"|""|""|""|"36357.0000"|"1267380"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|"0.0000"|"0.0000"|"0.0000"|"260745.0000"|"1267381"
"04-3408546"|"THE LOCHRIDGE-WATKINS CHAR FD"|"105270.0000"|""|""|""|"1267382"
"04-3415547"|"THE BAY STATE FEDERAL SAVINGS CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"366810.0000"|"1267383"
"04-3425084"|"P WILSON, EDWARDS WILDMAN PALMER LLP"|""|""|""|"202573.0000"|"1267384"
"04-3425988"|"ROBERT AND IRIS FANGER FAMILY FOUNDATION"|""|""|""|""|"1267385"
"04-3428896"|"THE EDWIN AND SARA BRODY FAMILY CHARITABLE FOUNDATION"|"0.0000"|"13992.0000"|"13992.0000"|"1284429.0000"|"1267386"
"04-3462645"|"ROHDA FAMILY CHARITABLE FOUNDATION"|"0.0000"|"45014.0000"|"45014.0000"|"217229.0000"|"1267387"
"04-3469581"|"LLH/LHM FOUNDATION MARY & MARGARET BAIRD, TRUSTEES"|"51012.0000"|"0.0000"|"0.0000"|"0.0000"|"1267388"
"04-3489966"|"THE FRANCES LEAR FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"924392.0000"|"1267390"
"04-3490346"|"ALBERT & AMELIA FERST CHARITABLE FOUNDATION"|"42785.0000"|"0.0000"|"0.0000"|"0.0000"|"1267391"
"04-3492171"|"The Jerry & Adi Greenberg Charitable Foundation"|"385613.0000"|""|""|"0.0000"|"1267392"
"04-3493147"|"THE HAMERMESH FAMILY CHARITABLE FOUNDATION"|""|""|""|"632468.0000"|"1267393"
"04-3493854"|"PRIVITERA FAMILY CHARITABLE FOUNDATION"|""|""|""|"286508.0000"|"1267394"
"04-3493858"|"THE BETE FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"26799.0000"|"1267395"
"04-3494212"|"LAWRENCE & SUSAN DANIELS FAMILY FOUNDATION"|"26629.0000"|""|""|"0.0000"|"1267396"
"04-3501266"|"THE THOMPSON FOSTER STREET FOUNDATION INC"|"0.0000"|"0.0000"|"0.0000"|"359189.0000"|"1267397"
"04-3504566"|"SUMMER STAR FOUNDATION FOR NATURE, ART AND HUMANITY INC."|"0.0000"|"0.0000"|"0.0000"|"1990339.0000"|"1267398"
"04-3521246"|"MIDDLESEX SAVINGS CHARITABLE FOUNDATION, INC."|""|""|""|"275564.0000"|"1267399"
"04-3538396"|"CLINTON SAVINGS CHARITABLE FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"144987.0000"|"1267401"
"04-3540155"|"MARIANNE J H WITHERBY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"25080.0000"|"1267402"
"04-3541560"|"THE GOODTREE/GORDON CHARITABLE FOUNDATION"|"57128.0000"|"0.0000"|"0.0000"|"0.0000"|"1267403"
"04-3541593"|"THE DOWNS FOUNDATION"|""|""|""|"1907361.0000"|"1267404"
"04-3541595"|"THE SHAPIRO FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1131548.0000"|"1267405"
"04-3542759"|"The Downey Family Charitable Foundation"|"86011.0000"|"0.0000"|"0.0000"|"0.0000"|"1267406"
"04-3542811"|"THE TIEDEMANN FOUNDATION"|"9459.0000"|""|""|""|"1267407"
"04-3546250"|"/THE DONNA ANNE POULACK FOUNDATION"|"130940.0000"|"0.0000"|"0.0000"|"0.0000"|"1267408"
"04-3551989"|"BARBARA DELINSKY CHARITABLE FOUNDATION"|""|""|""|"125000.0000"|"1267409"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"273508.0000"|"0.0000"|"0.0000"|"0.0000"|"1267411"
"04-3567545"|"THE CRAWFORD FOUNDATION 23-10371"|""|""|""|"91360.0000"|"1267412"
"04-3569828"|"HALL FAMILY FOUNDATION"|""|""|""|"132489.0000"|"1267413"
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"37423.0000"|""|""|""|"1267414"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"3223330.0000"|"0.0000"|"0.0000"|"0.0000"|"1267415"
"04-3593793"|"THE BORDUI FOUNDATION"|"0.0000"|"0.0000"|""|"35394.0000"|"1267417"
"04-3619072"|"JILL & DAVID KRISCHER FAMILY FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"157439.0000"|"1267419"
"04-3619796"|"THE J. FREUNARD KIM FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"27656.0000"|"1267420"
"04-3700494"|"THE DANKIS CHRISTIAN FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"322883.0000"|"1267421"
"04-3729982"|"THE PAUL D. WASSEROTT FOUNDATION"|"121214.0000"|"0.0000"|"0.0000"|"0.0000"|"1267422"
"04-3801691"|"EISZNER FAMILY FOUNDATION"|"90900.0000"|"0.0000"|"0.0000"|"0.0000"|"1267423"
"04-6009552"|"DANIEL W FIELD TRUST"|"96397.0000"|""|""|""|"1267425"
"04-6009559"|"IDA S CHARLTON CHARITY FD U/A"|"717238.0000"|""|""|""|"1267426"
"04-6009796"|"ERVANT SERPOSS T/U/W"|"126948.0000"|""|""|""|"1267427"
"04-6010055"|"JOHN CIFRINO TRUST"|"126699.0000"|""|""|""|"1267428"
"04-6010266"|"CORNELIUS A & MURIEL P WOOD TUA"|"70711.0000"|""|""|""|"1267429"
"04-6010445"|"W GERALD MOORE EDUCATIONAL FDN"|"38097.0000"|""|""|""|"1267430"
"04-6010540"|"IDA S CHARLTON CHARITY FDN U/W"|"97371.0000"|""|""|""|"1267431"
"04-6010588"|"LILLIAN M BAKER TRUST"|"33817.0000"|""|""|""|"1267432"
"04-6010635"|"GLADYS F WILDE T/U/I"|"41007.0000"|""|""|""|"1267433"
"04-6012597"|"JOHN E SOMERS TRUST 1264001"|"40408.0000"|""|""|""|"1267434"
"04-6012742"|"CHARLES A KING U/W-EQUITY"|"830199.0000"|""|""|""|"1267435"
"04-6012782"|"HURDLE HILL FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"394856.0000"|"1267436"
"04-6015506"|"TTEE U/W OF OLIVER B QUINBY"|"10004.0000"|""|""|""|"1267437"
"04-6017426"|"A.C. RATSHESKY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"92459.0000"|"1267438"
"04-6018072"|"G. Peabody & Rose Gardner Charitable Tr."|"0.0000"|"0.0000"|"0.0000"|"1861.0000"|"1267439"
"04-6018649"|"TR U/W G MEEKINS F/B SO CONG"|"80459.0000"|""|""|""|"1267441"
"04-6018676"|"EDWARD WALKER TRUST U/W"|"321204.0000"|""|""|""|"1267442"
