"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FMV_NON_CHAR_TOTAL"|"NET_NON_CHAR"|"MIN_INVEST_RETURN"
"02-6117755"|"ALDEN N. YOUNG TRUST"|"1267293"|"2573579.0000"|"2534975.0000"|"126749.0000"
"02-6123078"|"GRUNBECK JENNIFER & ROBERT FAM FOUND ROBERT & JENNIFER GRUNBECK, CO-TRUSTEES"|"1267295"|"15689.0000"|"15454.0000"|"773.0000"
"02-6123968"|"ROGER R. & THERESA THOMPSON ENDOWMENT F/B/O LOCAL CHARITIES"|"1267296"|"1632078.0000"|"1607597.0000"|"80380.0000"
"02-6124799"|"THE BITTY FOUNDATION"|"1267297"|"1905968.0000"|"1877378.0000"|"93869.0000"
"02-6125090"|"JOHN & MARGARET BRENNAN TRUST . 3030007141"|"1267298"|"1365435.0000"|"1344953.0000"|"67248.0000"
"02-6139129"|"GEORGE A STRBA CHARITABLE TRUST"|"1267299"|"2785351.0000"|"2743571.0000"|"137179.0000"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|"1267301"|"5327077.0000"|"5247171.0000"|"262359.0000"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"1267302"|"238946.0000"|"235362.0000"|"11768.0000"
"03-0307532"|"THE PIZZAGALLI FOUNDATION"|"1267303"|"4219061.0000"|"4155775.0000"|"207789.0000"
"03-0326934"|"CARRIS CORORATE FOUNDATION"|"1267304"|"75904.0000"|"74766.0000"|"3738.0000"
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"1267305"|"35921970.0000"|"35383140.0000"|"1769157.0000"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|"1267306"|"1248043.0000"|"1229322.0000"|"61466.0000"
"03-0466957"|"BRINDLE FOUNDATION"|"1267307"|"16447172.0000"|"16200464.0000"|"810023.0000"
"03-0514974"|"THE WARREN & BERNICE HENSEL FOUNDATION"|"1267308"|"437635.0000"|"431070.0000"|"21554.0000"
"03-0536676"|"THE V & L MARX FOUNDATION"|"1267309"|"86021157.0000"|"82651157.0000"|"4132558.0000"
"03-0541650"|"AMERICO J FRANCISCO CHARITABLE TRUST"|"1267310"|"1736396.0000"|"1710350.0000"|"85518.0000"
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|"1267313"|"0.0000"|"0.0000"|"0.0000"
"03-6009332"|"CHARITABLE FOUNDATION OF THE BRYANT CHUCKING GRINDER CO."|"1267314"|"1147733.0000"|"1130517.0000"|"56526.0000"
"03-6020099"|"MORTIMER R PROCTOR"|"1267315"|"3737643.0000"|"3681578.0000"|"184079.0000"
"03-6037557"|"RICHARD F & LENA S BARKER TR FUND 31C078016"|"1267316"|"873152.0000"|"860055.0000"|"43003.0000"
"03-6039645"|"ARTHUR J. WHITE & ALICE M. DEMOND 43C060019"|"1267317"|"1228271.0000"|"1209847.0000"|"60492.0000"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|"1267318"|"1850551.0000"|"1822793.0000"|"91140.0000"
"03-6059731"|"SCHULTZ-BLACKWELL TRUST"|"1267319"|"240788.0000"|"2371474.0000"|"118574.0000"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|"1267320"|"1658063.0000"|"1633192.0000"|"81660.0000"
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|"1267321"|"1578378.0000"|"1554702.0000"|"77735.0000"
"03-6084732"|"FERDINAND & SARAH CINELLI CHARITABLE TRUST"|"1267322"|"1154396.0000"|"1137080.0000"|"56854.0000"
"03-6088692"|"S.L. GIMBEL FOUNDATION"|"1267323"|"92691886.0000"|"91301508.0000"|"4565075.0000"
"03-6090656"|"LLOYD SCHMITZ CHARITABLE TRUST FBO ST. PETER'S UNITED METHODIST CHURCH"|"1267324"|"1603288.0000"|"1579239.0000"|"78962.0000"
"03-6111428"|"KAUFMAN FAMILY FOUNDATION STACEY GERRISH, JENIFER MATHIEU & CFSG CO-TRUSTEES"|"1267326"|"6259780.0000"|"6165883.0000"|"308294.0000"
"04-1841679"|"GILLESPIE FAMILY FDN I/AG 20 -102301132700"|"1267327"|"837450.0000"|"824888.0000"|"41244.0000"
"04-2062107"|"EVERETT FOUNDATION FOR AGED PERSONS INC"|"1267328"|"2036548.0000"|"2006000.0000"|"100300.0000"
"04-2104372"|"LATHROP HOME"|"1267329"|"7668092.0000"|"7553069.0000"|"377658.0000"
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|"1267330"|"8856514.0000"|"8723666.0000"|"436183.0000"
"04-2113268"|"SHURTLEFF CHILDRNE'S SERVICES-PRIN"|"1267331"|"2725684.0000"|"2684799.0000"|"134240.0000"
"04-2121312"|"COOLIDGE HILL FOUNDATION"|"1267332"|"1165010.0000"|"1147535.0000"|"57377.0000"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|"1267333"|"184202.0000"|"181439.0000"|"9072.0000"
"04-2122137"|"WILLIAM ASHTON B/O SHRINERS HOSP"|"1267334"|"381376.0000"|"375655.0000"|"18783.0000"
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"1267335"|"2229284.0000"|"2195845.0000"|"109792.0000"
"04-2660137"|"FOUNDATION FOR RESEARCH IN CELL BIOLOGY CANCER AND CARDIOLOGY"|"1267336"|"6657814.0000"|"6557947.0000"|"327897.0000"
"04-2748787"|"KENDRICK FOUNDATION"|"1267337"|"1974902.0000"|"1945278.0000"|"97264.0000"
"04-2767454"|"JOHN BOLTEN CHARITABLE FOUNDATION"|"1267338"|"2724981.0000"|"2684106.0000"|"134205.0000"
"04-2767462"|"FRANK M. BARNARD FOUNDATION, INC."|"1267339"|"1312083.0000"|"1292402.0000"|"64620.0000"
"04-2767890"|"HELEN AND GEORGE LADD CHARITABLE CORPORATION #0720995"|"1267340"|"9655911.0000"|"9511072.0000"|"475554.0000"
"04-2771098"|"WILLIAM O MOSELEY T/U/I"|"1267341"|"878478.0000"|"865301.0000"|"43265.0000"
"04-2946393"|"Sprague Foundation Inc."|"1267342"|"2611316.0000"|"2572146.0000"|"128607.0000"
"04-2979426"|"THE BEAUCOURT FOUNDATION, INC."|"1267343"|"2024624.0000"|"1994255.0000"|"99713.0000"
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|"1267344"|"56565.0000"|"55717.0000"|"2785.0000"
"04-3000345"|"THE FEIGENBAUM FOUNDATION, INC."|"1267345"|"3299715.0000"|"3250219.0000"|"162511.0000"
"04-3005593"|"FRASER FAMILY FOUNDATION, INC."|"1267346"|"1449888.0000"|"1428140.0000"|"71407.0000"
"04-3042476"|"RALPH & HELEN KELLEY FDN"|"1267347"|"10456157.0000"|"10299315.0000"|"514966.0000"
"04-3105650"|"THE HANOVER INSURANCE GROUP FOUNDATION, INC."|"1267348"|"4460334.0000"|"4393429.0000"|"219671.0000"
"04-3122206"|"DUSKY FOUNDATION"|"1267349"|"1922164.0000"|"1893332.0000"|"94667.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|"1267350"|"379680.0000"|"373985.0000"|"18699.0000"
"04-3161096"|"THE MEZITT HORTICULTURAL FOUNDATION"|"1267351"|"330422.0000"|"325466.0000"|"16273.0000"
"04-3165980"|"THE EDGERLY FOUNDATION 02-92827"|"1267352"|"2150043.0000"|"2117792.0000"|"105890.0000"
"04-3166698"|"THE KEEL FOUNDATION"|"1267353"|"4244161.0000"|"4180499.0000"|"209025.0000"
"04-3175266"|"PUTNAM INVESTMENTS FOUNDATION"|"1267354"|"263302.0000"|"259352.0000"|"12968.0000"
"04-3177775"|"Forest Foundation"|"1267355"|"2407271.0000"|"2371162.0000"|"118558.0000"
"04-3189191"|"BOVERI-TRACKMAN FAMILY FOUNDATION, INC."|"1267356"|"1608338.0000"|"1584213.0000"|"79211.0000"
"04-3211993"|"THE NYPRO FOUNDATION, INC."|"1267357"|"4236155.0000"|"4172613.0000"|"208631.0000"
"04-3217038"|"KATHARINE L.W. AND WINTHROP M. CRANE, 3D CHARITABLE FOUNDATION"|"1267358"|"2311987.0000"|"2277307.0000"|"113865.0000"
"04-3244069"|"THE NEW ENGLAND PATRIOTS CHARITABLE FOUNDATION, INC."|"1267359"|"2736756.0000"|"2695705.0000"|"134785.0000"
"04-3254349"|"FREELANDER FAMILY CHARITABLE TRUST"|"1267360"|"4059814.0000"|"3998917.0000"|"199946.0000"
"04-3293081"|"GERALD R JORDAN FOUNDATION"|"1267363"|"28852217.0000"|"28419434.0000"|"1420972.0000"
"04-3294086"|"THE KRUPP FOUNDATION"|"1267364"|"3841769.0000"|"3784142.0000"|"189207.0000"
"04-3338927"|"HAZARD FAMILY FOUNDATION"|"1267365"|"4348272.0000"|"4283048.0000"|"214152.0000"
"04-3339062"|"BERT AND BETTY GREENE MEMORIAL FUND"|"1267366"|"248071.0000"|"244350.0000"|"12218.0000"
"04-3340006"|"MARTHA R. GERRY TOWNLEY FOUNDATION -MARK A. NOWAK, CO-TRUSTEE"|"1267368"|"34103854.0000"|"33592296.0000"|"1679615.0000"
"04-3344681"|"MAZAR FAMILY CHARITABLE FOUNDATION TRUST"|"1267370"|"10383872.0000"|"10228114.0000"|"511406.0000"
"04-3359381"|"Courtney and Victoria Buffum Family Foundation"|"1267371"|"878592.0000"|"865413.0000"|"43271.0000"
"04-3368079"|"THE AUSOLUS TRUST"|"1267372"|"15197584.0000"|"14969620.0000"|"748481.0000"
"04-3368611"|"THE CROZIER FAMILY CHARITABLE FOUNDATION"|"1267373"|"1216562.0000"|"1198314.0000"|"59916.0000"
"04-3371592"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|"1267375"|"1776112.0000"|"1749470.0000"|"87474.0000"
"04-3383943"|"THE NEIL L. THOMPSON FAMILY FOUNDATION INC."|"1267376"|"2648281.0000"|"2608557.0000"|"130428.0000"
"04-3386858"|"THE MARK D. HOSTETTER AND ALEXANDER N. HABIB FOUNDATION"|"1267377"|"26260808.0000"|"25866896.0000"|"1293345.0000"
"04-3388562"|"ALAN D. AND SUSAN LEWIS SOLOMONT FAMILY FOUNDATION"|"1267378"|"277574.0000"|"273410.0000"|"13671.0000"
"04-3397455"|"THE PROVIDENT COMMUNITY FOUNDATION, INC."|"1267379"|"1681592.0000"|"1656368.0000"|"82818.0000"
"04-3405965"|"John f & Dorothy H Magee Foundation"|"1267380"|"4360.0000"|"1340251.0000"|"67013.0000"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|"1267381"|"42161.0000"|"41529.0000"|"2076.0000"
"04-3408546"|"THE LOCHRIDGE-WATKINS CHAR FD"|"1267382"|"2161500.0000"|"2129077.0000"|"106454.0000"
"04-3415547"|"THE BAY STATE FEDERAL SAVINGS CHARITABLE FOUNDATION"|"1267383"|"8571867.0000"|"8443289.0000"|"422164.0000"
"04-3425084"|"P WILSON, EDWARDS WILDMAN PALMER LLP"|"1267384"|"439682.0000"|"433087.0000"|"21654.0000"
"04-3425988"|"ROBERT AND IRIS FANGER FAMILY FOUNDATION"|"1267385"|"627423.0000"|"618012.0000"|"30901.0000"
"04-3428896"|"THE EDWIN AND SARA BRODY FAMILY CHARITABLE FOUNDATION"|"1267386"|"284207.0000"|"279944.0000"|"13997.0000"
"04-3462645"|"ROHDA FAMILY CHARITABLE FOUNDATION"|"1267387"|"922842.0000"|"908999.0000"|"45450.0000"
"04-3469581"|"LLH/LHM FOUNDATION MARY & MARGARET BAIRD, TRUSTEES"|"1267388"|"3796409.0000"|"3739463.0000"|"186973.0000"
"04-3489966"|"THE FRANCES LEAR FOUNDATION"|"1267390"|"9792352.0000"|"9645467.0000"|"482273.0000"
"04-3490346"|"ALBERT & AMELIA FERST CHARITABLE FOUNDATION"|"1267391"|"998520.0000"|"983542.0000"|"49177.0000"
"04-3492171"|"The Jerry & Adi Greenberg Charitable Foundation"|"1267392"|"7575319.0000"|"7461689.0000"|"373084.0000"
"04-3493147"|"THE HAMERMESH FAMILY CHARITABLE FOUNDATION"|"1267393"|"0.0000"|"0.0000"|"0.0000"
"04-3493854"|"PRIVITERA FAMILY CHARITABLE FOUNDATION"|"1267394"|"352314.0000"|"347029.0000"|"17351.0000"
"04-3493858"|"THE BETE FAMILY FOUNDATION"|"1267395"|"1138114.0000"|"1121042.0000"|"56052.0000"
"04-3494212"|"LAWRENCE & SUSAN DANIELS FAMILY FOUNDATION"|"1267396"|"894031.0000"|"880621.0000"|"44031.0000"
"04-3501266"|"THE THOMPSON FOSTER STREET FOUNDATION INC"|"1267397"|"1416665.0000"|"1395415.0000"|"69771.0000"
"04-3504566"|"SUMMER STAR FOUNDATION FOR NATURE, ART AND HUMANITY INC."|"1267398"|"1222281.0000"|"1203947.0000"|"60197.0000"
"04-3521246"|"MIDDLESEX SAVINGS CHARITABLE FOUNDATION, INC."|"1267399"|"7071323.0000"|"6965253.0000"|"348263.0000"
"04-3538396"|"CLINTON SAVINGS CHARITABLE FOUNDATION, INC."|"1267401"|"145667.0000"|"143482.0000"|"7174.0000"
"04-3540155"|"MARIANNE J H WITHERBY FOUNDATION"|"1267402"|"980276.0000"|"965572.0000"|"48279.0000"
"04-3541560"|"THE GOODTREE/GORDON CHARITABLE FOUNDATION"|"1267403"|"1186013.0000"|"1168223.0000"|"58411.0000"
"04-3541593"|"THE DOWNS FOUNDATION"|"1267404"|"329507.0000"|"324564.0000"|"16228.0000"
"04-3541595"|"THE SHAPIRO FOUNDATION"|"1267405"|"37562838.0000"|"36999395.0000"|"1849970.0000"
"04-3542759"|"The Downey Family Charitable Foundation"|"1267406"|"2353861.0000"|"2318553.0000"|"115928.0000"
"04-3542811"|"THE TIEDEMANN FOUNDATION"|"1267407"|"719165.0000"|"708378.0000"|"35419.0000"
"04-3546250"|"/THE DONNA ANNE POULACK FOUNDATION"|"1267408"|"2779193.0000"|"2737505.0000"|"136875.0000"
"04-3551989"|"BARBARA DELINSKY CHARITABLE FOUNDATION"|"1267409"|"85549.0000"|"84266.0000"|"4213.0000"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"1267411"|"7004330.0000"|"6899265.0000"|"344963.0000"
"04-3567545"|"THE CRAWFORD FOUNDATION 23-10371"|"1267412"|"1974935.0000"|"1945311.0000"|"97266.0000"
"04-3569828"|"HALL FAMILY FOUNDATION"|"1267413"|"37042.0000"|"36486.0000"|"1824.0000"
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"1267414"|"1162621.0000"|"1145182.0000"|"57259.0000"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"1267415"|"63668296.0000"|"62713272.0000"|"3135664.0000"
"04-3593793"|"THE BORDUI FOUNDATION"|"1267417"|"435034.0000"|"428508.0000"|"21425.0000"
"04-3619072"|"JILL & DAVID KRISCHER FAMILY FOUNDATION, INC."|"1267419"|"1021825.0000"|"1006498.0000"|"50325.0000"
"04-3619796"|"THE J. FREUNARD KIM FOUNDATION"|"1267420"|"621533.0000"|"612210.0000"|"30611.0000"
"04-3700494"|"THE DANKIS CHRISTIAN FOUNDATION, INC."|"1267421"|"0.0000"|"2449533.0000"|"122477.0000"
"04-3729982"|"THE PAUL D. WASSEROTT FOUNDATION"|"1267422"|"3432745.0000"|"3381254.0000"|"169063.0000"
"04-3801691"|"EISZNER FAMILY FOUNDATION"|"1267423"|"2770018.0000"|"2728468.0000"|"136423.0000"
"04-6009552"|"DANIEL W FIELD TRUST"|"1267425"|"9135730.0000"|"8998694.0000"|"449935.0000"
"04-6009559"|"IDA S CHARLTON CHARITY FD U/A"|"1267426"|"16565594.0000"|"16317110.0000"|"815856.0000"
"04-6009796"|"ERVANT SERPOSS T/U/W"|"1267427"|"2825063.0000"|"2782687.0000"|"139134.0000"
"04-6010055"|"JOHN CIFRINO TRUST"|"1267428"|"2822.0000"|"2779713.0000"|"138986.0000"
