"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DISTRIBUTABLE_AMOUNT"|"DIST_MIN_INVEST_RETURN"|"DIST_INVEST_INC_TAX"|"DIST_INC_TAX"|"DIST_INV_INC_TAX"|"DIST_BEFORE_ADJ"|"DIST_RECOV"|"DIST_BEFORE_ADJ_RECOV"|"DIST_DEDUCT"
"04-2103755"|"CHARLESBANK HOMES"|"588012"|"751071.0000"|""|""|""|""|""|""|""|""
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"588013"|"239382.0000"|""|""|""|""|""|""|""|""
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"|"885301.0000"|""|""|""|""|""|""|""|""
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"588015"|"107073.0000"|""|""|""|""|""|""|""|""
"01-0705471"|"THE NORWOOD FOUNDATION"|"588413"|"173.0000"|""|""|""|""|""|""|""|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"588415"|"20510.0000"|""|""|""|""|""|""|""|""
"04-2104291"|"Humane Society of the Communwalth of MA"|"588417"|"210796.0000"|""|""|""|""|""|""|""|""
"04-6420685"|"CONSTANCE KILLAM TRUST U/W #0714865"|"588418"|"171143.0000"|""|""|""|""|""|""|""|""
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"589195"|"60041.0000"|""|""|""|""|""|""|""|""
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"589196"|"22399.0000"|""|""|""|""|""|""|""|""
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"589197"|"201440.0000"|""|""|""|""|""|""|""|""
"01-0514859"|"THE OLD BUG LIGHT CHARITABLE FOUNDATION"|"590191"|"99777.0000"|""|""|""|""|""|""|""|""
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"590192"|"145388.0000"|""|""|""|""|""|""|""|""
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"590198"|"150360.0000"|""|""|""|""|""|""|""|""
"04-6382377"|"Mary Elizabeth Pearce Foundation Tr."|"590199"|"593445.0000"|""|""|""|""|""|""|""|""
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"590733"|"15109.0000"|""|""|""|""|""|""|""|""
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"605546"|"22809.0000"|""|""|""|""|""|""|""|""
"02-6004800"|"ARTHUR H BRITTON TR U/W 360097018"|"605547"|"103595.0000"|""|""|""|""|""|""|""|""
"04-2103910"|"BOSTON CENTER FOR BLIND CHILDREN INC"|"605548"|"204650.0000"|""|""|""|""|""|""|""|""
"01-0523143"|"OXFORD HILLS SCHOLARSHIP FOUNDATION 686792011"|"607597"|"247487.0000"|""|""|""|""|""|""|""|""
"02-0534424"|"THE MICHAEL & HELEN SCHAFFER FOUNDATION"|"607598"|"502109.0000"|""|""|""|""|""|""|""|""
"02-6012645"|"DEERING FOUNDATION, INC."|"607599"|"32516.0000"|""|""|""|""|""|""|""|""
"02-6058742"|"BENJAMIN S COHEN TRUST U/W 361722010"|"607600"|"71895.0000"|""|""|""|""|""|""|""|""
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|"607602"|"31715.0000"|""|""|""|""|""|""|""|""
"04-2714929"|"WILLIAM HAROLD FRANCIS AUSTIN TRUST U/W EASTERN BANK, TRUSTEE"|"607603"|"48010.0000"|""|""|""|""|""|""|""|""
"04-3371560"|"JOHN A. MCNEICE, JR. CHARITABLE FOUNDATION"|"607605"|"244903.0000"|""|""|""|""|""|""|""|""
"04-3417222"|"ARCHIBALD FAMILY FOUNDATION"|"607606"|"169759.0000"|""|""|""|""|""|""|""|""
"04-3663738"|"DONALD D. ROGERS FOUNDATION INC."|"607607"|"10352.0000"|""|""|""|""|""|""|""|""
"04-6049261"|"THE JEFFE FOUNDATION"|"607609"|"31299.0000"|""|""|""|""|""|""|""|""
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"607611"|"55209.0000"|""|""|""|""|""|""|""|""
"04-6111827"|"TR UW G GORHAM PETERS 7567 7552007373"|"607612"|"762196.0000"|""|""|""|""|""|""|""|""
"04-6555836"|"MANUEL, VIOLA G. TRUST 42C081017"|"607613"|"21180.0000"|""|""|""|""|""|""|""|""
"04-6864140"|"CATHERINE HAWKINS FOUNDATION T PECKHAM, ESQ & E TAYLOR, TTEES"|"607615"|"268026.0000"|""|""|""|""|""|""|""|""
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOFSKA, TRUSTEES"|"607616"|"55528.0000"|""|""|""|""|""|""|""|""
"01-6007504"|"JOHN W MANSON TRUST"|"609898"|"69571.0000"|""|""|""|""|""|""|""|""
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|"609900"|"131.0000"|""|""|""|""|""|""|""|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"611079"|"28098.0000"|""|""|""|""|""|""|""|""
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10-101230022680"|"611080"|"107301.0000"|""|""|""|""|""|""|""|""
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|"611081"|"28265.0000"|""|""|""|""|""|""|""|""
"02-6004792"|"TRUST U/W HERBERT G ABBOT 360090013"|"611085"|"78187.0000"|""|""|""|""|""|""|""|""
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"611086"|"94622.0000"|""|""|""|""|""|""|""|""
"03-0473333"|"JEROME A. YAVITZ CHARITABLE FOUNDATION INC"|"611088"|"865917.0000"|""|""|""|""|""|""|""|""
"04-2104430"|"SAILORS' SNUG HARBOR OF BOSTON, INC."|"611089"|"338530.0000"|""|""|""|""|""|""|""|""
"04-2121771"|"Newburyport Society for the Relief of Aged Women, Inc."|"611090"|"155698.0000"|""|""|""|""|""|""|""|""
"04-2399760"|"THE TJX FOUNDATION, INC."|"611091"|"1199415.0000"|""|""|""|""|""|""|""|""
"04-2613244"|"JAMES G MARTIN MEMORIAL TRUST"|"611092"|"114353.0000"|""|""|""|""|""|""|""|""
"04-3292646"|"Information Research Foundation"|"611093"|""|""|""|""|""|""|""|""|""
"04-3538929"|"BEN E FACTORS FOUNDATION 7665-7560016259"|"611094"|"57308.0000"|""|""|""|""|""|""|""|""
"04-6015548"|"MYRON L. FULLER TRUST"|"611095"|"270518.0000"|""|""|""|""|""|""|""|""
"04-6026880"|"The Nichols Trust"|"611096"|"85325.0000"|""|""|""|""|""|""|""|""
"04-6038982"|"TR U/W OF ETHEL H BRADLEY"|"611097"|"32163.0000"|""|""|""|""|""|""|""|""
"04-6047689"|"JOHN M THORNE AND ETHEL C THORNE FOUNDATION INC"|"611098"|"0.0000"|""|""|""|""|""|""|""|""
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"611099"|"19011.0000"|""|""|""|""|""|""|""|""
"04-6504871"|"DORIS L. BENZ TRUST"|"611100"|"403101.0000"|""|""|""|""|""|""|""|""
"04-6599655"|"HATHAWAY MEMORIAL CHARIT TR"|"611101"|"85481.0000"|""|""|""|""|""|""|""|""
"04-6773530"|"WILSON FAMILY FOUNDATION"|"611102"|"46783.0000"|""|""|""|""|""|""|""|""
"04-6822881"|"ALTURAS ENDOWMENT"|"611103"|"104368.0000"|""|""|""|""|""|""|""|""
"04-3382001"|"SOMERVILLE HEALTH FOUNDATION INC"|"611535"|"28983.0000"|""|""|""|""|""|""|""|""
"03-6087553"|"HELEN P. LEFEVRE CHARITABLE TRUST"|"611995"|"92746.0000"|""|""|""|""|""|""|""|""
"04-3528464"|"THE JOHANNA K AND JEFFREY T BLACK FOUNDATION"|"611996"|"77539.0000"|""|""|""|""|""|""|""|""
"04-6191561"|"TRASK JOSPHINE B IRR TR DTD 7/24/68"|"612195"|"83514.0000"|""|""|""|""|""|""|""|""
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY FOR 10 -101160016280"|"613604"|"29339.0000"|""|""|""|""|""|""|""|""
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|"613605"|"913.0000"|""|""|""|""|""|""|""|""
"02-6008379"|"THE GREENSPAN FOUNDATION"|"613606"|"116654.0000"|""|""|""|""|""|""|""|""
"04-2103796"|"HOWARD HOME TRUSTEES HOME FOR AGED MEN BROCKTON"|"613608"|"231171.0000"|""|""|""|""|""|""|""|""
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"613609"|""|""|""|""|""|""|""|""|""
"04-3466878"|"RCB CHARITABLE FOUNDATION, INC."|"613610"|"15466.0000"|""|""|""|""|""|""|""|""
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"613611"|"124238.0000"|""|""|""|""|""|""|""|""
"04-6837671"|"THE BOPP FAMILY CHARITABLE TRUST"|"613612"|"10674.0000"|""|""|""|""|""|""|""|""
"01-0463183"|"Schiavi Family Foundation"|"614035"|"130355.0000"|""|""|""|""|""|""|""|""
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"614036"|"19001.0000"|""|""|""|""|""|""|""|""
"04-6019494"|"NELLA M GRIMM FOX FOUNDATION"|"614038"|"521100.0000"|""|""|""|""|""|""|""|""
"01-6180488"|"FRANCIS J & ELIZABETH BRISSON MACKSEY CHARITABLE TRUST"|"614221"|"116967.0000"|""|""|""|""|""|""|""|""
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"614222"|"66439.0000"|""|""|""|""|""|""|""|""
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION #1030064973"|"614889"|"43212.0000"|""|""|""|""|""|""|""|""
"04-6029322"|"GEORGE W. HATHWAY TR U/D"|"615766"|"75297.0000"|""|""|""|""|""|""|""|""
"04-6051719"|"CLYDE PARK CHARITABLE FOUNDATION"|"615767"|"24716.0000"|""|""|""|""|""|""|""|""
"02-6142736"|"STERZING MEMORIAL SCHOLARSHIP FUND"|"616242"|"42906.0000"|""|""|""|""|""|""|""|""
"04-3435338"|"FLORENCE E SEELEY EDUCATION FDTN+"|"616243"|"213471.0000"|""|""|""|""|""|""|""|""
"04-3566439"|"BERKSHIRE LIFE CHARITABLE FOUNDATION"|"616244"|"106387.0000"|""|""|""|""|""|""|""|""
"04-6050139"|"FP Worthen Foundation"|"616245"|"54538.0000"|""|""|""|""|""|""|""|""
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN 2012168"|"616246"|"116212.0000"|""|""|""|""|""|""|""|""
"02-0310404"|"Gilman Home Inc."|"631570"|"7524.0000"|""|""|""|""|""|""|""|""
"04-3294711"|"THE MARTIN & DEBORAH HALE FOUNDATION"|"631636"|"215729.0000"|""|""|""|""|""|""|""|""
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"631639"|"88516.0000"|""|""|""|""|""|""|""|""
"04-3494605"|"SYMES FAMILY CHARITABLE FOUNDATION"|"631642"|"116763.0000"|""|""|""|""|""|""|""|""
"04-6014010"|"SHOLLEY FOUNDATION"|"631648"|"94898.0000"|""|""|""|""|""|""|""|""
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"631649"|"173305.0000"|""|""|""|""|""|""|""|""
"04-6720803"|"HARPLEY FOUNDATION"|"631650"|"43533.0000"|""|""|""|""|""|""|""|""
"03-6088605"|"FRANK & ELLEN COBB MEMORIAL SCHOLARS"|"633337"|"87291.0000"|""|""|""|""|""|""|""|""
"04-3254104"|"FREDERICK O.J. MUZI FOUNDATION"|"633339"|"474.0000"|""|""|""|""|""|""|""|""
"01-0782316"|"THE HERITAGE FUND, INC."|"646408"|"70443.0000"|""|""|""|""|""|""|""|""
"01-6008813"|"FRED W SANBORN TRUST U/PAR 5 10 -101200038080"|"646410"|"68581.0000"|""|""|""|""|""|""|""|""
"02-0787615"|"CALABAR FOUNDATION"|"646412"|"61989.0000"|""|""|""|""|""|""|""|""
"02-6106324"|"ALLAN B. ROBY & FRANCES M. ROBY CHARITABLE TRUST"|"646413"|"165105.0000"|""|""|""|""|""|""|""|""
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"646420"|"93561.0000"|""|""|""|""|""|""|""|""
"01-6017314"|"SYLVIA E ROSS TRUST"|"647220"|"306028.0000"|""|""|""|""|""|""|""|""
"02-0471515"|"LYMAN FUND INC"|"647222"|"34198.0000"|""|""|""|""|""|""|""|""
"03-0323120"|"THE MORRIS & BESSIE ALTMAN FOUNDATION"|"647224"|"99269.0000"|""|""|""|""|""|""|""|""
"03-6009912"|"General Educational Fund, Inc."|"647225"|"1393631.0000"|""|""|""|""|""|""|""|""
"04-1611615"|"MEMORIAL FOUNDATION FOR THE BLIND INC"|"647227"|"173311.0000"|""|""|""|""|""|""|""|""
"04-3582018"|"BROOKS FAMILY FOUNDATION"|"647231"|"521822.0000"|""|""|""|""|""|""|""|""
"04-6024320"|"TTEE U/W OF L. GILBERT FBO LANE HOSP"|"647232"|"270190.0000"|""|""|""|""|""|""|""|""
"04-6044620"|"EASTERN CHARITABLE FOUNDATION"|"647233"|"54655.0000"|""|""|""|""|""|""|""|""
"04-6609917"|"THE KELSEY TRUST"|"647235"|"203161.0000"|""|""|""|""|""|""|""|""
"01-0546133"|"NARRAGANSETT NUMBER ONE FOUNDATION"|"649018"|"299125.0000"|""|""|""|""|""|""|""|""
"01-6072828"|"TM GOODALL, MW GOODALL & RG PITSTICK TRUST F/B/O HD GOODALL HOSPITAL"|"649020"|"81232.0000"|""|""|""|""|""|""|""|""
"03-6003333"|"FRANCES HICKS MEMORIAL FUND"|"649021"|"25096.0000"|""|""|""|""|""|""|""|""
"04-6061028"|"THE UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|"649023"|"153121.0000"|""|""|""|""|""|""|""|""
"04-6112830"|"FRANK H BEEBE FUND FOR MUSICIANS"|"649025"|"66508.0000"|""|""|""|""|""|""|""|""
"03-0179429"|"THOMPSON TRUST"|"649561"|"597006.0000"|""|""|""|""|""|""|""|""
"04-6024733"|"TTEE U/W OF CLARK HARWOOD"|"649563"|"104911.0000"|""|""|""|""|""|""|""|""
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|"649564"|"79267.0000"|""|""|""|""|""|""|""|""
"04-3226725"|"KARP FAMILY FOUNDATION, STEPHEN R. AND JILL E. KARP, TRUSTEES"|"650862"|"349054.0000"|""|""|""|""|""|""|""|""
"02-6051741"|"HENRY C LORD SCHOLARSHIP FD 3035010332"|"651712"|"549208.0000"|""|""|""|""|""|""|""|""
"04-2593846"|"CENTER FOR NUTRITIONAL RESEARCH CHARITABLE TRUST"|"651713"|"439113.0000"|""|""|""|""|""|""|""|""
"04-2683042"|"PerkinElmer Foundation"|"651714"|"361638.0000"|""|""|""|""|""|""|""|""
"04-3064835"|"THE VIYU FOUNDATION"|"651715"|"65448.0000"|""|""|""|""|""|""|""|""
"04-3321452"|"THE RICHARD ERIC ROSENBERG FOUNDATION, INC."|"651716"|"10142.0000"|""|""|""|""|""|""|""|""
"04-3371941"|"Messler Family Foundation"|"651717"|"120457.0000"|""|""|""|""|""|""|""|""
"04-3424945"|"THE BIBER FOUNDATION"|"651718"|"202512.0000"|""|""|""|""|""|""|""|""
"04-6384141"|"HELENA W HUNT TRUST UA ARTICLE 11"|"651721"|"17727.0000"|""|""|""|""|""|""|""|""
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"651722"|"139772.0000"|""|""|""|""|""|""|""|""
"01-6006945"|"MARION G MARLAND TR U/A FBO HENRIETTA D GOODALL HOSPITAL, INC"|"652083"|"193276.0000"|""|""|""|""|""|""|""|""
"04-2133244"|"THE FREDERICK E WEBER CHARITIES CORP"|"652085"|"96680.0000"|""|""|""|""|""|""|""|""
"04-6008242"|"J F & W S SCHOELLKOPF FDN BANK OF AMERICA"|"652086"|"412591.0000"|""|""|""|""|""|""|""|""
"04-6057931"|"TRUST U/W HENRY FARNAM LINDA S. DALBY ET AL TRUSTEES"|"652088"|"16448.0000"|""|""|""|""|""|""|""|""
"03-0469046"|"WAGNER AGAPE FOUNDATION"|"652300"|"97096.0000"|""|""|""|""|""|""|""|""
"04-2133252"|"Hopedale Community House Inc"|"652301"|""|""|""|""|""|""|""|""|""
"04-3391146"|"EDWARD & ANTOINETTE BANA HURST FLEET NATN'L BANK"|"652302"|"72269.0000"|""|""|""|""|""|""|""|""
"04-6223350"|"GEORGE & BEATRICE SHERMAN FAMILY CHARITABLE TRUST"|"652303"|"81139.0000"|""|""|""|""|""|""|""|""
"04-6508843"|"TTEE U/W OF AMANDA BESSE"|"652304"|"68220.0000"|""|""|""|""|""|""|""|""
"02-0222149"|"TAYLOR COMMUNITY"|"652820"|""|""|""|""|""|""|""|""|""
"02-6134751"|"MARY DALY MACFARLAND FOUNDATION"|"652822"|"87709.0000"|""|""|""|""|""|""|""|""
"04-2761754"|"THE WHITE FUND, INC."|"652825"|"55962.0000"|""|""|""|""|""|""|""|""
"04-6026051"|"CAROLINE FABENS-APPTD FD U/W"|"652827"|"201598.0000"|""|""|""|""|""|""|""|""
"04-6093554"|"LEIGHTON EDWARD K TR U/WILL"|"652828"|"207317.0000"|""|""|""|""|""|""|""|""
"04-6418554"|"BETSEY W. TABER TU/U/W+"|"652829"|"26131.0000"|""|""|""|""|""|""|""|""
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|"652830"|"210272.0000"|""|""|""|""|""|""|""|""
"01-0441158"|"HAWKES SCHOLARSHIP FUND 10 - 101160367540"|"653586"|"58368.0000"|""|""|""|""|""|""|""|""
"02-6021464"|"ABBIE M GRIFFIN HOSPITAL FUND"|"653588"|"16527.0000"|""|""|""|""|""|""|""|""
"02-6021465"|"ABBIE M GRIFFIN MEMORIAL FUND"|"653589"|"16538.0000"|""|""|""|""|""|""|""|""
"02-6086871"|"THE STANNARD & DOROTHY DUNN CHARITABLE TRUST"|"653590"|"249449.0000"|""|""|""|""|""|""|""|""
"03-0569654"|"THE HIGGINS FAMILY CHARITABLE FOUNDATION"|"653591"|"521344.0000"|""|""|""|""|""|""|""|""
"04-2105771"|"THE LOWELL INSTITUTE"|"653592"|"1865696.0000"|""|""|""|""|""|""|""|""
"04-2700063"|"TAPPER CHARITABLE FOUNDATION"|"653593"|"177298.0000"|""|""|""|""|""|""|""|""
"04-2961763"|"EAST LONGMEADOW ROTARY MEMORIAL SCHOLARSHIP"|"653594"|"12691.0000"|""|""|""|""|""|""|""|""
"04-3425071"|"THE ALCES FOUNDATION 7562-7552012606"|"653595"|"79224.0000"|""|""|""|""|""|""|""|""
"04-6718867"|"KAHN CHARITABLE FOUNDATION"|"653597"|"703367.0000"|""|""|""|""|""|""|""|""
"01-0499178"|"Brook Family Foundation"|"655097"|"93309.0000"|""|""|""|""|""|""|""|""
"02-6005491"|"EDWARD WAGNER & GEORGE HOSSER SCH FUND 3020003262"|"655098"|"261894.0000"|""|""|""|""|""|""|""|""
"03-6089090"|"BONBRIGHT FAMILY FOUNDATION"|"655100"|"47932.0000"|""|""|""|""|""|""|""|""
"03-6103976"|"JEFFREY COOK CHARITABLE TRUST"|"655101"|"131190.0000"|""|""|""|""|""|""|""|""
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"655102"|"187390.0000"|""|""|""|""|""|""|""|""
"04-2944490"|"Mark Miminos Charitable Trust & Foundation"|"655103"|"24646.0000"|""|""|""|""|""|""|""|""
"04-3021374"|"THE SAMUEL HUNTINGTON FUND, INC"|"655105"|"7328.0000"|""|""|""|""|""|""|""|""
"04-3030385"|"RUFFINI CHARITABLE FOUNDATION"|"655106"|"95203.0000"|""|""|""|""|""|""|""|""
