"C_EIN"|"C_Org_Name"|"approved_grant_id"|"XML_DOCUMENT_ID"|"ORGNAME"|"CITY"|"STATE"|"COUNTRY"|"AMOUNT"
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"127997"|"690924"|"ANNA JAQUES HOSPITAL CAPITAL CAMPAIGN"|"NEWBURYPORT"|"MA"|"USA"|"1000000.0000"
"04-2751060"|"BERTRAM A AND RONALD M DRUKER CHARITABLE FOUNDATION"|"129173"|"713933"|"BELMONT HILL SCHOOL"|"BELMONT"|"MA"|"USA"|"600000.0000"
"04-2751060"|"BERTRAM A AND RONALD M DRUKER CHARITABLE FOUNDATION"|"129174"|"713933"|"BUCKINGHAM BROWNE & NICHOLS SCHOOL"|"CAMBRIDGE"|"MA"|"USA"|"58500.0000"
"04-2751060"|"BERTRAM A AND RONALD M DRUKER CHARITABLE FOUNDATION"|"129175"|"713933"|"FRANKLIN & MARSHALL COLLEGE"|"LANCASTER"|"PA"|"USA"|"200000.0000"
"04-2751060"|"BERTRAM A AND RONALD M DRUKER CHARITABLE FOUNDATION"|"129176"|"713933"|"MUSEUM OF FINE ARTS"|"BOSTON"|"MA"|"USA"|"4850000.0000"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"129290"|"716244"|"FY 2011 - GRANT TO FOUNDATION FOR THE CAROLINAS"|"CHARLOTTE"|"NC"|"USA"|"75000.0000"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"129291"|"716244"|"FY 2011 - GRANT TO MINT MUSEUM"|"CHARLOTTE"|"NC"|"USA"|"20000.0000"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"129292"|"716244"|"FY 2012 - GRANT TO FOUNDATION FOR THE CAROLINAS"|"CHARLOTTE"|"NC"|"USA"|"75000.0000"
"01-0561393"|"ROBERT HAYWOOD MORRISON FDN"|"129293"|"716244"|"FY 2013 - GRANT TO FOUNDATION FOR THE CAROLINAS"|"CHARLOTTE"|"NC"|"USA"|"70000.0000"
"04-3356807"|"SOUTH SHORE SAVINGS CHARITABLE FOUNDATION, INC"|"130086"|"734018"|"WORK INC"|"NORTH QUINCY"|"MA"|"USA"|"10000.0000"
"04-3356807"|"SOUTH SHORE SAVINGS CHARITABLE FOUNDATION, INC"|"130087"|"734018"|"SOUTH SHORE HEALTH AND EDUCATION FOUNDATION"|"SOUTH WEYMOUTH"|"MA"|"USA"|"30000.0000"
"04-3466803"|"NORTH EAST ROOFING EDUCATIONAL FOUNDATION, INC."|"130153"|"739258"|"SCHOLARSHIPS (13 RECIPIENTS @ $2,500) - PAID 8/12/11"|""|""|"USA"|"32500.0000"
"04-3343529"|"THE ROBERT F STOICO/FIRSTFED CHARITABLE FOUNDATION"|"130348"|"742233"|"DETAILS UPON REQUEST"|""|""|"USA"|"2430000.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"131332"|"740565"|"CEDAC f/b/o Children's Investment Fund"|""|""|"USA"|"25000.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"131333"|"740565"|"Harvard University Art Museums"|""|""|"USA"|"50000.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"131334"|"740565"|"Museum of Science, Boston"|""|""|"USA"|"60000.0000"
"04-6036446"|"THE CABOT FAMILY CHARITABLE TRUST"|"131335"|"740565"|"North Bennet Street School"|""|""|"USA"|"25000.0000"
"04-3371516"|"AVIDIA CHARITABLE FOUNDATION, INC. FKA HUDSON SAVINGS CHARITABLE FOUNDATION"|"131626"|"758417"|"YMCA OF CENTRAL MA"|"WESTBORO"|"MA"|"USA"|"20000.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"131645"|"760541"|"WBUR"|"BOSTON"|"MA"|"USA"|"5000.0000"
"04-3366804"|"Triton Foundation"|"131689"|"761910"|"Spannocchia Foundation"|"Portland"|"ME"|"USA"|"36350.0000"
"04-3366804"|"Triton Foundation"|"131690"|"761910"|"Spannocchia Foundation"|"Portland"|"ME"|"USA"|"15500.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"132509"|"777775"|"Andrew Braga"|"Hudson"|"MA"|"USA"|"8000.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"132510"|"777775"|"Leigh Casaceli"|"Hudson"|"MA"|"USA"|"8000.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"132511"|"777775"|"Marcelle Durrenberger"|"Hudson"|"MA"|"USA"|"8000.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"132512"|"777775"|"Jaclyn McMahan"|"Hudson"|"MA"|"USA"|"8000.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"132513"|"777775"|"Courtney Swenson"|"Hudson"|"MA"|"USA"|"8000.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"132514"|"777775"|"Dube"|"Hudson"|"MA"|"USA"|"8000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133344"|"706863"|"ALLEGHENY GENERAL HOSPITAL CANCER CENTER"|"PITTSBURGH"|"PA"|"USA"|"219844.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133345"|"706863"|"CITY COLLEGE OF NEW YORK"|"NEW YORK"|"NY"|"USA"|"65620.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133346"|"706863"|"DARTMOUTH"|"HANOVER"|"NH"|"USA"|"57572.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133347"|"706863"|"DUKE UNIVERSITY"|"DURHAM"|"NC"|"USA"|"50000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133348"|"706863"|"GHRI"|"SEATTLE"|"WA"|"USA"|"50000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133349"|"706863"|"HITCHCOCK FOUNDATION"|"LEBANON"|"NH"|"USA"|"50000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133350"|"706863"|"MAINEHEALTH"|"PORTLAND"|"ME"|"USA"|"49685.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133351"|"706863"|"MAYO CLINIC"|"SW ROCHESTER"|"MN"|"USA"|"46943.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133352"|"706863"|"MERCY FOUNDATION"|"DES MOINES"|"IA"|"USA"|"46228.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133353"|"706863"|"MGH"|"BOSTON"|"MA"|"USA"|"46140.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133354"|"706863"|"MGH"|"BOSTON"|"MA"|"USA"|"43875.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133355"|"706863"|"MGH"|"BOSTON"|"MA"|"USA"|"38598.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133356"|"706863"|"MGH"|"BOSTON"|"MA"|"USA"|"37484.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133357"|"706863"|"OREGON HEALTH SCIENCE UNIVERSITY"|"PORTLAND"|"OR"|"USA"|"31586.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133358"|"706863"|"PALO ALTO MEDICAL FOUNDATION"|"PALO ALTO"|"CA"|"USA"|"25923.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133359"|"706863"|"PALO ALTO MEDICAL FOUNDATION"|"PALO ALTO"|"CA"|"USA"|"25291.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133360"|"706863"|"PAMFRI"|"PALO ALTO"|"CA"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133361"|"706863"|"STILLWATER MEDICAL CENTER"|"STILLWATER"|"MN"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133362"|"706863"|"UCSF"|"SAN FRANCISCO"|"CA"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133363"|"706863"|"UCSF"|"SAN FRANCISCO"|"CA"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133364"|"706863"|"UNC"|"CHAPEL HILL"|"NC"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133365"|"706863"|"UNC - CHAPEL HILL"|"CHAPEL HILL"|"NC"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133366"|"706863"|"UNIVERSITY OF CHICAGO"|"CHICAGO"|"IL"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133367"|"706863"|"UNIVERSITY OF CHICAGO"|"CHICAGO"|"IL"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133368"|"706863"|"UNIVERSITY OF MICHIGAN"|"ANN ARBOR"|"MI"|"USA"|"25000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133369"|"706863"|"UNIVERSITY OF SYDNEY"|""|""|"AUSTRALIA"|"24947.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133370"|"706863"|"UNIVERSITY OF TEXAS"|"HOUSTON"|"TX"|"USA"|"24945.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133371"|"706863"|"UNIVERSITY OF TEXAS"|"HOUSTON"|"TX"|"USA"|"24937.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133372"|"706863"|"UNIVERSITY OF TEXAS"|"HOUSTON"|"TX"|"USA"|"24385.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133373"|"706863"|"UNIVERSITY OF WASHINGTON"|"CHICAGO"|"IL"|"USA"|"24221.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133374"|"706863"|"VETERANS EDUCATION & RESEARCH ASSOCIATION VA"|"ANN ARBOR"|"MI"|"USA"|"23125.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133375"|"706863"|"VIRGINIA COMMONWEALTH UNIVERSITY"|"RICHMOND"|"VA"|"USA"|"20347.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133376"|"706863"|"VU UNIVERSITY MEDICAL CENTER"|""|""|"THE NETHERLANDS"|"18754.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133377"|"706863"|"WEILL CORNELL MEDICAL COLLEGE"|"NEW YORK"|"NY"|"USA"|"16250.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133378"|"706863"|"WICHITA STATE UNIVERSITY"|"WICHITA"|"KS"|"USA"|"14920.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133379"|"706863"|"WICHITA STATE UNIVERSITY"|"WICHITA"|"KS"|"USA"|"14781.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133380"|"706863"|"WORKERS COMPENSATION RESEARCH INSTITUTE"|"CAMBRIDGE"|"MA"|"USA"|"8388.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"133381"|"706863"|"YALE"|"NEW HAVEN"|"CT"|"USA"|"7800.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"133822"|"713915"|"THE UPPER ROOM EDUCATION FOR PARENTING"|"DERRY"|"NH"|"USA"|"15000.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"133823"|"713915"|"GREATER DERRY COMMUNITY HEALTH SERVICES"|"DERRY"|"NH"|"USA"|"105000.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"133824"|"713915"|"GREATER DERRY COMMUNITY HEALTH SERVICES"|"DERRY"|"NH"|"USA"|"35000.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"133825"|"713915"|"GREATER DERRY ORAL HEALTH COLLABORATIVE"|"DERRY"|"NH"|"USA"|"51436.0000"
"02-0222124"|"ALEXANDER EASTMAN FOUNDATION"|"133826"|"713915"|"PLANNED PARENTHOOD OF NEW ENGLAND"|"DERRY"|"NH"|"USA"|"25000.0000"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|"133979"|"715729"|"Champlan College"|"Chittenden"|""|"USA"|"20000.0000"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|"133980"|"715729"|"Champlan College for Center for Financia Literacy"|"Stalewide"|""|"USA"|"15000.0000"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|"133981"|"715729"|"ECHO ath the Leahy Center for Lake Champlan"|"Chittenden"|""|"USA"|"25000.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133982"|"715737"|"Assabet Valley Collaborative"|"Marlboro"|"MA"|"USA"|"50000.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133983"|"715737"|"BayPath Elder Services, Inc."|"Marlborough"|"MA"|"USA"|"12100.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133984"|"715737"|"Bridgewater State University Foundation"|"Bridgewater"|"MA"|"USA"|"16350.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133985"|"715737"|"Education Development Center, Inc."|"Newton"|"MA"|"USA"|"449997.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133986"|"715737"|"Edward M. Kennedy Community Health Center"|"Worcester"|"MA"|"USA"|"250000.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133987"|"715737"|"Framingham State University"|"Framingham"|"MA"|"USA"|"27888.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133988"|"715737"|"Framingham State University"|"Framingham"|"MA"|"USA"|"9975.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133989"|"715737"|"Franklin Council on Aging"|"Franklin"|"MA"|"USA"|"6687.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133990"|"715737"|"Milford Regional Healthcare Foundation"|"Milford"|"MA"|"USA"|"6000.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133991"|"715737"|"Holliston Public Schools"|"Holliston"|"MA"|"USA"|"39667.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133992"|"715737"|"Hopkinton Public Schools"|"Hopkinton"|"MA"|"USA"|"39667.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133993"|"715737"|"Hudson Public Schools"|"Hudson"|"MA"|"USA"|"39667.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133994"|"715737"|"Jewish Family Service of Metrowest"|"Framingham"|"MA"|"USA"|"12495.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133995"|"715737"|"Health Resources In Action"|"Boston"|"MA"|"USA"|"59682.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133996"|"715737"|"Metropolitan Area Planning Council"|"Boston"|"MA"|"USA"|"69556.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133997"|"715737"|"MetroWest Legal Services, Inc."|"Framingham"|"MA"|"USA"|"79104.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133998"|"715737"|"Natick Public Schools"|"Natick"|"MA"|"USA"|"27998.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"133999"|"715737"|"Natick Public Schools"|"Natick"|"MA"|"USA"|"14250.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134000"|"715737"|"Natick Public Schools"|"Natick"|"MA"|"USA"|"87526.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134001"|"715737"|"Needham Public Schools"|"Needham"|"MA"|"USA"|"39667.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134002"|"715737"|"Olin College of Engineering"|"Needham"|"MA"|"USA"|"40000.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134003"|"715737"|"Springwell, Inc."|"Watertown"|"MA"|"USA"|"12000.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134004"|"715737"|"Town of Natick"|"Natick"|"MA"|"USA"|"32500.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134005"|"715737"|"Town of Northborough"|"Northborough"|"MA"|"USA"|"29539.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134006"|"715737"|"Trustees of Boston University"|"Boston"|"MA"|"USA"|"33931.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"134007"|"715737"|"WalkBoston"|"Boston"|"MA"|"USA"|"21272.0000"
"01-0387404"|"ELMINA B. SEWALL FOUNDATION"|"134892"|"739340"|"TRUSTEES OF TUFTS COLLEGE"|"SOMERVILLE"|"MA"|"USA"|"150000.0000"
"01-0387404"|"ELMINA B. SEWALL FOUNDATION"|"134893"|"739340"|"STEVENS COLLEGE"|"COLUMBIA"|"MO"|"USA"|"75000.0000"
"01-0956020"|"THE MASIMO FOUNDATION FOR ETHICS, INNOVATION AND COMPETITION IN HEALTHCARE"|"135216"|"742156"|"Joint Commission on Accreditation of Healthcare Orgs"|"Oakbrook Terrace"|"IL"|"USA"|"125000.0000"
"04-2687384"|"CLIPPER SHIP FOUNDATION, INC."|"135652"|"762173"|"LOCAL INITATIVES SUPPORT CORPORATION"|""|""|"USA"|"45000.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136358"|"785991"|"AUTISM CONSORTIUM"|"BOSTON"|"MA"|"USA"|"160509.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136359"|"785991"|"BETH ISRAEL DEACONESS MEDICAL CENTER"|"BOSTON"|"MA"|"USA"|"210000.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136360"|"785991"|"BRANDEIS"|"WALTHAM"|"MA"|"USA"|"1000000.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136361"|"785991"|"HAVARD MEDICAL SCHOOL"|"BOSTON"|"MA"|"USA"|"1041648.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136362"|"785991"|"MASSACHUSETTS GENERAL HOSPITAL"|"BOSTON"|"MA"|"USA"|"1366869.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136363"|"785991"|"MASSACHUSETTS GENERAL HOSPITAL"|"BOSTON"|"MA"|"USA"|"150000.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136364"|"785991"|"MASSACHUSETTS INSTITUTE OF TECHNOLOGY"|"CAMBRIDGE"|"MA"|"USA"|"125228.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136365"|"785991"|"CHILDREN'S HOSPITAL OF PHILADELPHIA"|"PHILADELPHIA"|"PA"|"USA"|"563858.0000"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"136366"|"785991"|"MASSACHUSETTS ADVOCATES FOR CHILDREN"|"BOSTON"|"MA"|"USA"|"140000.0000"
"04-6014333"|"THE FRED HARRIS DANIELS FOUNDATION"|"136367"|"786056"|"STRATEGIC GRANTS"|""|""|"USA"|"225000.0000"
"04-6014333"|"THE FRED HARRIS DANIELS FOUNDATION"|"136368"|"786056"|"WORCESTER PUBLIC INSTITUTE"|""|""|"USA"|"100000.0000"
"04-6014333"|"THE FRED HARRIS DANIELS FOUNDATION"|"136369"|"786056"|"AMERICAN ANTIQUARIAN SOCIETY"|""|""|"USA"|"300000.0000"
"04-6014333"|"THE FRED HARRIS DANIELS FOUNDATION"|"136370"|"786056"|"WORCESTER ART MUSEUM"|""|""|"USA"|"300000.0000"
"04-6014333"|"THE FRED HARRIS DANIELS FOUNDATION"|"136371"|"786056"|"WORCESTER ACADEMY"|""|""|"USA"|"450000.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"136390"|"733096"|"Rockingham Community Action"|""|""|"USA"|"7500.0000"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"136391"|"733096"|"Mark Wentworth Home"|""|""|"USA"|"5000.0000"
"04-6017426"|"A.C. RATSHESKY FOUNDATION"|"136395"|"758432"|"Chelsea Education Foundation"|""|""|"USA"|"6000.0000"
