"C_EIN"|"C_Org_Name"|"CONTRACTOR_ID"|"XML_DOCUMENT_ID"|"CONTR_NAME"|"CONTR_STREET"|"CONTR_CITY"|"CONTR_STATE"|"CONTR_COUNTRY"|"CONTR_ZIP"|"CONTR_SERVICE"|"CONTR_COMP"
"04-3739441"|"THE PROVIDENT BANK FOUNDATION"|"125"|"1260962"|"KQL CONSULTING, LLC"|"7 MILLAY COURT"|"LEDGEWOOD"|"NJ"|"USA"|"07852"|"CONSULTING"|"120000.0000"
"04-3739441"|"THE PROVIDENT BANK FOUNDATION"|"126"|"1260962"|"PROVIDENT BANK"|"100 WOOD AVENUE SOUTH"|"ISELIN"|"NJ"|"USA"|"08830"|"CONSULTING"|"139983.0000"
"04-3412829"|"THE POSS FAMILY FOUNDATION"|"173"|"1260990"|"ATLANTIC TRUST COMPANY, N.A."|"100 FEDERAL STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVISORS"|"65561.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"174"|"1260991"|"ROPES & GRAY LLP"|"ONE INTERNATIONAL PLACE"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVISORY"|"309246.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"175"|"1260991"|"BARCLAYS WEALTH MANAGEMENT"|"125 HIGH STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVISORY"|"97280.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"176"|"1260991"|"FMI CORPORATION"|"5171 GLENWOOD AVE #200"|"RALEIGH"|"NC"|"USA"|"27612"|"INVESTMENT ADVISORY"|"80036.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"177"|"1260991"|"BOLTON GLOBAL CAPITAL"|"579 MAIN STREET"|"BOLTON"|"MA"|"USA"|"01740"|"INVESTMENT ADVISORY"|"79738.0000"
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS"|"178"|"1260991"|"WELLINGTON MANAGEMENT"|"280 CONGRESS ST"|"BOSTON"|"MA"|"USA"|"02210"|"INVESTMENT ADVISORY"|"51925.0000"
"02-0595263"|"GOULD FAMILY FOUNDATION"|"211"|"1267262"|"LEGG MASON INVESTMENT COUNSEL"|"640 FIFTH AVE"|"NEW YORK"|"NY"|"USA"|"10019"|"INVEST. MGT"|"113628.0000"
"02-6004971"|"AGNES M. LINDSAY TRUST"|"212"|"1267272"|"GOLDMAN SACHS & CO."|"125 HIGH STREET, 17TH FLOOR"|"BOSTON"|"MA"|"USA"|"02110-2704"|"BROKER"|"132551.0000"
"03-0536676"|"THE V & L MARX FOUNDATION"|"213"|"1267309"|"LEVY, HARKINS & CO, INC"|"366 MADISON AVE 14TH FLOOR"|"NEW YORK"|"NY"|"USA"|"10017"|"INVESTMENT ADVISORY"|"55804.0000"
"04-2767890"|"HELEN AND GEORGE LADD CHARITABLE CORPORATION #0720995"|"214"|"1267340"|"NUTTER, MCCLENNEN&FISH, LLP"|"SEAPORT WEST 155 SEAPORT BLVD"|"BOSTON"|"MA"|"USA"|"02210"|"TRUSTEE, LEGAL & TAX PREPARATION FEES"|"76104.0000"
"04-2946393"|"Sprague Foundation Inc."|"215"|"1267342"|"Fiduciary Trust International"|"600 Fifth Ave"|"NY"|"NY"|"USA"|"10020"|"Financial Custodian"|"13567.0000"
"04-2946393"|"Sprague Foundation Inc."|"216"|"1267342"|"Henry Bratcher"|"55 Bacon St."|"Natick"|"MA"|"USA"|"01760"|"Tax preparation"|"650.0000"
"04-3489966"|"THE FRANCES LEAR FOUNDATION"|"217"|"1267390"|"CAPITAL GUARDIAN TRUST COMPANY"|"C/O PIMTAX, 6455 IRVINE CENTER DR, C-2B"|"IRVINE"|"CA"|"USA"|"92618"|"INVESTMENT ADVISORY"|"80901.0000"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"218"|"1267411"|"NUTTER MCCLENNEN & FISH LLP"|"155 SEAPORT BLVD"|"BOSTON"|"MA"|"USA"|"02210"|"INVESTMENT/LEGAL/TAX SERVICES"|"107414.0000"
"04-6036659"|"JOSEPH L. SWEENEY CHARITABLE FOUNDATION"|"219"|"1267498"|"Glynn&Glynn"|"10 Union Street"|"Natick"|"MA"|"USA"|"01760"|"Trustee/Investment Advisory Fee"|"6700.0000"
"04-6125734"|"THE CARRICK FOUNDATION MICHAEL BROCKELMAN ET. AL. TRUSTEES 21045000073"|"220"|"1267544"|"BOWDITCH & DEWEY, LLP"|""|"WORCESTER"|"MA"|"USA"|""|"4326"|""
"04-6144732"|"ANNA B. STEARNS CHARITABLE FOUNDATION, INC."|"221"|"1267551"|"GRANTS MANAGEMENT"|"77 Summer St 8th Floor"|"BOSTON"|"MA"|"USA"|"02110-1006"|"GRANT MAKING SERVICE"|"83784.0000"
"04-6834092"|"BECTON FAMILY FOUNDATION JUSTIN W. HEATTER, TRUSTEE"|"223"|"1267622"|"John A. Adams, CPA"|"20 Main Street"|"Natick"|"MA"|"USA"|"01760"|"Tax & Accounting"|"3175.0000"
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"493"|"1275459"|"US TRUST"|"225 FRANKLIN STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT SERVICES"|"84198.0000"
"04-2680399"|"RESTORATION HOUSING CORPORATION"|"498"|"1291099"|"S-C MANAGEMENT COMPANY"|"TWO BROOKLINE PLACE SUITE 206"|"BROOKLINE"|"MA"|"USA"|"02445"|"PROPERTY MANAGEMENT"|"0.0000"
"04-3365869"|"BERKSHIRE BANK FOUNDATION, INC."|"499"|"1291100"|"BERKSHIRE BANK, INC."|"P.O. BOX 1308"|"PITTSFIELD"|"MA"|"USA"|"01202"|"CUSTODIAL / ADVISOR"|"275934.0000"
"01-0535144"|"Maine Health Access Foundation, Inc."|"517"|"1291476"|"Prime Buchholz & Associates"|"40 Pleasant Street"|"Portsmouth"|"NH"|"USA"|"03801"|"Investment advisory"|"60094.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"518"|"1291479"|"PHARMOPTIMA, LLC"|"6710 QUALITY WAY"|"PORTAGE"|"MI"|"USA"|"49002"|"MEDICAL RESEARCH"|"677922.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"519"|"1291479"|"PSYCHOGENICS INC."|"765 OLD SAW MILL ROAD"|"TARRYTOWN"|"NY"|"USA"|"10591"|"MEDICAL RESEARCH"|"189685.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"520"|"1291479"|"MYRIAD - RBM"|"3300 DUVAL RD STE 110"|"AUSTIN"|"TX"|"USA"|"78759"|"MEDICAL RESEARCH"|"112619.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"521"|"1291479"|"JACKSON LABORATORY"|"600 MAIN ST"|"BAR HARBOR"|"ME"|"USA"|"04609"|"MEDICAL RESEARCH"|"92671.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"522"|"1291479"|"ENZO LIFE SCIENCES"|"10 EXECUTIVE BLVD"|"FARMINGDALE"|"NY"|"USA"|"11735"|"MEDICAL RESEARCH"|"68875.0000"
"02-0467589"|"THE MARSHALL FUND 4738517"|"523"|"1291481"|"STATE STREET BANK"|""|"BOSTON"|"MA"|"USA"|""|"INVESTMENT MNG & CUS"|""
"04-2236996"|"NATHANIEL & ELIZABETH P. STEVENS FOUNDATION"|"524"|"1291490"|"BROWN BROTHERS HARRIMAN"|"40 WATER STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVICE"|"61905.0000"
"04-2763837"|"THE FLATLEY FOUNDATION"|"525"|"1291491"|"FMC LLC"|"BRAINTREE HILL OFFICE PARK"|"BRAINTREE"|"MA"|"USA"|"02184"|"ADMIN & INVEST MANAGEMENT SVC"|"1054857.0000"
"04-2763837"|"THE FLATLEY FOUNDATION"|"526"|"1291491"|"CLOUGH CAPITAL PARTNERS, L.P."|"260 FRANKLIN ST."|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT MANAGEMENT SVC"|"848094.0000"
"04-3487843"|"PEPPERCORN FOUNDATION"|"527"|"1291502"|"SANVIL CONSULTING"|"13014 N DALE MABRY HWY #366"|"TAMPA"|"FL"|"USA"|"33618"|"GRANTMAKING AND PROGRAM SERVICES"|"150000.0000"
"04-6107991"|"ABBOT & DOROTHY H. STEVENS FOUNDATION"|"528"|"1291511"|"BROWN BROTHERS HARRIMAN"|"40 WATER STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVICE"|"77284.0000"
"04-6752868"|"ARGOSY FOUNDATION"|"529"|"1291517"|"THE BOLLARD GROUP LLC"|"ONE JOY STREET"|"BOSTON"|"MA"|"USA"|"02108"|"ACCOUNTING FEES"|"57009.0000"
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"768"|"1292890"|"MAHONEY FIORENTINO CO PC"|"607 N AVE SUITE 16"|"WAKEFIELD"|"MA"|"USA"|"01880"|"ACCOUNTING"|"4270.0000"
"04-3211653"|"EGAN FAMILY FOUNDATION"|"792"|"1293197"|"CARRUTH MANAGEMENT LLC"|"116 FLANDERS RD, STE 3000"|"WESTBOROUGH"|"MA"|"USA"|"01581"|"BOOKKEEPING, ADMIN. & INVESTMENT"|"177525.0000"
"04-6049529"|"The Grass Foundation"|"793"|"1293208"|"Morgan Stanley"|"28 State Street"|"Boston"|"MA"|"USA"|"02109"|"Investment Management"|"151866.0000"
"04-6049529"|"The Grass Foundation"|"794"|"1293208"|"Foundation Source"|"55 Walls Drive Suite 302"|"Fairfield"|"CT"|"USA"|"06824"|"Administrative"|"68466.0000"
"04-6065605"|"William E Schrafft & Bertha E Schrafft Charitable Trust"|"795"|"1293210"|"Middleton & Co"|"600 Atlantic Avenue"|"Boston"|"MA"|"USA"|"02210"|"Investmeng Advisors"|"86679.0000"
"04-6065605"|"William E Schrafft & Bertha E Schrafft Charitable Trust"|"796"|"1293210"|"Beck Mack & Oliver LLC"|"360 Madison Avenue"|"New York"|"NY"|"USA"|"10017"|"Investmeng Advisors"|"68183.0000"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"933"|"1294401"|"PREFERRED THERAPY SOLUTIONS"|"809 MAIN STREET STE 203"|"EAST HARTFORD"|"CT"|"USA"|"06108"|"REHAB"|"209143.0000"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"934"|"1294401"|"EGA ARCHITECTS"|"ONE VERNON STREET"|"NEWBURYPORT"|"MA"|"USA"|"01950"|"ARCHITECTURAL"|"182025.0000"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"935"|"1294401"|"MORGAN STANLEY SMITH BARNEY"|"775 NORTH STREET STE 402"|"PITTSFIELD"|"MA"|"USA"|"01201"|"INVESTMENT MANAGEMENT"|"57156.0000"
"01-0854918"|"Orcqqia Family Foundation"|"991"|"1300524"|"Jeff Johnson"|"278 Pebble Hill Way"|"Rockledge"|"FL"|"USA"|"32955"|"Investment Advisor"|"110000.0000"
"03-0346513"|"THE ORTON FAMILY FOUNDATION, INC."|"992"|"1300528"|"Placeways, LLC"|"1722 14th Street Suite #150"|"Boulder"|"CO"|"USA"|"80302"|"Software Consulting"|"191667.0000"
"04-2776213"|"NEW ENGLAND BIOLABS FOUNDATION"|"993"|"1300531"|"MORGAN STANLEY SMITH BARNEY"|"1 PENN PLAZA"|"NEW YORK"|"NY"|"USA"|"10001"|"INVESTMENT MANAGEMENT"|"51135.0000"
"04-6038620"|"FLORENCE & ROBERT SPRAGUE FOUNDATION"|"994"|"1300540"|"Henry Bratcher"|""|""|""|"USA"|""|""|"550.0000"
"04-6869215"|"THE DICENSO FAMILY CHARITABLE TRUST"|"995"|"1300545"|"GW&WADE, LLC"|"93 WORCESTER STREET"|"WELLESLEY"|"MA"|"USA"|"02481"|"INVESTMENT MANAGEMENT & TAX PREP"|"4459.0000"
"01-0498551"|"John T. Gorman Foundation"|"1044"|"1301942"|"Cambridge Associates"|"125 High Street"|"Boston"|"MA"|"USA"|"02110"|"Investment Advisory Services"|"306092.0000"
"01-0498551"|"John T. Gorman Foundation"|"1045"|"1301942"|"Northern Trust Company"|"50 South LaSalle Street"|"Chicago"|"IL"|"USA"|"60603"|"Investment Custody Services"|"51997.0000"
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|"1091"|"1302183"|"NORTHERN TRUST"|"50 S LASALLE STREET"|"CHICAGO"|"IL"|"USA"|"60603"|"CUSTODY"|"875.0000"
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|"1092"|"1302184"|"WILMINGTON TRUST COMPANY"|"1100 NORTH MARKET STREET"|"WILMINGTON"|"DE"|"USA"|"19890"|"ASSET MANAGEMENT"|"28336.0000"
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|"1093"|"1302184"|"PATTEN & PATTEN"|"520 LOOKOUT STREET"|"CHATTANOOGA"|"TN"|"USA"|"37403"|"INVESTMENT MANAGEMENT"|"3272.0000"
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|"1094"|"1302184"|"MOODY ALDRICH"|"125 SUMMER STREET, 14TH FLOOR"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT MANAGEMENT"|"1662.0000"
"04-6029004"|"JAMES C MELVIN TRUST UW FRANCIS L COOLIDGE ET AL TRUSTEES"|"1111"|"1304861"|"ROPES & GRAY LLP"|"800 BOYLSTON STREET"|"BOSTON"|"MA"|"USA"|"02199"|"LEGAL & INVESTMENT MANAGEMENT"|"74806.0000"
"04-3467074"|"DE BEAUMONT FOUNDATION INC"|"1134"|"1308174"|"PRIME BUCHHOLZ & ASSOCIATIATES INC"|"273 CORPORATE DRIVE"|"PORTSMOUTH"|"NH"|"USA"|"03801"|"INVESTMENT ADVISORY SERVICES"|"71590.0000"
"04-3467074"|"DE BEAUMONT FOUNDATION INC"|"1135"|"1308174"|"ELIZABETH MILLER"|"47 CONCORD PARK EAST"|"NASHVILLE"|"TN"|"USA"|"37205"|"CONSULTING"|"53716.0000"
"04-2104688"|"Managers of Boston Port and Seamen's Aid Society"|"1211"|"1308786"|"Law Office of Martha R. Bagley, P.C."|"19 North Street"|"Salem"|"MA"|"USA"|"01970"|"Administrative Servcies"|"70242.0000"
"04-2104688"|"Managers of Boston Port and Seamen's Aid Society"|"1212"|"1308786"|"BNY Mellon Financial Center"|"1 Boston Place"|"Boston"|"MA"|"USA"|"02108-4408"|"Investment Service Charge"|"52216.0000"
"02-0649872"|"LAM YAU JONG CHARITABLE FOUNDATION"|"1263"|"1313217"|"SACKS, GLAZIER, FRANKLIN & LODISE LLP"|"350 S GRAND AVE., #3500"|"LOS ANGELES"|"CA"|"USA"|"90071"|"LEGAL SERVICE"|"624149.0000"
"04-3371173"|"LAURING CHARITABLE FOUNDATION"|"1264"|"1313220"|"HOUSSAN & OJERHOLM CPA"|"27 WEST MOUNTAIN STREET"|"WORCESTER"|"MA"|"USA"|"01606"|"TAX RETURN"|"500.0000"
"04-6131201"|"FIDELITY FOUNDATION"|"1327"|"1315885"|"COOPERATIVE PHILANTHROPIC SERVICES"|"11 KEEWAYDIN DR SUITE 100"|"SALEM"|"NH"|"USA"|"03079"|"GRANTS ADMINISTRATION"|"1540218.0000"
"04-6131201"|"FIDELITY FOUNDATION"|"1328"|"1315885"|"STRATEGIC ADVISORS, INC"|"82 DEVONSHIRE STREET"|"BOSTON"|"MA"|"USA"|"02109"|"INVESTMENT MANAGEMENT"|"841528.0000"
"04-6131201"|"FIDELITY FOUNDATION"|"1329"|"1315885"|"PRICEWATEWATERHOSECOOPERS, LLP"|"125 HIGH STREET"|"BOSTON"|"MA"|"USA"|"02110"|"AUDIT"|"80527.0000"
"04-3213614"|"KESSLER FAMILY FOUNDATION"|"1468"|"1322052"|"JP MORGAN"|"270 PARK AVENUE, 28TH FLOOR"|"NEW YORK"|"NY"|"USA"|""|"INVESTMENT MANAGEMENT"|"42986.0000"
"04-6044714"|"Arthur Ashley Williams Foundation"|"1469"|"1322053"|"CT LAMBERT ASSOCIATES PC"|"379 UNDERWOOD STREET"|"HOLLISTON"|"MA"|"USA"|"01746"|"MANAGEMENT AND ACCOUNTING SERVICES"|"132000.0000"
"04-3294783"|"JULIA CHILD FOUNDATION FOR GASTRONOMY AND THE CULINARY ARTS"|"1533"|"1322707"|"WOLF RIFKIN SHAPIRO SCHULMAN RABKIN, LLP"|"11400 OLYMPIC BLVD., STE 900"|"LOS ANGELES"|"CA"|"USA"|"90064"|"LEGAL SERVICE"|"195336.0000"
"04-3485516"|"GERMESHAUSEN FOUNDATION, INC"|"1600"|"1323121"|"SILVER BRIDGE CAPITAL MANAGEMENT"|""|"BOSTON"|"MA"|"USA"|""|"INVERSTMENT MANAGEMENT"|"145985.0000"
"04-3485516"|"GERMESHAUSEN FOUNDATION, INC"|"1601"|"1323121"|"SILVER ERIDGE ADVISORS"|""|"BOSTON"|"MA"|"USA"|""|"ADMINISTRATION"|"34916.0000"
"04-6113491"|"RUTH H. & WARREN A. ELLSWORTH FOUNDATION"|"1602"|"1323127"|"FLETCHER TILTON PC"|"370 MAIN STREET, 12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST AND ACCOUNTING"|"170000.0000"
"04-6142600"|"WYMAN-GORDON FOUNDATION"|"1603"|"1323128"|"MORGAN STANLEY"|"1 TECHNOLOGY DR"|"WESTBOROUGH"|"MA"|"USA"|"01581"|"INVESTMENT ADVISORY FEES"|"22000.0000"
"04-6142600"|"WYMAN-GORDON FOUNDATION"|"1604"|"1323128"|"FLETCHER TILTON PC"|"370 MAIN STREET, 12TH FLR"|"WORCESTER"|"MA"|"USA"|"01608"|"ADMINISTRATIVE FEES"|"20000.0000"
"01-0471533"|"Maine Education Services"|"1656"|"1325691"|"Edfinancial Services, LLC"|"298 North Seven Oaks Drive"|"Knoxville"|"TN"|"USA"|"37922"|"Federal Direct Student Loan Servici"|"2411177.0000"
"04-3369981"|"ROCKWELL FOUNDATION"|"1657"|"1325695"|"FLETCHER TILTON PC"|"370 MAIN STREET, 12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST AND ACCOUNTING"|"13000.0000"
"04-6023791"|"STODDARD CHARITABLE TRUST"|"1658"|"1325697"|"FLETCHER TILTON PC"|"370 MAIN ST. 12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST & ACCOUNTING FEES"|"403317.0000"
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|"1659"|"1325698"|"HEIDI BROOKS"|"445 ST. RONAN STREET"|"NEW HAVEN"|"CT"|"USA"|"06511"|"GRANT CONSULTING"|"153900.0000"
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|"1660"|"1325698"|"CAMBRIDGE ASSOCIATES"|"100 SUMMER STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVISORS"|"83276.0000"
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|"1661"|"1325698"|"MORRISON DOWNS ASSOCIATES, INC."|"79 MAPLE STREET"|"MILFORD"|"CT"|"USA"|"06460"|"GRANT CONSULTING"|"79089.0000"
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|"1662"|"1325698"|"JEFFREY DANIELS CONSULTING"|"102 ARUNDEL AVENUE"|"WEST HARTFORD"|"CT"|"USA"|"06107"|"GRANT CONSULTING"|"61893.0000"
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|"1663"|"1325698"|"T. M. BYXBEE COMPANY, P.C."|"2319 WHITNEY AVENUE"|"HAMDEN"|"CT"|"USA"|"06518"|"ACCOUNTING"|"61600.0000"
"04-2192696"|"NEW ENGLAND GRENFELL ASSOCIATION INC"|"1735"|"1326485"|"WELCH & FORBES LLC"|"45 SCHOOL STREET"|"BOSTON"|"MA"|"USA"|"02108"|"INVESTMENT ADVISOR"|"52538.0000"
"04-6640238"|"WILLIAM J. MCKEE CHARITABLE FOUNDATION"|"1762"|"1329631"|"FLETCHER"|"370 MAIN STREET,12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST AND ACCOUNTING FEES"|"66343.0000"
"03-0503425"|"Illinois Children's Healthcare Foundation"|"1782"|"1332744"|"NTI Upstream/Children Research Triangle"|"North Michigan Avenue, Suite 700"|"Chicago"|"IL"|"USA"|""|"Program Consultation and Evaluation"|"167025.0000"
"03-0503425"|"Illinois Children's Healthcare Foundation"|"1783"|"1332744"|"Hewitt Ennis Knupp an AON Corman DU"|"Riverside Plaza, Suite 1600"|"Chicago"|"IL"|"USA"|""|"Investment Consultant"|"78000.0000"
"04-3127721"|"THE A & A FUND"|"1784"|"1332753"|"FOSTER DYKEMA CABOT & CO."|"101 ARCH STREET"|"BOSTON"|"MA"|"USA"|"02110-1109"|"INVESTMENT MANAGEMENT"|"74300.0000"
"04-6579815"|"BARR FOUNDATION"|"1785"|"1332786"|"INNOVATION NETWORK FOR COMMUNITIES"|"156 GROVER LANE"|"TAMWORTH"|"NH"|"USA"|"03886"|"CONSULTING SERVICES"|"152500.0000"
"04-6579815"|"BARR FOUNDATION"|"1786"|"1332786"|"E. CATLIN DONNELLY & ASSOCIATES"|"360 PAYSON ROAD"|"BELMONT"|"MA"|"USA"|"02478"|"CONSULTING SERVICES"|"87829.0000"
"04-6579815"|"BARR FOUNDATION"|"1787"|"1332786"|"ROPES & GRAY"|"PO BOX 414265"|"BOSTON"|"MA"|"USA"|"02241-4265"|"LEGAL SERVICES"|"87516.0000"
"04-6579815"|"BARR FOUNDATION"|"1788"|"1332786"|"NAOMI MERMIN CONSULTING"|"83 MADELINE STREET"|"PORTLAND"|"ME"|"USA"|"04103"|"CONSUTING SERVICES"|"75263.0000"
"04-6579815"|"BARR FOUNDATION"|"1789"|"1332786"|"THE BOSTON HARBOR ASSOCIATION"|"374 CONGRESS STREET"|"BOSTON"|"MA"|"USA"|"02210"|"CONSULTING SERVICES"|"70000.0000"
"04-6773530"|"WILSON FAMILY FOUNDATION"|"1840"|"1334620"|"FORTIS MANAGEMENT GROUP"|"800 SOUTH STREET STE 255"|"WALTHAM"|"MA"|"USA"|"02453"|"ACCOUNTING/FINANCE"|"0.0000"
"04-6773530"|"WILSON FAMILY FOUNDATION"|"1841"|"1334620"|"MCP FUND LP"|"C/O MAYO CAPITAL 30 ROWES WHARF STE 500"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT"|"0.0000"
"04-2131404"|"THE STANLEY PARK OF WESTFIELD INC"|"1908"|"1335795"|"UBS FINANCIAL SERVICES"|"3455 PEACHTREE ROAD"|"ATLANTA"|"GA"|"USA"|"90326"|"INVESTMENT MANAGEMENT"|"53975.0000"
"04-3148824"|"FOUNDATION FOR EXPANDING HEALTHCARE ACCESS"|"1909"|"1335797"|"AUS MARKETING RESEARCH SYSTEMS INC"|"155 GAITHER DRIVE SUITE A"|"LAUREL"|"NJ"|"USA"|"08054"|""|"385125.0000"
"04-3148824"|"FOUNDATION FOR EXPANDING HEALTHCARE ACCESS"|"1910"|"1335797"|"URBAN INSTITUTE"|"2100 M STREET NW"|"WASHINGTON"|"DC"|"USA"|"20037"|""|"217541.0000"
"04-3148824"|"FOUNDATION FOR EXPANDING HEALTHCARE ACCESS"|"1911"|"1335797"|"BAILIT HEALTH PURCHASING"|"HARVARD UNIVERSITY"|"CAMBRIDGE"|"MA"|"USA"|"02138"|""|"140860.0000"
"04-3148824"|"FOUNDATION FOR EXPANDING HEALTHCARE ACCESS"|"1912"|"1335797"|"LAWRENCE TYE"|"26 GRANT AVENUE"|"LEXINGTON"|"MA"|"USA"|"02420"|""|"122858.0000"
