"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ADJUSTED_QUALIFYING_DISTRIBUTIONS"|"PAID_CHAR_ASSETS"|"CHAR_DIST_TEST"|"QUAL_DIST_XII"|"REDUCED_TAX_RATE"|"CHAR_SUIT_TEST"
"04-2613244"|"JAMES G MARTIN MEMORIAL TRUST"|"611092"|"706496.0000"|""|""|""|""|""
"04-3292646"|"Information Research Foundation"|"611093"|""|""|""|""|""|""
"04-3538929"|"BEN E FACTORS FOUNDATION 7665-7560016259"|"611094"|"48924.0000"|""|""|""|""|""
"04-6015548"|"MYRON L. FULLER TRUST"|"611095"|"252279.0000"|""|""|""|""|""
"04-6026880"|"The Nichols Trust"|"611096"|"71994.0000"|""|""|""|""|""
"04-6038982"|"TR U/W OF ETHEL H BRADLEY"|"611097"|"916648.0000"|""|""|""|""|""
"04-6047689"|"JOHN M THORNE AND ETHEL C THORNE FOUNDATION INC"|"611098"|"17100.0000"|""|""|""|""|""
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"611099"|"23445.0000"|""|""|""|""|""
"04-6504871"|"DORIS L. BENZ TRUST"|"611100"|"377377.0000"|""|""|""|""|""
"04-6599655"|"HATHAWAY MEMORIAL CHARIT TR"|"611101"|"74014.0000"|""|""|""|""|""
"04-6773530"|"WILSON FAMILY FOUNDATION"|"611102"|"531729.0000"|""|""|""|""|""
"04-6822881"|"ALTURAS ENDOWMENT"|"611103"|"116157.0000"|""|""|""|""|""
"04-3382001"|"SOMERVILLE HEALTH FOUNDATION INC"|"611535"|"27514.0000"|""|""|""|""|""
"03-6087553"|"HELEN P. LEFEVRE CHARITABLE TRUST"|"611995"|"91769.0000"|""|""|""|""|""
"04-3528464"|"THE JOHANNA K AND JEFFREY T BLACK FOUNDATION"|"611996"|"60727.0000"|""|""|""|""|""
"04-6191561"|"TRASK JOSPHINE B IRR TR DTD 7/24/68"|"612195"|"62480.0000"|""|""|""|""|""
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY FOR 10 -101160016280"|"613604"|"30246.0000"|""|""|""|""|""
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|"613605"|"138071.0000"|""|""|""|""|""
"02-6008379"|"THE GREENSPAN FOUNDATION"|"613606"|"118326.0000"|""|""|""|""|""
"04-2103796"|"HOWARD HOME TRUSTEES HOME FOR AGED MEN BROCKTON"|"613608"|"170606.0000"|""|""|""|""|""
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"613609"|"2878169.0000"|""|""|""|""|""
"04-3466878"|"RCB CHARITABLE FOUNDATION, INC."|"613610"|"83376.0000"|""|""|""|""|""
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"613611"|"62000.0000"|""|""|""|""|""
"04-6837671"|"THE BOPP FAMILY CHARITABLE TRUST"|"613612"|"10943.0000"|""|""|""|""|""
"01-0463183"|"Schiavi Family Foundation"|"614035"|"212.0000"|""|""|""|""|""
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"614036"|"16645.0000"|""|""|""|""|""
"04-6019494"|"NELLA M GRIMM FOX FOUNDATION"|"614038"|"363054.0000"|""|""|""|""|""
"01-6180488"|"FRANCIS J & ELIZABETH BRISSON MACKSEY CHARITABLE TRUST"|"614221"|"132212.0000"|""|""|""|""|""
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"614222"|"60504.0000"|""|""|""|""|""
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION #1030064973"|"614889"|"60818.0000"|""|""|""|""|""
"04-6029322"|"GEORGE W. HATHWAY TR U/D"|"615766"|"60749.0000"|""|""|""|""|""
"04-6051719"|"CLYDE PARK CHARITABLE FOUNDATION"|"615767"|"48755.0000"|""|""|""|""|""
"02-6142736"|"STERZING MEMORIAL SCHOLARSHIP FUND"|"616242"|"45754.0000"|""|""|""|""|""
"04-3435338"|"FLORENCE E SEELEY EDUCATION FDTN+"|"616243"|"198122.0000"|""|""|""|""|""
"04-3566439"|"BERKSHIRE LIFE CHARITABLE FOUNDATION"|"616244"|"108717.0000"|""|""|""|""|""
"04-6050139"|"FP Worthen Foundation"|"616245"|"49796.0000"|""|""|""|""|""
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN 2012168"|"616246"|"130426.0000"|""|""|""|""|""
"02-0310404"|"Gilman Home Inc."|"631570"|"44781.0000"|""|""|""|""|""
"04-3294711"|"THE MARTIN & DEBORAH HALE FOUNDATION"|"631636"|"169500.0000"|""|""|""|""|""
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"631639"|"97858.0000"|""|""|""|""|""
"04-3494605"|"SYMES FAMILY CHARITABLE FOUNDATION"|"631642"|"199030.0000"|""|""|""|""|""
"04-6014010"|"SHOLLEY FOUNDATION"|"631648"|"81261.0000"|""|""|""|""|""
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION MARVIN SPARROW TRUSTEE"|"631649"|"436652.0000"|""|""|""|""|""
"04-6720803"|"HARPLEY FOUNDATION"|"631650"|"21202.0000"|""|""|""|""|""
"03-6088605"|"FRANK & ELLEN COBB MEMORIAL SCHOLARS"|"633337"|"79571.0000"|""|""|""|""|""
"04-3254104"|"FREDERICK O.J. MUZI FOUNDATION"|"633339"|"48000.0000"|""|""|""|""|""
"01-0782316"|"THE HERITAGE FUND, INC."|"646408"|"72779.0000"|""|""|""|""|""
"01-6008813"|"FRED W SANBORN TRUST U/PAR 5 10 -101200038080"|"646410"|"63027.0000"|""|""|""|""|""
"02-0787615"|"CALABAR FOUNDATION"|"646412"|"513916.0000"|""|""|""|""|""
"02-6106324"|"ALLAN B. ROBY & FRANCES M. ROBY CHARITABLE TRUST"|"646413"|"702538.0000"|""|""|""|""|""
"04-6050619"|"ANDOVER HOME FOR AGED PEOPLE"|"646420"|"95574.0000"|""|""|""|""|""
"01-6017314"|"SYLVIA E ROSS TRUST"|"647220"|"295535.0000"|""|""|""|""|""
"02-0471515"|"LYMAN FUND INC"|"647222"|"20931.0000"|""|""|""|""|""
"03-0323120"|"THE MORRIS & BESSIE ALTMAN FOUNDATION"|"647224"|"221421.0000"|""|""|""|""|""
"03-6009912"|"General Educational Fund, Inc."|"647225"|"1464117.0000"|""|""|""|""|""
"04-1611615"|"MEMORIAL FOUNDATION FOR THE BLIND INC"|"647227"|"228719.0000"|""|""|""|""|""
"04-3582018"|"BROOKS FAMILY FOUNDATION"|"647231"|"513350.0000"|""|""|""|""|""
"04-6024320"|"TTEE U/W OF L. GILBERT FBO LANE HOSP"|"647232"|"203042.0000"|""|""|""|""|""
"04-6044620"|"EASTERN CHARITABLE FOUNDATION"|"647233"|"50250.0000"|""|""|""|""|""
"04-6609917"|"THE KELSEY TRUST"|"647235"|"164000.0000"|""|""|""|""|""
"01-0546133"|"NARRAGANSETT NUMBER ONE FOUNDATION"|"649018"|"305451.0000"|""|""|""|""|""
"01-6072828"|"TM GOODALL, MW GOODALL & RG PITSTICK TRUST F/B/O HD GOODALL HOSPITAL"|"649020"|"72549.0000"|""|""|""|""|""
"03-6003333"|"FRANCES HICKS MEMORIAL FUND"|"649021"|"45580.0000"|""|""|""|""|""
"04-6061028"|"THE UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|"649023"|"146351.0000"|""|""|""|""|""
"04-6112830"|"FRANK H BEEBE FUND FOR MUSICIANS"|"649025"|"65522.0000"|""|""|""|""|""
"03-0179429"|"THOMPSON TRUST"|"649561"|"591542.0000"|""|""|""|""|""
"04-6024733"|"TTEE U/W OF CLARK HARWOOD"|"649563"|"94837.0000"|""|""|""|""|""
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|"649564"|"76803.0000"|""|""|""|""|""
"04-3226725"|"KARP FAMILY FOUNDATION, STEPHEN R. AND JILL E. KARP, TRUSTEES"|"650862"|"716465.0000"|""|""|""|""|""
"02-6051741"|"HENRY C LORD SCHOLARSHIP FD 3035010332"|"651712"|"917643.0000"|""|""|""|""|""
"04-2593846"|"CENTER FOR NUTRITIONAL RESEARCH CHARITABLE TRUST"|"651713"|"295374.0000"|""|""|""|""|""
"04-2683042"|"PerkinElmer Foundation"|"651714"|"422976.0000"|""|""|""|""|""
"04-3064835"|"THE VIYU FOUNDATION"|"651715"|"65000.0000"|""|""|""|""|""
"04-3321452"|"THE RICHARD ERIC ROSENBERG FOUNDATION, INC."|"651716"|"16005.0000"|""|""|""|""|""
"04-3371941"|"Messler Family Foundation"|"651717"|"155500.0000"|""|""|""|""|""
"04-3424945"|"THE BIBER FOUNDATION"|"651718"|"206265.0000"|""|""|""|""|""
"04-6384141"|"HELENA W HUNT TRUST UA ARTICLE 11"|"651721"|"17518.0000"|""|""|""|""|""
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"651722"|"165400.0000"|""|""|""|""|""
"01-6006945"|"MARION G MARLAND TR U/A FBO HENRIETTA D GOODALL HOSPITAL, INC"|"652083"|"199095.0000"|""|""|""|""|""
"04-2133244"|"THE FREDERICK E WEBER CHARITIES CORP"|"652085"|"295396.0000"|""|""|""|""|""
"04-6008242"|"J F & W S SCHOELLKOPF FDN BANK OF AMERICA"|"652086"|"332252.0000"|""|""|""|""|""
"04-6057931"|"TRUST U/W HENRY FARNAM LINDA S. DALBY ET AL TRUSTEES"|"652088"|"12000.0000"|""|""|""|""|""
"03-0469046"|"WAGNER AGAPE FOUNDATION"|"652300"|"159049.0000"|""|""|""|""|""
"04-2133252"|"Hopedale Community House Inc"|"652301"|"442423.0000"|""|""|""|""|""
"04-3391146"|"EDWARD & ANTOINETTE BANA HURST FLEET NATN'L BANK"|"652302"|"69708.0000"|""|""|""|""|""
"04-6223350"|"GEORGE & BEATRICE SHERMAN FAMILY CHARITABLE TRUST"|"652303"|"281766.0000"|""|""|""|""|""
"04-6508843"|"TTEE U/W OF AMANDA BESSE"|"652304"|"60058.0000"|""|""|""|""|""
"02-0222149"|"TAYLOR COMMUNITY"|"652820"|"2213193.0000"|""|""|""|""|""
"02-6134751"|"MARY DALY MACFARLAND FOUNDATION"|"652822"|"65250.0000"|""|""|""|""|""
"04-2761754"|"THE WHITE FUND, INC."|"652825"|"87300.0000"|""|""|""|""|""
"04-6026051"|"CAROLINE FABENS-APPTD FD U/W"|"652827"|"147965.0000"|""|""|""|""|""
"04-6093554"|"LEIGHTON EDWARD K TR U/WILL"|"652828"|"216675.0000"|""|""|""|""|""
"04-6418554"|"BETSEY W. TABER TU/U/W+"|"652829"|"21283.0000"|""|""|""|""|""
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|"652830"|"159385.0000"|""|""|""|""|""
"01-0441158"|"HAWKES SCHOLARSHIP FUND 10 - 101160367540"|"653586"|"28293.0000"|""|""|""|""|""
"02-6021464"|"ABBIE M GRIFFIN HOSPITAL FUND"|"653588"|"12666.0000"|""|""|""|""|""
"02-6021465"|"ABBIE M GRIFFIN MEMORIAL FUND"|"653589"|"13332.0000"|""|""|""|""|""
"02-6086871"|"THE STANNARD & DOROTHY DUNN CHARITABLE TRUST"|"653590"|"211049.0000"|""|""|""|""|""
"03-0569654"|"THE HIGGINS FAMILY CHARITABLE FOUNDATION"|"653591"|"479105.0000"|""|""|""|""|""
"04-2105771"|"THE LOWELL INSTITUTE"|"653592"|"2089919.0000"|""|""|""|""|""
"04-2700063"|"TAPPER CHARITABLE FOUNDATION"|"653593"|"159377.0000"|""|""|""|""|""
"04-2961763"|"EAST LONGMEADOW ROTARY MEMORIAL SCHOLARSHIP"|"653594"|"16036.0000"|""|""|""|""|""
"04-3425071"|"THE ALCES FOUNDATION 7562-7552012606"|"653595"|"78188.0000"|""|""|""|""|""
"04-6718867"|"KAHN CHARITABLE FOUNDATION"|"653597"|"699528.0000"|""|""|""|""|""
"01-0499178"|"Brook Family Foundation"|"655097"|"151857.0000"|""|""|""|""|""
"02-6005491"|"EDWARD WAGNER & GEORGE HOSSER SCH FUND 3020003262"|"655098"|"436135.0000"|""|""|""|""|""
"03-6089090"|"BONBRIGHT FAMILY FOUNDATION"|"655100"|"45000.0000"|""|""|""|""|""
"03-6103976"|"JEFFREY COOK CHARITABLE TRUST"|"655101"|"134015.0000"|""|""|""|""|""
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"655102"|"323595.0000"|""|""|""|""|""
"04-2944490"|"Mark Miminos Charitable Trust & Foundation"|"655103"|"25998.0000"|""|""|""|""|""
"04-3021374"|"THE SAMUEL HUNTINGTON FUND, INC"|"655105"|"29811.0000"|""|""|""|""|""
"04-3030385"|"RUFFINI CHARITABLE FOUNDATION"|"655106"|"81425.0000"|""|""|""|""|""
"04-3140238"|"The Stephen J. Hendrickson Foundaiton, Inc"|"655108"|"5591.0000"|""|""|""|""|""
"04-3447397"|"CECILE HIGGINSON MURPHY CHARITABLE FOUNDATION"|"655110"|"155326.0000"|""|""|""|""|""
"04-6008364"|"ALMIRA N SIMONS TRUST"|"655111"|"44349.0000"|""|""|""|""|""
"04-6013598"|"BUSHROD H. CAMPBELL & ADAH F. HALL CHARITY FUND"|"655112"|"974538.0000"|""|""|""|""|""
"04-6039669"|"Albert O. Wilson Foundation, Inc"|"655113"|"79455.0000"|""|""|""|""|""
"04-6056778"|"North Attleboro Scholarship Foundation"|"655114"|"77675.0000"|""|""|""|""|""
"04-6077889"|"SAMUEL C. HOWES TRUST U/W ART 7 #0718585"|"655115"|"100494.0000"|""|""|""|""|""
"04-6089261"|"BEATRICE D PIERCE TRUST FLEET NATIONAL BANK"|"655116"|"25979.0000"|""|""|""|""|""
"04-6314384"|"SIDNEY HMARY L GRAY FAMILY SCHOLARSHIP FUND"|"655117"|"19940.0000"|""|""|""|""|""
"04-6462394"|"ELLEN ABBOTT GILMAN TRUST UW"|"655119"|"46072.0000"|""|""|""|""|""
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"655120"|"624498.0000"|""|""|""|""|""
"04-6595469"|"SHAUGHNESSY CHARITABLE TRUST"|"655121"|"222821.0000"|""|""|""|""|""
"04-6815282"|"F ROSCOE & VILA WEBBER CHARITABLE TRUST"|"655122"|"62140.0000"|""|""|""|""|""
"04-6820993"|"M HOLT MASSEY CHARITABLE TRUST 15011602"|"655123"|"70250.0000"|""|""|""|""|""
"02-0733877"|"CARITA FOUNDATION-IMA"|"655697"|"170564.0000"|""|""|""|""|""
"02-2229190"|"CHASE HOME FOR CHILDREN"|"656399"|"1188150.0000"|""|""|""|""|""
"04-6004390"|"Wheelwright Scientific School"|"656401"|"141702.0000"|""|""|""|""|""
"04-6008387"|"HENRY HERBERT SMYTHE TRUST"|"656403"|"84317.0000"|""|""|""|""|""
"04-6487087"|"HARVEY H & CATHERINE MOSES EDUCATION FUND"|"656404"|"13923.0000"|""|""|""|""|""
"04-6557590"|"WARREN CROSS FOUNDATION"|"656406"|"83403.0000"|""|""|""|""|""
"01-6044693"|"JOHN S & HELEN E CARVER FUND"|"657032"|"79761.0000"|""|""|""|""|""
"04-6012091"|"EARLE P. CHARLTON TRUST"|"657033"|"98992.0000"|""|""|""|""|""
"02-6006797"|"NUTE CHARITABLE ASSOCIATION"|"657956"|"24084.0000"|""|""|""|""|""
"02-6127798"|"LAFFERTY FAMILY CHARITABLE FOUNDATION"|"657958"|"327926.0000"|""|""|""|""|""
