"C_EIN"|"C_Org_Name"|"RULING_DATE_XIV"|"XIV_4942_3"|"XIV_4942_5"|"XML_DOCUMENT_ID"
"01-0772925"|"ASHNER FAMILY EVERGREEN FOUNDATION"|""|""|""|"1267228"
"01-0852305"|"KALT FAMILY FOUNDATION"|""|""|""|"1267229"
"01-0936787"|"NARROW GATE FOUNDATION"|""|""|""|"1267231"
"01-6008575"|"Z A MERSEREAU TRUST U/W"|""|""|""|"1267232"
"01-6009246"|"DAVENPORT TRUST FUND"|""|""|""|"1267233"
"01-6010195"|"JOSEPH HOW CHARITABLE TRUST"|""|""|""|"1267234"
"01-6019476"|"ROSAMOND THAXTER FOUNDATION"|""|""|""|"1267236"
"01-6028898"|"SUMNER O HANCOCK SCHOLARSHIP FUND"|""|""|""|"1267237"
"01-6048187"|"F ROGER MILLER TRUST"|""|""|""|"1267238"
"01-6070773"|"MUHS FLORENCE H IRREV TR"|""|""|""|"1267239"
"01-6115166"|"LOIS M. GAUTHEIR CHARITABLE TRUST"|""|""|""|"1267240"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|""|""|""|"1267242"
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|""|""|""|"1267243"
"01-6161852"|"ELLEN M CROUCHLEY TR FBO RIDGEFIELD LIB & HIST"|""|""|""|"1267244"
"01-6162638"|"KAREN ANNE BOLLWERK BURKE AND WILLIAM A BURKE FAMILY CHARITABLE TRUST"|""|""|""|"1267245"
"01-6190683"|"ALICE E & JOSEPH C BLEWETT FOUNDATION"|""|""|""|"1267247"
"01-6225742"|"CHRIS HESS FOUNDATION"|""|""|""|"1267248"
"02-0222148"|"KINGS DAUGHTERS BENEVOLENT ASSN."|""|""|""|"1267249"
"02-0364166"|"STEPHEN P BELL, TIMOTHY A BELL & TRICIA FLYNN CALEY MEMORIAL SCHOLARSHIP 3035001994"|""|""|""|"1267250"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"12/27/1982 12:00:00 AM"|"Y"|""|"1267251"
"02-0481954"|"BNH CHARITABLE FOUNDATION"|""|""|""|"1267252"
"02-0500977"|"PUMPKIN HILL FOUNDATION"|""|""|""|"1267253"
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|""|""|""|"1267254"
"02-0524940"|"SKRUNGLOO FARM, INC."|""|""|""|"1267256"
"02-0526252"|"The Ayer Scholarship Trust"|""|""|""|"1267257"
"02-0534833"|"BINZER ISADORE FUND T/A 20-102110409642"|""|""|""|"1267258"
"02-0539569"|"ELIZABETH MCGEACHIN MCKEE FOUNDATION"|""|""|""|"1267259"
"02-0573327"|"BRUCE E. & DEBRA K. GREWCOCK FOUNDATION"|""|""|""|"1267260"
"02-0583552"|"JAMES R. DOUGHERTY, JR. FOUNDATION, INC."|""|""|""|"1267261"
"02-0595263"|"GOULD FAMILY FOUNDATION"|""|""|""|"1267262"
"02-0597036"|"THE CHERICOKE FOUNDATION"|""|""|""|"1267263"
"02-0663360"|"JANE AND SAM SUTTON FAMILY FOUNDATION"|""|""|""|"1267264"
"02-0735167"|"NANCY JONES BEARD FOUNDATION"|""|""|""|"1267265"
"02-0762912"|"THE GRAGG FOUNDATION"|""|""|""|"1267266"
"02-0762991"|"JAMES I. PERKINS FAMILY FOUNDATION"|""|""|""|"1267267"
"02-0788743"|"ELLIS FAMILY CHARITABLE FOUNDATION"|""|""|""|"1267268"
"02-6003982"|"HELEN BLAKE GILE TR"|""|""|""|"1267269"
"02-6004243"|"FURBUSH GEORGE T/U/W"|""|""|""|"1267270"
"02-6004465"|"THE KINGSBURY FUND"|""|""|""|"1267271"
"02-6004971"|"AGNES M. LINDSAY TRUST"|""|""|""|"1267272"
"02-6005861"|"NEW HAMPSHIRE BALL BEARINGS FOUNDATION"|""|""|""|"1267273"
"02-6005885"|"THE BARKER FOUNDATION INC."|""|""|""|"1267274"
"02-6006053"|"THE MCININCH FOUNDATION"|""|""|""|"1267275"
"02-6006598"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|""|""|""|"1267276"
"02-6007047"|"LADIES CHARITABLE SOCIETY OF KEENE"|""|""|""|"1267277"
"02-6007195"|"MILFORD HOSPITAL ASSOCIATION"|""|""|""|"1267278"
"02-6007363"|"GILBERT VERNEY FOUNDATION"|""|""|""|"1267279"
"02-6007760"|"J WILFRED ANCTIL FOUNDATION"|""|""|""|"1267280"
"02-6013780"|"WILLIAM W. TREAT FOUNDATION"|""|""|""|"1267281"
"02-6014169"|"ELVA S SMITH TRUST U/W 3020000"|""|""|""|"1267282"
"02-6021132"|"M L BILLINGS TR FBO NH CHARITIES 3035009497"|""|""|""|"1267283"
"02-6037670"|"OSCAR J GEORGE TRUST"|""|""|""|"1267284"
"02-6040429"|"BJB CHARITABLEACCOUNT"|""|""|""|"1267285"
"02-6060525"|"CAMBRIDGE TRUST COMPANY 5122080"|""|""|""|"1267286"
"02-6065480"|"KEITH HENNEY TRUST"|""|""|""|"1267287"
"02-6067436"|"NHCF JANICE BERRY SCHOLARSHIP"|""|""|""|"1267288"
"02-6090073"|"ANNE SLADE FREY CHARITABLE TRUST"|""|""|""|"1267289"
"02-6092657"|"STOKES SCHOLARSHIP TRUST"|""|""|""|"1267290"
"02-6100725"|"ELIZABETH PARKHILL CHARITABLE TRUST DAVID ROBY & EDWIN CHAMBERLAIN,TRUSTEES"|""|""|""|"1267291"
"02-6101659"|"CAROLINE C. LEVINE CHARITABLE TRUST"|""|""|""|"1267292"
"02-6117755"|"ALDEN N. YOUNG TRUST"|""|""|""|"1267293"
"02-6123078"|"GRUNBECK JENNIFER & ROBERT FAM FOUND ROBERT & JENNIFER GRUNBECK, CO-TRUSTEES"|""|""|""|"1267295"
"02-6123968"|"ROGER R. & THERESA THOMPSON ENDOWMENT F/B/O LOCAL CHARITIES"|""|""|""|"1267296"
"02-6124799"|"THE BITTY FOUNDATION"|""|""|""|"1267297"
"02-6125090"|"JOHN & MARGARET BRENNAN TRUST . 3030007141"|""|""|""|"1267298"
"02-6139129"|"GEORGE A STRBA CHARITABLE TRUST"|""|""|""|"1267299"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|""|""|""|"1267301"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|""|""|""|"1267302"
"03-0307532"|"THE PIZZAGALLI FOUNDATION"|""|""|""|"1267303"
"03-0326934"|"CARRIS CORORATE FOUNDATION"|""|""|""|"1267304"
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|""|""|""|"1267305"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|""|""|""|"1267306"
"03-0466957"|"BRINDLE FOUNDATION"|""|""|""|"1267307"
"03-0514974"|"THE WARREN & BERNICE HENSEL FOUNDATION"|""|""|""|"1267308"
"03-0536676"|"THE V & L MARX FOUNDATION"|""|""|""|"1267309"
"03-0541650"|"AMERICO J FRANCISCO CHARITABLE TRUST"|""|""|""|"1267310"
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|""|"Y"|""|"1267313"
"03-6009332"|"CHARITABLE FOUNDATION OF THE BRYANT CHUCKING GRINDER CO."|""|""|""|"1267314"
"03-6020099"|"MORTIMER R PROCTOR"|""|""|""|"1267315"
"03-6037557"|"RICHARD F & LENA S BARKER TR FUND 31C078016"|""|""|""|"1267316"
"03-6039645"|"ARTHUR J. WHITE & ALICE M. DEMOND 43C060019"|""|""|""|"1267317"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|""|""|""|"1267318"
"03-6059731"|"SCHULTZ-BLACKWELL TRUST"|""|""|""|"1267319"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|""|""|""|"1267320"
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|""|""|""|"1267321"
"03-6084732"|"FERDINAND & SARAH CINELLI CHARITABLE TRUST"|""|""|""|"1267322"
"03-6088692"|"S.L. GIMBEL FOUNDATION"|""|""|""|"1267323"
"03-6090656"|"LLOYD SCHMITZ CHARITABLE TRUST FBO ST. PETER'S UNITED METHODIST CHURCH"|""|""|""|"1267324"
"03-6111428"|"KAUFMAN FAMILY FOUNDATION STACEY GERRISH, JENIFER MATHIEU & CFSG CO-TRUSTEES"|""|""|""|"1267326"
"04-1841679"|"GILLESPIE FAMILY FDN I/AG 20 -102301132700"|""|""|""|"1267327"
"04-2062107"|"EVERETT FOUNDATION FOR AGED PERSONS INC"|""|""|""|"1267328"
"04-2104372"|"LATHROP HOME"|""|""|""|"1267329"
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|"4/6/1972 12:00:00 AM"|"Y"|""|"1267330"
"04-2113268"|"SHURTLEFF CHILDRNE'S SERVICES-PRIN"|""|""|""|"1267331"
"04-2121312"|"COOLIDGE HILL FOUNDATION"|""|""|""|"1267332"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|""|""|""|"1267333"
"04-2122137"|"WILLIAM ASHTON B/O SHRINERS HOSP"|""|""|""|"1267334"
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|""|""|""|"1267335"
"04-2660137"|"FOUNDATION FOR RESEARCH IN CELL BIOLOGY CANCER AND CARDIOLOGY"|""|""|""|"1267336"
"04-2748787"|"KENDRICK FOUNDATION"|""|""|""|"1267337"
"04-2767454"|"JOHN BOLTEN CHARITABLE FOUNDATION"|""|""|""|"1267338"
"04-2767462"|"FRANK M. BARNARD FOUNDATION, INC."|""|""|""|"1267339"
"04-2767890"|"HELEN AND GEORGE LADD CHARITABLE CORPORATION #0720995"|""|""|""|"1267340"
"04-2771098"|"WILLIAM O MOSELEY T/U/I"|""|""|""|"1267341"
"04-2946393"|"Sprague Foundation Inc."|""|""|""|"1267342"
"04-2979426"|"THE BEAUCOURT FOUNDATION, INC."|""|""|""|"1267343"
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|""|""|""|"1267344"
"04-3000345"|"THE FEIGENBAUM FOUNDATION, INC."|""|""|""|"1267345"
"04-3005593"|"FRASER FAMILY FOUNDATION, INC."|""|""|""|"1267346"
"04-3042476"|"RALPH & HELEN KELLEY FDN"|""|""|""|"1267347"
"04-3105650"|"THE HANOVER INSURANCE GROUP FOUNDATION, INC."|""|""|""|"1267348"
"04-3122206"|"DUSKY FOUNDATION"|""|""|""|"1267349"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|""|""|""|"1267350"
"04-3161096"|"THE MEZITT HORTICULTURAL FOUNDATION"|""|""|""|"1267351"
"04-3165980"|"THE EDGERLY FOUNDATION 02-92827"|""|""|""|"1267352"
"04-3166698"|"THE KEEL FOUNDATION"|""|""|""|"1267353"
"04-3175266"|"PUTNAM INVESTMENTS FOUNDATION"|""|""|""|"1267354"
"04-3177775"|"Forest Foundation"|""|""|""|"1267355"
"04-3189191"|"BOVERI-TRACKMAN FAMILY FOUNDATION, INC."|""|""|""|"1267356"
"04-3211993"|"THE NYPRO FOUNDATION, INC."|""|""|""|"1267357"
"04-3217038"|"KATHARINE L.W. AND WINTHROP M. CRANE, 3D CHARITABLE FOUNDATION"|""|""|""|"1267358"
"04-3244069"|"THE NEW ENGLAND PATRIOTS CHARITABLE FOUNDATION, INC."|""|""|""|"1267359"
"04-3254349"|"FREELANDER FAMILY CHARITABLE TRUST"|""|""|""|"1267360"
"04-3293081"|"GERALD R JORDAN FOUNDATION"|""|""|""|"1267363"
"04-3294086"|"THE KRUPP FOUNDATION"|""|""|""|"1267364"
"04-3338927"|"HAZARD FAMILY FOUNDATION"|""|""|""|"1267365"
"04-3339062"|"BERT AND BETTY GREENE MEMORIAL FUND"|""|""|""|"1267366"
"04-3340006"|"MARTHA R. GERRY TOWNLEY FOUNDATION -MARK A. NOWAK, CO-TRUSTEE"|""|""|""|"1267368"
"04-3344681"|"MAZAR FAMILY CHARITABLE FOUNDATION TRUST"|""|""|""|"1267370"
"04-3359381"|"Courtney and Victoria Buffum Family Foundation"|""|""|""|"1267371"
"04-3368079"|"THE AUSOLUS TRUST"|""|""|""|"1267372"
"04-3368611"|"THE CROZIER FAMILY CHARITABLE FOUNDATION"|""|""|""|"1267373"
"04-3371592"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|""|""|""|"1267375"
"04-3383943"|"THE NEIL L. THOMPSON FAMILY FOUNDATION INC."|""|""|""|"1267376"
"04-3386858"|"THE MARK D. HOSTETTER AND ALEXANDER N. HABIB FOUNDATION"|""|""|""|"1267377"
"04-3388562"|"ALAN D. AND SUSAN LEWIS SOLOMONT FAMILY FOUNDATION"|""|""|""|"1267378"
"04-3397455"|"THE PROVIDENT COMMUNITY FOUNDATION, INC."|""|""|""|"1267379"
"04-3405965"|"John f & Dorothy H Magee Foundation"|""|""|""|"1267380"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|""|""|""|"1267381"
"04-3408546"|"THE LOCHRIDGE-WATKINS CHAR FD"|""|""|""|"1267382"
"04-3415547"|"THE BAY STATE FEDERAL SAVINGS CHARITABLE FOUNDATION"|""|""|""|"1267383"
"04-3425084"|"P WILSON, EDWARDS WILDMAN PALMER LLP"|""|""|""|"1267384"
"04-3425988"|"ROBERT AND IRIS FANGER FAMILY FOUNDATION"|"9/10/1998 12:00:00 AM"|"Y"|""|"1267385"
"04-3428896"|"THE EDWIN AND SARA BRODY FAMILY CHARITABLE FOUNDATION"|""|""|""|"1267386"
"04-3462645"|"ROHDA FAMILY CHARITABLE FOUNDATION"|""|""|""|"1267387"
"04-3469581"|"LLH/LHM FOUNDATION MARY & MARGARET BAIRD, TRUSTEES"|""|""|""|"1267388"
"04-3489966"|"THE FRANCES LEAR FOUNDATION"|""|""|""|"1267390"
"04-3490346"|"ALBERT & AMELIA FERST CHARITABLE FOUNDATION"|""|""|""|"1267391"
"04-3492171"|"The Jerry & Adi Greenberg Charitable Foundation"|""|""|""|"1267392"
"04-3493147"|"THE HAMERMESH FAMILY CHARITABLE FOUNDATION"|""|""|""|"1267393"
"04-3493854"|"PRIVITERA FAMILY CHARITABLE FOUNDATION"|""|""|""|"1267394"
"04-3493858"|"THE BETE FAMILY FOUNDATION"|""|""|""|"1267395"
"04-3494212"|"LAWRENCE & SUSAN DANIELS FAMILY FOUNDATION"|""|""|""|"1267396"
"04-3501266"|"THE THOMPSON FOSTER STREET FOUNDATION INC"|""|""|""|"1267397"
"04-3504566"|"SUMMER STAR FOUNDATION FOR NATURE, ART AND HUMANITY INC."|""|""|""|"1267398"
"04-3521246"|"MIDDLESEX SAVINGS CHARITABLE FOUNDATION, INC."|""|""|""|"1267399"
"04-3538396"|"CLINTON SAVINGS CHARITABLE FOUNDATION, INC."|""|""|""|"1267401"
"04-3540155"|"MARIANNE J H WITHERBY FOUNDATION"|""|""|""|"1267402"
"04-3541560"|"THE GOODTREE/GORDON CHARITABLE FOUNDATION"|""|""|""|"1267403"
"04-3541593"|"THE DOWNS FOUNDATION"|""|""|""|"1267404"
"04-3541595"|"THE SHAPIRO FOUNDATION"|""|""|""|"1267405"
"04-3542759"|"The Downey Family Charitable Foundation"|""|""|""|"1267406"
"04-3542811"|"THE TIEDEMANN FOUNDATION"|""|""|""|"1267407"
"04-3546250"|"/THE DONNA ANNE POULACK FOUNDATION"|""|""|""|"1267408"
"04-3551989"|"BARBARA DELINSKY CHARITABLE FOUNDATION"|""|""|""|"1267409"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|""|""|""|"1267411"
"04-3567545"|"THE CRAWFORD FOUNDATION 23-10371"|""|""|""|"1267412"
"04-3569828"|"HALL FAMILY FOUNDATION"|""|""|""|"1267413"
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|""|""|""|"1267414"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|""|""|""|"1267415"
"04-3593793"|"THE BORDUI FOUNDATION"|""|""|""|"1267417"
"04-3619072"|"JILL & DAVID KRISCHER FAMILY FOUNDATION, INC."|""|""|""|"1267419"
"04-3619796"|"THE J. FREUNARD KIM FOUNDATION"|""|""|""|"1267420"
"04-3700494"|"THE DANKIS CHRISTIAN FOUNDATION, INC."|""|""|""|"1267421"
"04-3729982"|"THE PAUL D. WASSEROTT FOUNDATION"|""|""|""|"1267422"
"04-3801691"|"EISZNER FAMILY FOUNDATION"|""|""|""|"1267423"
"04-6009552"|"DANIEL W FIELD TRUST"|""|""|""|"1267425"
"04-6009559"|"IDA S CHARLTON CHARITY FD U/A"|""|""|""|"1267426"
"04-6009796"|"ERVANT SERPOSS T/U/W"|""|""|""|"1267427"
"04-6010055"|"JOHN CIFRINO TRUST"|""|""|""|"1267428"
"04-6010266"|"CORNELIUS A & MURIEL P WOOD TUA"|""|""|""|"1267429"
"04-6010445"|"W GERALD MOORE EDUCATIONAL FDN"|""|""|""|"1267430"
"04-6010540"|"IDA S CHARLTON CHARITY FDN U/W"|""|""|""|"1267431"
"04-6010588"|"LILLIAN M BAKER TRUST"|""|""|""|"1267432"
"04-6010635"|"GLADYS F WILDE T/U/I"|""|""|""|"1267433"
"04-6012597"|"JOHN E SOMERS TRUST 1264001"|""|""|""|"1267434"
"04-6012742"|"CHARLES A KING U/W-EQUITY"|""|""|""|"1267435"
"04-6012782"|"HURDLE HILL FOUNDATION"|""|""|""|"1267436"
"04-6015506"|"TTEE U/W OF OLIVER B QUINBY"|""|""|""|"1267437"
"04-6017426"|"A.C. RATSHESKY FOUNDATION"|""|""|""|"1267438"
"04-6018072"|"G. Peabody & Rose Gardner Charitable Tr."|""|""|""|"1267439"
"04-6018649"|"TR U/W G MEEKINS F/B SO CONG"|""|""|""|"1267441"
"04-6018676"|"EDWARD WALKER TRUST U/W"|""|""|""|"1267442"
"04-6018695"|"MARY L PERKINS TRUST U/W"|""|""|""|"1267443"
"04-6019038"|"JAMES P GRAY"|""|""|""|"1267444"
"04-6019078"|"BELLE T SMITH"|""|""|""|"1267445"
"04-6019079"|"GEORGE WALTER VINCENT SMITH"|""|""|""|"1267446"
"04-6019085"|"ETHAN TAYLOR - BENEVOLENT FUND"|""|""|""|"1267447"
"04-6019088"|"WILLIAM B WALKER"|""|""|""|"1267448"
"04-6019105"|"FREDERICK H GILLETT TUW-YMCA"|""|""|""|"1267449"
"04-6019184"|"GRACE NOYES B/O 7 CHARITIES"|""|"Y"|"Y"|"1267450"
"04-6019296"|"FOX FOR STATE OF NH"|""|""|""|"1267452"
"04-6019483"|"DOROTHY WHITNEY CHARITABLE TRUST"|""|""|""|"1267454"
"04-6019531"|"JOHN DEFERRARI FOUNDATION"|""|""|""|"1267455"
"04-6019896"|"JH2550"|""|""|""|"1267457"
"04-6019938"|"BOOTH FOUNDATION THE JH0395"|""|""|""|"1267458"
"04-6020152"|"MCCARTHY FAMILY FOUNDATION"|""|""|""|"1267459"
"04-6020367"|"HENRY WALKER FOR OTHERS"|""|""|""|"1267460"
"04-6020498"|"TUCO GEORGE R WRIGHT T/U/W"|""|""|""|"1267461"
"04-6020593"|"CHARLES J DRAPER FOR CHARITY"|""|""|""|"1267462"
"04-6020729"|"SARAH G MCCARTHY MEMORIAL FDN"|""|""|""|"1267463"
"04-6021060"|"EMILY F GILL TUA-CHAS ABBEY SCH"|""|""|""|"1267465"
"04-6021061"|"J EMMA GRAY TUA"|""|""|""|"1267466"
"04-6021172"|"NELSON & GERTRUDE HIBBARD IRR UA"|""|""|""|"1267467"
"04-6023194"|"NELSON M BAKER T/U/W"|""|""|""|"1267468"
"04-6023228"|"MARY M COES CHARITABLE T/U/W"|""|""|""|"1267469"
"04-6023246"|"TR U/A GEORGE A DIX"|""|""|""|"1267470"
"04-6024257"|"EDWARD AUSTIN T/U/W"|""|""|""|"1267471"
"04-6024358"|"JOSEPH H STONE TR U/W TRINITARIAN CHURCH 1266881"|""|""|""|"1267472"
"04-6024367"|"CO-TTEE U/W OF JAMES W DUNPHY"|""|""|""|"1267473"
"04-6024405"|"WILHELMINA W JACKSON T/U/W"|""|""|""|"1267474"
"04-6024467"|"TTEE U/W OF CHARLES F BACON"|""|""|""|"1267475"
"04-6024599"|"TTEE U/I OF ELLEN A STONE"|""|""|""|"1267476"
"04-6024752"|"CLINTON G MILLS T/U/I"|""|""|""|"1267478"
"04-6024948"|"TR U/I OF CHARLES E KISTLER"|""|""|""|"1267479"
"04-6024992"|"TTTE U/W OF ALICE SHATTUCK"|""|""|""|"1267480"
"04-6025012"|"TTEE U/I BY DANIEL O WOLFF"|""|""|""|"1267481"
"04-6025374"|"LOUISE B PHILLIPS T/U/I"|""|""|""|"1267482"
"04-6025499"|"MARY ALICE FITCH T/U/W"|""|""|""|"1267483"
"04-6025549"|"CO-TTEE U/W OF EDWIN PHILLIPS"|""|""|""|"1267484"
"04-6026094"|"GEORGINA B WEST U/W"|""|""|""|"1267485"
"04-6026858"|"CHARLES A. DEAN TRUST DTD 3/12/1913"|""|""|""|"1267486"
"04-6027026"|"BRADLEY C. HIGGINS FOUNDATION"|""|""|""|"1267487"
"04-6027388"|"GUSTAVE HARTMAN T/U/W"|""|""|""|"1267488"
"04-6028058"|"AMERICAN OPTICAL FOUNDATION"|""|""|""|"1267489"
"04-6028076"|"CO-TR U/A HEALD FOUNDATION"|""|""|""|"1267490"
"04-6028085"|"TR U/A ALBERT W RICE CHAR"|""|""|""|"1267491"
"04-6028852"|"MARGARETTE G CROSSMAN T/U/W"|""|""|""|"1267492"
"04-6031995"|"HENRY B. MARTIN FUND. INC."|""|""|""|"1267493"
"04-6033742"|"JENNIE W SMITH UA"|""|""|""|"1267494"
"04-6035212"|"ESTHER H. HAWKS TRUST #0717116"|""|""|""|"1267495"
"04-6035327"|"FLORENCE EVANS BUSHEE FOUNDATION, INC #95-828090"|""|""|""|"1267496"
"04-6035855"|"WILLIAM SKINNER HOLYOKE HOSP"|""|""|""|"1267497"
"04-6036659"|"JOSEPH L. SWEENEY CHARITABLE FOUNDATION"|""|""|""|"1267498"
"04-6036697"|"STEARNS CHARITABLE TRUST"|""|""|""|"1267499"
"04-6036706"|"JOHN W BOYNTON FUND"|""|""|""|"1267500"
"04-6036990"|"PAINE CHARITABLE TRUST U/A"|""|""|""|"1267501"
"04-6038039"|"GEORGE WELLS FOUNDATION"|""|""|""|"1267503"
"04-6038185"|"MASSACHUSETTS LIBRARY AID ASSOCIATION"|""|""|""|"1267504"
"04-6038871"|"IM WESTFIELD ACADEMY"|""|""|""|"1267505"
"04-6039187"|"EDWIN GINN TR-ART XV"|""|""|""|"1267506"
"04-6043554"|"PHINEAS W. SPRAGUE MEMORIAL FOUNDATION"|""|""|""|"1267507"
"04-6043588"|"ABRAHAM SHAPIRO CHARITY FUND"|""|""|""|"1267508"
"04-6044077"|"Shelburne Falls Community House, Inc."|""|""|""|"1267509"
"04-6044945"|"HUNTER FAMILY CHARITABLE TRUST"|""|""|""|"1267510"
"04-6044998"|"HERBERT FALES EDUCATIONAL TRUST"|""|""|""|"1267511"
"04-6046282"|"L & F TIFFT B/0 BSHS TR UA"|""|""|""|"1267512"
"04-6046475"|"OLIVE HIGGINS PROUTY FOUNDATION"|""|""|""|"1267513"
"04-6052150"|"SWIFT CHARITY, INC."|""|""|""|"1267514"
"04-6053996"|"HAVEN TRUST"|""|""|""|"1267515"
"04-6056133"|"FUSARO CHARITABLE FOUNDATION, INC."|""|""|""|"1267516"
"04-6057388"|"THE CRANE & CO. FUND"|""|""|""|"1267517"
"04-6057747"|"JOSEPH PERSKY FOUNDATION"|""|""|""|"1267518"
"04-6060965"|"THE HOWARD JOHNSON FOUNDATION"|""|""|""|"1267519"
"04-6062249"|"ROTCH TRAVELING SCHOLARSHIP, INC."|""|"Y"|""|"1267520"
"04-6064025"|"THE ROSS WEBB FUND"|""|""|""|"1267521"
"04-6064648"|"BROOKLINE TUBERCULOSIS & HEALTH SOCIETY"|""|""|""|"1267522"
"04-6067737"|"ABRAHAM KAPLAN CHARITABLE FOUNDATION"|""|""|""|"1267523"
"04-6067779"|"ANSIN FOUNDATION"|""|""|""|"1267524"
"04-6070226"|"GRIMES - KING FOUNDATION FOR THE ELDERLY"|""|""|""|"1267525"
"04-6072097"|"TR U/A E ROBBINS-ROBBINS MEM"|""|""|""|"1267526"
"04-6095694"|"PIERCE KATHARINE C UW"|""|""|""|"1267527"
"04-6096044"|"CHARLOTTE M ROBBINS TRUST U/W"|""|""|""|"1267528"
"04-6096792"|"ARLINE P PADELFORD SCHOLARSHIP FUND"|""|""|""|"1267529"
"04-6097555"|"BOYTON MARION F 1935 TRUST T06766"|""|""|""|"1267530"
"04-6109594"|"THE ROBERTSON TRUST PHILIP S. ROBERTSON.ET AL TRUSTEES"|""|""|""|"1267531"
