"C_EIN"|"C_Org_Name"|"bmf_id"|"ein"|"org_name"|"address_id"|"grp_exmpt"|"subsection_code"|"affil_code"|"deductn_code"|"ruling_yr"|"ruling_mo"|"foundn_code"|"activity_code1"|"activity_code2"|"activity_code3"|"org_code"|"district"|"advrule_expyr"|"advrule_expmo"|"class_code1"|"class_code2"|"class_code3"|"class_code4"|"tax_year"|"tax_month"|"income_code"|"income"|"acct_period"|"ntee_code"|"assets"|"ntee_qual"|"asset_code"|"second_name"|"filing_req_code"|"npo_active"|"submit_date"|"dummy_p"|"last_modified"|"care_of"|"idle_date"|"exempt_status_code"|"f990_revenue"
"01-0211792"|"Lewiston-Auburn Children's Home"|"506663"|"01-0211792"|"LEWISTON-AUBURN CHILDRENS HOME"|"103811570"|"0000 "|"03"|"3"|"1"|"1943"|"02"|"04"|""|""|"603"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"2"|"23208.0000"|"12 "|"P30"|"346419.0000"|"Z"|"4"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"10/16/2015 6:21:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"674872"|"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSOC"|"101102190"|"0000 "|"03"|"3"|"1"|"1974"|"01"|"04"|""|""|"059"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"10"|"4"|"430124.0000"|"10 "|""|"6159793.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"674872"|"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSOC"|"101102190"|"0000 "|"03"|"3"|"1"|"1974"|"01"|"04"|""|""|"059"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"10"|"4"|"430124.0000"|"10 "|""|"6159793.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"674872"|"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSOC"|"101102190"|"0000 "|"03"|"3"|"1"|"1974"|"01"|"04"|""|""|"059"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"10"|"4"|"430124.0000"|"10 "|""|"6159793.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0213987"|"WARDWELL HOME FOR THE AGING INC"|"562802"|"01-0213987"|"Wardwell Home for the Aging"|"562802"|"0000 "|"03"|"3"|"1"|"1942"|"07"|"02"|""|""|"281"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"7"|"5461915.0000"|"06 "|""|"11395534.0000"|" "|"8"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"2/13/2015 5:17:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0213987"|"WARDWELL HOME FOR THE AGING INC"|"562802"|"01-0213987"|"Wardwell Home for the Aging"|"562802"|"0000 "|"03"|"3"|"1"|"1942"|"07"|"02"|""|""|"281"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"7"|"5461915.0000"|"06 "|""|"11395534.0000"|" "|"8"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"2/13/2015 5:17:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0213987"|"WARDWELL HOME FOR THE AGING INC"|"562802"|"01-0213987"|"Wardwell Home for the Aging"|"562802"|"0000 "|"03"|"3"|"1"|"1942"|"07"|"02"|""|""|"281"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"7"|"5461915.0000"|"06 "|""|"11395534.0000"|" "|"8"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"2/13/2015 5:17:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|""
"01-0222218"|"HATTIE A AND FRED C LYNAM TRUST"|"101004866"|"01-0222218"|"HATTIE A & FRED C LYNAM TRUST 64"|"120627464"|"0000 "|"03"|"3"|"1"|"2008"|"08"|"04"|"000"|"000"|"000"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"2590537.0000"|"12 "|"T22"|"4552138.0000"|" "|"6"|""|"001"|"?"|"11/20/2009 2:02:00 PM"|"0"|"7/16/2015 6:08:00 PM"|"% BAR HARBOR TRUST SERVICES"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0222218"|"HATTIE A AND FRED C LYNAM TRUST"|"101004866"|"01-0222218"|"HATTIE A & FRED C LYNAM TRUST 64"|"120627464"|"0000 "|"03"|"3"|"1"|"2008"|"08"|"04"|"000"|"000"|"000"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"2590537.0000"|"12 "|"T22"|"4552138.0000"|" "|"6"|""|"001"|"?"|"11/20/2009 2:02:00 PM"|"0"|"7/16/2015 6:08:00 PM"|"% BAR HARBOR TRUST SERVICES"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0222218"|"HATTIE A AND FRED C LYNAM TRUST"|"101004866"|"01-0222218"|"HATTIE A & FRED C LYNAM TRUST 64"|"120627464"|"0000 "|"03"|"3"|"1"|"2008"|"08"|"04"|"000"|"000"|"000"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"2590537.0000"|"12 "|"T22"|"4552138.0000"|" "|"6"|""|"001"|"?"|"11/20/2009 2:02:00 PM"|"0"|"7/16/2015 6:08:00 PM"|"% BAR HARBOR TRUST SERVICES"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0226346"|"Deborah Lincoln House"|"618906"|"01-0226346"|"DEBORAH LINCOLN HOUSE"|"618906"|"0000 "|"03"|"3"|"1"|"1953"|"01"|"02"|""|""|"569"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"09"|"6"|"3734106.0000"|"09 "|""|"6453469.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"8/11/2015 5:39:00 PM"|"% PEGGY SMITH"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0226346"|"Deborah Lincoln House"|"618906"|"01-0226346"|"DEBORAH LINCOLN HOUSE"|"618906"|"0000 "|"03"|"3"|"1"|"1953"|"01"|"02"|""|""|"569"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"09"|"6"|"3734106.0000"|"09 "|""|"6453469.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"8/11/2015 5:39:00 PM"|"% PEGGY SMITH"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0226346"|"Deborah Lincoln House"|"618906"|"01-0226346"|"DEBORAH LINCOLN HOUSE"|"618906"|"0000 "|"03"|"3"|"1"|"1953"|"01"|"02"|""|""|"569"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"09"|"6"|"3734106.0000"|"09 "|""|"6453469.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"8/11/2015 5:39:00 PM"|"% PEGGY SMITH"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0247548"|"Peter G. Hastings & David R. Hastings II, Co-Trustees"|"56860"|"01-0247548"|"THE CLARENCE E MULFORD TRUST"|"56860"|"0000 "|"03"|"3"|"1"|"1965"|"12"|"04"|""|"059"|"328"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"475420.0000"|"12 "|""|"5537742.0000"|" "|"7"|"DAVID R HASTINGS II TRUSTEE"|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|"% PETER G HASTINGS TRUSTEE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0247548"|"Clarence E. Mulford Trust"|"56860"|"01-0247548"|"THE CLARENCE E MULFORD TRUST"|"56860"|"0000 "|"03"|"3"|"1"|"1965"|"12"|"04"|""|"059"|"328"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"475420.0000"|"12 "|""|"5537742.0000"|" "|"7"|"DAVID R HASTINGS II TRUSTEE"|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|"% PETER G HASTINGS TRUSTEE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0247548"|"Clarence E. Mulford Trust"|"56860"|"01-0247548"|"THE CLARENCE E MULFORD TRUST"|"56860"|"0000 "|"03"|"3"|"1"|"1965"|"12"|"04"|""|"059"|"328"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"475420.0000"|"12 "|""|"5537742.0000"|" "|"7"|"DAVID R HASTINGS II TRUSTEE"|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"7/16/2015 6:08:00 PM"|"% PETER G HASTINGS TRUSTEE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0248064"|"Camden Home For Senior Citizens"|"56861"|"01-0248064"|"CAMDEN HOME FOR SENIOR CITIZENS"|"56861"|"0000 "|"03"|"3"|"1"|"1941"|"11"|"02"|""|""|"328"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"05"|"4"|"391916.0000"|"05 "|""|"1092386.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"11/9/2015 8:01:00 PM"|"% JEAN PAYNE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0248064"|"Camden Home For Senior Citizens"|"56861"|"01-0248064"|"CAMDEN HOME FOR SENIOR CITIZENS"|"56861"|"0000 "|"03"|"3"|"1"|"1941"|"11"|"02"|""|""|"328"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"05"|"4"|"391916.0000"|"05 "|""|"1092386.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"11/9/2015 8:01:00 PM"|"% JEAN PAYNE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0248064"|"Camden Home For Senior Citizens"|"56861"|"01-0248064"|"CAMDEN HOME FOR SENIOR CITIZENS"|"56861"|"0000 "|"03"|"3"|"1"|"1941"|"11"|"02"|""|""|"328"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"05"|"4"|"391916.0000"|"05 "|""|"1092386.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"11/9/2015 8:01:00 PM"|"% JEAN PAYNE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0261396"|"Kaler Vaill Memorial Home"|"56826"|"01-0261396"|"Kaler-Vaill Memorial Home"|"101941216"|"0000 "|"03"|"3"|"1"|"1962"|"10"|"02"|""|""|"125"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"6"|"2305822.0000"|"06 "|""|"6790343.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"3/13/2015 5:49:00 PM"|"% PAROLL MGMT"|"12/14/2015 12:00:00 AM"|"25"|""
"01-0261396"|"Kaler Vaill Memorial Home"|"56826"|"01-0261396"|"Kaler-Vaill Memorial Home"|"101941216"|"0000 "|"03"|"3"|"1"|"1962"|"10"|"02"|""|""|"125"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"6"|"2305822.0000"|"06 "|""|"6790343.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"3/13/2015 5:49:00 PM"|"% PAROLL MGMT"|"12/14/2015 12:00:00 AM"|"25"|""
"01-0261396"|"Kaler Vaill Memorial Home"|"56826"|"01-0261396"|"Kaler-Vaill Memorial Home"|"101941216"|"0000 "|"03"|"3"|"1"|"1962"|"10"|"02"|""|""|"125"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"6"|"2305822.0000"|"06 "|""|"6790343.0000"|" "|"7"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"3/13/2015 5:49:00 PM"|"% PAROLL MGMT"|"12/14/2015 12:00:00 AM"|"25"|""
"01-0265587"|"MAINE HIGHER EDUCATION ASSISTANCE FOUNDATION"|"562810"|"01-0265587"|"Higher Education Assistance Foundation"|"562810"|"0000 "|"03"|"3"|"1"|"1958"|"01"|"04"|""|""|"566"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"09"|"2"|"18645.0000"|"09 "|"T20"|"245614.0000"|"Z"|"4"|""|"001"|"Y"|"1/11/1999 12:00:00 AM"|"0"|"3/13/2015 5:49:00 PM"|"% MARC OWEN"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0265587"|"HIGHER EDUCATION ASSISTANCE FOUNDATION"|"562810"|"01-0265587"|"Higher Education Assistance Foundation"|"562810"|"0000 "|"03"|"3"|"1"|"1958"|"01"|"04"|""|""|"566"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"09"|"2"|"18645.0000"|"09 "|"T20"|"245614.0000"|"Z"|"4"|""|"001"|"Y"|"1/11/1999 12:00:00 AM"|"0"|"3/13/2015 5:49:00 PM"|"% MARC OWEN"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0265587"|"HIGHER EDUCATION ASSISTANCE FOUNDATION"|"562810"|"01-0265587"|"Higher Education Assistance Foundation"|"562810"|"0000 "|"03"|"3"|"1"|"1958"|"01"|"04"|""|""|"566"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"09"|"2"|"18645.0000"|"09 "|"T20"|"245614.0000"|"Z"|"4"|""|"001"|"Y"|"1/11/1999 12:00:00 AM"|"0"|"3/13/2015 5:49:00 PM"|"% MARC OWEN"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0277832"|"SIMMONS FOUNDATION-PERKINSTHOMPSON"|"281361"|"01-0277832"|"SIMMONS FOUNDATION INC"|"281361"|"0000 "|"03"|"3"|"1"|"1968"|"01"|"04"|""|"040"|"060"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"406557.0000"|"12 "|""|"2958254.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|"% PACIOS RAUSCH & CHASSE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0277832"|"SIMMONS FOUNDATION - PERKINSTHOMPSON"|"281361"|"01-0277832"|"SIMMONS FOUNDATION INC"|"281361"|"0000 "|"03"|"3"|"1"|"1968"|"01"|"04"|""|"040"|"060"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"406557.0000"|"12 "|""|"2958254.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|"% PACIOS RAUSCH & CHASSE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0277832"|"SIMMONS FOUNDATION - PERKINSTHOMPSON"|"281361"|"01-0277832"|"SIMMONS FOUNDATION INC"|"281361"|"0000 "|"03"|"3"|"1"|"1968"|"01"|"04"|""|"040"|"060"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"406557.0000"|"12 "|""|"2958254.0000"|" "|"6"|""|"001"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|"% PACIOS RAUSCH & CHASSE"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0342663"|"HELEN F WYLIE FOUNDATION"|"562763"|"01-0342663"|"HELEN F WYLIE FOUNDATION"|"107157596"|"0000 "|"03"|"3"|"1"|"1976"|"11"|"04"|"040"|"041"|"043"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"3"|"98121.0000"|"12 "|""|"498688.0000"|" "|"4"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"6/12/2015 7:36:00 PM"|"% MAINE NATIONAL BANK"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0342663"|"HELEN F WYLE FOUNDATION"|"562763"|"01-0342663"|"HELEN F WYLIE FOUNDATION"|"107157596"|"0000 "|"03"|"3"|"1"|"1976"|"11"|"04"|"040"|"041"|"043"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"3"|"98121.0000"|"12 "|""|"498688.0000"|" "|"4"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"6/12/2015 7:36:00 PM"|"% MAINE NATIONAL BANK"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0342663"|"HELEN F WYLIE FOUNDATION"|"562763"|"01-0342663"|"HELEN F WYLIE FOUNDATION"|"107157596"|"0000 "|"03"|"3"|"1"|"1976"|"11"|"04"|"040"|"041"|"043"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"3"|"98121.0000"|"12 "|""|"498688.0000"|" "|"4"|""|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"6/12/2015 7:36:00 PM"|"% MAINE NATIONAL BANK"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0351827"|"HELEN R COE TRUST"|"112723"|"01-0351827"|"HELEN R COE TRUST"|"101042761"|"0000 "|"03"|"3"|"1"|"1977"|"12"|"04"|"040"|"119"|"602"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"4"|"421122.0000"|"03 "|""|"2131045.0000"|" "|"6"|""|"001"|"Y"|"12/3/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|"% MAINE NATIONAL BK"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0351827"|"HELEN R COE TRUST"|"112723"|"01-0351827"|"HELEN R COE TRUST"|"101042761"|"0000 "|"03"|"3"|"1"|"1977"|"12"|"04"|"040"|"119"|"602"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"4"|"421122.0000"|"03 "|""|"2131045.0000"|" "|"6"|""|"001"|"Y"|"12/3/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|"% MAINE NATIONAL BK"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0351827"|"HELEN R COE TRUST"|"112723"|"01-0351827"|"HELEN R COE TRUST"|"101042761"|"0000 "|"03"|"3"|"1"|"1977"|"12"|"04"|"040"|"119"|"602"|"2"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"4"|"421122.0000"|"03 "|""|"2131045.0000"|" "|"6"|""|"001"|"Y"|"12/3/1998 12:00:00 AM"|"0"|"9/19/2015 4:01:00 PM"|"% MAINE NATIONAL BK"|"12/14/2015 12:00:00 AM"|"01"|""
"01-0371179"|"Governor James B. and Helen W. Longley Scholarship Foundation"|"337221"|"01-0371179"|"Governor James B Longley Scholarship Foundation Trust"|"337221"|"0000 "|"03"|"3"|"1"|"0000"|"00"|"04"|""|""|"179"|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"08"|"3"|"44857.0000"|"08 "|""|"239684.0000"|" "|"4"|"KATHRYN M LONGLEY-LEAHY"|"001"|"Y"|"10/1/1998 12:00:00 AM"|"0"|"12/8/2014 5:34:00 PM"|"% NORMAN HANSON & DETROY LLC"|"12/14/2015 12:00:00 AM"|"01"|""
