"EIN"|"ORG_NAME"|"XMLID"
"04-6058434"|"KAUDERS CHARITABLE TRUST"|"690931"
"04-6091333"|"BUSIEL FRANK E TR U/WILL"|"690932"
"04-6091346"|"CHICKERING CAROLINE E TR U/WILL"|"690933"
"04-6091533"|"LAWRENCE DANIEL W TR U/AGREE"|"690934"
"04-6092036"|"RICHARDS HELEN R TR U/WILL"|"690935"
"01-0247548"|"Peter G. Hastings & David R. Hastings II, Co-Trustees"|"715449"
"02-6005559"|"COIT HOUSE"|"715651"
"04-3416831"|"THE STEIN FAMILY FOUNDATION, INC."|"715666"
"04-3493858"|"THE BETE FAMILY FOUNDATION"|"715669"
"04-2104858"|"ROXBURY HOME FOR AGED WOMEN"|"716270"
"04-3542326"|"The Halfway Rock Foundation"|"716287"
"04-2111388"|"The Fitch Home, Inc."|"717289"
"03-6117463"|"JAMES F KELLY AND FERNANDE KELLY CHARITABLE TR 429823016"|"739381"
"01-6065594"|"DOROTHY AMES TRUST 10 -101160032580"|"739382"
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|"739384"
"04-6008730"|"EDWIN M. THAYER TRUST"|"739414"
"04-6033865"|"ARTHUR D. BBDD U/A"|"739416"
"04-6047957"|"HAVERHILL FEMALE BENEVOLENT SOCIETY"|"739418"
"04-6094293"|"TR U/WILL COLMAN BLANCHE E"|"739431"
"04-6917045"|"Timothy G. Taylor Trust of 1997"|"740569"
"04-6046756"|"ROWLAND FOUNDATION INC"|"740770"
"04-6007979"|"EDWIN J CASTLE TRUST NO 3"|"741538"
"04-6092559"|"REED FANNY B TR U/WILL"|"741540"
"01-0371179"|"Governor James B. and Helen W. Longley Scholarship Foundation"|"742141"
"01-0739297"|"39-15C046779631 TWO WEST FOUNDATION"|"742155"
"01-0956020"|"THE MASIMO FOUNDATION FOR ETHICS, INNOVATION AND COMPETITION IN HEALTHCARE"|"742156"
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|"742175"
"04-2275506"|"SERVICE CENTER OF GREATER LAWRENCE, INC."|"742207"
"04-2747025"|"HARRY L. BRADLEY JR CHARITABLE FUND"|"742222"
"04-6009254"|"IDA S. BARTER TRUST"|"742256"
"04-6046234"|"HELEN G. BUDD MEMORIAL FUND"|"742272"
"04-6079166"|"Elisha V. Ashton Trust U/W"|"742274"
"04-6096075"|"FARNSWORTH CHARLES H CHARITABLE TRUST"|"742275"
"04-6768027"|"THE JOSEPH NOVAKOFF CHARITABLE FOUNDATION"|"742289"
"02-6021132"|"MARY LOUISE BILLINGS TRUST"|"773793"
"04-3198713"|"RUSSELL-DAVIDSON FOUNDATION"|"773795"
"03-6064491"|"WILLIAM & GLENNA JAMES SCHOLARSHIP FUND 430053017"|"941098"
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|"941107"
"04-3526188"|"CURVEY FAMILY FOUNDATION"|"941114"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"941116"
"04-6009796"|"ERVANT SERPOSS ACCOUNT"|"941121"
"04-6012597"|"JOHN E SOMERS TRUST 1264001"|"941123"
"04-6039187"|"EDWIN GINN TR-ART XV (11)"|"941130"
"04-6043588"|"ABRAHAM SHAPIRO CHARITY FUND"|"941132"
"04-6135098"|"S ALICE KNAPP TRUST"|"941139"
"04-6183688"|"E MAURAN & J BEALS CHARITABLE TRUST"|"941141"
"04-6533896"|"Elizabeth Whittemore Charitable Trust"|"941146"
"04-6555493"|"VERGOBBI ANGELO TR-SCHOLAR'PS"|"941148"
"04-6617090"|"LUCIA P. FULTON FOUNDATION"|"941150"
"04-6905190"|"THE WATER COVE CHARITABLE FOUNDATION"|"941155"
"02-0582343"|"GEORGE V DURGIN TRUST U/W SCHOLARSHIP FUND"|"959255"
"04-2306840"|"THE SWAN SOCIETY IN BOSTON, INC."|"963326"
"02-0588501"|"THE MADDEN FAMILY FOUNDATION, INC."|"963451"
"04-3414102"|"WILLIAM LOWELL PUTNAM PRIZE FUND FOR THE PROMOTION OF SCHOLARSHIP"|"963458"
"04-3446341"|"THE CHARLES AND CERISE JACOBS CHARITABLE FOUNDATION"|"963460"
"02-6068307"|"RAYMOND L JENKINS CHARITABLE TR #3035010341"|"963812"
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"583843"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"583845"
"01-6040690"|"MEANS ELIZABETH W"|"586710"
"03-6070999"|"HARRY WOLFF TRUST"|"586712"
"04-2103755"|"CHARLESBANK HOMES"|"588012"
"04-6020266"|"E. P. BINNEY CHARITABLE FND"|"588014"
"02-6004792"|"TRUST U/W HERBERT G ABBOT 360090013"|"611085"
"04-2613244"|"JAMES G MARTIN MEMORIAL TRUST"|"611092"
"04-3538929"|"BEN E FACTORS FOUNDATION 7665-7560016259"|"611094"
"04-6599655"|"HATHAWAY MEMORIAL CHARIT TR"|"611101"
"04-6822881"|"ALTURAS ENDOWMENT"|"611103"
"03-6003333"|"FRANCES HICKS MEMORIAL FUND"|"649021"
"04-6061028"|"THE UW HELEN F KIMBALL-THE MOSES KIMBALL FUND FOR PROMOTION OF GOOD CITIZENSHIP"|"649023"
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|"649564"
"04-6091426"|"FAY EUGENE F TR U/WILL"|"691432"
"01-0485292"|"ELLEN M LEACH MEMORIAL HOME"|"691646"
"04-3293595"|"HERBERT AND BARBARA GOLDBERG FOUNDATION"|"692909"
"04-6056949"|"NEWSBOYS READING ROOM ASSOCIATION"|"692916"
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"697780"
"04-6009458"|"CHARLES H PEARSON TRUST"|"697871"
"01-0519446"|"Great Bay Foundation"|"706815"
"01-0756380"|"BANGS FAMILY FOUNDATION"|"706831"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"706863"
"04-3216632"|"CATHERINE & PAUL BUTTENWIESER FOUNDATION"|"707038"
"04-3464899"|"THE RAMSEY MCCLUSKEY FAMILY FOUNDATION"|"707063"
"04-3721096"|"THE BLACK DOG FOUNDATION"|"707083"
"04-2828143"|"BALFOUR GOLD DUSTERS"|"724522"
"04-6020426"|"CHARLES G PRINGLE FOUNDATION"|"724536"
"04-6027776"|"CORNERSTONE FOUNDATION"|"724538"
"04-6092496"|"WARREN FRANCES KNOWLES TR U/IND"|"724545"
"04-6092957"|"FAUNCE EDWARD P TR U/WILL"|"724547"
"04-6477185"|"MEYER HAROLD F TR U/AGREE"|"724554"
"04-2947391"|"THE C JEAN & MYLES MCDONOUGH CHARITABLE FOUNDATION"|"732926"
"02-0386319"|"FOUNDATION FOR SEACOAST HEALTH"|"733096"
"04-2400070"|"LYNN HOME FOR ELDERLY PERSONS"|"734005"
"04-6008332"|"ANDREW W PRESTON CHARITY FD TR"|"734023"
"04-6137368"|"WILLIAM L PULLEN TRUST"|"734030"
"04-6197659"|"JOAN GOODSPEED TR/U/W"|"734032"
"02-6077231"|"MERRIFIELD WOODIS CHARITABLE TRUST 402726012"|"768667"
"02-6086221"|"THE FANNIE COX FOUNDATION"|"768669"
"03-0373301"|"THE DALKYS FOUNDATION"|"768674"
"04-3340006"|"MARTHA R. GERRY TOWNLEY FOUNDATION MARK A. NOWAK, CO-TRUSTEE"|"768690"
"04-3468419"|"EDNAH HORNER CHARITABLE FOUNDATION EASTERN BANK, TRUSTEE"|"768708"
"04-3494341"|"FLORENCE PETRLIK FAMILY FOUNDATION"|"768717"
"04-3778128"|"The Ideker Family Foundation"|"768726"
"04-6038620"|"FLORENCE & ROBERT SPRAGUE FOUNDATION"|"768733"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"768985"
"04-3405965"|"John F. & Dorothy H. Magee Foundation"|"769126"
"04-3408546"|"THE LOCHRIDGE-WATKINS CHAR FD"|"769128"
"04-6010635"|"GLADYS F WILDE TRUST"|"769142"
"04-6020498"|"TUCO GEORGE R WRIGHT/CHARITIES"|"769153"
"04-6023194"|"TR U/W NELSON BAKER"|"769158"
"04-6269700"|"ALTA W FOSTER TRUST"|"773809"
"01-6208130"|"PRYOR E. & ARLENE R. NEUBER CHARITABLE TRUST"|"777637"
"02-0502244"|"LAVOIE FOUNDATION"|"777654"
"02-6015114"|"HUBBARD FARMS CHARITABLE FOUNDATION"|"777671"
"02-6048930"|"Trust UW Oleonda Jameson"|"777672"
"04-3243114"|"THE CREIGHTON NARADA FOUNDATION"|"777738"
"04-6036706"|"JOHN W BOYNTON FUND"|"777772"
"04-6319124"|"TR U/W OF R BABSON ART 25C A & B"|"777804"
"04-6496117"|"HALBERT JOSEPH TUA-SCHOLARSHIPS"|"777805"
"04-2670128"|"MELVIN AND RYNA COHEN FOUNDATION"|"779160"
"04-3402936"|"THE WATTS FAMILY FOUNDATION"|"779274"
"03-0485661"|"JUDSON FAMILY FOUNDATION, INC"|"930224"
"04-3540155"|"MARIANNE J H WITHERBY FOUNDATION"|"935971"
"04-3542759"|"The Downey Family Charitable Foundation"|"935972"
"04-3582759"|"Telemachus and Irene Demoulas Family Foundation"|"935973"
"04-6360057"|"Cheryl Spencer Memorial Foundation"|"935986"
"04-6512451"|"E BROOKS FBO MASS CYSTIC FIBROS"|"935987"
"01-0525593"|"BHBT & JK PETTY TTEES RICHARD S. PETTY CHAR.F DN"|"941084"
"01-0547392"|"Kennebunk Savings Bank Foundation"|"941085"
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|"941086"
"04-2104681"|"Faith Home, Inc."|"573628"
"04-6072512"|"39-398134791148 FRED & SARAH LIPSKY FOUNDATION"|"573629"
"04-6460749"|"ELMER DELOURA FOR SCHOLARSHIPS"|"584493"
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"586094"
"04-3222995"|"MILLER UA MOREY & HELEN SCHOOL"|"586714"
"04-6020389"|"L BIRD-EDWARD V BIRD TRUST"|"586715"
"01-0469155"|"JOHN SAGE FOUNDATION"|"611079"
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10-101230022680"|"611080"
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|"611081"
"04-6026880"|"The Nichols Trust"|"611096"
"04-6038982"|"TR U/W OF ETHEL H BRADLEY"|"611097"
"04-6047689"|"JOHN M THORNE AND ETHEL C THORNE FOUNDATION INC"|"611098"
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"611099"
"01-0546133"|"NARRAGANSETT NUMBER ONE FOUNDATION"|"649018"
"01-6072828"|"TM GOODALL, MW GOODALL & RG PITSTICK TRUST F/B/O HD GOODALL HOSPITAL"|"649020"
"04-6487087"|"HARVEY H & CATHERINE MOSES EDUCATION FUND"|"656404"
"04-6557590"|"WARREN CROSS FOUNDATION"|"656406"
"04-3348263"|"THE BEHRAKIS FOUNDATION"|"691650"
"04-6069834"|"The Fragment Society"|"691652"
"04-2680681"|"ALBERT E. MARKS CHARITABLE TRUST"|"692905"
"04-2733957"|"MELVIN S. CUTLER CHARITABLE FOUNDATION"|"692906"
"04-6208360"|"HAZEL CHASE GIFFORD FUND 31C009011"|"697884"
"04-6740855"|"VERROCHI FAMILY CHARITABLE TRUST"|"697886"
"04-6093374"|"BLANCHARD ARTHUR F TR U/AGREE"|"706124"
"04-6384971"|"FOX MARION TR U/WILL ART 4"|"706126"
"01-0485964"|"JANET H & C HARRY KNOWLES FOUNDATION INC A/K/A KNOWLES SCIENCE TEACHING FD., INC."|"706810"
"01-0626611"|"WALTER PAYNE FOUNDATION"|"706827"
"02-6061000"|"LEON M & HAZEL F FITCH TR FBO CHESHIRE HEATLH FDN 3035010314"|"706892"
"01-6009431"|"CARL E DANFORTH"|"724490"
"01-6027530"|"ABNER E. MORISON TRUST FUND"|"724491"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"724527"
"04-6033568"|"FLORENCE J TRYON TR UW"|"724540"
"04-6039361"|"FISHER AND FUEL SOCIETY OF BEBERLY"|"724541"
"04-6091358"|"CONANT WILLIAM H TR U/IND"|"724543"
"04-6714542"|"V. EUGENE & ROSALIE DEFREITAS CHAR FDN EASTERN BANK, TRUSTEE"|"732931"
"01-0226346"|"Deborah Lincoln House"|"733968"
"04-3356807"|"SOUTH SHORE SAVINGS CHARITABLE FOUNDATION, INC"|"734018"
"04-6749251"|"FIELDS/HANNAGAN/WALTERS FNDN"|"734033"
"04-6133810"|"KARGMAN CHARITABLE & EDUCATIONAL FOUNDATION INC"|"768012"
"01-0567810"|"PATRICIA E. PHELAN AND JOSEPH W. PHELAN FAMILY FOUNDATION INC."|"768631"
"02-6060525"|"LUCY E MANIX DAWSON CHARITABLE TRUST 5122080"|"768662"
"02-6067436"|"BERRY SCHOLARSHIP"|"768664"
"03-6084732"|"Ferdinand & Sarah Cinelli Charitable Trust"|"768679"
"04-3371223"|"Douglas Drane Charitable Trust"|"768697"
"04-3473310"|"THE CRAWFORD IDEMA FAMILY FOUNDATION, INC."|"768713"
"04-6245712"|"PHYLLIS W MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"768746"
"04-6869215"|"THE DICENSO FAMILY CHARITABLE TRUST"|"768762"
"02-0560941"|"NAUGATUCK VALLEY MEDICAL SCHOLARSHIP FUND, INC"|"769031"
"04-6019531"|"JOHN DEFERRARI FOUNDATION"|"769147"
"04-6139771"|"HOWARD WEAVER B/O BEXLEY HALL"|"769178"
"04-6233953"|"DEMOSTHENIS RAPTELIS FOUNDATION"|"769185"
"04-6387282"|"TR U/A C R HASTINGS F/B SPFL"|"769194"
"04-6644099"|"TTEE U/W OF C W BOLLIVAR"|"769201"
"04-3332966"|"BRISTOL COUNTY SAVINGS CHARITABLE FOUNDATION INC"|"936629"
"01-0671468"|"THE CLYDE WILLIAMS FOUNDATION"|"936686"
"03-0490864"|"THE SWINERTON FOUNDATION"|"936693"
