"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVEST_INC_TAX"|"TAX_DUE"
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|"1267243"|"2421.0000"|"21.0000"
"01-6161852"|"ELLEN M CROUCHLEY TR FBO RIDGEFIELD LIB & HIST"|"1267244"|"1146.0000"|""
"01-6162638"|"KAREN ANNE BOLLWERK BURKE AND WILLIAM A BURKE FAMILY CHARITABLE TRUST"|"1267245"|"730.0000"|"52.0000"
"01-6190683"|"ALICE E & JOSEPH C BLEWETT FOUNDATION"|"1267247"|"2018.0000"|"981.0000"
"01-6225742"|"CHRIS HESS FOUNDATION"|"1267248"|"6882.0000"|"3370.0000"
"02-0222148"|"KINGS DAUGHTERS BENEVOLENT ASSN."|"1267249"|"801.0000"|""
"02-0364166"|"STEPHEN P BELL, TIMOTHY A BELL & TRICIA FLYNN CALEY MEMORIAL SCHOLARSHIP 3035001994"|"1267250"|"117.0000"|"17.0000"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"1267251"|"1716.0000"|"1722.0000"
"02-0481954"|"BNH CHARITABLE FOUNDATION"|"1267252"|"7.0000"|""
"02-0500977"|"PUMPKIN HILL FOUNDATION"|"1267253"|"224.0000"|""
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|"1267254"|"478.0000"|"478.0000"
"02-0524940"|"SKRUNGLOO FARM, INC."|"1267256"|"709.0000"|""
"02-0526252"|"The Ayer Scholarship Trust"|"1267257"|"1636.0000"|"1176.0000"
"02-0534833"|"BINZER ISADORE FUND T/A 20-102110409642"|"1267258"|"5327.0000"|""
"02-0539569"|"ELIZABETH MCGEACHIN MCKEE FOUNDATION"|"1267259"|"114.0000"|"114.0000"
"02-0573327"|"BRUCE E. & DEBRA K. GREWCOCK FOUNDATION"|"1267260"|"3227.0000"|"1747.0000"
"02-0583552"|"JAMES R. DOUGHERTY, JR. FOUNDATION, INC."|"1267261"|"4814.0000"|""
"02-0595263"|"GOULD FAMILY FOUNDATION"|"1267262"|"8493.0000"|""
"02-0597036"|"THE CHERICOKE FOUNDATION"|"1267263"|"903.0000"|"107.0000"
"02-0663360"|"JANE AND SAM SUTTON FAMILY FOUNDATION"|"1267264"|"52.0000"|"52.0000"
"02-0735167"|"NANCY JONES BEARD FOUNDATION"|"1267265"|"3444.0000"|""
"02-0762912"|"THE GRAGG FOUNDATION"|"1267266"|"1235.0000"|"0.0000"
"02-0762991"|"JAMES I. PERKINS FAMILY FOUNDATION"|"1267267"|"572.0000"|"0.0000"
"02-0788743"|"ELLIS FAMILY CHARITABLE FOUNDATION"|"1267268"|"2807.0000"|"607.0000"
"02-6003982"|"HELEN BLAKE GILE TR"|"1267269"|"2038.0000"|""
"02-6004243"|"FURBUSH GEORGE T/U/W"|"1267270"|"1669.0000"|""
"02-6004465"|"THE KINGSBURY FUND"|"1267271"|"2328.0000"|"756.0000"
"02-6004971"|"AGNES M. LINDSAY TRUST"|"1267272"|"18334.0000"|"7254.0000"
"02-6005861"|"NEW HAMPSHIRE BALL BEARINGS FOUNDATION"|"1267273"|"0.0000"|"0.0000"
"02-6005885"|"THE BARKER FOUNDATION INC."|"1267274"|"2942.0000"|"510.0000"
"02-6006053"|"THE MCININCH FOUNDATION"|"1267275"|"1276.0000"|"276.0000"
"02-6006598"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|"1267276"|"380.0000"|"88.0000"
"02-6007047"|"LADIES CHARITABLE SOCIETY OF KEENE"|"1267277"|"1192.0000"|"792.0000"
"02-6007195"|"MILFORD HOSPITAL ASSOCIATION"|"1267278"|"1356.0000"|""
"02-6007363"|"GILBERT VERNEY FOUNDATION"|"1267279"|"1515.0000"|""
"02-6007760"|"J WILFRED ANCTIL FOUNDATION"|"1267280"|"470.0000"|""
"02-6013780"|"WILLIAM W. TREAT FOUNDATION"|"1267281"|"704.0000"|""
"02-6014169"|"ELVA S SMITH TRUST U/W 3020000"|"1267282"|"2070.0000"|""
"02-6021132"|"M L BILLINGS TR FBO NH CHARITIES 3035009497"|"1267283"|"995.0000"|"403.0000"
"02-6037670"|"OSCAR J GEORGE TRUST"|"1267284"|"4380.0000"|""
"02-6040429"|"BJB CHARITABLEACCOUNT"|"1267285"|"578.0000"|"393.0000"
"02-6060525"|"CAMBRIDGE TRUST COMPANY 5122080"|"1267286"|"851.0000"|"323.0000"
"02-6065480"|"KEITH HENNEY TRUST"|"1267287"|"551.0000"|""
"02-6067436"|"NHCF JANICE BERRY SCHOLARSHIP"|"1267288"|"462.0000"|""
"02-6090073"|"ANNE SLADE FREY CHARITABLE TRUST"|"1267289"|"94.0000"|"94.0000"
"02-6092657"|"STOKES SCHOLARSHIP TRUST"|"1267290"|"1192.0000"|""
"02-6100725"|"ELIZABETH PARKHILL CHARITABLE TRUST DAVID ROBY & EDWIN CHAMBERLAIN,TRUSTEES"|"1267291"|"102.0000"|"102.0000"
"02-6101659"|"CAROLINE C. LEVINE CHARITABLE TRUST"|"1267292"|"6830.0000"|""
"02-6117755"|"ALDEN N. YOUNG TRUST"|"1267293"|"3917.0000"|"2592.0000"
"02-6123078"|"GRUNBECK JENNIFER & ROBERT FAM FOUND ROBERT & JENNIFER GRUNBECK, CO-TRUSTEES"|"1267295"|"442.0000"|"170.0000"
"02-6123968"|"ROGER R. & THERESA THOMPSON ENDOWMENT F/B/O LOCAL CHARITIES"|"1267296"|"732.0000"|"0.0000"
"02-6124799"|"THE BITTY FOUNDATION"|"1267297"|"167.0000"|"167.0000"
"02-6125090"|"JOHN & MARGARET BRENNAN TRUST . 3030007141"|"1267298"|"1081.0000"|""
"02-6139129"|"GEORGE A STRBA CHARITABLE TRUST"|"1267299"|"5478.0000"|"5507.0000"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|"1267301"|"4480.0000"|"2588.0000"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"1267302"|"41.0000"|"41.0000"
"03-0307532"|"THE PIZZAGALLI FOUNDATION"|"1267303"|"527.0000"|""
"03-0326934"|"CARRIS CORORATE FOUNDATION"|"1267304"|"0.0000"|"0.0000"
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"1267305"|"4106.0000"|""
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|"1267306"|"689.0000"|""
"03-0466957"|"BRINDLE FOUNDATION"|"1267307"|"48951.0000"|"34966.0000"
"03-0514974"|"THE WARREN & BERNICE HENSEL FOUNDATION"|"1267308"|"4702.0000"|"4402.0000"
"03-0536676"|"THE V & L MARX FOUNDATION"|"1267309"|"31946.0000"|"16746.0000"
"03-0541650"|"AMERICO J FRANCISCO CHARITABLE TRUST"|"1267310"|"0.0000"|""
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|"1267313"|"865.0000"|""
"03-6009332"|"CHARITABLE FOUNDATION OF THE BRYANT CHUCKING GRINDER CO."|"1267314"|"173.0000"|"173.0000"
"03-6020099"|"MORTIMER R PROCTOR"|"1267315"|"3082.0000"|"210.0000"
"03-6037557"|"RICHARD F & LENA S BARKER TR FUND 31C078016"|"1267316"|"388.0000"|"20.0000"
"03-6039645"|"ARTHUR J. WHITE & ALICE M. DEMOND 43C060019"|"1267317"|"1991.0000"|"1039.0000"
"03-6057859"|"CORRY MEMORIAL FUND 32C008011"|"1267318"|"1433.0000"|"705.0000"
"03-6059731"|"SCHULTZ-BLACKWELL TRUST"|"1267319"|"437.0000"|"127.0000"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|"1267320"|"1109.0000"|"549.0000"
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|"1267321"|"487.0000"|""
"03-6084732"|"FERDINAND & SARAH CINELLI CHARITABLE TRUST"|"1267322"|"857.0000"|""
"03-6088692"|"S.L. GIMBEL FOUNDATION"|"1267323"|"13486.0000"|"4986.0000"
"03-6090656"|"LLOYD SCHMITZ CHARITABLE TRUST FBO ST. PETER'S UNITED METHODIST CHURCH"|"1267324"|"668.0000"|"188.0000"
"03-6111428"|"KAUFMAN FAMILY FOUNDATION STACEY GERRISH, JENIFER MATHIEU & CFSG CO-TRUSTEES"|"1267326"|"4311.0000"|"2851.0000"
"04-1841679"|"GILLESPIE FAMILY FDN I/AG 20 -102301132700"|"1267327"|"290.0000"|"250.0000"
"04-2062107"|"EVERETT FOUNDATION FOR AGED PERSONS INC"|"1267328"|"1405.0000"|"436.0000"
"04-2104372"|"LATHROP HOME"|"1267329"|""|""
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|"1267330"|"0.0000"|""
"04-2113268"|"SHURTLEFF CHILDRNE'S SERVICES-PRIN"|"1267331"|"6998.0000"|"1898.0000"
"04-2121312"|"COOLIDGE HILL FOUNDATION"|"1267332"|"780.0000"|"184.0000"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|"1267333"|"130.0000"|"28.0000"
"04-2122137"|"WILLIAM ASHTON B/O SHRINERS HOSP"|"1267334"|"503.0000"|"307.0000"
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"1267335"|"932.0000"|""
"04-2660137"|"FOUNDATION FOR RESEARCH IN CELL BIOLOGY CANCER AND CARDIOLOGY"|"1267336"|"4164.0000"|"1909.0000"
"04-2748787"|"KENDRICK FOUNDATION"|"1267337"|"2818.0000"|"834.0000"
"04-2767454"|"JOHN BOLTEN CHARITABLE FOUNDATION"|"1267338"|"951.0000"|"630.0000"
"04-2767462"|"FRANK M. BARNARD FOUNDATION, INC."|"1267339"|"55.0000"|""
"04-2767890"|"HELEN AND GEORGE LADD CHARITABLE CORPORATION #0720995"|"1267340"|"7607.0000"|"4108.0000"
"04-2771098"|"WILLIAM O MOSELEY T/U/I"|"1267341"|"780.0000"|"148.0000"
"04-2946393"|"Sprague Foundation Inc."|"1267342"|"1110.0000"|"0.0000"
"04-2979426"|"THE BEAUCOURT FOUNDATION, INC."|"1267343"|"1467.0000"|"522.0000"
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|"1267344"|"3.0000"|"3.0000"
"04-3000345"|"THE FEIGENBAUM FOUNDATION, INC."|"1267345"|"2502.0000"|"102.0000"
"04-3005593"|"FRASER FAMILY FOUNDATION, INC."|"1267346"|"230.0000"|""
"04-3042476"|"RALPH & HELEN KELLEY FDN"|"1267347"|"18507.0000"|"12959.0000"
"04-3105650"|"THE HANOVER INSURANCE GROUP FOUNDATION, INC."|"1267348"|"2000.0000"|"180.0000"
"04-3122206"|"DUSKY FOUNDATION"|"1267349"|"3186.0000"|""
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC"|"1267350"|"14.0000"|"14.0000"
"04-3161096"|"THE MEZITT HORTICULTURAL FOUNDATION"|"1267351"|"115.0000"|"115.0000"
"04-3165980"|"THE EDGERLY FOUNDATION 02-92827"|"1267352"|"1445.0000"|""
"04-3166698"|"THE KEEL FOUNDATION"|"1267353"|"4102.0000"|"1600.0000"
"04-3175266"|"PUTNAM INVESTMENTS FOUNDATION"|"1267354"|""|"0.0000"
"04-3177775"|"Forest Foundation"|"1267355"|"1481.0000"|"1481.0000"
"04-3189191"|"BOVERI-TRACKMAN FAMILY FOUNDATION, INC."|"1267356"|"1366.0000"|"2.0000"
"04-3211993"|"THE NYPRO FOUNDATION, INC."|"1267357"|"1060.0000"|""
"04-3217038"|"KATHARINE L.W. AND WINTHROP M. CRANE, 3D CHARITABLE FOUNDATION"|"1267358"|"1162.0000"|"107.0000"
"04-3244069"|"THE NEW ENGLAND PATRIOTS CHARITABLE FOUNDATION, INC."|"1267359"|"0.0000"|"0.0000"
"04-3254349"|"FREELANDER FAMILY CHARITABLE TRUST"|"1267360"|"3343.0000"|""
"04-3293081"|"GERALD R JORDAN FOUNDATION"|"1267363"|"77775.0000"|""
"04-3294086"|"THE KRUPP FOUNDATION"|"1267364"|"1872.0000"|""
"04-3338927"|"HAZARD FAMILY FOUNDATION"|"1267365"|"2075.0000"|"2075.0000"
"04-3339062"|"BERT AND BETTY GREENE MEMORIAL FUND"|"1267366"|"0.0000"|""
"04-3340006"|"MARTHA R. GERRY TOWNLEY FOUNDATION -MARK A. NOWAK, CO-TRUSTEE"|"1267368"|"12665.0000"|"9552.0000"
"04-3344681"|"MAZAR FAMILY CHARITABLE FOUNDATION TRUST"|"1267370"|"11243.0000"|""
"04-3359381"|"Courtney and Victoria Buffum Family Foundation"|"1267371"|"282.0000"|"258.0000"
"04-3368079"|"THE AUSOLUS TRUST"|"1267372"|"9682.0000"|""
"04-3368611"|"THE CROZIER FAMILY CHARITABLE FOUNDATION"|"1267373"|"315.0000"|"315.0000"
"04-3371592"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|"1267375"|"646.0000"|"50.0000"
"04-3383943"|"THE NEIL L. THOMPSON FAMILY FOUNDATION INC."|"1267376"|"647.0000"|""
"04-3386858"|"THE MARK D. HOSTETTER AND ALEXANDER N. HABIB FOUNDATION"|"1267377"|"73293.0000"|"52127.0000"
"04-3388562"|"ALAN D. AND SUSAN LEWIS SOLOMONT FAMILY FOUNDATION"|"1267378"|"322.0000"|"322.0000"
"04-3397455"|"THE PROVIDENT COMMUNITY FOUNDATION, INC."|"1267379"|"379.0000"|""
"04-3405965"|"John f & Dorothy H Magee Foundation"|"1267380"|""|"1047.0000"
"04-3407432"|"THE MITCHELL SCHOOL PARENT TEACHER COUNCIL TRUST"|"1267381"|"1.0000"|""
"04-3408546"|"THE LOCHRIDGE-WATKINS CHAR FD"|"1267382"|"2020.0000"|""
"04-3415547"|"THE BAY STATE FEDERAL SAVINGS CHARITABLE FOUNDATION"|"1267383"|"10199.0000"|"5359.0000"
"04-3425084"|"P WILSON, EDWARDS WILDMAN PALMER LLP"|"1267384"|"45.0000"|""
"04-3425988"|"ROBERT AND IRIS FANGER FAMILY FOUNDATION"|"1267385"|"243.0000"|""
"04-3428896"|"THE EDWIN AND SARA BRODY FAMILY CHARITABLE FOUNDATION"|"1267386"|"5.0000"|""
"04-3462645"|"ROHDA FAMILY CHARITABLE FOUNDATION"|"1267387"|"436.0000"|"436.0000"
"04-3469581"|"LLH/LHM FOUNDATION MARY & MARGARET BAIRD, TRUSTEES"|"1267388"|"996.0000"|""
"04-3489966"|"THE FRANCES LEAR FOUNDATION"|"1267390"|"12152.0000"|"0.0000"
"04-3490346"|"ALBERT & AMELIA FERST CHARITABLE FOUNDATION"|"1267391"|"518.0000"|"35.0000"
"04-3492171"|"The Jerry & Adi Greenberg Charitable Foundation"|"1267392"|"305.0000"|""
"04-3493147"|"THE HAMERMESH FAMILY CHARITABLE FOUNDATION"|"1267393"|"174.0000"|""
"04-3493854"|"PRIVITERA FAMILY CHARITABLE FOUNDATION"|"1267394"|"56.0000"|"2.0000"
"04-3493858"|"THE BETE FAMILY FOUNDATION"|"1267395"|"881.0000"|""
"04-3494212"|"LAWRENCE & SUSAN DANIELS FAMILY FOUNDATION"|"1267396"|"452.0000"|"103.0000"
"04-3501266"|"THE THOMPSON FOSTER STREET FOUNDATION INC"|"1267397"|"324.0000"|""
"04-3504566"|"SUMMER STAR FOUNDATION FOR NATURE, ART AND HUMANITY INC."|"1267398"|"2241.0000"|"2041.0000"
"04-3521246"|"MIDDLESEX SAVINGS CHARITABLE FOUNDATION, INC."|"1267399"|"2410.0000"|""
"04-3538396"|"CLINTON SAVINGS CHARITABLE FOUNDATION, INC."|"1267401"|"161.0000"|"161.0000"
"04-3540155"|"MARIANNE J H WITHERBY FOUNDATION"|"1267402"|"550.0000"|"144.0000"
"04-3541560"|"THE GOODTREE/GORDON CHARITABLE FOUNDATION"|"1267403"|"339.0000"|"339.0000"
"04-3541593"|"THE DOWNS FOUNDATION"|"1267404"|"1471.0000"|"1471.0000"
"04-3541595"|"THE SHAPIRO FOUNDATION"|"1267405"|"109385.0000"|"107806.0000"
"04-3542759"|"The Downey Family Charitable Foundation"|"1267406"|"2653.0000"|"1023.0000"
"04-3542811"|"THE TIEDEMANN FOUNDATION"|"1267407"|"146.0000"|"146.0000"
"04-3546250"|"/THE DONNA ANNE POULACK FOUNDATION"|"1267408"|"2208.0000"|""
"04-3551989"|"BARBARA DELINSKY CHARITABLE FOUNDATION"|"1267409"|"2.0000"|"2.0000"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"1267411"|"1227.0000"|"3.0000"
"04-3567545"|"THE CRAWFORD FOUNDATION 23-10371"|"1267412"|"586.0000"|""
"04-3569828"|"HALL FAMILY FOUNDATION"|"1267413"|""|""
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"1267414"|"388.0000"|"92.0000"
"04-3582759"|"TELEMACHUS AND IRENE DEMOULAS FAMILY FOUNDATION"|"1267415"|"4135.0000"|""
"04-3593793"|"THE BORDUI FOUNDATION"|"1267417"|"208.0000"|"0.0000"
"04-3619072"|"JILL & DAVID KRISCHER FAMILY FOUNDATION, INC."|"1267419"|"980.0000"|"80.0000"
"04-3619796"|"THE J. FREUNARD KIM FOUNDATION"|"1267420"|""|""
"04-3700494"|"THE DANKIS CHRISTIAN FOUNDATION, INC."|"1267421"|"1114.0000"|"0.0000"
"04-3729982"|"THE PAUL D. WASSEROTT FOUNDATION"|"1267422"|"5036.0000"|"1760.0000"
"04-3801691"|"EISZNER FAMILY FOUNDATION"|"1267423"|"1110.0000"|"199.0000"
"04-6009552"|"DANIEL W FIELD TRUST"|"1267425"|"18965.0000"|""
"04-6009559"|"IDA S CHARLTON CHARITY FD U/A"|"1267426"|"13555.0000"|""
"04-6009796"|"ERVANT SERPOSS T/U/W"|"1267427"|"3239.0000"|""
"04-6010055"|"JOHN CIFRINO TRUST"|"1267428"|"916.0000"|""
"04-6010266"|"CORNELIUS A & MURIEL P WOOD TUA"|"1267429"|"1993.0000"|"381.0000"
"04-6010445"|"W GERALD MOORE EDUCATIONAL FDN"|"1267430"|"876.0000"|""
"04-6010540"|"IDA S CHARLTON CHARITY FDN U/W"|"1267431"|"3455.0000"|"2763.0000"
"04-6010588"|"LILLIAN M BAKER TRUST"|"1267432"|"445.0000"|""
"04-6010635"|"GLADYS F WILDE T/U/I"|"1267433"|"4228.0000"|""
"04-6012597"|"JOHN E SOMERS TRUST 1264001"|"1267434"|"426.0000"|""
"04-6012742"|"CHARLES A KING U/W-EQUITY"|"1267435"|"47806.0000"|""
"04-6012782"|"HURDLE HILL FOUNDATION"|"1267436"|"485.0000"|""
"04-6015506"|"TTEE U/W OF OLIVER B QUINBY"|"1267437"|""|"97.0000"
"04-6017426"|"A.C. RATSHESKY FOUNDATION"|"1267438"|"3788.0000"|"1637.0000"
"04-6018072"|"G. Peabody & Rose Gardner Charitable Tr."|"1267439"|"4.0000"|""
"04-6018649"|"TR U/W G MEEKINS F/B SO CONG"|"1267441"|"4069.0000"|"1101.0000"
"04-6018676"|"EDWARD WALKER TRUST U/W"|"1267442"|"16361.0000"|""
"04-6018695"|"MARY L PERKINS TRUST U/W"|"1267443"|"4603.0000"|""
"04-6019038"|"JAMES P GRAY"|"1267444"|"7350.0000"|""
"04-6019078"|"BELLE T SMITH"|"1267445"|"4069.0000"|""
"04-6019079"|"GEORGE WALTER VINCENT SMITH"|"1267446"|"2138.0000"|""
"04-6019085"|"ETHAN TAYLOR - BENEVOLENT FUND"|"1267447"|"221.0000"|"117.0000"
"04-6019088"|"WILLIAM B WALKER"|"1267448"|"6728.0000"|"1050.0000"
"04-6019105"|"FREDERICK H GILLETT TUW-YMCA"|"1267449"|"7670.0000"|""
"04-6019184"|"GRACE NOYES B/O 7 CHARITIES"|"1267450"|"1170.0000"|""
"04-6019296"|"FOX FOR STATE OF NH"|"1267452"|"2198.0000"|"898.0000"
"04-6019483"|"DOROTHY WHITNEY CHARITABLE TRUST"|"1267454"|"3533.0000"|"1813.0000"
"04-6019531"|"JOHN DEFERRARI FOUNDATION"|"1267455"|"17426.0000"|"15062.0000"
"04-6019896"|"JH2550"|"1267457"|"30154.0000"|"15354.0000"
"04-6019938"|"BOOTH FOUNDATION THE JH0395"|"1267458"|"130.0000"|""
"04-6020152"|"MCCARTHY FAMILY FOUNDATION"|"1267459"|"5423.0000"|"2223.0000"
"04-6020367"|"HENRY WALKER FOR OTHERS"|"1267460"|"302.0000"|""
"04-6020498"|"TUCO GEORGE R WRIGHT T/U/W"|"1267461"|"6894.0000"|"2857.0000"
"04-6020593"|"CHARLES J DRAPER FOR CHARITY"|"1267462"|"3311.0000"|"2191.0000"
"04-6020729"|"SARAH G MCCARTHY MEMORIAL FDN"|"1267463"|"2310.0000"|"1360.0000"
"04-6021060"|"EMILY F GILL TUA-CHAS ABBEY SCH"|"1267465"|"426.0000"|"46.0000"
"04-6021061"|"J EMMA GRAY TUA"|"1267466"|"15565.0000"|""
"04-6021172"|"NELSON & GERTRUDE HIBBARD IRR UA"|"1267467"|"2451.0000"|"1229.0000"
"04-6023194"|"NELSON M BAKER T/U/W"|"1267468"|"1363.0000"|"853.0000"
"04-6023228"|"MARY M COES CHARITABLE T/U/W"|"1267469"|"2737.0000"|""
"04-6023246"|"TR U/A GEORGE A DIX"|"1267470"|"916.0000"|"103.0000"
"04-6024257"|"EDWARD AUSTIN T/U/W"|"1267471"|"1365.0000"|"565.0000"
"04-6024358"|"JOSEPH H STONE TR U/W TRINITARIAN CHURCH 1266881"|"1267472"|"167.0000"|"115.0000"
"04-6024367"|"CO-TTEE U/W OF JAMES W DUNPHY"|"1267473"|"10702.0000"|""
"04-6024405"|"WILHELMINA W JACKSON T/U/W"|"1267474"|"13052.0000"|"8696.0000"
"04-6024467"|"TTEE U/W OF CHARLES F BACON"|"1267475"|"3684.0000"|""
"04-6024599"|"TTEE U/I OF ELLEN A STONE"|"1267476"|"1990.0000"|"390.0000"
"04-6024752"|"CLINTON G MILLS T/U/I"|"1267478"|"408.0000"|"8.0000"
"04-6024948"|"TR U/I OF CHARLES E KISTLER"|"1267479"|"11170.0000"|"5335.0000"
"04-6024992"|"TTTE U/W OF ALICE SHATTUCK"|"1267480"|"4095.0000"|"1695.0000"
"04-6025012"|"TTEE U/I BY DANIEL O WOLFF"|"1267481"|"1016.0000"|"156.0000"
"04-6025374"|"LOUISE B PHILLIPS T/U/I"|"1267482"|"4955.0000"|"2214.0000"
"04-6025499"|"MARY ALICE FITCH T/U/W"|"1267483"|"3219.0000"|""
"04-6025549"|"CO-TTEE U/W OF EDWIN PHILLIPS"|"1267484"|"20430.0000"|""
"04-6026094"|"GEORGINA B WEST U/W"|"1267485"|"5017.0000"|"217.0000"
"04-6026858"|"CHARLES A. DEAN TRUST DTD 3/12/1913"|"1267486"|"577.0000"|"577.0000"
"04-6027026"|"BRADLEY C. HIGGINS FOUNDATION"|"1267487"|"876.0000"|"38.0000"
"04-6027388"|"GUSTAVE HARTMAN T/U/W"|"1267488"|"6859.0000"|"3159.0000"
"04-6028058"|"AMERICAN OPTICAL FOUNDATION"|"1267489"|"0.0000"|"177.0000"
"04-6028076"|"CO-TR U/A HEALD FOUNDATION"|"1267490"|"154.0000"|"90.0000"
"04-6028085"|"TR U/A ALBERT W RICE CHAR"|"1267491"|"12803.0000"|"4241.0000"
"04-6028852"|"MARGARETTE G CROSSMAN T/U/W"|"1267492"|"3152.0000"|""
