Name	Address	Zipcode	URL_1	URL_2	URL_3
BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA 	76 INDUSTRIAL ST WATERVILLE ME	04901-5774	http://www.maineelks.org/membership.html	https://www.facebook.com/Elks905	https://www.elks.org/lodges/LodgePages.cfm?LodgeNumber=905&ID=10954
INTERNATIONAL ASSOCIATION OF LIONS CLUBS 	PO BOX 627 ELLSWORTH ME	04605-0627	http://www.nonprofitfacts.com/ME/International-Association-Of-Lions-Clubs-Ellsworth-Loins-Club.html	http://greatnonprofits.org/org/international-association-of-lions-clubs-486	http://www.faqs.org/tax-exempt/ME/International-Association-Of-Lions-Clubs-Naples-Lions-Club.html
INDEPENDENT ORDER OF ODD FELLOWS 	PO BOX 16 NEW HARBOR ME	04554-0016	http://www.orgcouncil.com/me/new-harbor/independent-order-of-odd-fellows-817.php	http://www.charityblossom.org/nonprofit/independent-order-of-odd-fellows-new-harbor-me-04554-martin-leeman-010067817/	http://nonprofitlocator.org/organizations/me/new-harbor/010067817-independent-order-of-odd-fellows
FRATERNAL ORDER OF EAGLES 	1327 SABATTUS RD LEWISTON ME	04240-2115	http://www.yellowpages.com/lewiston-me/mip/fraternal-order-of-eagles-455815003	http://aolsvc.mapquest.aol.com/us/maine/business-lewiston/fraternal-order-of-eagles-454330/print	http://www.mapquest.com/us/maine/business-lewiston/fraternal-order-of-eagles-454330
CPORT CREDIT UNION 	50 RIVERSIDE INDUSTRIAL PKWY PORTLAND ME	04103-1426	https://www.cportcu.org/	https://www.cportcu.org/locations-hours/branches/	https://www.cportcu.org/contact-us/
GREENWOOD CEMETERY ASSOCIATION 	PO BOX 1323 BIDDEFORD ME	04005-1323	https://projects.propublica.org/nonprofits/organizations/10083190	http://www.faqs.org/tax-exempt/ME/Greenwood-Cemetery-Association.html	http://nonprofitlocator.org/organizations/me/biddeford/010083190-greenwood-cemetery-association
HARBOR CLUB INC 	PO BOX 884 MOUNT DESERT ME	04660-0884	http://www.faqs.org/tax-exempt/ME/Harbor-Club-Inc.html	https://projects.propublica.org/nonprofits/organizations/10086202	https://www.citizenaudit.org/010086202/
HOPE CEMETERY CORPORATION 	PO BOX 211 KENNEBUNK ME	04043-0211	http://www.hopecemeterykennebunk.com/index.php/news-and-information/contact-us	http://www.hopecemeterykennebunk.com/index.php/8-information?start=8	http://www.hopecemeterykennebunk.com/index.php/news-and-information/directions
IMPROVED ORDER OF REDMEN OF MAINE 	44 THOMAS RD STANDISH ME	04084-5459	http://www.manta.com/c/mb56ryf/improved-order-of-redmen-of-maine	http://www.smallbusinessdb.com/improved-order-of-redmen-of-maine-standish-me-04084.htm	http://www.merchantcircle.com/improved-order-of-redmen-of-maine1-standish-me
INDEPENDENT ORDER OF ODD FELLOWS 	80 CARON LN AUBURN ME	04210-4289	http://www.oddfellowsofmaine.com/	http://www.manta.com/c/mw2mz5n/independent-order-of-odd-fellows-grand-lodge-of-maine	http://www.ioof.org/IOOF/Jurisdictions/USA/State/IOOF/Jurisdictions/USA-ME.aspx
INDEPENDENT ORDER OF ODD FELLOWS 	80 CARON LN AUBURN ME	04210-4289	http://www.oddfellowsofmaine.com/	http://www.manta.com/c/mw2mz5n/independent-order-of-odd-fellows-grand-lodge-of-maine	http://www.yellowpages.com/auburn-me/independent-order-of-odd-fellows
INDEPENDENT ORDER OF ODD FELLOWS 	54 MOUNT EPHRAIM RD SEARSPORT ME	04974-3397	https://www.donationplanet.org/charities/independent-order-of-odd-fellows-4/	http://www.charityblossom.org/nonprofit/independent-order-of-odd-fellows-searsport-me-04974-don-dismore-010095497/	http://www.nonprofitlookup.com/profile/557464.html
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 	PO BOX 1289 LEWISTON ME	04243-1289	http://www.faqs.org/tax-exempt/ME/International-Brotherhood-Of-Electrical-Workers-0567-Local.html	http://www.faqs.org/tax-exempt/ME/International-Brotherhood-Of-Electrical-Workers-1768-Local.html	http://www.ibew104.org/contact-us/
INTERNATIONAL BROTHERHOOD OF TEAMSTERS 	144 THADEUS ST S PORTLAND ME	04106-6239	http://teamsterslocal340.com/?zone=/unionactive/view_page.cfm&page=Retirees	http://www.teamsterslocal340.org/retirees.html	http://www.teamsterslocal340.org/index.cfm?zone=/unionactive/private_view_article.cfm&HomeID=511096
UNITED STEELWORKERS 	PO BOX 1320 BUCKSPORT ME	04416-1320	https://www.donationplanet.org/charities/united-steelworkers/	https://projects.propublica.org/nonprofits/organizations/10095770	http://nonprofits.findthecompany.com/l/166720/United-Steelworkers-in-Bucksport-ME
ISLAND COUNTRY CLUB 	442 SUNSET RD DEER ISLE ME	04627-3869	http://www.islandcountryclub.net/	http://www.islandcountryclub.net/golf.htm	https://www.facebook.com/islandcountryclub
ISLAND HOME CLUB 	156 MEADOW LN NEW GLOUCESTR ME	04260-3630	http://www.manta.com/c/mw22x5f/island-home-club	https://start.cortera.com/company/research/l2k8jym2j/island-home-club/	http://island-home-club.new-gloucester.me.amfibi.directory/us/c/11048508-island-home-club
KENNEBUNK RIVER CLUB 	PO BOX 994 KENNEBUNKPORT ME	04046-0994	http://www.kennebunkriverclub.com/contact.php	http://www.kennebunkriverclub.com/	http://www.kennebunkriverclub.com/cluboverview.php
KIWANIS INTERNATIONAL INC 	499 BROADWAY 253 BANGOR ME	04401-3460	https://www.donationplanet.org/charities/kiwanis-international-inc/	http://www.orgcouncil.com/me/bangor/kiwanis-international-inc-025.php	https://projects.propublica.org/nonprofits/organizations/16018763
KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE 	21 OAK HILL RD OTIS ME	04605-6831	http://www.guidestar.org/ViewPdf.aspx?PdfSource=0&ein=01-0102346	http://www.mainepythian.byethost4.com/mainelodges.htm	http://www.nonprofitfacts.com/ME/Knights-Of-Pythias-Of-Maine-Col-Brewer-Lodge-56-
