"C_EIN"|"C_Org_Name"|"SUPPORTED_ORG_ID"|"XML_DOCUMENT_ID"|"NAME"|"EIN"|"TYPE"|"LISTED_CBX"|"NOTIFY_SUPPORT_CBX"|"SUPPORTED_ORG_US_CBX"|"AMOUNT"|"OTHER_SUPPORT"
"01-0837128"|"Jericho Partnership Inc"|"78977"|"778919"|"Pathways of Danbury Inc"|"06-1496561"|"501(c)(3)"|"N"|"Y"|"Y"|"212000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78978"|"778919"|"Pathways Academy"|"80-0194110"|"501(c)(3)"|"N"|"Y"|"Y"|"480000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78979"|"778919"|"Samantan Health Center"|"75-3258057"|"501(c)(3)"|"N"|"Y"|"Y"|"300000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78980"|"778919"|"Hopelme"|"06-1336310"|"501(c)(3)"|"N"|"Y"|"Y"|"30000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78981"|"778919"|"Athletes of Chnst"|"27-3285633"|"501(c)(3) - pending"|"N"|"Y"|"Y"|"10000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78982"|"778919"|"Bethany Chnstian Serv ices"|"22-2767728"|"501(c)(3)"|"N"|"Y"|"Y"|"8000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78983"|"778919"|"Highways and Hedges"|"05-0584621"|"501(c)(3)"|"N"|"Y"|"Y"|"5000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"78984"|"778919"|"Pathways Danbury Youth Ministnes"|"06-1496561"|"501(c)(3)"|"N"|"Y"|"Y"|"50729.0000"|""
"01-6186835"|"NATIONAL CONFERENCE ON PUBLIC EMPLOYEE RETIREMENT SYSTEMS IRREVOCABLE TRUST"|"79225"|"784910"|"NATIONAL CONFERENCE O"|"31-0729205"|"12"|"Y"|"Y"|"Y"|"850000.0000"|""
"01-0843838"|"LIONS EYE INSTITUTE FOR TRANSPLANT AND RESEARCH FOUNDATION INC"|"79265"|"785913"|"CENTRAL FORIDA LIONS EYE AND TISSUE BANK INC"|"59-1458151"|"509(A)(2)"|"Y"|"Y"|"Y"|"66209.0000"|""
"01-0282768"|"CHI DELTA PHI HOUSE CORP."|"79566"|"789637"|"BOWDOIN COLLEGE"|""|"2"|"Y"|"Y"|"Y"|"12322.0000"|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"79933"|"793361"|"PHILLIPS-STR ICKLAND HOUS"|"01-0342167"|"9"|"Y"|"Y"|"Y"|"483928.0000"|""
"01-6012053"|"Trustees of First Parish in Portland"|"79982"|"794199"|"First Parish Society"|"00-0000000"|"1"|"N"|"Y"|"Y"|"13800.0000"|""
"01-6217452"|"ELLIOT HEALTH SYSTEM PROFESSIONAL & GENERAL LIABILITY INSURANCE TRUST"|"79983"|"794206"|"ELLIOT HOSPITAL"|"02-0232673"|"3"|"Y"|"N"|"N"|"0.0000"|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"80857"|"806377"|"UNIVERSITY OF MAINE SYS"|"01-6000769"|"STATE SCHOOL SYSTEM"|"Y"|"N"|"Y"|"0.0000"|""
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"80858"|"806390"|"MENTAL HEALTH AMERICA GRTR HOUSTON"|"74-1272394"|"7"|"Y"|"Y"|"Y"|"118000.0000"|""
"01-6011388"|"PINE TREE COUNCIL BSATR DTD 1957 449515014"|"80872"|"806399"|"Pine Tree Council B.S.A."|"01-0211490"|"11"|"Y"|"Y"|"Y"|"187516.0000"|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"81031"|"807363"|"MERCY HOSPITAL"|"01-0211534"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82344"|"821357"|"CENTRAL MAINE MEDICAL CENTER"|"01-0211494"|"03"|"Y"|""|""|"34167970.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82345"|"821357"|"CENTRAL MAINE HEART & VASCULAR INSTITUTE"|"54-2078282"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82346"|"821357"|"CMMC COLLEGE OF NURSING AND HEALTH PROF"|"01-0356077"|"02"|"Y"|""|""|"258346.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82347"|"821357"|"CENTRAL MAINE REAL ESTATE MANAGEMENT CO"|"01-0387674"|"0"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82348"|"821357"|"CENTRAL MAINE COMMUNITY HEALTH CORP"|"01-0386912"|"07"|"Y"|""|""|"64085.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82349"|"821357"|"RUMFORD COMMUNITY FAMILY HEALTH CENTER"|"01-0481000"|"03"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82350"|"821357"|"RUMFORD COMMUNITY HOME CORPORATION"|"22-2844951"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82351"|"821357"|"RUMFORD HOSPITAL"|"01-0215227"|"03"|"Y"|""|""|"3219988.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82352"|"821357"|"BRIDGTON HOSPITAL"|"01-0130427"|"03"|"Y"|""|""|"3638296.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82353"|"821357"|"BRIDGTON HOSPITAL PHYSICIANS GROUP"|"01-0493083"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"82354"|"821357"|"ELIAS E TUCKER TRUST FUND"|"01-6042343"|"0"|"Y"|""|""|"0.0000"|""
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"82355"|"821376"|"Cal State UnivChannel Islands"|"91-2153805"|"University"|"N"|"Y"|"Y"|"0.0000"|""
"01-0790428"|"ST JOSEPH HEALTH SYSTEM FOUNDATION"|"82595"|"823311"|"ST JOSEPH HEALTH SYSTEM"|"38-1443395"|"3"|"Y"|"Y"|"Y"|"227840.0000"|""
"01-0717030"|"PORTAGE BAY INSURANCE"|"82765"|"824309"|"UNIV OF WASHINGTON"|"91-6001537"|"6"|"Y"|"Y"|"Y"|"14687244.0000"|""
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"82766"|"824314"|"THE CHESHIRE MEDICAL CENTER"|"02-0354549"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6011528"|"Walter Bisbee Trust"|"82994"|"824633"|"msad 28, Camden Hills High School"|"01-0269114"|"School"|"Y"|""|""|"266100.0000"|""
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"82995"|"824636"|"CITY OF PRESQUE ISLE"|"01-6000033"|"6"|"Y"|"Y"|"Y"|"160884.0000"|""
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"84262"|"830233"|"TOWN OF MT VERNON"|"01-6000283"|"6"|"Y"|"Y"|"Y"|"25811.0000"|""
"01-0211548"|"Rediugton Memorial Hospital Asasotiation"|"84494"|"831624"|"RediNgton Fairview GeNeral Hospital"|"01-0284446"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0606871"|"THE HOUSE NEXT DOOR FAMILY FOUNDATION"|"84495"|"831652"|"THE HOUSE NEXT DODR, INC"|"59-1675284"|"501(C) (3)"|"Y"|""|""|"0.0000"|""
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"84496"|"831654"|"Meritus Medical Center, Inc."|"52-0607949"|"Hospital"|"Y"|"Y"|"Y"|"732717.0000"|""
"01-0760254"|"Penn Foundation Trust"|"84497"|"831660"|"Penn Foundation Inc"|"23-1496225"|"9"|"N"|""|""|"252402.0000"|""
"02-0222123"|"Capital Region Health Care Corporation"|"85657"|"836840"|"CONCORD HOSPITAL INC"|"22-2594672"|"3"|"Y"|"N"|"Y"|"0.0000"|""
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"85681"|"836994"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"9000.0000"|""
"01-0323280"|"Penguis Mental Health Association"|"86022"|"839069"|"Charlotte Whi te Center"|"22-2582271"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-0323280"|"Penguis Mental Health Association"|"86023"|"839069"|"Abbot Group Home"|"22-2582318"|"7"|"N"|"N"|"Y"|"0.0000"|""
"01-0676306"|"Alliance Foundation for Community Health Inc"|"86033"|"839112"|"CAMBRIDGE PUBLIC HEALTH COMMISSION"|"04-3320571"|"06"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"87290"|"845620"|"STUDENTS OF MSAD"|""|""|"N"|"Y"|"Y"|"34412.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87340"|"847937"|"Norumbega Medical Specialists LTD"|"01-0465231"|"9"|"Y"|""|""|"44177.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87341"|"847937"|"The Aroostook Medical Center"|"01-0372148"|"3"|"Y"|""|""|"1340055.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87342"|"847937"|"Eastern Mame HomeCare"|"01-0328442"|"9"|"Y"|""|""|"83913.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87343"|"847937"|"Blue Hill Memonal Hospital"|"01-0227195"|"3"|"Y"|""|""|"1543368.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87344"|"847937"|"Me Inst for Human Genetics & Hlth"|"55-0894346"|"9"|"Y"|""|""|"375857.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87345"|"847937"|"Sebasticook Valley Hospital"|"01-0263628"|"3"|"Y"|""|""|"334496.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87346"|"847937"|"Lakewood A Continuing Care Center"|"01-0421234"|"3"|"Y"|""|""|"104989.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87347"|"847937"|"Inland Hospital"|"01-0217211"|"3"|"Y"|""|""|"1323494.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87348"|"847937"|"CADean Mem Hosp & Nursmg Home"|"04-3341666"|"3"|"Y"|""|""|"601008.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87349"|"847937"|"Acadia Healthcare Inc"|"22-3183888"|"9"|"Y"|""|""|"75543.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87350"|"847937"|"Acadia Hospital Corp"|"01-0459837"|"3"|"Y"|""|""|"3260081.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87351"|"847937"|"Healthcare Charities"|"22-2514163"|"11"|"Y"|""|""|"1870944.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87352"|"847937"|"EMMC Auxiliary"|"01-0377901"|"9"|"Y"|""|""|"5000.0000"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"87353"|"847937"|"Eastern Maine Medical Center"|"01-0211501"|"3"|"Y"|""|""|"32507889.0000"|""
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"87354"|"847938"|"METHODIST HOSPITALS OF DALLAS"|"75-0800661"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0536785"|"UNITY FOUNDATION"|"87450"|"847966"|"Good Will Home Association"|"01-0211508"|"2"|"Y"|"Y"|"Y"|"1780.0000"|""
"01-0536785"|"UNITY FOUNDATION"|"87451"|"847966"|"Unity College"|"01-0275130"|"2"|"Y"|"Y"|"Y"|"60000.0000"|""
"01-0765675"|"JOAN MALE FAMILY SUPPORT CENTER FOUNDATION"|"87452"|"847972"|"FAMILY HELP CENTER, INC."|"22-2219511"|"11"|"Y"|"Y"|"Y"|""|""
"01-0495250"|"Ingraham Housing Corporation"|"87928"|"853388"|"Youth Alternatives Inc"|"01-0316041"|"7"|"N"|"Y"|"Y"|"154065.0000"|""
"01-0818232"|"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION"|"88211"|"855140"|"COMMUNITY CONNECTIONS"|"52-1349382"|"9"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"88212"|"855142"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"2794.0000"|""
"01-0914846"|"COMMUNITY IST-AMERICA'S CHARITIES OF GREATER WASHINGTON DC"|"89042"|"861452"|"AMERICA' S CHARITIES"|"54-1517707"|"7"|"Y"|""|""|"0.0000"|""
"01-0389222"|"TAMC ENDOWMENTS"|"89195"|"862786"|"THE AROOSTOOK MEDICAL CENTER"|"01-0372148"|"3"|"Y"|""|""|"60000.0000"|""
"01-0411788"|"WESTERN MAINE HEALTH CARE CORP"|"89196"|"862788"|"STEPHENS MEMORIAL HOSPITAL ASSOCIATION"|"01-0219904"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0431680"|"MAINEHEALTH"|"89197"|"862789"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"165700.0000"|""
"01-0434215"|"MMC REALTY CORP"|"89198"|"862790"|"MAINE MEDICAL CENTER"|"01-0238552"|"3"|"Y"|"N"|"N"|"0.0000"|""
"01-0560598"|"CHILD DEVELOPMENT CENTER CORPORATION"|"89199"|"862797"|"ASHLAND HOSPITAL CORPORATION DBA KING'S DAUGHTERS MEDICAL CENTER"|"61-0444716"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0906593"|"MANAGEMENT SERVICES, INC"|"89549"|"864969"|"CROSSROADS AT NORTHGLEN ALF"|"94-3324834"|"9"|"Y"|"Y"|"Y"|"559542.0000"|""
"01-0906593"|"MANAGEMENT SERVICES, INC"|"89550"|"864969"|"CROSSROADS AT DELTA ALF"|"94-3324836"|"9"|"Y"|"Y"|"Y"|"116989.0000"|""
