"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"SUPPLEMENT"
"01-0582162"|"CONTEXTUAL FAMILY SERVICES"|"1536522"|""
"01-0610304"|"COMMUNITY HEALTH NETWORK INC"|"1536523"|""
"01-0656156"|"American College of Bankruptcy Foundation"|"1536525"|""
"01-0817613"|"WALKER MINISTRIES INC"|"1536526"|""
"01-0861042"|"WINDAL WALKER EVENGELISTIC MINISTRY INC"|"1536527"|""
"02-0150530"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS 633 TCWH LOCAL"|"1536531"|""
"02-0156800"|"GUARDIAN ANGEL CREDIT UNION"|"1536532"|""
"02-0223334"|"WEBSTER HOUSE"|"1536533"|""
"01-0245910"|"Presque Isle Country Club"|"1538931"|""
"01-0343289"|"Maine State Troopers Association"|"1538932"|""
"01-0370385"|"FRANKLIN COUNTY CHILDREN'S TASK FORCEINC"|"1538933"|""
"01-0377183"|"SUMMER STREET ASSOCIATES CO UPLIFT INC"|"1538934"|""
"01-0477639"|"WELLPOINT RETIREE VEBA TRUST"|"1538935"|""
"01-0734062"|"Automotive Industry Trust"|"1538937"|""
"01-0828143"|"NORTHVILLE AMATEUR RADIO ASSOC INC"|"1538938"|""
"01-0908221"|"HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP"|"1538939"|""
"01-0911420"|"FairVote Minnesota"|"1538940"|""
"01-0943174"|"HOUSE OF JUDAH"|"1538941"|""
"01-6015947"|"Camden Public Library Maintenance Fund"|"1538942"|""
"02-0128010"|"DUBLIN LAKE CLUB"|"1538943"|""
"02-0132120"|"The Farmington Cemetery Association"|"1538944"|""
"01-0220588"|"MAINE BETTER TRANSPORTATION ASSOCIATION"|"1542627"|""
"01-0332352"|"PATTEN HOUSING CORPORATION"|"1542628"|""
"01-0365386"|"ISLAND FALLS HOUSING CORPORATION"|"1542629"|""
"01-0661979"|"MAJESTIC THEATER ASSOCIATION"|"1542630"|""
"01-0095705"|"International Brotherhood of Electrical Workers Local 567"|"1543687"|""
"01-0199142"|"ABENAKEE CLUB"|"1543688"|""
"01-0203708"|"AMERICAN LEGION POST 1"|"1543689"|""
"01-0382676"|"Employees of Municipal and Other Public Employers"|"1543690"|""
"01-0652065"|"THE CAMPUS THEATRE LTD"|"1543691"|""
"01-0897461"|"United African Organization"|"1543692"|""
"01-0914846"|"COMMUNITY 1ST-AMERICA'S CHARITIES OF GREATER WASHINGTON DC"|"1543693"|""
"01-0574137"|"YUMA-SOUTHWEST CONTRACTORS ASSOCIATION"|"1546598"|""
"01-0748205"|"THE FRIENDS OF THALAMUS"|"1546599"|""
"01-0211564"|"UNITED WAY OF ANDROSCOGGIN COUNTY INC"|"1547783"|""
"01-0414169"|"THE WOODLANDS CLUB"|"1547784"|""
"01-0667694"|"Family Health Center of Southern Oklahoma, Inc."|"1547785"|""
"02-0237992"|"American Legion Post #22-Guyer Carignan"|"1547786"|""
"01-0203515"|"SACO VALLEY CREDIT UNION"|"1548620"|""
"01-0540911"|"JANUS SUPPORTIVE LIVING SERVICES INC"|"1548621"|""
"01-0574830"|"NCCNEUMANN SENIOR HOUSING CORPORATION"|"1548622"|""
"01-0601611"|"HARVEY HOUSE LTD"|"1548624"|""
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"1548625"|""
"01-0725431"|"TREASURES 4 TEACHERS INC"|"1548626"|""
"01-0930015"|"Breakforth Ministnes and Consulting Inc"|"1548628"|""
"01-6014031"|"ST MARKS HOME FOR WOMEN"|"1548630"|""
"01-6015613"|"Orr's Island"|"1548631"|""
"01-0647374"|"NATIONAL INSTITUTE FOR CHILDREN'S HEALTH QUALITY, INC."|"1550477"|""
"01-0457499"|"ST MARTIN DE PORRES RESIDENCE INC"|"1551134"|""
"01-6010198"|"AUBURN MASONIC ASSOCIATION"|"1551136"|""
"01-0018927"|"AMERICAN LEGION POST 5 BOURQUE-LANIGAN"|"1552235"|""
"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"1552236"|""
"01-0186800"|"Young Men's Christian Association"|"1552237"|""
"01-0212602"|"Blue Hill Public Library"|"1552238"|""
"01-0281420"|"FORT KENT GOLF CLUB"|"1552239"|""
"01-0317602"|"Oceanview Manor Inc"|"1552240"|""
"01-0481458"|"CHANNING CHAPEL PRESERVATION SOCIETY"|"1552241"|""
"01-0492643"|"Mid Coast Hunger Prevention Program"|"1552242"|""
"01-0507505"|"MAINE DAIRY PROMOTION BOARD"|"1552243"|""
"01-0523209"|"MAINE COMPOSITES ALLIANCE"|"1552244"|""
"01-0523819"|"Mary's Walk"|"1552245"|""
"01-0628727"|"SUNSET WOODS ASSOCIATION"|"1552246"|""
"01-0647817"|"IGLESIA PENTECOSTAL PODER DESDE LO ALTO INC"|"1552247"|""
"01-0670943"|"TORREY PINES POP WARNER INC"|"1552248"|""
"01-0709509"|"Singles Pleasing the Lord Inc"|"1552249"|""
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"1552250"|""
"01-0724516"|"ORGANIZACION DE IGUALDAD DE DERECHOS"|"1552251"|""
"01-0760818"|"DELAWARE STORM TRAVEL TEAMS I"|"1552252"|""
"02-0103705"|"AMERICAN LEGION"|"1552254"|""
"01-0361797"|"SEBAGO LAKES REGION CHAMBER OF COMMERCE"|"1555181"|""
"01-0207850"|"AMERICAN LEGION GROVER HINCKLEY POST 14"|"1556188"|""
"01-0242328"|"Bucks Harbor Yacht Club"|"1556189"|""
"01-0272150"|"Harbor House Community Service Center"|"1556190"|""
"01-0357548"|"THE CONSERVATION TRUST OF BROOKSVILLE CASTINE & PENOBSCOT"|"1556191"|""
"01-0390410"|"MAINE SELF-INSURANCE GUARANTEE ASSOCIATION"|"1556192"|""
"01-0458555"|"SCARBOROUGH FISH & GAME ASSOCIATION"|"1556194"|""
"01-0593756"|"THE HERITAGE SOCCER CLUB, INC."|"1556195"|""
"01-0649812"|"TWINSBURG YOUTH SOFTBALL LEAGUE INC"|"1556196"|""
"01-0749557"|"THE FIRST TEE OF NEW HAMPSHIRE, INC."|"1556197"|""
"01-0791649"|"THE PROMISED LAND FOUNDATION INC"|"1556198"|""
"01-0959428"|"GROW FOOD NORTHAMPTON INC"|"1556199"|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"1558085"|"PART I-A, LINE 1 DURING SIGNIFICANT ELECTION YEARS, VOLUNTEERS HOURS AND STAFF USE TIME TOWARDS CANDIDATE ENDORSEMENTS"
"01-0518900"|"THE POPTECH INSTITUTE"|"1558086"|""
"01-0131390"|"OAKDALE COUNTRY CLUB"|"1560027"|""
"01-0131770"|"ODD FELLOWS HALL CO OF DEERING IOOF 6"|"1560028"|""
"01-0135937"|"LE PASSE-TEMPS INC"|"1560029"|""
"01-0206386"|"BLUE HILL COUNTRY CLUB INC"|"1560030"|""
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"1560031"|""
"01-0288542"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL #2327"|"1560033"|""
"01-0340560"|"Yarmouth Senior Housing Inc"|"1560034"|""
"01-0366464"|"KATAHDIN SHARED SERVICES INC"|"1560035"|""
"01-0369904"|"CASA INC"|"1560036"|""
"01-0371037"|"UNION COUNTRY CLUB INC"|"1560037"|""
"01-0371869"|"BOOTHBAY REGION LAND TRUST"|"1560038"|""
"01-0372129"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|"1560039"|""
"01-0376890"|"Pines Health Services"|"1560040"|""
"01-0386284"|"HOPE HAVEN GOSPEL MISSION INC"|"1560041"|""
"01-0436438"|"Northern Oxford Regional Ambulance Service"|"1560042"|""
"01-0451441"|"NEW LIFE MISSION"|"1560043"|""
"01-0482767"|"Peaks Island Children's Workshop"|"1560044"|""
"01-0505433"|"WATERVILLE REGIONAL ARTS AND COMMUNITY CENTER"|"1560045"|""
"01-0508136"|"FRIENDS OF THE KENNEBEC RIVER RAIL TRAIL INC"|"1560046"|""
"01-0509087"|"HALL-DALE AFTER SCHOOL PROGRAM"|"1560047"|""
"01-0522241"|"ECOLOGY EDUCATION INC"|"1560048"|""
"01-0543385"|"Mt Blue Community Access TV Inc"|"1560049"|""
"01-0558961"|"HARRISBURG CULTURAL & SOCIAL SERVIC"|"1560050"|""
"01-0582284"|"COMMUNITY CONNECTIONS INC"|"1560052"|""
"01-0601585"|"OWEN HOUSE LTD"|"1560053"|""
"01-0665790"|"Council of State Historical Records Coordinators, Inc."|"1560054"|""
"01-0692354"|"International Collegiate Licensing Association"|"1560056"|""
"01-0716364"|"Branch Brook Park Alliance, Inc"|"1560057"|""
"01-0729841"|"LOVE INC OF GREATER SHELDON"|"1560058"|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"1560059"|""
"01-0775286"|"CAMBRIDGEGUERNSEY COUNTY VISITORS & CONVENTION BUREAU"|"1560060"|""
"01-0777386"|"ROCHESTER NY CHAPTER NECA INC"|"1560061"|""
"01-0790641"|"J AUSTIN WHITE CULTURAL CENTER INC"|"1560062"|""
"01-0803067"|"EAST BAY GOLF FOUNDATION"|"1560063"|""
"01-0917763"|"CAROLINA CHRISTIAN FOUNDATION INC"|"1560065"|""
"01-0964541"|"PRAISEALUJAH DISCIPLESHIP"|"1560067"|""
"01-6020038"|"CAMDEN FIRST AID ASSOCIATION"|"1560069"|""
"01-6045966"|"SOUTH PORTLAND HISTORICAL SOCIETY"|"1560071"|""
"02-0185360"|"Rochester Cemetery Association"|"1560072"|""
"01-0499703"|"REM"|"1565775"|""
"01-0505151"|"PROFESSIONAL LOGGING CONTRACTORS OF MAINE"|"1565776"|""
"01-0812774"|"Bonfield Exress Foundation"|"1565777"|""
"01-0332353"|"CORINTH HOUSING CORPORATION"|"1566013"|""
"01-0571372"|"Gandhi Memorial Trust Fund N F P"|"1566015"|""
"01-0574719"|"Carver Heights Ministries Inc."|"1566016"|""
"01-0212178"|"AMERICAN LEGION POST 158 COOMBS-MONTFORT"|"1567745"|""
"01-0223898"|"WINDSOR FAIR"|"1567746"|""
"01-0262394"|"LOUIS T GRAVES MEMORIAL PUBLIC LIBRARY"|"1567748"|""
"01-0284906"|"YORK COMMUNITY SERVICE ASSOCIATION"|"1567749"|""
"01-0317899"|"DOVER-FOXCROFT HOUSING DEVELOPMENT CORPORATION"|"1567750"|""
"01-0327007"|"BETHEL HISTORICAL SOCIETY"|"1567751"|""
"01-0357595"|"Somerset Humane Society"|"1567752"|""
"01-0363873"|"NATIONAL RURAL HEALTH ASSOCIATION"|"1567753"|""
"01-0363879"|"Pinewood Manor Inc"|"1567754"|""
"01-0376696"|"BIRCH ROCK CAMP"|"1567755"|""
"01-0421974"|"ORR'S AND BAILEY ISLANDS FIRE DEPARTMENT"|"1567756"|""
"01-0446468"|"Kennebec Estuary Land Trust"|"1567760"|""
"01-0478977"|"BIDDEFORD FREE CLINIC"|"1567761"|""
"01-0484793"|"TABLE OF PLENTY"|"1567762"|""
"01-0495974"|"ACADIA WILDLIFE FOUNDATION"|"1567763"|""
"01-0503294"|"MCKEEN STREET LEARNING CENTER"|"1567764"|""
"01-0548371"|"Muslim Legal Fund of Amenca"|"1567765"|""
"01-0554374"|"THE PENINSULA COMMUNITY FOUNDATION"|"1567766"|""
"01-0565782"|"The China Training Network"|"1567767"|""
"01-0589194"|"Brazilian Arts Foundation"|"1567768"|""
"01-0747396"|"VOUGHT AIRCRAFT HERITAGE FOUNDATION"|"1567772"|""
"01-0759974"|"THOUSAND ISLANDS EMERGENCY RESCUE SERVICE INC"|"1567773"|""
"01-0777882"|"COMMUNITY HOUSING III INC"|"1567774"|""
"01-0781452"|"NASHVILLE RBI INC"|"1567775"|""
"01-0796325"|"Glennwood Foundation Inc."|"1567776"|""
"01-0837280"|"Galveston-Houston Knights of Columbus Charities, Inc."|"1567778"|""
"01-0893778"|"WILLMAR AREA MULTICULTURAL BUSINESS CENTE"|"1567779"|""
"01-0953997"|"BEACON OF HOPE MINISTRIES"|"1567780"|""
"01-6010068"|"FARMINGTON PUBLIC LIBRARY ASS"|"1567781"|""
"01-6013593"|"Telephone Association of Maine"|"1567782"|""
"01-6072252"|"TRUSTEES OF LOT OWNERS OF RIVERSIDE CEMETERY UNITRUST"|"1567783"|""
"01-6149025"|"The Mark and Emily Turner Mamorial Library Charitable Trust"|"1567784"|""
"01-0651559"|"Clarendon Hills Park Foundation"|"1573723"|""
"01-0847951"|"MOORPARK SAINTS PYFL"|"1573724"|""
"01-6021180"|"Maine Beer & Wine Wholesalers Assoc., Inc."|"1573935"|""
"01-0590995"|"Animal Advocates of Moore County INC"|"1574296"|""
"01-0642220"|"4 S FOUNDATION INC"|"1574298"|""
"01-6029434"|"MAINE CHIROPRACTIC ASSOCIATION, INC."|"1574301"|""
"02-0208422"|"Veterans of Foreign Wars Post #168"|"1574303"|""
"01-0375377"|"ALLAGASH DEVELOPMENT CORPORATION"|"1575126"|""
"01-0621026"|"INSTITUTO MAZATRAN BELLAS ARTES DE SACRAMENTO"|"1575128"|""
"01-0651449"|"SERENE LIGHT INC"|"1575129"|""
"01-0761875"|"LOS ANGELES PRESS CLUB"|"1575130"|""
"01-0966602"|"JESUS AND MARY HOPE MINISTRY"|"1575131"|""
"02-0107545"|"BEACH CLUB, INC."|"1575787"|""
"01-0412221"|"Maine Council of Self insurers"|"1576384"|""
"01-0452403"|"DOWNEAST INSTITUTE FOR APPLIED MARINE RESEARCH AND EDUCATION, INC."|"1576385"|""
"01-0614718"|"Cornerstone Chinese Bible Church of TX"|"1576388"|""
"01-0788484"|"Windmoor Foundation, Inc."|"1576391"|""
"01-0805301"|"Hobby Radio Inc"|"1576393"|""
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"1577958"|""
"01-0342399"|"ST ANDRE HEALTH CARE FACILITY"|"1577959"|""
"01-0455163"|"SAMOSET FIRE COMPANY OF BRISTOL BRISTOL FIRE AND RESCUE"|"1577960"|""
"01-0552288"|"THE FG FOUNDATION"|"1577962"|""
"01-0674962"|"SHINER NURSING & REHAB CENTER INC"|"1577963"|""
"01-0583485"|"South Martin Conservation Alliance, Inc"|"1578753"|""
"01-0966281"|"IGLESIA DEL DIOS VIVIENTE"|"1578758"|""
"01-6157155"|"Sanford Springvale Mousam Way Land Trust"|"1578759"|""
"01-0440342"|"BETHEL AREA CHAMBER OF COMMERCE"|"1580316"|""
"01-0861643"|"PUTNAM LAND CONSERVANCY, INC"|"1580317"|""
"01-0883506"|"NEW MEXICO YOUTH TENNIS FOUNDATION"|"1580318"|""
"01-0930709"|"Glenwood Family Ministries"|"1580532"|""
"01-0563040"|"Servant's Heart Camp Ministries"|"1580557"|""
"01-0884285"|"CATS LEAGUE AND ASSISTANCE OF WESTERN SLOPE"|"1580559"|""
"01-6009643"|"Academv Trust of Frvebura"|"1580561"|""
"01-6012127"|"Bridgton Scholarship Foundation"|"1580563"|""
"01-0261000"|"SABATTUS REGIONAL CREDIT UNION"|"1582539"|""
"01-0323915"|"Ambulance Service Inc"|"1582540"|""
"01-0377308"|"BELGRADE LAKES ASSOCIATION"|"1582541"|""
"01-0484605"|"ALBION ASSOCIATES"|"1582543"|""
"01-0520715"|"CARLISLE CHARITABLE FOUNDATION (FORMERLY EQUEST FOUNDATION)"|"1582544"|""
"01-0538200"|"EDGECOMB WOODS"|"1582545"|""
