"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FORM_1096"|"W_2G"|"ALL_YEAR_EMPLOYEES"|"UNRELATED_BUSINESS_CBX"|"FORM_990_T_CBX"|"FOREIGN_ACCOUNT_CBX"|"NAME_COUNTRY"|"TAX_SHELTER_CBX"|"SOLICIT_GIFTS_CBX"|"TAX_DEDUCT_CBX"|"FUNDS_PBC_CBX"|"PREMIUMS_PBC_CBX"|"EXCESS_BUSINESS_HOLDINGS_CBX"|"TAXABLE_DIST_4966_CBX"|"DONOR_DIST_CBX"|"SCH_O_V_CBX"|"MULTISTATE_PLANS_CBX"|"RESERVES_REQUIRED_AMT"|"RESERVES_ONHAND_AMT"|"INDOOR_TANNING_CBX"|"FORM_720_CBX"
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST. MARY'S"|"706820"|"4"|"0"|"11"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"696910"|"149"|"0"|"152"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0237244"|"LEE ACADEMY"|"696914"|"18"|"0"|"124"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTEM INC"|"696937"|"2"|"0"|"39"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"715187"|"8"|"0"|"8"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"715190"|"0"|"0"|"55"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0314110"|"AMICUS"|"715589"|"9"|"0"|"239"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"734868"|"43"|""|"64"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"734880"|"7"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0740130"|"RIO HONDO COMMUNITY DEVELOPMENT CORPORATION"|"734886"|"6"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0316964"|"RILEY SCHOOL, INC."|"721181"|"477907"|"0"|"19"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"721187"|"3"|"0"|"118"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"724479"|"4"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0343943"|"SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE"|"734862"|"8"|"0"|"14"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0355212"|"MAINE STATE MUSIC THEATRE"|"734865"|"17"|"0"|"120"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0211509"|"GOULD ACADEMY"|"743427"|"83"|"0"|"136"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0229448"|"Trustees of Washmgton Academy"|"743429"|"38"|"0"|"155"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0263385"|"Thomas College"|"743431"|"36"|"0"|"399"|"N"|"N"|"N"|""|"N"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0348331"|"CHOCOLATE CHURCH ARTS CENTER"|"743439"|"21"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0469062"|"INDEPENDENT SCHOOLS ASSOCIATION OF NORTHERN NEW ENGLAND"|"743447"|"0"|"0"|"3"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0735034"|"REED ACADEMY"|"743452"|"24"|"0"|"43"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"02-0211966"|"VETERANS OF FOREIGN WARS - POST 1670"|"734896"|"2"|"0"|"11"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0597318"|"DARE EDUCATION FOUNDATION INC"|"739192"|"0"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"739346"|"7"|"1"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0222254"|"YWCA OF NEW HAMPSHIRE"|"739355"|"15"|"0"|"31"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0722629"|"MARIE A. MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"741497"|"8"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|"Y"|""|""|""|"N"|""
"01-0332353"|"CORINTH HOUSING CORPORATION"|"723236"|"5"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0702442"|"NC IDEA"|"742153"|"11"|"0"|"0"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"725848"|"29"|"0"|"117"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0332058"|"Hancock County Auditorium Associates"|"725855"|"17"|"0"|"15"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"Y"|""|""|""|"N"|""
"01-0353371"|"Salt, Inc."|"725861"|"3"|"0"|"16"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0355090"|"LOVEJOY HEALTH CENTER, INC"|"725862"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0355896"|"JOHN F MURPHY HOMES INC"|"725863"|"22"|"0"|"647"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0369793"|"Facilities Inc"|"725869"|"33"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0384833"|"Big Brothers Big Sisters of Midcoast Mai"|"725873"|"1"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0416755"|"MAINE CENTER ON DEAFNESS"|"725878"|"9"|"0"|"12"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"725890"|"0"|"0"|"36"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0687220"|"LAGUNA NIGUEL SOCCER CLUB INC"|"725892"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"725894"|"8"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0732696"|"FAMILY SUPPORT ORGANIZATION OF UNION COUNTY INC"|"725895"|"0"|"0"|"12"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0916759"|"KIPP ST. LOUIS"|"725904"|"29"|"0"|"19"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|""|""|""|""|""|""|"N"|""
"02-0150530"|"TEAMSTERS LOCAL UNION NO 633 OF NH"|"733021"|"51"|"0"|"38"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0448173"|"Center for Teaching and Learning"|"733970"|"6"|"0"|"18"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0534548"|"Community Care"|"733974"|"23"|"0"|"144"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0640027"|"MGM Resorts Foundation"|"733976"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0717546"|"MAINE APPALACHIAN TRAIL LAND TRUST"|"742154"|"0"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0563040"|"Servant's Heart Camp Ministries"|"747012"|"8"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0375377"|"ALLAGASH DEVELOPMENT CORPORATION"|"761650"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0196359"|"THE IRIS NETWORK"|"747789"|"11"|"0"|"56"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0329208"|"AMERICAN VETERANS WWII, POST NUMBER"|"760848"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0332352"|"PATTEN HOUSING CORPORATION"|"761644"|"0"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0365386"|"ISLAND FALLS HOUSING CORPORATION"|"761648"|"0"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0202445"|"Grindstone Association"|"747004"|"3"|"0"|"12"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0567964"|"California Tamil Academy"|"762095"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0221344"|"BRIDGTON ACADEMY"|"749419"|"10"|"0"|"124"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0342859"|"SPORTS PROJECTS INC"|"749428"|"0"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|"Y"|""|""|""|"N"|""
"01-0352636"|"FAMILY CRISIS SERVICES"|"749431"|"9"|"0"|"28"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0440182"|"ST. XAVIER'S HOME"|"749434"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0594835"|"Oakland Kids First"|"749454"|"4"|"0"|"9"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0164055"|"MASONIC BUILDING ASSOCIATION"|"754939"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0371971"|"MIDTOWN ATHLETIC CLUB"|"755739"|"0"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0544094"|"BRIXHAM MONTESSORI FRIENDS SCHOOL"|"755744"|"0"|"0"|"20"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0783081"|"Chinese American Cooperation Council"|"755746"|"58"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0283794"|"Maine Health Care Association"|"758143"|"26"|"0"|"9"|"N"|""|"N"|""|"N"|"Y"|"Y"|""|""|""|""|""|""|""|""|""|"N"|""
"01-0363316"|"OAKFIELD HOUSING CORPORATION"|"758343"|"0"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0688221"|"FILM CLIPS SPIRIT OF AMERICA"|"758352"|"0"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0693025"|"GILLOURY INSTITUTE"|"758355"|"48"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
