"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VII_ID"|"xml_document_id"|"DESCRIPTION_SECURITY"|"METHOD_EOY_MARKET_VALUE"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"61693"|"696908"|"MAINE COMMUNITY FOUNDATION"|"END OF YEAR MARKET VALUE"
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"61696"|"696960"|"INVESTMENT IN AFFILIATES"|"COST"
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"61697"|"696987"|"Closely-held equity interests"|"END-OF-YEAR MARKET VALUE"
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"61698"|"696991"|"Financial derivatives"|"END OF YEAR MARKET VALUE"
"01-0228262"|"Northeast Hearing & Speech Center, Inc."|"63123"|"706787"|"Publicly traded stocks, bonds, mutual funds"|"End-of-Year Market Value"
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"63125"|"706797"|"US TREASURY NOTES & INDEXED STOCK FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0555559"|"ECS MINISTRIES"|"63126"|"706823"|"MONEY MARKET FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0555559"|"ECS MINISTRIES"|"63127"|"706823"|"CERTIFICATE OF DEPOSIT"|"END-OF-YEAR MARKET VALUE"
"01-0555559"|"ECS MINISTRIES"|"63128"|"706823"|"COMMON STOCK"|"END-OF-YEAR MARKET VALUE"
"01-6047288"|"MOUNT DESERT NURSERY SCHOOL"|"64859"|"717284"|"MORGAN STANLEY"|"Cost"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"65889"|"724489"|"1,538.0000 SHS VANGUARD MSCI EMERGING"|"END-OF-YEAR MARKET VALUE"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"65890"|"724489"|"10,167.8750 SHS LITMAN GREGORY MASTERS - INTL FD"|"END-OF-YEAR MARKET VALUE"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"65891"|"724489"|"11,980.4940 SHS LITMAN"|""
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"65892"|"724489"|"GREGORY MASTERS - EQTY FD INST"|"END-OF-YEAR MARKET VALUE"
"01-0355896"|"JOHN F MURPHY HOMES INC"|"66194"|"725863"|"U S GOVERNMENT OBLIGATIONS"|"F"
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"66195"|"725872"|"STOCKS"|"F"
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"66196"|"725872"|"MUTUAL FUNDS"|"F"
"01-0665300"|"BARTRAM TRAIL CDC INC"|"66197"|"725891"|"BOND ISSUE COSTS"|"C"
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"66198"|"725894"|"Financial derivatives"|"End-of-Year Market Value"
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"66199"|"725894"|"Closely-held equity interests"|"End-of-Year Market Value"
"01-0831698"|"Jewish Community Foundation"|"66200"|"725901"|"CSV - LIFE INSURANCE"|"F"
"01-0831698"|"Jewish Community Foundation"|"66201"|"725901"|"SPLIT INTEREST GIFTS"|"F"
"01-0831698"|"Jewish Community Foundation"|"66202"|"725901"|"REAL ESTATE"|"C"
"01-0831698"|"Jewish Community Foundation"|"66203"|"725901"|"LIMITED PARTNERSHIPS"|"C"
"01-0831698"|"Jewish Community Foundation"|"66204"|"725901"|"LOAN PARTICIPATION AGREEMENTS"|"F"
"01-0220430"|"THE LINCOLN HOME"|"67209"|"733966"|"CASH AND CASH EQUIVALENTS"|"F"
"01-0220430"|"THE LINCOLN HOME"|"67210"|"733966"|"CORPORATE NOTES"|"F"
"01-0220430"|"THE LINCOLN HOME"|"67211"|"733966"|"US GOVERNMENT OBLIGATIONS"|"F"
"01-0534548"|"Community Care"|"67212"|"733974"|"Buildings held for sale"|"End-of-Year Market Value"
"02-0150530"|"TEAMSTERS LOCAL UNION NO 633 OF NH"|"67394"|"733021"|"CERTIFICATES OF DEPOSIT"|"END-OF-YEAR MARKET VALUE"
"02-0150530"|"TEAMSTERS LOCAL UNION NO 633 OF NH"|"67395"|"733021"|"INVESTMNT IN AFFILIATE"|"COST"
"01-0211565"|"WAYNFLETE SCHOOL"|"67426"|"734859"|"COMMON FUND"|"F"
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"67427"|"734868"|"INVESTMENT IN FOUNDATION'S NET"|"MARKET"
"01-0430261"|"MAINE WOMEN'S FUND"|"67428"|"734871"|"MARKETABLE EQUITY SECURITIES"|"F"
"01-0430261"|"MAINE WOMEN'S FUND"|"67429"|"734871"|"INTERNATIONAL FUNDS"|"F"
"01-0430261"|"MAINE WOMEN'S FUND"|"67430"|"734871"|"US TREASURY NOTES AND OBLIGATIONS OF VERNMENT AGENCIES"|"F"
"01-0430261"|"MAINE WOMEN'S FUND"|"67431"|"734871"|"CORPORATE BONDS"|"F"
"01-0430261"|"MAINE WOMEN'S FUND"|"67432"|"734871"|"MONEY MARKET ACCOUNT"|"F"
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"67433"|"734880"|"COMMONWEALTH FINANCIAL NETWORK"|"END-OF-YEAR MARKET VALUE"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"68042"|"739173"|"RAYMOND JAMES"|"F"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"68043"|"739173"|"CHARLES SCHWAB"|"F"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"68044"|"739173"|"BAR HARBOR BANK & TRUST"|"F"
"01-0269802"|"GIRL SCOUTS OF MAINE INC"|"68045"|"739182"|"BENEFICIALINTEREST IN PERPETUALTRUST"|"F"
"01-0211484"|"Bangor Theological Seminary"|"68283"|"741492"|"Beneficial Interest in Perpetual Trusts"|"End-of-Year Market Value"
"01-0211484"|"Bangor Theological Seminary"|"68284"|"741492"|"Equity and bond mutual funds held in the Commonfund"|"End-of-Year Market Value"
"01-0398692"|"Sheepscot Valley Children's House"|"68362"|"742143"|"50shs Standard and Poors"|"Cost"
"01-0398692"|"Sheepscot Valley Children's House"|"68363"|"742143"|"Franklin Custodian Funds"|"Cost"
"01-0702442"|"NC IDEA"|"68364"|"742153"|"MCNC Enterprise Fund LP"|"End-of-Year Market Value"
"01-0702442"|"NC IDEA"|"68365"|"742153"|"IDEA Fund I LP"|"End-of-Year Market Value"
"01-0702442"|"NC IDEA"|"68366"|"742153"|"Forester Partners, LP"|"End-of-Year Market Value"
"01-0702442"|"NC IDEA"|"68367"|"742153"|"Southeast Technology Fund II"|"End-of-Year Market Value"
"01-0702442"|"NC IDEA"|"68368"|"742153"|"Southeast Technology Fund III"|"End-of-Year Market Value"
"01-0702442"|"NC IDEA"|"68369"|"742153"|"Piedmont Venture Partnership LP"|"End-of-Year Market Value"
"01-0702442"|"NC IDEA"|"68370"|"742153"|"Champion Ventures"|"FMV"
"01-0702442"|"NC IDEA"|"68371"|"742153"|"TIFF Multi Asset Fund"|"FMV"
"01-0702442"|"NC IDEA"|"68372"|"742153"|"ISIC Corporation"|"FMV"
"01-0702442"|"NC IDEA"|"68373"|"742153"|"Triumfant"|"FMV"
"01-0702442"|"NC IDEA"|"68374"|"742153"|"Southeast Techinventures Inc."|"FMV"
"01-0702442"|"NC IDEA"|"68375"|"742153"|"Affinergy Inc."|"FMV"
"01-0702442"|"NC IDEA"|"68376"|"742153"|"InnerPulse"|"FMV"
"01-0702442"|"NC IDEA"|"68377"|"742153"|"InnerPulse Bridge Financing"|"FMV"
"01-0702442"|"NC IDEA"|"68378"|"742153"|"Joystick Labs Inc."|"FMV"
"01-0196359"|"THE IRIS NETWORK"|"69379"|"747789"|"MAINE COMMUNITY FOUNDATION"|"END OF YEAR MARKET VALUE"
"01-0196359"|"THE IRIS NETWORK"|"69380"|"747789"|"CASH & CASH EQUIVALENTS"|"COST"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"69381"|"747823"|"MONEY MARKET FUNDS"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"69382"|"747823"|"US TREASURY OBLIGATIONS"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"69383"|"747823"|"US GOVERNMENT AGENCIES"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"69384"|"747823"|"CORPORATE AND FOREIGN BONDS"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"69385"|"747823"|"MUNICIPAL OBLIGATIONS"|"END-OF-YEAR MARKET VALUE"
"01-0198980"|"Northeast Harbor Fleet"|"69504"|"749416"|"Clifton Dock Corporation"|"End-of-Year Market Value"
"01-0724451"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC"|"69505"|"749466"|"PORTFOLIO ACCOUNTS"|"F"
"01-0202445"|"Grindstone Association"|"69607"|"747004"|"Cash Equivalents"|"End of Year Market Value"
"02-0207161"|"NEW HAMPSHIRE ASSOCIATION OF INSURANCE AGENTS"|"70539"|"755749"|"EQUITY IN INS. AGENTS SERVICES"|"Cost"
"02-0207161"|"NEW HAMPSHIRE ASSOCIATION OF INSURANCE AGENTS"|"70540"|"755749"|"BIG I REINSURANCE"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72449"|"772975"|"Misc Cash Equiv"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72450"|"772975"|"2,081.970 Dodge & Cox International Stock Fund"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72451"|"772975"|"2,293.999 Hartford Growth Opportunities Fund"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72452"|"772975"|"2,413.735 T. Rowe Price Equity Income Fund"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72453"|"772975"|"1,800.265 Baron Small Cap Fund I Shares"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72454"|"772975"|"1,528.583 Jennison Mid Cap Growth Fund"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72455"|"772975"|"1,541.266 SSGA Emerging Mkts Fund"|"Cost"
"01-0205722"|"Brookside Cemetery Association, Inc."|"72456"|"772975"|"2,660.961 Dodge & Cox Income Fund"|"Cost"
"01-0217277"|"MAINE FARM BUREAU ASSOCIATION"|"72714"|"776586"|"MUTUAL FUNDS"|"F"
"02-0173352"|"CONSTRUCTION AND GENERAL LABORERS' UNION LOCAL 976"|"72716"|"776621"|"VARIOUS INVESTMENTS AT UBS FINANCIAL"|"End-of-Year Market Value"
"01-0219810"|"MAINE INSURANCE AGENTS ASSOCIATION"|"73241"|"780801"|"Closely-held equity interests"|"COST"
"01-6010406"|"AHAVAS ACHIM SOCIETY OF BROTHERLY LOVE"|"74263"|"789340"|"ASSETS HELD FBO AHAVAS ACHIM"|"END OF YEAR MARKET VALUE"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"74302"|"789821"|"ALTERNATIVE INVESTMENTS"|"F"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"74303"|"789821"|"BENEFICIAL INTEREST IN PERPETUAL TRUSTS"|"F"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"74304"|"789821"|"INVESTMENT IN REAL PROPERTY"|"F"
"01-0561262"|"THE LEE CHARTER FOUNDATION INC"|"74307"|"789832"|"REGIONS BANK GIC"|"F"
"02-0229869"|"DUBLIN SCHOOL INC"|"74308"|"789837"|"Closely-held equity interests"|"F"
"02-0229869"|"DUBLIN SCHOOL INC"|"74309"|"789837"|"MUTUAL FUNDS"|"F"
"01-0520094"|"GEORGE & RAYMOND FRANK FOUNDATION"|"74602"|"791619"|"Closely-held equity interests"|"Cost"
"01-6029434"|"MAINE CHIROPRACTIC ASSOCIATION, INC."|"74912"|"793388"|"BANKERS LIFE"|"END-OF-YEAR MARKET VALUE"
"01-0219126"|"LINCOLN ACADEMY"|"74982"|"794106"|"FIXED INCOME INSTRUMENTS"|"F"
"01-0214017"|"Jesup Memorial Library"|"76609"|"806372"|"19,174.795 DFA Global Equity"|"End-of-Year Market Value"
"01-0214017"|"Jesup Memorial Library"|"76610"|"806372"|"10,000 Central FD CDA LTD"|"End-of-Year Market Value"
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"76611"|"806377"|"VARIOUS"|"END-OF-YEAR MARKET VALUE"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"76969"|"807363"|"WELLS FARGO ADV GOVT MON MKRFUND"|"C"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"76970"|"807363"|"RIDGEWORTH US GOVT SEC ULTRA"|"C"
"01-0215213"|"BOWDOIN COLLEGE"|"79112"|"821347"|"EQUITIES"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"79113"|"821347"|"FIXED INCOME"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"79114"|"821347"|"ABSOLUTE RETURN"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"79115"|"821347"|"BUYOUTS/DISTRESSED"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"79116"|"821347"|"VENTURE CAPITAL"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"79117"|"821347"|"REAL ESTATE"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"79118"|"821347"|"NATURAL RESOURCES"|"F"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"79119"|"821357"|"Closely-held equity interests"|"F"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"79120"|"821357"|"INVESTMENT IN JOINT VENTURES"|"F"
"01-0478709"|"Maine Island Trail Association"|"79121"|"821358"|"Investment Maine Community Foundation"|"End-of-Year Market Value"
"01-0351334"|"Yarmouth Histoncal Society"|"79805"|"824302"|"Celgene Corporation"|"F"
"01-0351334"|"Yarmouth Histoncal Society"|"79806"|"824302"|"Pepsico"|"F"
"01-0351334"|"Yarmouth Histoncal Society"|"79807"|"824302"|"Pinelawn cemetery"|"F"
"01-0351334"|"Yarmouth Histoncal Society"|"79808"|"824302"|"T Rowe Price Group, Inc"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79809"|"824308"|"MONEY MARKET FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79810"|"824308"|"PRIVATE EQUITY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79811"|"824308"|"POOLED INTERNATIONAL EQUITY FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79812"|"824308"|"HEDGED EQUITY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79813"|"824308"|"POOLED DOMESTIC EQUITY FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79814"|"824308"|"REAL ASSETS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79815"|"824308"|"POOLED FIXED INCOME FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79816"|"824308"|"LONG/SHORT CREDIT"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79817"|"824308"|"MULTI-STRATEGY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"79818"|"824308"|"PRIVATELY HELD DOMESTIC EQUITY"|"F"
"01-0717030"|"PORTAGE BAY INSURANCE"|"79819"|"824309"|"INTERCOMPANY LOAN TO PARENT"|"C"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79820"|"824314"|"WELLINGTON COMMON TRUST FUND"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79821"|"824314"|"AMERICAN CENTURY FUND(2OTHCEN)"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79822"|"824314"|"MERIDIAN"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79823"|"824314"|"EUROPACIFIC"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79824"|"824314"|"VANGUARD - BOND INDEX FUND"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79825"|"824314"|"VANGUARD - INTER TERN TREASURER"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79826"|"824314"|"VANGUARD - MID CAP INDEX"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79827"|"824314"|"VANGUARD - INFLATION PROTECTED"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79828"|"824314"|"VANGUARD - ENERGY"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79829"|"824314"|"FIDELITY"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79830"|"824314"|"DODGE & COX"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79831"|"824314"|"PRIVATE ADVISORS"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79832"|"824314"|"FORESTER PARTNERS"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79833"|"824314"|"PIMCO TOTAL RETURN"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"79834"|"824314"|"COLCHESTER"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"79835"|"824316"|"CASH & EQUIVALENTS"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"79836"|"824316"|"CERTIFICATE OF DEPOSIT"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"79837"|"824316"|"FUNDS HELD IN TRUST BY OTHERS"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"79838"|"824316"|"RETIREMENT & DSOP PLAN"|"F"
"02-0223322"|"CURRIER MUSEUM OF ART"|"79839"|"824317"|"REAL ESTATE INVESTMENT FUNDS"|"F"
"02-0223322"|"CURRIER MUSEUM OF ART"|"79840"|"824317"|"ALTERNATIVE INVESTMENTS"|"F"
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"81044"|"830233"|"Financial derivatives"|"COST"
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"81045"|"830233"|"Closely-held equity interests"|"COST"
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"81046"|"830233"|"KT SHORT TERM DEPOSIT FUND"|"COST"
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"82611"|"836824"|"LIFE INSURANCE POLICIES"|"COST"
"02-0222111"|"Trustees of Dartmouth College"|"82613"|"836837"|"Private Equity/Venture Capital Limited Partnership"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"82614"|"836837"|"Private Equity/Venture Real Estate & Real Asset Limited Partnership"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"82615"|"836837"|"Private Equity/Venture Other Investments"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"82616"|"836837"|"Cash & Cash Equlivalents and Commingled"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"82617"|"836837"|"Fixed Income Securities and Commingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"82618"|"836837"|"Fixed Income Securities and Commingled Global Equity Timingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"82619"|"836837"|"Marketable Alternative Strategies Commingled Funds"|"F"
"01-0502563"|"CAMP BEECH CLIFF"|"82696"|"837022"|"CASH & CASH EQUIVALENTS"|"END-OF-YEAR MARKET VALUE"
"01-0502563"|"CAMP BEECH CLIFF"|"82697"|"837022"|"MUTUAL FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83119"|"839058"|"Other Securities- Domestic Equity"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83120"|"839058"|"Other Securities- Hedge Funds"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83121"|"839058"|"Other Securities- Foreign Equity"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83122"|"839058"|"Other Securities- Real Estate"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83123"|"839058"|"Other Securities- Hard Asset"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83124"|"839058"|"Temporary Cash Investments"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83125"|"839058"|"Foreign Currency"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83126"|"839058"|"Partnerships- Private Equity"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83127"|"839058"|"Partnerships- Foreign Equity"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83128"|"839058"|"Partnerships- Hedge Funds"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83129"|"839058"|"Partnerships- Hard Assets"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"83130"|"839058"|"Partnerships- Real Estate"|"F"
"01-0223482"|"Millinocket Regional Hospital"|"83131"|"839061"|"Investment in First Millinocket Regional Investment Corp"|"C"
"01-0223482"|"Millinocket Regional Hospital"|"83132"|"839061"|"Investment in Katahdin Shared Services"|"C"
"01-0272879"|"Skills Inc"|"83133"|"839063"|"Beneficial interest in perpetual trust"|"F"
"01-0358090"|"SPRUCE RUN ASSOCIATION"|"83134"|"839076"|"UBS MONEY MARKET FUND"|"F"
"01-0358090"|"SPRUCE RUN ASSOCIATION"|"83135"|"839076"|"CERTIFICATES OF DEPOSIT"|"F"
"01-0368096"|"Alpha One"|"83137"|"839081"|"Investment in subsidiary - Alpha One Enterprises"|"Cost"
"01-0368096"|"Alpha One"|"83138"|"839081"|"Due from affiliates"|"Cost"
"01-0116390"|"SHRINERS INTERNATIONAL"|"84948"|"846024"|"INV FUNDS/BD DESIGNATED"|"MARKET"
"01-0116390"|"SHRINERS INTERNATIONAL"|"84949"|"846024"|"INVESTMENTS/LIFE MEMBERS"|"MARKET"
"01-0116390"|"SHRINERS INTERNATIONAL"|"84950"|"846024"|"SAVINGS/CIRCUS RESERVE"|"MARKET"
"01-0116390"|"SHRINERS INTERNATIONAL"|"84951"|"846024"|"INVESTMENTS - UNITS"|"MARKET"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"85086"|"847938"|"RETIREMENT TRUST"|"F"
"01-0536785"|"UNITY FOUNDATION"|"85273"|"847966"|"Investment in Unitek Holdings-a subs"|"End-of-Year Market Value"
"01-0377246"|"New Hope for Women, Inc."|"85539"|"850526"|"Investments"|"End-of-Year Market Value"
"01-0630527"|"PERSONAL ASSISTANCE OPTIONS INC"|"85540"|"850531"|"AGENCY FUNDS"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85635"|"850496"|"PRIME MONEY MARKET FUND"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85636"|"850496"|"VBS BOND HOLDINGS"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85637"|"850496"|"SMALL-CAP INDEX FUND ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85638"|"850496"|"TOTAL STOCK MKT INX ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85639"|"850496"|"INTER-TERM BOND INDEX ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85640"|"850496"|"SHORT-TERM BOND INDEX ADM"|"END-OF-YEAR MARKET VALUE"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"85641"|"850496"|"INTERNATIONAL STOCK INDEX ADMIRAL"|"END-OF-YEAR MARKET VALUE"
