"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FED_CAMPAIGNS"|"MEMBERSHIP_DUES"|"FUNDRAISING"|"RELATED_ORGS"|"GOV_GRANTS"|"CONTRIB_OTHER"|"CONTRIB_NONCASH"|"CONTRIB_ALL"|"SERVICE_REVENUE"|"INCOME_INVESTMENT"|"INCOME_BONDS"|"ROYALTIES"|"RENTS_REAL"|"RENTS_PERSONAL"|"RENT_EXP_REAL"|"RENT_EXP_PERSONAL"|"RENT_INCOME_REAL"|"RENT_INCOME_PERSONAL"|"NET_RENTAL"|"GROSS_SECURITIES"|"GROSS_OTHER"|"COST_SECURITIES"|"COST_OTHER"|"GAIN_SECURITIES"|"GAIN_OTHER"|"NET_SALES"|"CONTRIBUTIONS"|"GROSS_SPECIAL"|"DIRECT_EXPENSES"|"NET_SPECIAL"|"GAMING_INCOME"|"GAMING_EXPENSES"|"GAMING_NET"|"GROSS_SALES"|"COST_GOODS"|"GROSS_PROFIT"|"REVENUE_OTHER"|"REVENUE_TOTAL"|"SERVICE_DESC_A"|"SERVICE_CODE_A"|"SERVICE_AMT_A"|"SERVICE_DESC_B"|"SERVICE_CODE_B"|"SERVICE_AMT_B"|"SERVICE_DESC_C"|"SERVICE_CODE_C"|"SERVICE_AMT_C"|"SERVICE_DESC_D"|"SERVICE_CODE_D"|"SERVICE_AMT_D"|"SERVICE_DESC_E"|"SERVICE_CODE_E"|"SERVICE_AMT_E"|"SERVICE_DESC_F"|"SERVICE_CODE_F"|"SERVICE_AMT_F"
"01-0509802"|"CAFE, INC."|"620175"|""|""|""|""|"61321.0000"|""|""|"61321.0000"|"3309715.0000"|"686.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3371722.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0538232"|"Big Rock"|"620176"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"42500.0000"|"0.0000"|"42500.0000"|"354472.0000"|"4.0000"|"0.0000"|"0.0000"|"4600.0000"|""|""|""|"4600.0000"|"0.0000"|"4600.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"0.0000"|"77638.0000"|"45218.0000"|"32420.0000"|"39234.0000"|"473230.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|""|"74610.0000"|""|""|""|"27515.0000"|""|"102125.0000"|"543633.0000"|"46.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"645804.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|""|""|""|""|""|"3901.0000"|""|"3901.0000"|""|"40499.0000"|""|""|""|""|""|""|""|""|""|"569658.0000"|""|"541916.0000"|""|"27742.0000"|""|"27742.0000"|""|""|""|""|""|""|""|""|""|""|""|"72142.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0733041"|"SARASOTA CREW, INC"|"620180"|""|""|""|""|""|"87532.0000"|""|"87532.0000"|"407752.0000"|"16.0000"|""|""|""|""|""|""|""|""|""|""|"32100.0000"|""|"5723.0000"|""|"26377.0000"|"26377.0000"|""|""|""|""|""|""|""|"27577.0000"|"37603.0000"|"-10026.0000"|""|"511651.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|""|""|""|""|""|""|""|""|"660451.0000"|"7569.0000"|""|""|"3500.0000"|""|""|""|"3500.0000"|""|"3500.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"671520.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|""|""|""|""|"36076.0000"|""|"36076.0000"|"230888.0000"|"25.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"266989.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"8631.0000"|""|""|""|""|"2141311.0000"|"155853.0000"|"2149942.0000"|"0.0000"|"85487.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"1401505.0000"|""|"1198289.0000"|""|"203216.0000"|""|"203216.0000"|""|"13465.0000"|"7525.0000"|"5940.0000"|""|""|"0.0000"|""|""|"0.0000"|"13593.0000"|"2458178.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|""|""|""|""|""|""|""|""|""|"3398.0000"|""|""|"516423.0000"|""|"672836.0000"|""|"-156413.0000"|""|"-156413.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4582.0000"|"-148433.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|""|""|""|""|""|""|""|""|"2847761.0000"|"5743.0000"|""|""|""|""|""|""|""|""|""|"1238.0000"|""|"134501.0000"|""|"-133263.0000"|""|"-133263.0000"|""|""|""|""|""|""|""|"1940151.0000"|"1808912.0000"|"131239.0000"|"12752.0000"|"2864232.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"54972.0000"|""|"322938.0000"|""|"130127.0000"|"341898.0000"|"3250.0000"|"849935.0000"|"10020456.0000"|"50393.0000"|""|""|"155503.0000"|""|"132674.0000"|""|"22829.0000"|""|"22829.0000"|"1762416.0000"|""|"1514582.0000"|""|"247834.0000"|""|"247834.0000"|"322938.0000"|"54634.0000"|"34486.0000"|"20148.0000"|""|""|""|""|""|""|"800.0000"|"11212395.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3948219.0000"|"0.0000"|"0.0000"|"3948219.0000"|"1140252.0000"|"8980.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"5097451.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""|""|""|""|"271767.0000"|"676465.0000"|""|"948232.0000"|"50601.0000"|"114769.0000"|""|""|""|""|""|""|""|""|""|"814827.0000"|""|""|""|"814827.0000"|""|"814827.0000"|""|""|""|""|""|""|""|""|""|""|""|"1928429.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"0.0000"|"0.0000"|""|""|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|""|""|""|""|"248735.0000"|""|""|"248735.0000"|"96252.0000"|"117.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"345104.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|"278071.0000"|""|""|""|"95040.0000"|""|"373111.0000"|"1414021.0000"|"25100.0000"|""|""|""|""|""|""|""|""|""|"163381.0000"|""|"175371.0000"|"1313.0000"|"-11990.0000"|"-1313.0000"|"-13303.0000"|""|""|""|""|""|""|""|"74201.0000"|"26773.0000"|"47428.0000"|"65820.0000"|"1912177.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|""|""|""|"386000.0000"|"192068.0000"|""|"578068.0000"|""|"44512.0000"|""|""|""|""|""|""|""|""|""|"837343.0000"|""|"764217.0000"|""|"73126.0000"|""|"73126.0000"|""|""|""|""|""|""|""|""|""|""|"70573.0000"|"766279.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0964525"|"TANQUE VERDE SOCCER CLUB, INC."|"593252"|""|""|""|""|""|"2312.0000"|""|"2312.0000"|"238705.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"14131.0000"|"5735.0000"|"8396.0000"|""|""|""|"2712.0000"|"1749.0000"|"963.0000"|""|"250376.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"592794"|""|""|""|""|"215534.0000"|"377431.0000"|""|"592965.0000"|"283233.0000"|"7373.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2975.0000"|""|"2975.0000"|""|""|""|""|""|""|"12991.0000"|"899537.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|""|""|""|""|"53749.0000"|""|""|"53749.0000"|"208806.0000"|"163.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"20748.0000"|"20308.0000"|"440.0000"|"721.0000"|"263879.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|""|""|""|""|"15000.0000"|"157217.0000"|"11555.0000"|"172217.0000"|"86273.0000"|"6153.0000"|""|""|""|""|""|""|""|""|""|"123446.0000"|""|"130933.0000"|""|"-7487.0000"|""|"-7487.0000"|""|""|""|""|""|""|""|""|""|""|""|"257156.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|""|"61486.0000"|""|""|""|""|""|"61486.0000"|"11649.0000"|"892.0000"|""|""|"7820.0000"|""|""|""|"7820.0000"|""|"7820.0000"|"99547.0000"|""|"39984.0000"|""|"59563.0000"|""|"59563.0000"|""|""|""|""|"533394.0000"|"444129.0000"|"89265.0000"|"254209.0000"|"107204.0000"|"147005.0000"|"31965.0000"|"409645.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|""|""|""|""|""|"1609.0000"|""|"1609.0000"|"402879.0000"|"137.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"404625.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0525615"|"Maine Winter Sports Center"|"562836"|""|""|""|""|""|"1712984.0000"|""|"1712984.0000"|"48245.0000"|"3247.0000"|""|""|""|""|""|""|""|""|""|""|"1.0000"|""|""|""|"1.0000"|"1.0000"|""|""|""|""|""|""|""|""|""|""|"2514.0000"|"1766991.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|""|"51315.0000"|""|""|""|"25555.0000"|""|"76870.0000"|"51907.0000"|"2.0000"|""|""|"10661.0000"|""|"9998.0000"|""|"663.0000"|""|"663.0000"|""|""|""|""|""|""|""|""|""|""|""|"772161.0000"|"774993.0000"|"-2832.0000"|"474440.0000"|"380841.0000"|"93599.0000"|"122478.0000"|"342687.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"552779"|""|""|""|""|"729989.0000"|"220.0000"|""|"730209.0000"|"2872370.0000"|"27937.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"8458.0000"|"3638974.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0341134"|"LAKE ARROWHEAD COMMUNITY, INC"|"552778"|""|""|""|""|""|""|""|""|"1654488.0000"|"10097.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1664585.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224627"|"Boothbay Harbor Memorial Library"|"552777"|""|""|""|""|"87000.0000"|"183400.0000"|""|"270400.0000"|"4665.0000"|"17796.0000"|""|""|""|""|""|""|""|""|""|"171355.0000"|""|"147054.0000"|""|"24301.0000"|""|"24301.0000"|"0.0000"|"6652.0000"|"2797.0000"|"3855.0000"|""|""|""|""|""|""|"885.0000"|"321902.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|""|""|""|""|""|"351456.0000"|""|"351456.0000"|"39542.0000"|"234233.0000"|""|""|""|""|""|""|""|""|""|"18703.0000"|"23100.0000"|""|"11430.0000"|"18703.0000"|"11670.0000"|"30373.0000"|""|"133523.0000"|"35349.0000"|"98174.0000"|""|""|""|""|""|""|""|"753778.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|""|""|""|""|""|"1367312.0000"|"37200.0000"|"1367312.0000"|""|"50587.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"26486.0000"|"1444385.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"946995.0000"|""|""|""|""|""|""|"946995.0000"|""|"4180.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"109633.0000"|"41262.0000"|"68371.0000"|""|""|""|""|""|""|""|"1019546.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|""|"27475.0000"|""|""|""|"10594.0000"|""|"38069.0000"|"128041.0000"|"2476.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1128052.0000"|"1019769.0000"|"108283.0000"|""|"276869.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"218268.0000"|""|""|""|""|""|""|"218268.0000"|"101800.0000"|"424.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1176.0000"|"321668.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|""|""|""|""|"2421818.0000"|"689508.0000"|""|"3111326.0000"|"1555168.0000"|"10301.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4676795.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|""|""|""|""|""|"319314.0000"|""|"319314.0000"|"0.0000"|"64132.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"248878.0000"|""|"281913.0000"|""|"-33035.0000"|""|"-33035.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"350411.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|""|""|""|""|"2351254.0000"|"1177.0000"|""|"2352431.0000"|"239700.0000"|"153.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2592284.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|""|""|""|""|"21078.0000"|"5088594.0000"|"422314.0000"|"5109672.0000"|"12384781.0000"|"651554.0000"|""|""|""|""|""|""|""|""|""|"8042160.0000"|"3950.0000"|"7907211.0000"|"0.0000"|"134949.0000"|"3950.0000"|"138899.0000"|""|""|""|""|""|""|""|""|""|""|""|"18284906.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|""|""|"8480.0000"|""|""|"192829.0000"|""|"201309.0000"|"173174.0000"|"380.0000"|""|""|""|"340.0000"|""|""|""|"340.0000"|"340.0000"|"2913.0000"|""|"2773.0000"|""|"140.0000"|""|"140.0000"|"8480.0000"|"0.0000"|""|"0.0000"|""|""|""|""|""|""|""|"375343.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|""|""|""|""|""|""|""|""|""|"159.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"315663.0000"|"315822.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""|""|""|""|""|""|""|""|""|"24198.0000"|""|""|""|""|""|""|""|""|""|"555416.0000"|"2363.0000"|"551917.0000"|""|"3499.0000"|"2363.0000"|"5862.0000"|""|""|""|""|""|""|""|""|""|""|""|"30060.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|""|""|""|""|""|""|""|""|""|"1532.0000"|""|""|"62787.0000"|""|"32368.0000"|""|"30419.0000"|""|"30419.0000"|""|""|""|""|""|""|""|""|""|""|""|"1170111.0000"|"981247.0000"|"188864.0000"|""|""|""|""|"220815.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|""|""|""|""|"1417930.0000"|"6980.0000"|""|"1424910.0000"|"69857.0000"|"41.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1494808.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0331728"|"PATHWAYS INC"|"635244"|""|""|""|""|"121432.0000"|"25780.0000"|""|"147212.0000"|"2225532.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"21804.0000"|"2394548.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|""|""|""|""|""|"799.0000"|""|"799.0000"|""|"36311.0000"|""|""|""|""|""|""|""|""|""|"609007.0000"|""|"609638.0000"|""|"-631.0000"|""|"-631.0000"|""|""|""|""|""|""|""|""|""|""|""|"36479.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|""|""|""|""|"87730.0000"|"160691.0000"|""|"248421.0000"|""|"68689.0000"|""|""|""|""|""|""|""|""|""|"363473.0000"|""|"341753.0000"|""|"21720.0000"|""|"21720.0000"|""|""|""|""|""|""|""|""|""|""|"6496.0000"|"345326.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|""|""|"33276.0000"|""|""|"253460.0000"|""|"286736.0000"|"92429.0000"|"7423.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"386588.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|""|""|""|""|"432503.0000"|""|""|"432503.0000"|"126114.0000"|"895.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2604.0000"|"562116.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211807"|"Sweetser"|"631557"|"30456.0000"|""|"2100.0000"|""|"2635444.0000"|"378423.0000"|"105877.0000"|"3046423.0000"|"42348294.0000"|"560373.0000"|""|""|"179966.0000"|""|"807252.0000"|""|"-627286.0000"|""|"-627286.0000"|"8005710.0000"|"140958.0000"|"5965132.0000"|"127317.0000"|"2040578.0000"|"13641.0000"|"2054219.0000"|"2100.0000"|"127264.0000"|"36716.0000"|"90548.0000"|""|""|""|""|""|""|"-605850.0000"|"46866721.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0265231"|"UPLIFT INC"|"631558"|""|""|""|""|""|""|""|""|"5997339.0000"|"9355.0000"|""|""|""|""|""|""|""|""|""|""|"364649.0000"|""|"37372.0000"|""|"327277.0000"|"327277.0000"|""|""|""|""|""|""|""|""|""|""|""|"6333971.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
