"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOT_REV_CURRENT"|"DISCONTINUED_OPS_CBX"|"TOT_VOLUNTEERS"|"TOT_UBR"|"NET_UBR_990T"|"CONTRIB_ALL_PRIOR"|"SERVICE_REVENUE_PRIOR"|"INCOME_INVESTMENT_PRIOR"|"REVENUE_OTHER_PRIOR"|"TOT_REV_PRIOR"|"GRANTS_PRIOR"|"BENEFITS_TOTAL_PRIOR"|"COMP_BENEFITS_PRIOR"|"FUNDRAISING_TOTAL_PRIOR"|"OTHER_EXPENSES_PRIOR"|"EXPENSES_TOTAL_PRIOR"|"REV_EXP_PRIOR"
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"1494808.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0388637"|"New England Baptist Bible College"|"631562"|"399276.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0358732"|"MOBIUS INC"|"631560"|"5271189.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"345326.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"1155217.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"72142.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"645804.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"766279.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"544508.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0237244"|"LEE ACADEMY"|"696914"|"3929802.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTEM INC"|"696937"|"3935784.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"696939"|"1167056.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0445163"|"Anson Madison Starks Ambulance"|"696948"|"1020239.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"696950"|"2350985.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0520531"|"SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION"|"696952"|"258117.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"696957"|"141351.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"696966"|"8319282.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"696974"|"232273.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"696983"|"52226.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010284"|"SCARBOROUGH PUBLIC LIBRARY"|"696989"|"1410693.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"1297678.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|"647362.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|"2146665.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"696910"|"1256780.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0364464"|"Vose Library"|"697765"|"214711.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0322532"|"DAY ONE"|"706793"|"2685523.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"706797"|"1961624.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY, MAINE"|"706802"|"169381.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"706806"|"301309.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"706809"|"648130.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"706814"|"394921.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST. MARY'S"|"706820"|"362389.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0555559"|"ECS MINISTRIES"|"706823"|"692394.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0694045"|"FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION, INC"|"706829"|"926576.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"706834"|"364827.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"706835"|"471569.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0825719"|"Vision Rescue International"|"706837"|"1400.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|"2516709.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|"141899.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|"1419798.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|"65751.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"1078125.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|"4085303.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|"366337.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"2658866.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"704923"|"85144.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0554275"|"CHARLOTTE ARTSFEST, INC."|"706109"|"434166.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0279587"|"Waban Projects Inc"|"685657"|"12252820.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|"761781.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369660"|"Work First Inc"|"685662"|"1966684.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"633082.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|"903750.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211512"|"Home for the Aged"|"706784"|"3554388.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0276272"|"GREATER PORTLAND LANDMARKS, INC."|"706789"|"509721.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"266989.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"2458178.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"981430.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"1912177.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"409645.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"404625.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"715187"|"245441.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"715190"|"1147514.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0314110"|"AMICUS"|"715589"|"5469169.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0316964"|"RILEY SCHOOL, INC."|"721181"|"844840.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"721187"|"3911486.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0332353"|"CORINTH HOUSING CORPORATION"|"723236"|"184599.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"724479"|"620338.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"1019546.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"753778.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0343943"|"SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE"|"734862"|"638773.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355212"|"MAINE STATE MUSIC THEATRE"|"734865"|"2474467.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"734868"|"4496356.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"734880"|"364142.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0740130"|"RIO HONDO COMMUNITY DEVELOPMENT CORPORATION"|"734886"|"1088600.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0211966"|"VETERANS OF FOREIGN WARS - POST 1670"|"734896"|"138143.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0597318"|"DARE EDUCATION FOUNDATION INC"|"739192"|"480572.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"739346"|"89994.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222254"|"YWCA OF NEW HAMPSHIRE"|"739355"|"936434.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0722629"|"MARIE A. MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"741497"|"1467573.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211509"|"GOULD ACADEMY"|"743427"|"12983060.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0229448"|"Trustees of Washmgton Academy"|"743429"|"6417530.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0263385"|"Thomas College"|"743431"|"21860182.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0348331"|"CHOCOLATE CHURCH ARTS CENTER"|"743439"|"209774.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"725848"|"8108172.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0332058"|"Hancock County Auditorium Associates"|"725855"|"558965.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0353371"|"Salt, Inc."|"725861"|"445176.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355090"|"LOVEJOY HEALTH CENTER, INC"|"725862"|"59510.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355896"|"JOHN F MURPHY HOMES INC"|"725863"|"29042306.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369793"|"Facilities Inc"|"725869"|"142141.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0384833"|"Big Brothers Big Sisters of Midcoast Mai"|"725873"|"286977.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0416755"|"MAINE CENTER ON DEAFNESS"|"725878"|"632090.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"725890"|"826854.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0687220"|"LAGUNA NIGUEL SOCCER CLUB INC"|"725892"|"427584.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"725894"|"2938152.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0469062"|"INDEPENDENT SCHOOLS ASSOCIATION OF NORTHERN NEW ENGLAND"|"743447"|"327283.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0735034"|"REED ACADEMY"|"743452"|"2654003.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0732696"|"FAMILY SUPPORT ORGANIZATION OF UNION COUNTY INC"|"725895"|"446993.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0916759"|"KIPP ST. LOUIS"|"725904"|"3337521.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0150530"|"TEAMSTERS LOCAL UNION NO 633 OF NH"|"733021"|"2878696.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0448173"|"Center for Teaching and Learning"|"733970"|"701218.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0534548"|"Community Care"|"733974"|"7164755.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0640027"|"MGM Resorts Foundation"|"733976"|"4793666.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0702442"|"NC IDEA"|"742153"|"1741477.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0717546"|"MAINE APPALACHIAN TRAIL LAND TRUST"|"742154"|"30606.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0202445"|"Grindstone Association"|"747004"|"393558.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0563040"|"Servant's Heart Camp Ministries"|"747012"|"158554.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0349146"|"Newport Public Library Association"|"747441"|"52482.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367581"|"BROWNVILLE HOUSING CORPORATION"|"747442"|"167748.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0529491"|"AVIAN HAVEN"|"747444"|"145004.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0196359"|"THE IRIS NETWORK"|"747789"|"2354237.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0164055"|"MASONIC BUILDING ASSOCIATION"|"754939"|"192573.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371971"|"MIDTOWN ATHLETIC CLUB"|"755739"|"87378.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0544094"|"BRIXHAM MONTESSORI FRIENDS SCHOOL"|"755744"|"765334.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0783081"|"Chinese American Cooperation Council"|"755746"|"577000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0329208"|"AMERICAN VETERANS WWII, POST NUMBER"|"760848"|"132966.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0221344"|"BRIDGTON ACADEMY"|"749419"|"8127388.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0342859"|"SPORTS PROJECTS INC"|"749428"|"151305.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0352636"|"FAMILY CRISIS SERVICES"|"749431"|"1651452.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0440182"|"ST. XAVIER'S HOME"|"749434"|"256760.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0594835"|"Oakland Kids First"|"749454"|"460383.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0283794"|"Maine Health Care Association"|"758143"|"1187813.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0363316"|"OAKFIELD HOUSING CORPORATION"|"758343"|"339258.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0688221"|"FILM CLIPS SPIRIT OF AMERICA"|"758352"|"352638.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0693025"|"GILLOURY INSTITUTE"|"758355"|"577215.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211530"|"MAINE HISTORICAL SOCIETY"|"758497"|"1996021.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376832"|"MAINE VETERANS HOME"|"758508"|"81911414.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0375377"|"ALLAGASH DEVELOPMENT CORPORATION"|"761650"|"-16177.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0332352"|"PATTEN HOUSING CORPORATION"|"761644"|"261079.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0365386"|"ISLAND FALLS HOUSING CORPORATION"|"761648"|"239266.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0567964"|"California Tamil Academy"|"762095"|"394342.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0204920"|"WATERVILLE COUNTRY CLUB"|"761291"|"838883.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0684986"|"AMERICAN SOCIETY OF TRANSPORTATION AND LOGISTICS, INC."|"761293"|"288068.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0959428"|"GROW FOOD NORTHAMPTON INC"|"778925"|"649901.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0241839"|"NEW HAMPSHIRE A.F.L. - C.I.O."|"766937"|"412106.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0226195"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL # 1253"|"768836"|"315493.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0286071"|"KAPPA DELTA PHI INC"|"768907"|"66713.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0214887"|"VETERANS OF FOREIGN WARS DEPARTMENT 561"|"768921"|"208716.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6021180"|"MAINE BEER & WINE WHOLESALERS ASSOC., INC"|"769016"|"210084.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0451523"|"HEALTHY KIDS A FAMILY RESOURCE NETWORK"|"778868"|"120874.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0509578"|"WESTBROOK YOUTH CENTER INC"|"778874"|"213053.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0526734"|"OPERA HOUSE ARTS"|"778878"|"612899.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0839874"|"NORTH GRAND NEIGHBORHOOD SERVICES"|"778922"|"284686.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0786632"|"Middle Tennessee Mission Outreach, Inc"|"785763"|"108749.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0380150"|"MECHANIC FALLS DEVELOPMENT COMMISSION"|"785724"|"21211.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0170390"|"CLUB NATIONAL, INC"|"785725"|"446114.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0327898"|"CORINNA HOUSING CORPORATION"|"777597"|"211959.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224214"|"UNION FAIR SOCIETY"|"772976"|"546810.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0358152"|"SOUL'S HARBOR, INC."|"777600"|"295685.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6019452"|"AMERICAN LEGION LIBBY-MITCHELL POST 76"|"777627"|"123248.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0440702"|"Arundel Cemetery Corp."|"785752"|"58700.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517028"|"CMP DEATH BENFIT VEBA TRUST"|"785754"|"61545.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0595671"|"RESOURCE NY INC."|"793368"|"27667.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0586306"|"Barceda Families"|"794169"|"526637.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0874029"|"POLARIS CHARTER ACADEMY"|"794188"|"2584088.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0900952"|"PEABODY CHARTER SCHOOL"|"794195"|"6014524.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6023519"|"BAY CHAMBER CONCERTS, INC."|"794204"|"1055891.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6186835"|"NATIONAL CONFERENCE ON PUBLIC EMPLOYEE RETIREMENT SYSTEMS IRREVOCABLE TRUST"|"784910"|"237425.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0759974"|"THOUSAND ISLANDS EMERGENCY RESCUE SER\"|"793379"|"631194.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"793385"|"80108.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"789821"|"86515607.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0192761"|"CHILD EVANG-ELISM FELLOWSHIP, INC"|"789823"|"210838.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0561262"|"THE LEE CHARTER FOUNDATION INC"|"789832"|"47491634.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0959193"|"INTERNATIONAL UNION UAW, LOCAL UNION 2121"|"791791"|"881008.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0219829"|"Sarah Frye Home"|"794108"|"1235583.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0465754"|"CHILD EVANGELISM FELLOWSHIP, INC"|"792016"|"483080.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367116"|"Families United of Washington County"|"794131"|"2224365.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0490882"|"FRATERNAL ORDER OF EAGLES"|"775210"|"167770.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
