"C_EIN"|"C_Org_Name"|"IND_GRANT_ID"|"XML_DOCUMENT_ID"|"IND_GRANT_TYPE"|"IND_NUM_RECIP"|"IND_CASH"|"IND_NON_CASH"|"IND_METHOD_VALUE"|"IND_DESCR_NON_CASH"
"02-0223334"|"WEBSTER HOUSE"|"4436"|"1194233"|"ZHRISTMAS AND OTHER GIFTS PROVIDED TO RESIDENTS"|"13"|"1207.0000"|"0.0000"|""|""
"01-0354752"|"Lincolnville Volunteer Fire Department"|"5120"|"1204053"|"(1) Scholarship"|"2"|"2000.0000"|""|""|""
"01-0619670"|"FOUNDATION FOR THE CHALLENGED"|"5122"|"1204084"|"COMMUNITY LIVING FUND GRANTS AWARDED"|""|"4300.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5123"|"1204100"|"SPECIFIC ASSIST CHILDREN"|""|"39338.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5124"|"1204100"|"FOWLER CENTER-SCHOLAR"|""|"1000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5125"|"1204100"|"MARSHALL FREDERICKS - SCH"|""|"1630.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5126"|"1204100"|"SVSU MATH SCHOLARSHIP"|""|"5000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5127"|"1204100"|"DELTA -CAMP SCHOLARSHIP"|""|"5000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5128"|"1204100"|"KETTERING UNIV - SCH"|""|"5000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5129"|"1204100"|"UNITED WAY"|""|"5000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"5130"|"1204100"|"SALVATIO NARMY"|""|"4000.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5131"|"1204102"|"UTILITY BILLS"|"3"|"562.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5132"|"1204102"|"TRAVEL AND TRANSPORTATION ASSISTANCE"|"1"|"50.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5133"|"1204102"|"RENT/MORTGAGE ASSISTANCE"|"2"|"1648.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5134"|"1204102"|"QUALITY OF LIFE ASSISTANCE"|"7500"|""|"4381444.0000"|"FAIR MARKET VALUE"|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5135"|"1204102"|"HOME REPAIRS"|"12"|"5900.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5136"|"1204102"|"FURNITURE"|"13"|"10605.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5137"|"1204102"|"FOOD ASSISTANCE"|"82"|"8270.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5138"|"1204102"|"EVENTS/LHOLIDAY/WELCOME HOME"|"247"|"68092.0000"|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"5139"|"1204102"|"AUTO APYMENTS"|"1"|"209.0000"|""|""|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"5140"|"1204118"|"1 SCHOLARSHIPS"|"6"|"7000.0000"|""|""|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"5141"|"1204118"|"2 FUEL ASSISTANCE"|""|"1000.0000"|""|""|""
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"6051"|"1213297"|"ASSISTANCE TO INDIVIDUALS"|"192"|"9264.0000"|""|""|""
"01-0788905"|"MASTER BREWERS ASSOCIATION OF THE AMERICAS INC"|"6216"|"1216575"|"AWARDS & SCHOLARSHIPS"|"3"|"8382.0000"|""|""|""
"01-6019359"|"BOOTHBAY REGION STUDENT AID FUND, INC."|"6326"|"1217615"|"1 POST SECONDARY EDUCATION"|"53"|"171150.0000"|"0.0000"|""|""
"01-0897469"|"SEIU HEALTHCARE MICHIGAN"|"6343"|"1219906"|"SCHOLARSHIPS"|"18"|"36000.0000"|"0.0000"|""|""
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"6553"|"1224769"|"SCHOLARSHIPS TO INDIVIDUALS"|"0"|"0.0000"|"0.0000"|""|""
"01-6162280"|"King-Thomas Scholarship Trust"|"6554"|"1224779"|"(1) Post-Secondary educational scholarships"|"16"|"44500.0000"|""|""|""
"01-0425010"|"Camp Runoia Alumnae Organization"|"7112"|"1237830"|"Scholarships"|"14"|"30000.0000"|""|""|""
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"7404"|"1241403"|"CASH"|"1259"|"2620015.0000"|""|"FMV"|""
"01-0838477"|"SOUTHERN IOWA COG HOUSING TRUST FUN"|"7922"|"1247337"|"LOWTO MODERATEICOME"|"3"|"120000.0000"|"0.0000"|""|""
"01-0363873"|"NATIONAL RURAL HEALTH ASSOCIATION"|"8894"|"1256604"|"SCHOLARSHIP"|"130"|"134750.0000"|"0.0000"|""|""
"01-0363873"|"NATIONAL RURAL HEALTH ASSOCIATION"|"8895"|"1256604"|"TRAVEL ASSISTANCE"|"2"|"37570.0000"|"0.0000"|""|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"9355"|"1259323"|"Scholarships"|"10"|"11001.0000"|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"9550"|"1261010"|"Scholarships"|"38"|"34945.0000"|"0.0000"|""|""
"01-0520715"|"CARLISLE CHARITABLE FOUNDATION (FORMERLY EQUEST FOUNDATION)"|"11879"|"1279957"|"CARLISLE ACADEMY STUDENT SCHOLARSHIPS"|"87"|"69634.0000"|""|""|""
"01-0541597"|"Maine Traditional Music Association"|"11880"|"1279958"|"Music camp scholarship"|"16"|""|"2800.0000"|"FMV FMV FMV FMV"|"Tuition Tuition Tuition Tuition"
"01-0541597"|"Maine Traditional Music Association"|"11881"|"1279958"|"Music camp scholarship"|"15"|""|"2800.0000"|"FMV"|"Tuition"
"01-0541597"|"Maine Traditional Music Association"|"11882"|"1279958"|"Music camp scholarship"|"17"|""|"2800.0000"|"FMV"|"Tuition"
"01-0541597"|"Maine Traditional Music Association"|"11883"|"1279958"|"Music camp scholarship"|"1"|""|"2800.0000"|"FMV"|"Tuition"
"01-0561554"|"THE SHEPHERD'S CROOK MINISTRIES INC"|"12514"|"1286253"|"FINL ASSISTANCE/ADOPTION"|"14"|"108657.0000"|""|""|""
"01-0245261"|"ERSKINE ACADEMY"|"12830"|"1289037"|"SCHOLARSHIPS"|"34"|"22252.0000"|""|""|""
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"13216"|"1299781"|"COLLEGE SCHOLARSHIPS AND ACADEMIC AWARDS"|"82"|"171086.0000"|"0.0000"|""|""
"01-6012127"|"Bridgton Scholarship Foundation"|"13400"|"1301046"|"Scholarships granted to graduating students continuing their education"|"18"|"18000.0000"|"0.0000"|""|"0"
"01-0284906"|"YORK COMMUNITY SERVICE ASSOCIATION"|"13952"|"1301355"|"FAMILY SERVICES PROGRAM - DONATIONS AND OTHER FUNDS PROVIDE RENTAL ASSISTANCE"|"183"|""|""|""|""
"01-0794834"|"International Society for Autism Research"|"14607"|"1301397"|"Student Travel Awards are available to graduate students, postdoctoral fellows"|"31"|"15500.0000"|""|""|""
"01-0794834"|"International Society for Autism Research"|"14608"|"1301397"|"Diversity Travel Awards are provided to U S citizens or others studying in"|"15"|"15000.0000"|""|""|""
"01-0794834"|"International Society for Autism Research"|"14609"|"1301397"|"Young Investigator Awards will be made for the best biological"|"1"|"1500.0000"|""|""|""
"01-0794834"|"International Society for Autism Research"|"14610"|"1301397"|"Dissertation Awards are given annually to active scientists and clinicians"|"3"|"4500.0000"|""|""|""
"01-0344605"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"15063"|"1301614"|"SCHOLARSHIPS AWARDED FORTHE BENEFIT OF INDIVIDUALS FOR VARIOUS PRO GRAMS"|"731"|""|"90092.0000"|"FMV"|"NO CASH ISACTUALLY GIVEN TO THE INDIVIDUAL THE SCHOLARSHIP ASSISTANCE"
"01-0283465"|"WATERVILLE AREA YMCA"|"15143"|"1301664"|"(l)SCHOLARSHIPS AWARDED FORTHE BENEFIT OF INDIVIDUALS FOR VARIOUS PROGRAMS"|"228"|""|"28063.0000"|"FMV"|"NO CASH ISACTUALLY GIVEN TO THE INDIVIDUAL THE SCHOLARSHIP ASSISTANCE"
"01-0559608"|"ALLIED MEDIA PROJECTS, INC."|"15426"|"1301760"|"TRAVEL/MEALS TO PARTICIPATE IN THE CONFERENCE AND WORKSHOPS"|"31"|"9229.0000"|"0.0000"|""|""
"01-0559608"|"ALLIED MEDIA PROJECTS, INC."|"15427"|"1301760"|"STIPEND TO PARTICIPATE IN DETROIT FUTURE MEDIA PROGRAM"|"6"|"6000.0000"|"0.0000"|""|""
"01-6004404"|"United Way of Kennebec Valley"|"15529"|"1301796"|"Fuel and heating assistance, electric and gas assistance to individuals, typically referred."|"21"|"8810.0000"|"0.0000"|""|""
"02-0103680"|"American Guernsey Association"|"16151"|"1307893"|"1 Guernsey Gold Award"|"1"|"1523.0000"|""|""|""
"02-0103680"|"American Guernsey Association"|"16152"|"1307893"|"2 Futurity Award"|"11"|"4428.0000"|""|""|""
"02-0103680"|"American Guernsey Association"|"16153"|"1307893"|"3 Memorial Funds"|"6"|""|""|""|""
"02-0103680"|"American Guernsey Association"|"16154"|"1307893"|"4 Promotion Fund"|"1"|"4017.0000"|""|""|""
"02-0103680"|"American Guernsey Association"|"16155"|"1307893"|"5 Western Guernsey Society"|"1"|"750.0000"|""|""|""
"02-0103680"|"American Guernsey Association"|"16156"|"1307893"|"6 Transportation Fund"|"1"|"2317.0000"|""|""|""
"01-0204000"|"MAINE STATE EMPLOYEES ASSOCIATION"|"16333"|"1309781"|"EDUCATIONAL SCHOLARSHIP"|"5"|"5250.0000"|"0.0000"|""|""
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC"|"16755"|"1313329"|"FULL AND PARTIAL FELLOWSHIP GRANTS"|"65"|""|"227700.0000"|"BASED ON FULL ADMISSION FEE OF $5,500 PER STUDENT"|"PARTIAL AND FULL FELLOWSHIPS TOWARDS TUITION, ROOM AND BOARD"
"01-0683413"|"THE COUNCIL OF URBAN PROFESSIONALS INSTITUTE"|"16881"|"1313841"|"(1) Scholarships"|"1180"|"1375383.0000"|""|""|""
"02-0214113"|"AMERICAN LEGION POST #69"|"16882"|"1313846"|"SCHOLARSHIPS 2,000 EACH"|"4"|"8000.0000"|""|""|""
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"17418"|"1317251"|"E/BASSISTANCE"|"14"|"2730.0000"|""|""|""
"01-6023503"|"LE CLUB CALUMET EDUCATIONAL & LITERARY FOUNDATION INC"|"17654"|"1319300"|"SCHOLARSHIPS"|"18"|"18300.0000"|""|""|""
"01-6023503"|"LE CLUB CALUMET EDUCATIONAL & LITERARY FOUNDATION INC"|"17655"|"1319300"|"GRANTS"|"27"|"19125.0000"|""|""|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"17906"|"1321048"|"SCHOLARSHIPS"|"78"|"56072.0000"|""|""|""
"01-0237721"|"UNIVERSITY OF MAINE PULP & PAPER FOUNDATION"|"18245"|"1323822"|"SCHOLARSHIPS"|"117"|"741478.0000"|""|""|""
"01-0270233"|"Blue Hill Society for Aid to Children Inc"|"18246"|"1323823"|"(1) Campership awards"|"58"|"16550.0000"|""|""|""
"01-0275130"|"Unity College"|"18953"|"1328411"|"College Work Study"|"334"|"349798.0000"|""|""|""
"01-0275130"|"Unity College"|"18954"|"1328411"|"Federal Pell Grant Program"|"246"|"1034723.0000"|""|""|""
"01-0275130"|"Unity College"|"18955"|"1328411"|"Federal Supplemental Educational Opportunity Grant Program"|"246"|"96968.0000"|""|""|""
"01-0275130"|"Unity College"|"18956"|"1328411"|"State Scholarships"|"147"|"157124.0000"|""|""|""
"01-0275130"|"Unity College"|"18957"|"1328411"|"Unity Grant"|"530"|""|"4031238.0000"|"FMV"|"tuition discounts"
"01-0548371"|"Muslim Legal Fund of Amenca"|"19140"|"1330049"|"(1) Case fees"|"20"|""|""|""|""
"01-6241467"|"UNITED ASSOCIATION SCHOLARSHIP TRUST"|"19141"|"1330060"|"SPRING SCHOLARSHIP PAYMENTS"|""|"21250.0000"|""|""|""
"01-0529871"|"Maine Technology Institute"|"19595"|"1335101"|"(1) Technology Seed Grants"|"11"|"30413.0000"|""|""|""
"01-0265648"|"NEW ENGLAND MUSIC CAMP ASSOCIATION"|"19814"|"1337724"|"(1) Scholarships"|"124"|""|"295355.0000"|"Camp's tuition rates"|"Scholarships and grants to campers"
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"21191"|"1346480"|"INSTITUTIONALSCHOLARSHIPS"|"41"|"131438.0000"|""|"FAIR MARKET VALUE"|""
"01-0556446"|"QUINCY ASIAN RESOURCES INC"|"21192"|"1346487"|"SCHOLARSHIPS"|"7"|"5950.0000"|""|"FMV"|""
"01-0242095"|"ROBERT W TRAIP TRUST"|"22447"|"1353473"|"1-4 YR EDUC SCHOLARSHIP"|"19"|"47500.0000"|""|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"22450"|"1353488"|"FINANCIAL ASSISTANCE"|"10138"|"566228.0000"|""|"FMV"|"MEMBERSHIP ASSISTANT"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"22451"|"1353488"|"FINANCIAL ASSISTANCE"|"429"|"148107.0000"|""|"FMV"|"PROGRAM ASSISTANT"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"22452"|"1353488"|"FINANCIAL ASSISTANCE"|"542"|"395343.0000"|""|"FMV"|"PROGRAM ASSISTANT"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"23438"|"1362073"|"COLLEGE SCHOLARSHIPS AWARDED"|"51"|"116575.0000"|""|""|""
"01-0247002"|"GEORGE STEVENS ACADEMY"|"23439"|"1362073"|"PRINCIPAL DISCRETIONARY FUND TO HELP STUDENTS AT RISK FOR QUITTING SCHOOL"|"10"|"1420.0000"|""|""|""
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"23797"|"1364312"|"ASSISTANCE TO PATIENT FAMILIES (PAID BY NCH)"|"66563"|"244026.0000"|""|""|""
"01-0762655"|"Ohio Assoc. of County Behavioral Health Authorities Foundation"|"24313"|"1368291"|"Scholarship Award"|"3"|"3000.0000"|""|"Cash"|"Scholarship award to enable individuals to pursue educational opportunities."
"01-0353275"|"Martin's Point Health Care Inc"|"25637"|"1376076"|"Martin's Point Health Care Scholarship Fund"|"1"|"25000.0000"|""|""|""
"01-0921490"|"IDignity,Inc."|"25715"|"1376958"|"To obtain legal identification documents"|"2635"|"79142.0000"|"0.0000"|""|""
"01-0523390"|"Senator George J Mitchell Scholarship Research Institute"|"26302"|"1380080"|"Scholarships to one graduating senior from every public high school in Maine"|"128"|"736441.0000"|""|""|""
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"26487"|"1381008"|"CASH"|"85"|""|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26800"|"1383881"|"Scholarships for Maine students for undergraduate study"|"757"|"1484466.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26801"|"1383881"|"Scholarships for Maine students for graduate study"|"20"|"66040.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26802"|"1383881"|"Awards to graduated Maine students for college loan repayment"|"9"|"45000.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26803"|"1383881"|"Provision to enable Maine students"|"51"|"31905.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26804"|"1383881"|"Grants for Maine professionals for professional development"|"16"|"16315.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26805"|"1383881"|"Grants to Maine schools to enhance K-12 curricula"|"55"|"7768.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26806"|"1383881"|"Scholarships for Maine students for tuition at private high schools"|"1"|"6000.0000"|""|""|""
"01-0391479"|"Maine Community Foundation Inc"|"26807"|"1383881"|"Grants for Maine students to attend high school summer sessions"|"5"|"540.0000"|""|""|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"27059"|"1384686"|"COLLEGE SCHOLARSHIPS TO LEAVITT AREA HIGH SCOOL STUDENTS"|"75"|"83808.0000"|""|""|""
"02-0103715"|"THE NEW HAMPSHIRE DEPARTMENT OF THE AMERICAN LEGION"|"27353"|"1387238"|"VARIOUS YOUTH/STUDENT SCHOLARSHIPS"|"12"|"12000.0000"|"0.0000"|"FMV"|""
"01-0287624"|"HOME INC"|"27661"|"1389875"|"UTILITIES"|"36"|"7331.0000"|""|""|""
"01-0287624"|"HOME INC"|"27662"|"1389875"|"MEDICAL"|"15"|"8175.0000"|""|""|""
"01-0287624"|"HOME INC"|"27663"|"1389875"|"GENERAL SUPPORT"|"158"|"6166.0000"|""|""|""
"01-0627754"|"CLEVELAND ARTS PRIZE"|"27664"|"1389890"|"SCHOLARSHIP"|""|""|""|""|""
"01-0722641"|"Sheriffs Memorial & Benevolent Society of Travis County"|"27665"|"1389894"|"(1) Sheirffs Employee Assistance"|"11"|"13200.0000"|""|""|""
"01-0722641"|"Sheriffs Memorial & Benevolent Society of Travis County"|"27666"|"1389894"|"(2) Scholarships"|"4"|"4490.0000"|""|""|""
"01-0722641"|"Sheriffs Memorial & Benevolent Society of Travis County"|"27667"|"1389894"|"David Pepper"|"1"|"4738.0000"|""|""|""
"01-0211509"|"GOULD ACADEMY"|"28599"|"1396963"|"FINANCIAL AID GRANTS AND SCHOLARSHIPS"|"100"|"2612751.0000"|""|""|"GRANTS & SCHOLARSHIPS FOR REDUCED TUITION"
"01-0532411"|"Maine Space Grant Consortium"|"28600"|"1396996"|"Student & teacher stipends"|"6"|"39000.0000"|""|""|""
"01-0532411"|"Maine Space Grant Consortium"|"28601"|"1396996"|"Education grant"|"1"|"10080.0000"|""|""|""
"01-0532411"|"Maine Space Grant Consortium"|"28602"|"1396996"|"Consulting awards"|"2"|"16581.0000"|""|""|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"28603"|"1397000"|"TUITION FINANCIAL AID"|"75"|"100752.0000"|""|"DOLLAR"|"TUITION"
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"28604"|"1397000"|"PACS WOLVERINE PRIDE"|"1"|"500.0000"|""|"DOLLAR"|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"28605"|"1397000"|"SCHOLARSHIPS"|"12"|"25916.0000"|""|"DOLLAR"|"TUITION"
"02-0147630"|"HOLDERNESS SCHOOL"|"30186"|"1406935"|"FINANCIAL AID TO STUDENTS"|"110"|""|"3092882.0000"|"FAIR MARKET VALUE"|"FINANCIAL AID ASSISTANCE TO ATTEND HOLDERNESSSCHOOL"
"01-0801061"|"Fort Worth HOPE Center"|"31174"|"1413939"|"Food, clothing, household goods"|"20000"|"0.0000"|"3962521.0000"|"Wholesale prices, garage sale prices"|"Food, clothing, household items and cleaning supplies are provided to eligible low-income families"
"01-0963657"|"NATIONAL MEDICAL FELLOWSHIPS, INC."|"31175"|"1413940"|"MEDICAL GRANTS, STIPENDS, SCHOIARSHIPS"|"86"|"541291.0000"|""|""|""
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"32511"|"1419764"|"(1) Emergency Assistance to Servicemen"|"52"|"144257.0000"|""|"Book"|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"32655"|"1420360"|"EDUCATIONALSCHOLARSHIPS"|"238"|"238950.0000"|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"32656"|"1420360"|"Disaster Relief"|"59"|"332000.0000"|""|""|""
"01-0376664"|"MAINE ELKS ASSOCIATION"|"33114"|"1422756"|"1 COLLEGE SCHOLARSHIPS"|"25"|"27277.0000"|"0.0000"|""|""
"01-0376664"|"MAINE ELKS ASSOCIATION"|"33115"|"1422756"|"2 MAINE CHILDREN'S CANCER PROGRAM"|"1"|"192946.0000"|"0.0000"|""|""
"01-0376664"|"MAINE ELKS ASSOCIATION"|"33116"|"1422756"|"3 ELKS NATIONAL FOUNDATION"|"1"|"500.0000"|"0.0000"|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"34073"|"1428062"|"(1) Need based financial aid including federal financial aid grants"|"714"|"0.0000"|"26322808.0000"|"Cash basis"|"Need based financial aid grants"
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"34074"|"1428065"|"SCHOLARSHIPS FOR GRADUATE STUDIES"|"2"|"20000.0000"|""|"COST"|""
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"34075"|"1428065"|"STIPENDS FOR AMERICAN GRADUATE FELLOWSHIPS"|"3"|"7027.0000"|""|"COST"|""
"01-0340713"|"KENNEBEC MONTESSORI SCHOOL"|"34284"|"1429582"|"SCHOLARSHIPS"|"6"|""|"5000.0000"|""|""
"01-0482628"|"Jobs for Mame's Graduates Inc"|"34285"|"1429590"|"Grants given to qualified enrollees for approved purchases such as housing, education, and medical"|"75"|"58876.0000"|""|""|""
"01-0211505"|"THE TRUSTEES OF FRYEBURG ACADEMY"|"35174"|"1434184"|"Financial aid given in the form of Tuition reduction to our domestic students"|"34"|"0.0000"|"1225550.0000"|"Financial aid forms are filled out by the parents each year"|"Financial aid is given in the form of Tuition reduction to our domestic students"
"01-0211505"|"THE TRUSTEES OF FRYEBURG ACADEMY"|"35175"|"1434184"|"financial aid is given in the form of tuition reduction to our foreign students"|"31"|"0.0000"|"713501.0000"|"Financial aid forms are filled out by the parents each year"|"Financial aid is given in the form of Tuition reduction to our foreign students"
"01-0370827"|"THE BAY SCHOOL"|"35650"|"1435574"|"SCHOLARSHIPS TO STUDENTS IN NEED OF FINANCIAL ASSISTANCE IN ORDER TO ATTEDN THE BAY SSCHOOL"|"63"|""|"119865.0000"|"BOOK"|"DIRECTLY REDUCE TUITION CHARGED TO PARENTS OF BAY SCHOOL STUDENTS THAT QUALIFY FOR FINANCIAL"
"01-0353371"|"SALT, INC ."|"35765"|"1437181"|"FINANCIAL AID"|"19"|"56770.0000"|"0.0000"|""|""
"01-0431293"|"Horizons Unlimited Inc"|"35766"|"1437193"|"(1) Food reimbursement to daycare providers"|"27"|"216812.0000"|""|"FMV"|""
"01-0504446"|"Hyde School at South Woodstock Inc"|"35767"|"1437203"|"Financial Aid/Scholarships"|"77"|""|"1710610.0000"|"FMV"|"Financial Aid/Scholarships"
"01-0504446"|"Hyde School at South Woodstock Inc"|"35768"|"1437203"|"Tuition Remission"|"3"|""|"77175.0000"|"FMV"|"Tuition Remission"
"01-0504446"|"Hyde School at South Woodstock Inc"|"35769"|"1437203"|"Sibling Discount"|"7"|""|"38670.0000"|"FMV"|"Sibling Discount"
"01-0504446"|"Hyde School at South Woodstock Inc"|"35770"|"1437203"|"Early Enrollment Discount"|"68"|""|"68000.0000"|"FMV"|"Early Enrollment Discount"
"01-0504446"|"Hyde School at South Woodstock Inc"|"35771"|"1437203"|"International Student Placement"|"31"|""|"127243.0000"|"FMV"|"International Student Placement"
"01-0795152"|"Christian Friends of New Americans"|"35773"|"1437231"|"1 Scholarships-22 elem, 6 high school"|"28"|"70000.0000"|""|""|""
"01-0795152"|"Christian Friends of New Americans"|"35774"|"1437231"|"2 Household goods"|"200"|""|"18000.0000"|"FMV"|"beds, sofas, tables, chairs, etc"
"01-0795152"|"Christian Friends of New Americans"|"35775"|"1437231"|"3 Food"|"50"|""|"13000.0000"|"FMV"|"canned goods, pantry goods, etc."
"01-0795152"|"Christian Friends of New Americans"|"35776"|"1437231"|"4 Bikes"|"40"|""|"4000.0000"|"FMV"|"Bicycles"
"01-0902152"|"MILLENNIAL MUSIC (FKA ORANGE COUNTY MORMON CHORAL ORGANIZATION)"|"35777"|"1437235"|"NEED BASED SCHOLARSHIPS GIVEN TO PARTICIPANTS"|"76"|"0.0000"|"12288.0000"|"FMV"|"DISCOUNT CODES GIVEN TO PARTICIPANT TO REDUCE TUITION DURING ONLINE REGISTRATION."
"01-0902152"|"MILLENNIAL MUSIC (FKA ORANGE COUNTY MORMON CHORAL ORGANIZATION)"|"35778"|"1437235"|"SPONSORSHIP OF LOCAL AYSO SOCCER TEAM"|"1"|"125.0000"|"0.0000"|"FMV"|""
"01-6021559"|"Hyde School"|"35779"|"1437243"|"Sibling Discounts"|"14"|""|"97280.0000"|"FMV"|"Sibling Discounts"
