"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ENDOW_BOY"|"ENDOW_CONTRIB"|"ENDOW_INVESTMENTS"|"ENDOW_GRANTS"|"ENDOW_OTHER_EXPENSES"|"ENDOW_ADMIN_EXPENSES"|"ENDOW_EOY"|"ENDOW_BOARD_DESIGNATED_EOY"|"ENDOW_PERMANENT_EOY"|"ENDOW_TERM_EOY"|"ENDOW_UNRELATED_ORGS_CBX"|"ENDOW_RELATED_ORGS_CBX"|"ENDOW_SCHEDR_CBX"
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"706814"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST. MARY'S"|"706820"|"50.0000"|""|""|""|""|""|"50.0000"|""|""|""|"N"|"N"|""
"01-0555559"|"ECS MINISTRIES"|"706823"|"35661.0000"|""|"1055.0000"|""|""|""|"36716.0000"|""|"100.00"|""|"N"|"N"|""
"01-0694045"|"FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION, INC"|"706829"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"706834"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"706835"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0825719"|"Vision Rescue International"|"706837"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"715187"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"715190"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0314110"|"AMICUS"|"715589"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0316964"|"RILEY SCHOOL, INC."|"721181"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"721187"|"4519992.0000"|"12627.0000"|"883206.0000"|""|""|"211311.0000"|"5204514.0000"|"6.00"|"59.00"|"35.00"|"N"|"N"|"N"
"01-0332353"|"CORINTH HOUSING CORPORATION"|"723236"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"724479"|"17467.0000"|"0.0000"|"-532.0000"|""|""|""|"16935.0000"|"0.00"|"100.00"|"0.00"|"N"|"N"|""
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"725848"|"3091116.0000"|"87917.0000"|"698336.0000"|"65710.0000"|"79119.0000"|"10684.0000"|"3721856.0000"|"26.52"|"56.77"|"16.71"|"Y"|"N"|"N"
"01-0332058"|"Hancock County Auditorium Associates"|"725855"|"13548.0000"|""|"1619.0000"|"550.0000"|""|""|"14617.0000"|""|"100.00"|""|"Y"|"N"|""
"01-0353371"|"Salt, Inc."|"725861"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355090"|"LOVEJOY HEALTH CENTER, INC"|"725862"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355896"|"JOHN F MURPHY HOMES INC"|"725863"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0369793"|"Facilities Inc"|"725869"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0384833"|"Big Brothers Big Sisters of Midcoast Mai"|"725873"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0416755"|"MAINE CENTER ON DEAFNESS"|"725878"|"2793.0000"|""|"616.0000"|""|""|""|"3409.0000"|""|"100.00"|""|"N"|"N"|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"725890"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0687220"|"LAGUNA NIGUEL SOCCER CLUB INC"|"725892"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"725894"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0732696"|"FAMILY SUPPORT ORGANIZATION OF UNION COUNTY INC"|"725895"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0916759"|"KIPP ST. LOUIS"|"725904"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0150530"|"TEAMSTERS LOCAL UNION NO 633 OF NH"|"733021"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0448173"|"Center for Teaching and Learning"|"733970"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0534548"|"Community Care"|"733974"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0640027"|"MGM Resorts Foundation"|"733976"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0343943"|"SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE"|"734862"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355212"|"MAINE STATE MUSIC THEATRE"|"734865"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"734868"|"647910.0000"|"68163.0000"|"127977.0000"|"76850.0000"|""|""|"767200.0000"|"31.80"|"40.80"|"27.40"|"N"|"N"|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"734880"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0740130"|"RIO HONDO COMMUNITY DEVELOPMENT CORPORATION"|"734886"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0211966"|"VETERANS OF FOREIGN WARS - POST 1670"|"734896"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0597318"|"DARE EDUCATION FOUNDATION INC"|"739192"|"34831.0000"|""|"8453.0000"|""|""|"611.0000"|"42673.0000"|"100.00"|""|""|"Y"|"N"|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"739346"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222254"|"YWCA OF NEW HAMPSHIRE"|"739355"|"326134.0000"|""|"18112.0000"|""|"30000.0000"|""|"314246.0000"|""|"41.08"|""|"N"|"N"|""
"01-0722629"|"MARIE A. MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"741497"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0702442"|"NC IDEA"|"742153"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0717546"|"MAINE APPALACHIAN TRAIL LAND TRUST"|"742154"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211509"|"GOULD ACADEMY"|"743427"|"10346784.0000"|"441998.0000"|"1216946.0000"|""|""|""|"12005728.0000"|"8.06"|"84.63"|"7.31"|"N"|"N"|""
"01-0229448"|"Trustees of Washmgton Academy"|"743429"|"1292977.0000"|"10000.0000"|"159845.0000"|"0.0000"|"0.0000"|"0.0000"|"1462822.0000"|"90.30"|"0.40"|"9.30"|"N"|"N"|""
"01-0263385"|"Thomas College"|"743431"|"6479854.0000"|"70840.0000"|"1293266.0000"|"253677.0000"|""|""|"7590283.0000"|""|"100.00"|""|"N"|"N"|"N"
"01-0348331"|"CHOCOLATE CHURCH ARTS CENTER"|"743439"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0469062"|"INDEPENDENT SCHOOLS ASSOCIATION OF NORTHERN NEW ENGLAND"|"743447"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0735034"|"REED ACADEMY"|"743452"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0202445"|"Grindstone Association"|"747004"|"1595887.0000"|""|"46248.0000"|""|"6000.0000"|"238.0000"|"1635897.0000"|"39.09"|"60.91"|""|"N"|"N"|""
"01-0563040"|"Servant's Heart Camp Ministries"|"747012"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0349146"|"Newport Public Library Association"|"747441"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367581"|"BROWNVILLE HOUSING CORPORATION"|"747442"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0529491"|"AVIAN HAVEN"|"747444"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0196359"|"THE IRIS NETWORK"|"747789"|"619886.0000"|""|"115589.0000"|""|"38352.0000"|""|"697123.0000"|"86.90"|"13.10"|""|"Y"|"N"|""
"01-0221344"|"BRIDGTON ACADEMY"|"749419"|"3918650.0000"|"39382.0000"|"756350.0000"|""|"-214600.0000"|""|"4499782.0000"|"32.10"|"24.65"|"43.25"|"N"|"N"|""
"01-0342859"|"SPORTS PROJECTS INC"|"749428"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0352636"|"FAMILY CRISIS SERVICES"|"749431"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0440182"|"ST. XAVIER'S HOME"|"749434"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0594835"|"Oakland Kids First"|"749454"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0164055"|"MASONIC BUILDING ASSOCIATION"|"754939"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371971"|"MIDTOWN ATHLETIC CLUB"|"755739"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0544094"|"BRIXHAM MONTESSORI FRIENDS SCHOOL"|"755744"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0783081"|"Chinese American Cooperation Council"|"755746"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0283794"|"Maine Health Care Association"|"758143"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0363316"|"OAKFIELD HOUSING CORPORATION"|"758343"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0688221"|"FILM CLIPS SPIRIT OF AMERICA"|"758352"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0693025"|"GILLOURY INSTITUTE"|"758355"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0211530"|"MAINE HISTORICAL SOCIETY"|"758497"|"5145872.0000"|""|"61157.0000"|""|"378944.0000"|""|"4828085.0000"|"85.70"|"3.80"|"10.50"|"N"|"N"|""
"01-0376832"|"MAINE VETERANS HOME"|"758508"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0329208"|"AMERICAN VETERANS WWII, POST NUMBER"|"760848"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0204920"|"WATERVILLE COUNTRY CLUB"|"761291"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0684986"|"AMERICAN SOCIETY OF TRANSPORTATION AND LOGISTICS, INC."|"761293"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0332352"|"PATTEN HOUSING CORPORATION"|"761644"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0365386"|"ISLAND FALLS HOUSING CORPORATION"|"761648"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0375377"|"ALLAGASH DEVELOPMENT CORPORATION"|"761650"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0567964"|"California Tamil Academy"|"762095"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0241839"|"NEW HAMPSHIRE A.F.L. - C.I.O."|"766937"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0226195"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL # 1253"|"768836"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0286071"|"KAPPA DELTA PHI INC"|"768907"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0214887"|"VETERANS OF FOREIGN WARS DEPARTMENT 561"|"768921"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6021180"|"MAINE BEER & WINE WHOLESALERS ASSOC., INC"|"769016"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224214"|"UNION FAIR SOCIETY"|"772976"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0490882"|"FRATERNAL ORDER OF EAGLES"|"775210"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0116973"|"GREATER NASHUA CHAMBER OF COMMERCE"|"775211"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0529871"|"Maine Technology Institute"|"776035"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0904664"|"CARLA AND DAVID CRANE FOUNDATION"|"776039"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0243451"|"Spednic Club, Inc."|"776588"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0286963"|"ARUNDEL YACHT CLUB"|"776591"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0770318"|"CORRECTIONAL OFFICERS ASSOC. OF DEL"|"776603"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0327898"|"CORINNA HOUSING CORPORATION"|"777597"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0358152"|"SOUL'S HARBOR, INC."|"777600"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6019452"|"AMERICAN LEGION LIBBY-MITCHELL POST 76"|"777627"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0451523"|"HEALTHY KIDS A FAMILY RESOURCE NETWORK"|"778868"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0509578"|"WESTBROOK YOUTH CENTER INC"|"778874"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0526734"|"OPERA HOUSE ARTS"|"778878"|"64317.0000"|""|"-365.0000"|""|""|""|"63952.0000"|""|"100.00"|""|"Y"|"N"|""
"01-0839874"|"NORTH GRAND NEIGHBORHOOD SERVICES"|"778922"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0959428"|"GROW FOOD NORTHAMPTON INC"|"778925"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6186835"|"NATIONAL CONFERENCE ON PUBLIC EMPLOYEE RETIREMENT SYSTEMS IRREVOCABLE TRUST"|"784910"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0380150"|"MECHANIC FALLS DEVELOPMENT COMMISSION"|"785724"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"02-0170390"|"CLUB NATIONAL, INC"|"785725"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0440702"|"Arundel Cemetery Corp."|"785752"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517028"|"CMP DEATH BENFIT VEBA TRUST"|"785754"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0786632"|"Middle Tennessee Mission Outreach, Inc"|"785763"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"789821"|"17085103.0000"|"1898375.0000"|"2691423.0000"|""|"7000.0000"|""|"21667901.0000"|"52.00"|"48.00"|""|"Y"|"N"|""
"01-0192761"|"CHILD EVANG-ELISM FELLOWSHIP, INC"|"789823"|"135938.0000"|"0.0000"|"10249.0000"|""|""|"30.0000"|"146154.0000"|"100.00"|"100.00"|""|"Y"|"N"|""
"01-0561262"|"THE LEE CHARTER FOUNDATION INC"|"789832"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0959193"|"INTERNATIONAL UNION UAW, LOCAL UNION 2121"|"791791"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0465754"|"CHILD EVANGELISM FELLOWSHIP, INC"|"792016"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355563"|"Maine Development Foundation"|"793355"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0472430"|"Royal River Conservation Trust"|"793358"|"117924.0000"|"0.0000"|""|""|""|""|"117924.0000"|"100.00"|""|""|"N"|"N"|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"793361"|"4417220.0000"|"28000.0000"|"39490.0000"|""|"374000.0000"|"12920.0000"|"4097790.0000"|"0.48"|"21.48"|"78.04"|"Y"|"N"|""
"01-0589514"|"GREEN POWER EMC"|"793367"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0595671"|"RESOURCE NY INC."|"793368"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0759974"|"THOUSAND ISLANDS EMERGENCY RESCUE SER\"|"793379"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"793385"|"1268626.0000"|""|"44452.0000"|"-41293.0000"|""|""|"1271785.0000"|"100.00"|""|""|"Y"|"N"|""
"01-0219829"|"Sarah Frye Home"|"794108"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367116"|"Families United of Washington County"|"794131"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0418917"|"PREBLE STREET"|"794137"|"1250837.0000"|"100000.0000"|"284270.0000"|""|""|""|"1635107.0000"|"91.56"|"8.44"|""|"N"|"N"|""
"01-0461120"|"Maine Pretnal Services"|"794147"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0498250"|"WINGS FOR CHILDREN & FAMILIES INC"|"794154"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0576704"|"THE FUND FOR PUBLIC ADVOCACY, INC."|"794165"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0586306"|"Barceda Families"|"794169"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0874029"|"POLARIS CHARTER ACADEMY"|"794188"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0900952"|"PEABODY CHARTER SCHOOL"|"794195"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6023519"|"BAY CHAMBER CONCERTS, INC."|"794204"|"1438340.0000"|"41889.0000"|"25312.0000"|""|"90029.0000"|""|"1415512.0000"|"47.40"|"25.60"|"27.00"|"N"|"N"|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"806377"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0209443"|"Veterans of Foreign Wars VFW-NH 808"|"806405"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0288480"|"THREE RIVERS AMBULANCE SERVICE"|"806852"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0340560"|"Yarmouth Senior Housing Inc."|"806856"|""|""|""|""|""|""|""|""|""|""|""|""|""
