"C_EIN"|"C_Org_Name"|"PART_V_B_ID"|"XML_DOCUMENT_ID"|"FACILITY_NAME"|"LINE_NUM"|"NEEDS_ASSMT_CBX"|"COMMUNITY_SERVED_CBX"|"DEMOGRAPHICS_CBX"|"EXISTING_FACILITIES_CBX"|"DATA_CBX"|"COMMUNITY_NEEDS_CBX"|"UNINSURED_CBX"|"IDENTIFYING_PROCESS_CBX"|"CONSULTING_PROCESS_CBX"|"INFO_GAPS_CBX"|"OTHER_NEEDS_CBX"|"ASSMT_YEAR"|"COMMUNITY_INPUT_CBX"|"MULTI_HOSPITAL_ASSMT_CBX"|"MADE_PUBLIC_CBX"|"WEBSITE_CBX"|"REQUEST_CBX"|"PUBLIC_OTHER_CBX"|"ADOPT_STRATEGY_CBX"|"EXECUTE_STRATEGY_CBX"|"DEVELOP_PLAN_CBX"|"EXECUTE_PLAN_CBX"|"OPER_PLAN_CBX"|"ADOPT_BUDGET_CBX"|"PRIOR_NEEDS_CBX"|"PRIOR_SERVICES_CBX"|"OTHER_ADDRESSED_CBX"|"ADDRESS_ALL_CBX"|"ELIGIBILITY_CBX"|"FPG_FREE_CBX"|"FPG_FREE_PCT"|"FPG_DISCOUNTED_CBX"|"FPG_DISCOUNTED_PCT"|"EXPLAIN_BASIS_CBX"|"INCOME_CBX"|"ASSET_CBX"|"INDIGENCY_CBX"|"INSURANCE_CBX"|"DISCOUNT_CBX"|"MEDI_CBX"|"STATE_REG_CBX"|"OTHER_FACTORS_CBX"|"APPLY_FA_CBX"|"PUBLICIZE_POL_CBX"|"POSTED_WEB_CBX"|"INVOICE_CBX"|"POSTED_ER_CBX"|"POSTED_OFFICE_CBX"|"IN_WRITING_CBX"|"ON_REQUEST_CBX"|"PUBLICIZE_OTHER_CBX"|"NONPAYMENT_CBX"|"HF_AGENCY_CBX"|"HF_LAWSUIT_CBX"|"HF_LIENS_CBX"|"HF_BODY_ATTACH_CBX"|"HF_OTHER_ACTIONS_CBX"|"THIRD_PARTY_CBX"|"TP_AGENCY_CBX"|"TP_LAWSUIT_CBX"|"TP_LIENS_CBX"|"TP_BODY_ATTACH_CBX"|"TP_OTHER_ACTIONS_CBX"|"NOTIFY_ADM_CBX"|"NOTIFY_DIS_CBX"|"NOTIFY_BILL_CBX"|"DOC_DETERM_CBX"|"NOTIFY_OTHER_CBX"|"EMC_POLICY_CBX"|"NO_CARE_CBX"|"NO_POLICY_CBX"|"LIMITED_CBX"|"OTHER_NO_EMC_CBX"|"LOWEST_RATE_CBX"|"AVERAGE_RATE_CBX"|"MEDI_RATE_CBX"|"OTHER_RATE_CBX"|"CHARGE_MORE_CBX"|"GROSS_CHARGE_CBX"|"EXCISE_TAX_CBX"|"REPORT_TAX_CBX"|"TAX_AMT"|"WEBSITE_URL"|"OTHER_WEBSITE_CBX"|"OTHER_WEBSITE_URL"|"RESIDENCY_CBX"|"RECOGNIZED_CURRENT_YEAR_CBX"|"ACQUIRED_CURRENT_YEAR_CBX"|"MULTI_ORG_ASSMT_CBX"|"ADOPT_IMPLEMENT_STRATEGY_CBX"|"IMPLEMENT_STRATEGY_YEAR"|"IMPLEMENT_STRATEGY_POSTED_CBX"|"IMPLEMENT_STRATEGY_WEBSITE"|"IMPLEMENT_STRATEGY_ATTACHED_CBX"|"UNDERINSURANCE_CBX"|"INFO_REQ_FA_CBX"|"SUPPORT_DOC_FA_CBX"|"CONTACT_INFO_STAFF_FA_CBX"|"CONTACT_INFO_NPO_FA_CBX"|"OTHER_FA_CBX"|"FA_WEBSITE_CBX"|"FA_WEBSITE"|"FA_APPLIC_WEBSITE_CBX"|"FA_APPLIC_WEBSITE"|"FA_PLAIN_WEBSITE_CBX"|"FA_PLAIN_WEBSITE"|"FA_GRATIS_CBX"|"FA_APPLIC_GRATIS_CBX"|"FA_SUMMARY_GRATIS_CBX"|"FA_DISPLAYED_CBX"|"FA_NOTIFIED_COMMUNITY_CBX"|"HF_SELLING_DEBT_CBX"|"HF_LEGAL_ACTIONS_CBX"|"HF_NONE_CBX"|"THIRD_PARTY"|"TP_SELLING_DEBT_CBX"|"LEGAL_ACTIONS_CBX"|"NONE_CBX"
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"551"|"758140"|"MDI Urology Clinic"|"11"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"100.00"|"Y"|"150.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|""|"Y"|""|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|"Y"|""|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"642"|"821370"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"1049"|"853837"|"Sebasticook Valley Health"|"1"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"2011"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"Y"|""|"Y"|"N"|"Y"|"Y"|"200.00"|"N"|""|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|""|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|""|""|""|"Y"|""|""|""|""|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1310"|"867258"|"WALDO COUNTY GENERAL HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1311"|"867258"|"ARTHUR JEWELL COMMUNITY HEALTH CTR"|"2"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1312"|"867258"|"DONALD S WALKER HEALTH CENTER"|"3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1313"|"867258"|"LINCOLNVILLE HEALTH CENTER"|"4"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1314"|"867258"|"SEARSPORT HEALTH CENTER"|"5"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1315"|"867258"|"STOCKTON SPRING REG HEALTH CENTER"|"6"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222215"|"ST JOSEPH HPSPITAL"|"1370"|"889826"|"ST JO SEPH HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"300.00"|"Y"|"Y"|"Y"|""|""|"Y"|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|"Y"|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|""|"Y"|"Y"|""|""|""|""|""|"Y"|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212435"|"St Joseph Hospital"|"1387"|"902670"|"St Joseph Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"350.00"|"Y"|"Y"|""|"Y"|""|""|""|""|""|"Y"|"Y"|""|""|"Y"|""|"Y"|"Y"|""|"Y"|"Y"|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"1418"|"908689"|"ST MARY'S REGIONAL MEDICAL CENTER"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"300.00"|"Y"|"Y"|"Y"|""|""|""|""|""|""|"Y"|"Y"|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|"Y"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0545327"|"Penobscot Valley Hospital"|"1774"|"984102"|"Penobscot Valley Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"275.00"|"Y"|"Y"|""|""|""|""|""|"Y"|""|"Y"|"Y"|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0244035"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"1917"|"991950"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"300.00"|"Y"|"Y"|""|"Y"|""|""|"Y"|""|""|"Y"|"Y"|""|""|"Y"|"Y"|""|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|""|"Y"|""|"Y"|""|""|""|""|""|""|"Y"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0646166"|"INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC"|"2341"|"1031677"|"IU HEALTH BLACKFORD HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"650.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|"Y"|"Y"|"Y"|""|"Y"|"Y"|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|"Y"|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211783"|"Calais Regional Hospital"|"2598"|"1040770"|"Calais Regional Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"150.00"|"Y"|"165.00"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"Y"|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|"Y"|""|""|"Y"|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
