"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|""|"1295778.0000"|""|""|"Grants and Scholarships"|""|"54874.0000"|""|""|"Expenses incurred in accomplishment of first achievement"|""|""|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|""|"609227.0000"|""|"8058151.0000"|"Offers high school students the opportunity to experience humanitarian service by traveling to other countries to participate in the building of structures to benefit the impoverished communities."|""|""|""|""|""|""|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|"762983.0000"|""|""|"Library services primarily benefiting the citizens of Saco, Maine and museum providing information and artifacts about local history."|""|""|""|""|""|""|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|""|"665774.0000"|""|""|"Adoption, care and donation services for homeless and unwanted animals in the greater Bangor area communities."|""|""|""|""|""|""|""|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|""|"38990.0000"|"30826.0000"|""|"Fire prevention-keeping current with equipment and training needs-emergency response that encompasses extrication, Marine Rescue, hazardous materials and confined space rescue."|""|""|""|""|""|""|""|""|""|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|""|"2064197.0000"|""|""|"The center provides health care services for the people of all ages from the surrounding area."|""|""|""|""|""|""|""|""|""|""
"01-0509802"|"CAFE, INC."|"620175"|""|"3456867.0000"|""|""|"The primary function is to provide mentally retarded adults and children with the necessary habilitative services so they can live independently in the community"|""|""|""|""|""|""|""|""|""|""
"01-0538232"|"Big Rock"|"620176"|""|"151939.0000"|"0.0000"|"212750.0000"|"Provide management to oversee facilities and to coach and support the training and development of amateur athletes seeking to engage in, and for the general promotion of winter sports with an emphasis on nordic skiing."|""|"362346.0000"|"0.0000"|"212750.0000"|"Provide equipment & facilities for amateur athletes seeking to engage in and for the general promotion on winter sports with an emphasis on nordic skiing"|""|"0.0000"|"0.0000"|"0.0000"|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|""|"554723.0000"|"10750.0000"|"543679.0000"|"Waterville Main Street Advance efforts to develop the downtown area itno a thriving, energetic, commercial, social, cultural and entertainment destinantion."|""|""|""|""|""|""|""|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|""|"37618.0000"|"37618.0000"|""|"To grant awards & scholarships to graduating seniors at Monmouth Academy, a public high school"|""|""|""|""|""|""|""|""|""|""
"01-0733041"|"SARASOTA CREW, INC"|"620180"|""|"280535.0000"|""|"276004.0000"|"The youth rowing program provides a positive, developmental and competitive rowing experience for youth in Sarasota, FL and uses the sport of rowing to promote a strong character, integrity, positive self-concept and healthful lifestyle among its student athletes."|""|"137088.0000"|""|"148099.0000"|"The regatta program provides a positive, developmental and competitive rowing experience for youth in Sarasota, FL and uses the sport of rowing to promote a strong character, integrity, positive self-concept and healthful lifestyle among its student athletes."|""|""|""|""|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|""|"130266.0000"|"0.0000"|"255800.0000"|"Trade School"|""|"196575.0000"|"0.0000"|"386008.0000"|"Business School"|""|""|""|""|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|""|"5846069.0000"|""|"6881114.0000"|"residential care services-community based transitional living programs provide rehabilitation services for psychologically disabled clients in their re-adjustment to productive community life"|""|"1011740.0000"|""|"1121456.0000"|"living in the community services-comprehensive package of services offered to psychologically disabled individuals that provides services to afford clients the opportunity to move towards a more independent form of life"|""|"792333.0000"|""|"849579.0000"|"supported employment services-a specialized job placement program designed to match the skills of workers with the needs of employers"
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|""|""|""|""|"Communications-research and publication of surveys, newsletters, brochures, guides & directories available to the general public."|""|""|""|""|"Member services - annual membership meeting, business after hourse and policy sounding meetings to encourage interation among members and to promte the greater Portland region."|""|""|""|""|"Eggs & issues-breakefast meetings of local professionals which address various topics of interest in the greater Portland region."
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|""|"628332.0000"|""|""|"Day habilitation, supported living and employment and residential services."|""|""|""|""|""|""|""|""|""|""
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|""|"175375.0000"|"174500.0000"|""|"Provided financial aid for post secondary education to attendees of the Boothbay Region High School who lacked adequate financial resources. Seventy five grants were awarded during the year."|""|""|""|""|""|""|""|""|""|""
"01-0265231"|"UPLIFT INC"|"631558"|""|"4340195.0000"|""|"6324616.0000"|"Group homes, day center and supported living and employment for people that are intellectually disabled"|""|""|""|""|""|""|""|""|""|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""|""|""|""|"Benefits"|""|""|""|""|""|""|""|""|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|""|"241197.0000"|"0.0000"|"220815.0000"|"The Club's purpose is to provide additional funds for student activities in the area schools and other nonprofit organizations. These funds are provided from weekly bingo games"|""|""|""|""|""|""|""|""|""|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|""|"44600.0000"|"44600.0000"|""|"Granted scholarships to students of cmmc college of nursing and health professions"|""|""|""|""|""|""|""|""|""|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|""|"166999.0000"|"9922.0000"|"6496.0000"|"To support the preservation of several historic buildings (including the skowhegan free public library) and to provide support to the library's operation"|""|"4391.0000"|"4391.0000"|""|"To provide scholarships to eligible students"|""|""|""|""|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|""|"126297.0000"|""|""|"Together place social club is a peer run club providing social, recreational, educational, vocational, peer support and recovery opportunities for adult Mental Health consumers and/or adults with developmental disabilities participation is directed toward enhancing and supporting the individuals independence in the community approximately 500 unduplicated individuals are served annually"|""|"117285.0000"|""|""|"Employment connections is a program designed to help adult Mental Health consumers pursue their vocational interest in the community assisted by client referrals and funding from the bureau of vocational rehabilitation and the Department of Health and Human Services, this program provides career exploration, job coaching and supports in addition to working with community employers, employment connections operates a custodial services contract program"|""|"67362.0000"|""|""|"Community connections is a statewide program that supports the individual adult Mental Health consumer regain independence and improved quality of life through participation in recreational opportunities in the community services include activity information, leisure planning, advocacy, development of resources and financial subsidies the program is coordinated through a network of volunteer sites throughout the state currently, statewide membership exceeds 5,600 individuals"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|""|"614157.0000"|""|"515717.0000"|"Provided housing for the elderly - 70 apartments"|""|""|""|""|""|""|""|""|""|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|""|"1374622.0000"|"1191909.0000"|"69857.0000"|"The Maine Space Grant Consortium (MSGC) is an affiliate-based 501(C)(3) corporation and a member of the national network of consortia in all 50 states plus Puerto Rico and the District of Columbia the network is funded by NASA's national Space Grant College and fellowship program which was established by congress in 1988 to contribute to the nation's science and engineering enterprise our mission is to - improve our affiliates' research infrastructure in areas of mutual interest to NASA"|""|""|""|""|""|""|""|""|""|""
"01-0331728"|"PATHWAYS INC"|"635244"|""|"480543.0000"|""|"516561.0000"|"U S Navy contracts to provide janitorial and shelf-stocking duties to adults with cognitive and physical disabilities"|""|"413810.0000"|""|"590258.0000"|"To provide community support to adults with cognitive and physical disabilities"|""|"633845.0000"|""|"592974.0000"|"To provide sheltered employment to adults with cognitive and physical disabilities"
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|""|"472968.0000"|""|"128718.0000"|"The organization provides low-income housing with a 24 unit facilty know as deer run apartments located in deer isle, Maine and a 16 unit facility know as Benjamin River apartments located in Sedgwick, Maine."|""|""|""|""|""|""|""|""|""|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|""|"312811.0000"|""|"102976.0000"|"The organization provides low-income housing with a 30 unit facility known as roe village apartments located in Hampden, Maine"|""|""|""|""|""|""|""|""|""|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|""|"3694481.0000"|""|"1555168.0000"|"School-to-work transition and opportunity awareness program provides essential services to at risk Maine students to remain in school, enhance academic performance, graduate, and become gainfully employed."|""|"54461.0000"|""|""|"The IDA Opportunity Passport Program is a financial literacy and matched savings program that helps youth develop a general understanding about personal finances and goal setting. In 2010 70 youth benefited from matching funds for a total of 90 different purchases from the approved categries of housing, education, vehicles, investments & medical expenses."|""|""|""|""|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|""|"73093.0000"|"73093.0000"|""|"Student Scholarships - University of Maine School of Law and support of programs"|""|"29643.0000"|""|""|"Furniture provided to University of Maine School of Law for use"|""|""|""|""|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|""|"2341248.0000"|""|""|"To operate and maintain daycare facilities and provide early education to children of low income families"|""|""|""|""|""|""|""|""|""|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|""|"12201533.0000"|""|"12384781.0000"|"Private secondary school which serviced 278 students in grades 9-12 during the last year, teaching subjects usually taught in public schools during the summer months the school hosts scientific conferences"|""|""|""|""|""|""|""|""|""|""
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|""|"575813.0000"|"0.0000"|"507455.0000"|"The exempt purpose is described above in question 1. The organization's main source of revenue is the dues that it collects annually from its members."|""|"50962.0000"|"0.0000"|"108880.0000"|"The organization also promotes & organizes various tournaments and events during the year for the benefit of its members and others."|""|""|""|""|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|""|"91279.0000"|"0.0000"|"128041.0000"|"Maine education technology conference held for members as well as k-12 educators to discuss Computer Technology and its relationship with todays classrooms. Professional development offerings are made to further education of member's employees."|""|"6477.0000"|"0.0000"|"0.0000"|"Electronic technology newsletter and meetings held quarterly along with maintenance of association web site as resources for membership."|""|""|""|""|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|""|"268218.0000"|"149150.0000"|"173460.0000"|"Products, services, and training to help girls and to provide outreach programs."|""|"6975.0000"|""|"574.0000"|"""girls rock weekend"" workshop to broaden girls' horizons through workshops and activities."|""|""|""|""|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|""|"276586.0000"|""|""|"Promotes the independent developmental growth of each child."|""|""|""|""|""|""|""|""|""|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|""|"194232.0000"|""|"206804.0000"|"Children's services: Center based pre-school development programs, developmental playgroups, home teaching, parental support"|""|"143601.0000"|""|"183235.0000"|"Case Management Services: Services are provided for individuals with mental retardation and autism spectrum disorders from birth to age twenty-one."|""|"62933.0000"|""|"77537.0000"|"Community Outreach: Playgroups are coordinated in the community to provide an opportunity for children with special needs to interact with typically developing children. Special Children's Friends is involved in an infant assessment team to assist families in the process of obtaining services for their child with special needs. Community conversations are held to help educate parents, educators, providers etc. on issues effecting children with special needs and their families."
"01-0367553"|"SETON VILLAGE"|"638155"|""|"870228.0000"|""|"534894.0000"|"The organization provides affordable housing for low-income elderly tenants"|""|""|""|""|""|""|""|""|""|""
"01-0052260"|"Cumberland Club"|"638152"|""|""|""|""|"Provide meals and social functions for members."|""|""|""|""|""|""|""|""|""|""
"01-0245261"|"ERSKINE ACADEMY"|"638153"|""|"5974429.0000"|""|"7357007.0000"|"Erskine Academy is a private non profit high school for grades 9-12 approximately 694 students attended the school during the 2010-2011 school year"|""|""|""|""|""|""|""|""|""|""
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|""|"309550.0000"|""|""|"To provide funding to maintain a medical facility in rural northwestern Maine"|""|""|""|""|""|""|""|""|""|""
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|""|"1631775.0000"|"1452163.0000"|"0.0000"|"Fund distribution: United Way volunteers and staff directed the distribution of funds based upon community need to partner health & human care agencies serving the Mid Coast region, and oversaw the disbursement of designated distributions."|""|"238091.0000"|"0.0000"|"0.0000"|"Community services: volunteers and staff working together to create better lives for the people of Mid Coast Maine through programs such as 211 Maine, volunteermaine, and our four council solution areas; meeting basic needs/safety net, a safe & healthy community, success by 6:early childhood, and youth and lifelong learning. Each council works to form partnerships, mobilize volunteers, coordinate services, raise public awareness, start new initiatives and leverage additional resources."|""|""|""|""|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|""|"42077.0000"|""|"10800.0000"|"Furnishing Office Space and Equipment for Doctors and Dentists."|""|""|""|""|""|""|""|""|""|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|""|"78843.0000"|""|""|"Scholarships"|""|"28605.0000"|""|""|"High school programs and support"|""|""|""|""|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|""|"255222.0000"|""|""|"Southwest Michigan technical assistance center assists businesses that want to sell products or services to the government the program provides training events and one-on-one counseling for government registrations, locating bid opportunities and completing proposals it also provides military procurement history, technical data, and government specifications during the past five years the program helped regional businesses secure over 7,900 contracts worth 312,000,000"|""|"24730.0000"|""|""|"Leadership Kalamazoo affects positive change in our community by developing individuals who become engaged, action-oriented leaders the program started in 1987 and there is currently a growing network of more than 555 leadership Kalamazoo graduates who reside in the area and serve hundreds of community organizations the annual ten month training course targets community volunteers and leaders in charitable organizations and corporations"|""|"9063.0000"|""|"6510.0000"|"Kalamazoo area young professionals program is a strong peer network that introduces its members to Kalamazoo's exciting opportunities and cultivates future engaged leaders young professionals are connected with their peers through training workshops and social networking events that highlight the area's culture, recreation, and other attractions the program helps retain a talented workforce in the region by linking our young professionals with opportunities to become engaged in their community"
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|""|""|""|""|"Domestic fraternal organization"|""|""|""|""|""|""|""|""|""|""
"01-0262323"|"Northern Maine General"|"636949"|""|"2698927.0000"|""|"2619885.0000"|"The Mercy Home is a 5 star rated home located in the quiet community of Eagle Lake Our home offers three levels of personal care, Residential Care, Skilled Rehabilitation Care, and Long Term Care while providing a warm and stimulating home like environment Our staff are friendly and encourage our residents to maintain family connections, independence, and a sense of social well-being"|""|"3213953.0000"|""|"3890106.0000"|"NMG's Children's Case Management program is a home and community based service designed to assist consumers and their families with maximizing their ability to function within their environment Each consumer receives a thorough psychosocial assessment to identify their strengths and presenting needs"|""|"996361.0000"|""|"1047224.0000"|"Franciscan Home is a community residential facility that serves up to sixteen residents who have been diagnosed with severe and prolonged mental illness Each resident has a private bedroom There are eight private rooms on the second and third floor and both floors have a separate television room and a library/computer room for residents to use for social activities and for keeping in touch with families and friends"
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|""|"4941068.0000"|""|"5195382.0000"|"Expenses relating to the education of elementary and high school students"|""|""|""|""|""|""|""|""|""|""
"01-0281533"|"Green Valley Association"|"639787"|""|"1884354.0000"|""|""|"Green Valley Association provides program services for people with cognitive, developmental, or intellectual disabilities so that they may live and work in the community of their choice."|""|""|""|""|""|""|""|""|""|""
