"C_EIN"|"C_Org_Name"|"RELATED_ORG_ID"|"XML_DOCUMENT_ID"|"REL_ORG_NAME"|"REL_ORG_ADDRESS1"|"REL_ORG_CITY"|"REL_ORG_STATE"|"REL_ORG_COUNTRY"|"REL_ORG_ZIP"|"REL_ORG_EIN"|"REL_ORG_PRIMARY_ACTIVITY"|"REL_ORG_LEGAL_DOM"|"REL_ORG_EXEMPT_CODE"|"REL_ORG_CHARITY_STATUS"|"REL_ORG_CONTROLLING_ENTITY"|"REL_ORG_SEC512_CBX"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"580796"|"633591"|"HSC NO4 HOUSING DEVELOPMENT FUND CO"|"650 PAUMANACK VILLAGE DR"|"GREENLAWN"|"NY"|"USA"|"11740"|"11-3029451"|"PROVIDE AFFORDABLE HOUSING FOR LOW INCOME QUALIFIED SENNIORS"|"NY"|"501(C)(3)"|"Line 9"|""|"N"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"580797"|"633591"|"HSC NO6 HOUSING DEVELOPMENT FUND CO"|"650 PAUMANACK VILLAGE DR"|"GREENLAWN"|"NY"|"USA"|"11740"|"34-1977180"|"PROVIDE AFFORDABLE HOUSING FOR LOW INCOME QUALIFIED SENNIORS"|"NY"|"501(C)(3)"|"Line 9"|""|"N"
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"586665"|"636693"|"KKALAMAZOO REGIONAL CHAMBER OF COMMERCE"|"346 W MICHIGAN AVE"|"KALAMAZOO"|"MI"|"USA"|"49007"|"38-0703370"|"COMMUNITY"|"MI"|"501C6"|""|""|"N"
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"587660"|"636950"|"PRINCE AVENUE BAPTIST CHURCH"|"2201 RUTH JACKSON ROAD"|"BOGART"|"GA"|"USA"|"30622"|"58-0637021"|"CHURCH"|"GA"|"501(c)(3)"|"1"|""|"N"
"01-0367553"|"SETON VILLAGE"|"589292"|"638155"|"ROMAN CATHOLIC DIOCESE OF PORTLAND MAINE"|"510 OCEAN AVENUE"|"PORTLAND"|"ME"|"USA"|"04104"|""|"PROMOTES GENERAL WELFARE OF COMMUNITY"|"ME"|"501(C)(3)"|"509(A)(2)"|""|"N"
"01-0532835"|"SAFE PASSAGE"|"594192"|"639788"|"Camino Seguro"|"Calle Del Hermano Pedro 4"|"Antigua"|""|"GT"|""|""|"TO HELP AT RISK GUATEMALAN CHILDREN"|"GT"|""|""|""|"N"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"599991"|"643661"|"RIVER VALLEY HOUSING ASSOCIATES INC"|"PO BOX 911"|"LA CROSSE"|"WI"|"USA"|"54602-0911"|"39-2041222"|"TO PROVIDE HOUSING TO THE LOW-INCOME ELDERLY AND HANDICAP"|"WI"|"501(C)(3)"|"PF"|""|"N"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"599992"|"643661"|"ELDERLY HOUSING OF WEST UNIION INC"|"PO BOX 581"|"LA CROSSE"|"WI"|"USA"|"54602-0581"|"39-1635162"|"TO PROVIDE HOUSING TO THE LOW-INCOME ELDERLY AND HANDICAP"|"WI"|"501(C)(3)"|"509(A)(2)"|""|"N"
"01-0283465"|"WATERVILLE AREA YMCA"|"603642"|"645407"|"ALFOND YOUTH CENTER"|"126 NORTH STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|"04-3341661"|"RECREATIONAL PROGRAMMING FOR YOUTH AND ADULTS"|"ME"|"501(c)(3)"|"Line 7"|""|"N"
"01-0283465"|"WATERVILLE AREA YMCA"|"603643"|"645407"|"WATERVILLE AREA BOYS & GIRLS CLUB"|"126 NORTH STREET"|"WATERVILLE"|"ME"|"USA"|"04901"|"01-0344605"|"RECREATIONAL PROGRAMMING FOR YOUTH AND ADULTS"|"ME"|"501(c)(3)"|"Line 7"|""|"N"
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"624188"|"659069"|"EASTERN MAINE COMMUNITY COLLEGE"|"354 HOGAN ROAD"|"BANGOR"|"ME"|"USA"|"04401"|"01-0416015"|"COLLEGE EDUCATION"|"ME"|"501(C)(3)"|"2"|""|"N"
"01-0351501"|"Community Partners Inc"|"627582"|"660152"|"FOR Developmental Resources"|"PO Box 363"|"Biddeford"|"ME"|"USA"|"04005"|"01-0285906"|"Providing Housing for Developmentally Disabled Adults"|"ME"|"501(c)(3)"|"Line 9"|""|"N"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"628854"|"663123"|"THE INSTITUTE FOR COMMUNITY BUSINESS AND THE NEW HAMPSHIRE ECONOMY"|"122 NORTH MAIN ST"|"CONCORD"|"NH"|"USA"|"03301"|""|"PROGRAMS TO ATTRACT, DEVELOP, OR RETAIN INDUSTRY IN NEW HAMPSHIRE."|"NEW HAMPSHIRE"|"501(C)(3)"|"LINE 7"|""|"N"
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"629955"|"662309"|"METROWEST MINISTRIES, INC."|"280 PLEASANT STREET"|"ASHLAND"|"MA"|"USA"|"01721"|"04-2677295"|"RELIGIOUS"|"MA"|"501(C)3"|"Church"|"No"|"N"
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"629956"|"662309"|"METROWEST FACILITIES, INC."|"280 PLEASANT STREET"|"ASHLAND"|"MA"|"USA"|"01721"|"04-3127230"|"PROVIDE FACILITIES FOR A CHURCH"|"MA"|"501(C)2"|""|"No"|"N"
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"631973"|"663887"|"Lewiston Housing Authority"|"1 College Street"|"Lewiston"|"ME"|"USA"|"04240"|""|"Housing"|"Maine"|"501(a)"|""|""|"N"
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"631974"|"663887"|"Oak Park Housing Preservation Corporation"|"1 College Street"|"Lewiston"|"ME"|"USA"|"04240"|"22-3200986"|"Housing"|"Maine"|"501(c)(3)"|""|""|"N"
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"636412"|"667825"|"ACLU OF MAINE"|"121 MIDDLE STREET, SUITE 301"|"PORTLAND"|"ME"|"USA"|"04101"|"01-0285070"|"CIVIC"|"ME"|"501C4"|""|""|"N"
"01-0275130"|"Unity College"|"642206"|"671110"|"Unity Foundation"|"PO Box 815"|"Unity"|"ME"|"USA"|"04988-0815"|"01-0536785"|"Supporting organization"|"ME"|"501c3"|"11, Type I"|""|"N"
"01-0351143"|"Belfast Free Library"|"645225"|"673277"|"City of Belfast"|"131 Church Street"|"Belfast"|"ME"|"USA"|"04915"|""|"Municipality"|"ME"|""|""|""|"N"
"01-0279587"|"Waban Projects Inc"|"657678"|"685657"|"Waban Association Inc"|"5 Dunaway Drive"|"Sanford"|"ME"|"USA"|"04073"|"01-0280513"|"Support"|"ME"|"501c3"|"9"|""|"N"
"01-0768551"|"Ashland County Lifeworx Inc."|"657679"|"685676"|"Trinity Luthern Church"|"508 Center Street"|"Ashland"|"OH"|"USA"|"44805"|"34-0742709"|"Accounting work & PR"|"Ohio"|"170(B)(1)(A)(I)"|"501(C)(3)"|""|""
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"673137"|"696900"|"CYLDE RUSSELL SCHOLARSHIP TRUST FU"|"35 COMMUNITY DRIVE"|"AUGUSTA"|"ME"|"USA"|"04330"|"22-2535972"|"TO PROVIDE SCHOLARSHIPS TO ELIGIBLE STUDENTS"|"ME"|"501(C) (3)"|"TYPE 1"|""|"N"
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"673138"|"696900"|"MEA BENEFIT TRUST"|"35 COMMUNITY DRIVE"|"AUGUSTA"|"ME"|"USA"|"04330"|"01-0479776"|"PROVIDE INS. & BENEFITS TO MEMBERS"|"ME"|"501(C) (9)"|""|""|"N"
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"673139"|"696900"|"MEA FUND IN SUPPORT OF PUBLIC EDUC"|"35 COMMUNITY DRIVE"|"AUGUSTA"|"ME"|"USA"|"04330"|""|"ADVOCATE POLITICAL, LEGAL AND LEGISLATIV, ON BEHALF OF"|"501(C)(9)"|""|""|""|"N"
"01-0158948"|"SIGMA KAPPA SORORITY"|"673141"|"696902"|"SIGMA KAPPA FOUNDATION,INC"|"8733 FOUNDERS ROAD"|"INDIANAPOLIS"|"IN"|"USA"|"46268"|"35-1778450"|"LEADERSHIP & EDUCATION"|"INDIANA"|"501(C)(3)"|"LINE 7"|""|"N"
"01-0158948"|"SIGMA KAPPA SORORITY"|"673142"|"696902"|"SIGMA KAPPA NATIONAL HOUSING CORPORATION"|"8733 FOUNDERS ROAD"|"INDIANAPOLIS"|"IN"|"USA"|"46268"|"35-1913455"|"OWNING & MANAGING CHAPTER FACILITIES"|"INDIANA"|"501(C)(7)"|""|""|"N"
"01-0278024"|"Independence Association"|"673168"|"696919"|"17 Lincoln St Inc"|"PO Box 642"|"Brunswick"|"ME"|"USA"|"04011"|"01-0456661"|"supported living to adults with developemental disabilities"|"ME"|"501(c)(3)"|"509(a)(2)"|"Independence Association"|"Y"
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"673186"|"696960"|"NEIGHBORHOOD LENDING PARTNERS OF WEST FLORIDA, INC."|"3615 W. SPRUCE STREET"|"TAMPA"|"FL"|"USA"|"33607"|"59-3138324"|"ARRANGING FINANCING FOR AFFORDABLE HOUSING IN FL"|"FLORIDA"|"501(C)(3)"|"SCHEDULE A , LINE 9"|""|"N"
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"673187"|"696960"|"NEIGHBORHOOD LENDING PARTNERS OF SOUTH FLORIDA, INC."|"3615 W. SPRUCE STREET"|"TAMPA"|"FL"|"USA"|"33607"|"03-0391133"|"ARRANGING FINANCING FOR AFFORDABLE HOUSING IN FL"|"FLORIDA"|"501(C)(3)"|"SCHEDULE A , LINE 9"|""|"N"
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"673188"|"696960"|"NEIGHBORHOOD LENDING PARTNERS OF NORTH FLORIDA, INC."|"3615 W. SPRUCE STREET"|"TAMPA"|"FL"|"USA"|"33607"|"56-2435240"|"ARRANGING FINANCING FOR AFFORDABLE HOUSING IN FL"|"FLORIDA"|"501(C)(3)"|"SCHEDULE A , LINE 9"|""|"N"
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"673189"|"696962"|"MADISON CULTURAL ARTS DISTRICT"|"201 STATE STREET"|"MADISON"|"WI"|"USA"|"53703"|"39-2018388"|"Performing Arts Center"|"WI"|""|""|""|""
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"673211"|"696970"|"DOVER HOUSING AUTHORITY"|"62 WHITTIER STREET"|"DOVER"|"NH"|"USA"|"03820"|"02-6001129"|"LOW INCOME HOUSING"|"NEW HAMPSHIRE"|"STATE OF NH"|""|""|"N"
"01-0842036"|"Lutheran Family Services of Colorado Foundation Inc"|"673212"|"696981"|"Lutheran Family Services of Colorado"|"363 S Harlan Street Ste 200"|"Denver"|"CO"|"USA"|"80226"|"84-0775550"|"Services"|"CO"|"501(c)(3)"|"1"|""|""
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"673214"|"696983"|"GRAND LODGE OF A.F. & A. MASONS OF"|"304 INTERNATIONAL CIRCLE"|"COCKEYSVILLE"|"MD"|"USA"|"21030"|"52-0226260"|"FRATERNAL ORGANIZATION"|"MD"|"501(C)(8)"|""|""|"N"
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"673215"|"696983"|"GRAND LODGE - MARYLAND MASONIC HOM"|"304 INTERNATIONAL CIRCLE"|"COCKEYSVILLE"|"MD"|"USA"|"21030"|"52-0567507"|"FRATERNAL RETIREMENT RESIDENCE"|"MD"|"501(C)(8)"|""|""|"N"
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"673216"|"696987"|"AMERICAN ACADEMIC LEADERSHIP INSTITUTE"|"1825 K STREET, NW"|"WASHINGTON"|"DC"|"USA"|"20006"|"52-1572800"|"EDUCATION"|"DISTRICT OF COLUMBIA"|"501(C)(3)"|"LINE 11A, I"|""|"N"
"02-0242389"|"GREAT BAY SERVICES INC"|"673239"|"697005"|"RESIDENTIAL OPPORTUNITIES INC"|"2061 WOODBURY AVENUE"|"NEWINGTON"|"NH"|"USA"|"03801"|"22-2959097"|""|"NH"|"9"|"501(C)(3)"|""|""
"01-0762655"|"O.A.C.B.H.A. Foundation"|"674268"|"697769"|"The Ohio Association of County Behavioral Health Authorities"|""|"Columbus"|"OH"|"USA"|"43215"|"31-1781821"|"Trade Association"|"Ohio"|"501(c)6"|""|""|"N"
"01-0816065"|"CFNV CHARITABLE REAL ESTATE FUND"|"674269"|"697774"|"COMMUNITY FOUNDATION OF THE NAPA VALLEY"|"3299 CLAREMONT WAY SUITE 2"|"NAPA"|"CA"|"USA"|"94558"|"68-0349777"|"TO MOBILIZE RESOURCES AND PROMOTE PHILANTHROPY IN NAPA COUNTY"|"CA"|"501(C)(3)"|"LINE 8"|""|"N"
"01-0554275"|"CHARLOTTE ARTSFEST, INC."|"679968"|"706109"|"CHARLOTTE CENTER CITY PARTNERS"|"200 S. TRYON STREET, SUITE 1600"|"CHARLOTTE"|"NC"|"USA"|"28202"|"56-1247787"|"ECONOMIC & CULTURAL DEVELOPMENT OF CITY"|"NORTH CAROLINA"|"501(C)(4)"|""|""|"N"
"01-0916973"|"HUMILITY OF MARY SHELTER INC"|"679969"|"706110"|"HUMILITY OF MARY HOUSING INC"|"1228 EAST 12TH STREET"|"DAVENPORT"|"IA"|"USA"|"52801"|"42-1349437"|"PROVIDES TRANSITIONAL HOUSING FOR LOW INCOME HEADS OF HOUSEHOLDS"|"IA"|"501(C)(3)"|"170(B)(1)(A)(VI)"|""|"N"
"01-0916973"|"HUMILITY OF MARY SHELTER INC"|"679970"|"706110"|"CONGREGATION OF THE HUMILITY OF MARY"|"820 WEST CENTRAL PARK"|"DAVENPORT"|"IA"|"USA"|"52804"|"42-0681059"|"TO WORK FOR JUSTICE W/IN THE HUMAN FAMILY & TO CARE FOR THE EARTH ITSELF"|"IA"|"501(C)(3)"|"170(B)(1)(A)(I)"|""|"N"
"01-0211512"|"Home for the Aged"|"680298"|"706784"|"The Park Danforth"|"777 Stevens Avenue"|"Portland"|"ME"|"USA"|"04103"|"01-0373396"|"Operates low-income residential rental units"|"Maine"|"501(c)(3)"|"Line 9"|""|"N"
"01-0322531"|"Aroostook Area Agency on Aging, Inc."|"680299"|"706792"|"Caribou Congregate Housing"|"166 Sweden Street"|"Caribou"|"ME"|"USA"|"04736"|"22-2557798"|"Housing"|"ME"|"501(c)(3)"|"9"|""|"N"
"01-0322532"|"DAY ONE"|"680300"|"706793"|"INTEGRATED SERVICE SOLUTIONS OF MA"|"PO BOX 1018"|"CARIBOU"|"ME"|"USA"|"04736"|"27-0008919"|"BEHAVIORAL HEALTHCARE"|"ME"|"501 (C) (3"|"PUBLIC CHARIT"|""|"N"
"01-0343697"|"GROUP HOME FOUNDATION, INC."|"680301"|"706795"|"GHF RESIDENTIAL SERVICES"|"PO BOX 227"|"BELFAST"|"ME"|"USA"|"04915"|"20-8291517"|"HOUSING"|"ME"|"501C3"|"9"|""|"N"
"01-0373396"|"The Park Danforth"|"680302"|"706798"|"Home for the Aged"|"777 Stevens Avenue"|"Portland"|"ME"|"USA"|"04103"|"01-0211512"|"Dperates residential rental units"|"Maine"|"501(c)(3)"|"Line 9"|""|"N"
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST. MARY'S"|"680303"|"706820"|"HERITAGE HALL"|"46 CEDAR STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"26-4146012"|"RESTORATION OF THE FUNCTION FACILITY KNOWN AS ""HERTITAGE HALL"" FOR"|"MAINE"|"501 (C) (3)"|"170(B)(1)(A)"|""|"N"
"01-0555559"|"ECS MINISTRIES"|"680304"|"706823"|"EMMAUS BIBLE COLLEGE"|"2570 ASBURY ROAD"|"DUBUQUE"|"IA"|"USA"|"52001"|"36-2270695"|"A PRIVATE, FOUR-YEAR, ACCREDITED, EVANGELICAL BIBLE COLLEGE"|"IOWA"|"501(C)(3)"|"170(B)(1)(A)"|""|"N"
"01-0593099"|"PENSACOLA BEACH ELEMENTARY SCHOOL, INC"|"680305"|"706826"|"PENSACOLA BEACH ELEMENTARY SCHOOL BUILDING FOUNDATION, LLC"|"900 VIA DELUNA DRIVE"|"PENSACOLA BCH"|"FL"|"USA"|"32561"|"43-1974280"|"FACILITY LEASING"|"FLORIDA"|"501(C)3"|"509(A)(3)TYP II"|""|"N"
"01-6021559"|"Hyde School"|"680306"|"706841"|"Hyde School at South Woodstock, Inc."|"616 High Street"|"Bath"|"ME"|"USA"|"04530"|"01-0504446"|"Education for grades 9 through 12"|"Maine"|"501(c)(3)"|"Line 2"|""|"N"
"01-6021559"|"Hyde School"|"680307"|"706841"|"The Hyde Foundation"|"616 High Street"|"Bath"|"ME"|"USA"|"04530"|"22-3026440"|"Develop Charter Schools throughout country"|"Maine"|"501(c)(3)"|"Line 7"|""|"N"
"01-6021559"|"Hyde School"|"680308"|"706841"|"FAST, Inc"|"616 High Street"|"Bath"|"ME"|"USA"|"04530"|"22-3118810"|"Promote welfare of children"|"Maine"|"501(c)(3)"|"Line 7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680309"|"706842"|"DENNYSVILLE HOUSING"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"01-0532605"|"APARTMENTS FOR HANDICAPPED ADULTS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680310"|"706842"|"EATON STREET APARTMENTS"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"01-0533868"|"APARTMENTS FOR HANDICAPPED ADULTS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680311"|"706842"|"MIDDLE RIVER REACH TRAINING CENTER"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"01-0536553"|"TRAINING FOR EMPLOYMENT IN HEALTH CARE FIELDS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680312"|"706842"|"MILBRIDGE HARBOR APARTMENTS"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"59-3796786"|"APARTMENTS FOR HANDICAPPED ADULTS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680313"|"706842"|"MILBRIDGE RESIDENCE"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"01-0507931"|"APARTMENTS FOR HANDICAPPED ADULTS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680314"|"706842"|"SUNRISE RESIDENCE"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"22-2478230"|"APARTMENTS FOR HANDICAPPED ADULTS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"680315"|"706842"|"WASHINGTON COUNTY RESIDENCE"|"PO BOX 84"|"MACHIAS"|"ME"|"USA"|"04654"|"01-0434608"|"APARTMENTS FOR HANDICAPPED ADULTS"|"ME"|"501(C) (3)"|"7"|""|"N"
"01-0558182"|"JCPE INVESTMENTS (NFP)"|"683890"|"713360"|"JOHN C PROCTOR ENDOWMENT"|"2724 W RESERVOIR BLVD"|"PEORIA"|"IL"|"USA"|"61615"|"37-0662595"|"PROVIDE ADEQUATE CARE FOR THE AGED"|"IL"|"501(C)(3)"|"PRIVATE FOUNDATION"|""|"N"
"01-0817571"|"Pepperwood Foundation"|"687081"|"715711"|"Community Foundation Sonoma County"|"250 D Street #205"|"Santa Rosa"|"CA"|"USA"|"95404"|"68-0003212"|"Community Fdn"|"CA"|"501(c)(3)"|"11a"|""|"N"
"01-0817571"|"Pepperwood Foundation"|"687082"|"715711"|"California Academy of Science"|"55 Music Concourse Drive"|"San Francisco"|"CA"|"USA"|"94118"|"94-1156258"|"Scientific"|"CA"|"501(c)(3)"|"11a"|""|"N"
"01-0339489"|"St. Joseph's Rehabilitation & Residence"|"688293"|"717278"|"Diocesan Services, Inc."|"510 Ocean Avenue"|"Portland"|"ME"|"USA"|"04101"|"45-0467361"|"Management Services"|"Maine"|"501(c)(3)"|"Line 1"|""|"N"
"01-0349706"|"Onpoint Health Data"|"694472"|"721182"|"Maine Health Data Processing Center"|"16 Association Drive"|"Manchester"|"ME"|"USA"|"04351-0360"|""|"Provides management and data processing services"|"ME"|"501 (c)(3)"|"11a Type 1"|""|"Y"
"01-0321597"|"DIOCESAN BUREAU OF HOUSING"|"699763"|"725854"|"CATHOLIC DIOCESE OF PORTLAND MAINE"|"880 FOREST AVENUE"|"PORTLAND"|"ME"|"USA"|"04103"|""|"PROMOTES GENERAL WELFARE OF COMMUNITY"|"ME"|"501(C)(3)"|"509(A)(2)"|""|"N"
"01-0355896"|"JOHN F MURPHY HOMES INC"|"699764"|"725863"|"THE JOHN F MURPHY FOUNDATION FOR THE MENTALLY RETARDED INC"|"800 CENTER STREET"|"AUBURN"|"ME"|"USA"|"04210"|"01-0467809"|"FUNDRAISIN"|"ME"|"501(C)"|"11B"|""|"N"
"01-0355896"|"JOHN F MURPHY HOMES INC"|"699765"|"725863"|"JOHN F MURPHY NO 1 CORP"|"800 CENTER STREET"|"AUBURN"|"ME"|"USA"|"04210"|"11-0331027"|"MGT FEES"|"ME"|"501(C)"|"9"|""|"N"
