"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"The organization's mission is to provide a positive, developmental and competitive rowing experience for youth in Sarasota, FL and to use the sport of rowing to promote a strong character, integrity, positive self-concept and healthful lifestyle among its student"|"N"|"N"|""|""|""|"417623.0000"|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|"It is a trade and business school. It offers English as Second Language, pharmacy technician, home health aide, office technology and accounting programs."|"N"|"N"|""|""|""|"326841.0000"|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"The associations mission is to enhance and influence education in Maine by offering informal development opportunities and resources to its members via an annual conference, newsletters, and its website."|"N"|"N"|""|""|""|"97756.0000"|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"570158"|"FRATERNAL ORGANIZATION The elks are very active in the community-sponsoring youth programs donating to various charities; very active in drug awareness programs summer camps for underprivilege kids. Elks National Foundation"|"N"|"N"|""|""|""|"18770.0000"|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"568656"|"Promotion of amateur sports, specifically lacrosse, for high school students."|"N"|"N"|""|""|""|"362816.0000"|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|"To create opportunities, develop programs and provide services that empower girls and women."|"N"|"N"|""|""|""|"275193.0000"|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|"To provide a three-year montessori preschool experience, awaken a love of learning, and assist in the developmental growth of children."|"N"|"N"|""|""|""|"276586.0000"|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|"To provide relief to dentists who are experiencing extreme financial hardship"|"N"|"N"|""|""|""|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|"To provide additional funds for student activities The Club's purpose is to provide additional funds for student activities in the area schools and other nonprofit organizations."|"N"|"N"|""|""|""|"241197.0000"|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"To promote the well being of businesses located in the greater Portland region."|"N"|"N"|""|""|""|""|"Y"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|"Scholarships to nursing students"|"N"|"N"|""|""|""|"44600.0000"|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|"Provide scholarships and grants to students of Northern Maine Community College. Provides a vacational and technical education"|"N"|"N"|""|""|""|"1350652.0000"|"Y"
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"Provide high school students the opportunity to experience humanitarian service by traveling to other countries to participate in the building of structures to benefit the impoverished communities."|"N"|"N"|""|""|""|"609227.0000"|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"Support preservation of historic buildings"|"N"|"N"|""|""|""|"171390.0000"|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|"The organization is committed to helping children develop healthy lifelong habits through fun, outdoor winter activities."|"N"|"N"|""|"151404.0000"|""|"151404.0000"|"Y"
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|"The organization was formed for the purpose of uniting in a central organization all members of qualified bowling teams, leagues, & unattached in the chicagoland area. The organization also fosters the growth of mens's & women's bowling in the Chicago area."|"N"|"N"|""|""|""|"626775.0000"|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"PRINCE AVENUE CHRISITAN SCHOOL EXISTS TO INFUSE OUR SCHOOL COMMUNITY WITH A BIBLICAL WORLDVIEW BY EFFECTIVELY SHARING THE GOSPEL AND DEVELOPING FULLY DEVOTED FOLLOWERS OF JESUS CHRIST THROUGH SCRIPTURALLY BASED SICRIPLESHIP, ACADEMICS, FINE ARTS, AND ATHELETICS Situated on 40 acres in Oconee County, Prince Avenue Christian School is a magnificent example of what love for the Lord, dedication to prayer, and perseverance can create"|"N"|"N"|""|""|""|"4941068.0000"|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|""|"N"|"N"|""|""|""|""|""
"01-0262323"|"Northern Maine General"|"636949"|"It is Northern Maine General's mission to provide individuals with the highest standards of care, promote dignity and respect, encourage talents and individuality, and help all of the people we serve enjoy life to the fullest potential"|"Y"|"N"|""|"2290255.0000"|"3149288.0000"|"9199496.0000"|"Y"
"01-0211807"|"Sweetser"|"631557"|"Sweetser provides quality treatment, support, and hope to children, adults, and families through a network of mental health, behavioral health, and educational services"|"N"|"N"|""|""|""|"38108254.0000"|""
"01-0265231"|"UPLIFT INC"|"631558"|"To promote the general welfare of the intellectually disabled and to foster the development of programs on their behalf"|"N"|"N"|""|""|""|"4340195.0000"|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|"to improve the functioning in the community of individuals who have become disabled by severe and/or chronic mental illness to organize and deliver services in the most flexible and accomodating manner for any of the clients who enter the organization's programs to continue to reassess the needs of this population and redesign, if necessary, the operating philosophy and services to accommodate these needs"|"N"|"N"|""|"313601.0000"|"209540.0000"|"7963743.0000"|"Y"
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|""|"N"|"N"|""|""|""|"107448.0000"|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|"To provide financial support and serve as the fiscal agent for charitable and educational programs that fit within the Kalamazoo Regional Chamber of commerce's mission and strengthen quality of life within the community"|"N"|"N"|""|""|""|"289015.0000"|""
"01-0358732"|"MOBIUS INC"|"631560"|"Provide services for individuals with mental retardation including supported living, training, habilitation, employment and counseling"|"N"|"N"|""|"126130.0000"|"105042.0000"|"4703526.0000"|"Y"
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|"The intent and purpose of Carrabassett Valley Academy is to foster individual student development by providing the optimum balance of excellence in athletic training, with a focus on competitive skiing/snowboarding, college preparatory academics, and responsible living. This program offers the opportunity for each student to develop fully his or her intellectual and physical potential."|"N"|"N"|""|""|""|"2520031.0000"|"Y"
"01-0388637"|"New England Baptist Bible College"|"631562"|"Bible College offering Bachelor and Associate degrees in Religious Education"|"N"|"N"|""|""|""|"134308.0000"|""
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|"To help individuals with developmental disabilities and autism"|"N"|"N"|""|""|""|"1361477.0000"|""
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|"To provide homecare services to Maine residents to enable them to continue living independent lives"|"N"|"N"|""|""|""|"6927261.0000"|""
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|"Assisting teenagers with learning disabilities & behavioral problems"|"N"|"N"|""|""|""|"217522.0000"|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"To end homelessness by providing shelter, housing, and employment to families and individuals"|"N"|"N"|""|"2009947.0000"|"228351.0000"|"9869965.0000"|"Y"
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|"Social, recreational vocational and housing for mentally disabled adults"|"N"|"N"|""|"29000.0000"|""|"339944.0000"|"Y"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|"Provide lowincome housing for the elderly"|"N"|"N"|""|""|""|"614157.0000"|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"Support aerospace research, education and public service"|"N"|"N"|""|""|""|"1374622.0000"|"Y"
"01-0331728"|"PATHWAYS INC"|"635244"|"Pathways, Inc provides services for individuals with disabilities which improve the quality of their lives pathway's services help these people realize their vocational, educational, emotional and social potential"|"N"|"N"|""|"662379.0000"|"694755.0000"|"2190577.0000"|"Y"
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|"To provide low-income housing and the related management services."|"N"|"N"|""|""|""|"472968.0000"|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"To provide low income elderly housing"|"N"|"N"|""|""|""|"312811.0000"|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"To identify students who face barriers to education, and to guide each one on to a successful path toward continued education, a meaningful career, and productive adulthood."|"N"|"N"|""|""|""|"3748942.0000"|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|"Support for the University of Maine School of Law"|"N"|"N"|""|""|""|"102736.0000"|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|"We are committed to providing the highest quality program to meet the health, education and social supports of children and families so they can be successfulin school and life"|"N"|"N"|""|""|""|"2341248.0000"|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|"Located in Plymouth, New Hampshire, Holderness School is a traditional independent CO-ed boarding school with an enrollment of 278 serving grades 9-12, Holderness School provides a challenging college preparatory curriculum and special programs in academics, the arts, the outdoors, student leadership, and athletics including winter sports"|"N"|"N"|""|""|""|"12201533.0000"|"Y"
"01-0052260"|"Cumberland Club"|"638152"|"The Cumberland Club was organized in 1877 as a voluntary association ""for the purpose of mutual enjoyment of cultural and social amenities."""|"N"|"N"|""|""|""|""|""
"01-0245261"|"ERSKINE ACADEMY"|"638153"|"Erskine Academy is an independent, secondary school approved for tuition purposes by the Maine department of educational and cultural services historically, it has served the public interest in 9-12 education by providing educational, cultural, and extracurricular opportunities to the youth and familites of eight, primary sending communities"|"N"|"N"|""|""|""|"5974429.0000"|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|"Special Needs Preschool Program"|"N"|"N"|""|""|""|"400766.0000"|""
"01-0367553"|"SETON VILLAGE"|"638155"|"To manage a 140 unit apartment complex forlow-income elderly tenants"|"N"|"N"|""|""|""|"870228.0000"|""
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|"Maintain rural medical facility"|"N"|"N"|""|""|""|"309550.0000"|"Y"
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|"The United Way of Mid Coast Maine's mission is to improve lives by mobilizing the caring power of communities."|"N"|"N"|""|""|""|"1869866.0000"|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"Housing & education of at-risk Boys and Girls"|"N"|"N"|""|""|""|"840042.0000"|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|""|"N"|"N"|""|""|""|"42077.0000"|""
"01-0281533"|"Green Valley Association"|"639787"|"Green Valley Association provides residential facilities and day program services for people with cognitive, developmental, or intellectual disabilities who require individual in-home programming."|"N"|"N"|""|""|""|"1884354.0000"|""
"01-0532835"|"SAFE PASSAGE"|"639788"|"The mission of Safe Passage is ""to empower the poorest, at-risk children of families working in the community of the Guatemala City garbage dump, by creating opportunities and fostering dignity and self esteem through the power of education """|"N"|"N"|""|""|""|"1537341.0000"|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"Building the leaders who build the insurance, investment and financial services industry by offering those individuals world-class professional development opportunities via live programs, web-based programs and audio-visual materials and written materials"|"N"|"N"|""|""|""|""|"Y"
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"To support young adults in"|"N"|"N"|""|""|""|"1355351.0000"|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|"To provide low income me elderly housing"|"N"|"N"|""|""|""|"225691.0000"|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"To enrich generations of musicians by providing quality music education and private music lessons to as broad an audience as possible"|"N"|"N"|""|""|""|"294649.0000"|""
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|"To promote the well-being and enhance the quality of life for all senior adults of Brunswick County"|"N"|"N"|""|"530510.0000"|""|"1962255.0000"|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|"To improve the learning of at-risk students by creating a school culture that promotes learning, civility, caring academic success, and establishing a new form of accountability for schools"|"N"|"N"|""|""|""|"1030688.0000"|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"Provide room & board, training in living skils and social integration into the community for 33 mentally handicapped clients."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"3165789.0000"|""
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|"To promote education in the town of Kittery"|"N"|"N"|""|""|""|"87897.0000"|""
"01-0274898"|"HOPE ASSOCIATION"|"643658"|"Hope Association promotes the general welfare of adults with intellectual disabilities by operating boarding homes, a rehabilitation center and outreach programs in the westerm Maine region"|"N"|"N"|""|""|""|"2413368.0000"|""
"01-0357293"|"HERITAGE COURT INC"|"643659"|"Elderly HUD 202 financed low income housing"|"N"|"N"|""|""|""|"311990.0000"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"The Harrington Family Health center's mission is to provide quality health care, prevention and education to the people of Washington County and surrounding communities on a non-discriminatory basis, without regard to their ability to pay while maintaining the financial viability of the health center"|"N"|"N"|""|""|""|"1871978.0000"|"Y"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"To provide housing for the low-income elderly and handicapped populations"|"N"|"N"|""|"804912.0000"|"746349.0000"|"1357479.0000"|"Y"
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|"Partnering with LCMS congregations for purposes of cross-cultural ministry among immigrants and refugees in the greater St. Louis area"|"Y"|"N"|""|""|""|"214539.0000"|""
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|"Provide Charitable & Civic Programs"|"N"|"N"|""|""|""|"12193.0000"|""
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|"The following mission statement defines the overall purpose of the Pocono Mountain Charter School the school will provide each student with a safe, supportive, character building, orderly educational environment in which he/she can achieve his/her potential through an individualized, high tech, and challenging curriculum"|"N"|"N"|""|""|""|"1753881.0000"|"Y"
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|"Our mission To inspire and enable all young people and their families, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible, and caring citizens"|"N"|"N"|""|"116419.0000"|"135504.0000"|"884313.0000"|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"To assist the city of hallowell, Maine with the support of athletics at halldale high school"|"N"|"N"|""|""|""|"46224.0000"|""
"01-0263507"|"Central Aroostook ARC"|"656620"|"Provide various services for people of all ages who are fundamentally and developmentally disabled."|"N"|"N"|""|"1964028.0000"|"2065194.0000"|"5214591.0000"|"Y"
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|"Provide Figure Skating instruction, certification, and ice time to members."|"N"|"N"|""|""|""|"194181.0000"|""
"01-0211507"|"Good Samaritan Agency"|"656619"|"Good Samaritan Agency is a nonprofit corporation in Bangor, Maine whose purpose is to help individuals who have special needs concerning pregnancy and parenting to gain the services and support they need to improve the quality of their lives."|"N"|"N"|""|""|""|"557412.0000"|"Y"
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|"The primary purpose of the organization is to provide financial and other assistance to educational institutions in the United States and abroad."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"2455921.0000"|""
"01-0351501"|"Community Partners Inc"|"660152"|"We support people with developmental disabilities to live valued lives within their communities We create relationships where teaching, learning and growth are supported at all times and everyone's feelings and needs are met with compassion We respect and honor the relationships with families, guardians and correspondents and strengthen meaningful connections We offer employees opportunities for personal and professional growth"|"N"|"N"|""|""|""|"13366980.0000"|"Y"
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|"Support organizations serving disadvantaged youth"|"N"|"N"|""|""|""|"276070.0000"|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"To provide residential and adult day care for the elderly as well as transportation when needed."|"N"|"N"|""|""|""|"502800.0000"|""
"01-0545281"|"Greenwood"|"649555"|""|"N"|"N"|""|""|""|"371173.0000"|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|""|"N"|"N"|""|""|""|"302077.0000"|""
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|"Provide education to children"|"N"|"N"|""|""|""|"341993.0000"|""
"01-0360256"|"York Public Library"|"663886"|"To provide a library for the citizens of York, Maine."|"N"|"N"|""|""|""|"526437.0000"|"Y"
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|"Lewiston Auburn Area Housing Development Corp. was formed to organize, develop, financially assist, or manage on a non-profit basis, projects or programs providing low income rentals to elderly, handicapped and/or families, the Corporation is a component unit of Lewiston Housing Authority."|"N"|"N"|""|"4796.0000"|""|""|"Y"
"01-0544421"|"OXFORD HILLS CHRISTIAN ACADEMY"|"665469"|"To provide quality and affordable Christian education to students in kindergarten through grade 12. 55 students were served."|"N"|"N"|""|""|""|"202707.0000"|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|"The mission of United Way of Eastern Maine is to improve lives by mobilizing the caring power of people and communities we will achieve our mission through three key strategies - im proviing the health, education and income of people in the five counties we serve"|"N"|"N"|"157609.0000"|"331271.0000"|""|"2369511.0000"|"Y"
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|""|"N"|"N"|""|""|""|"197776.0000"|""
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|"The Center for Automotive Research, a nonprofit organization, is focused on a wide variety of important trends and changes related to the automobile industry and society at the international, federal, state and local levels"|"N"|"N"|""|""|""|"3317176.0000"|""
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|"Community Living Association (CLA) provides residential and day habilitation services for persons with developmental disabilities"|"N"|"N"|""|"1507917.0000"|"2100155.0000"|"7614102.0000"|"Y"
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"665467"|"Fraternal Order"|"N"|"N"|""|""|""|"1622209.0000"|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|"Nature conservation/education"|"N"|"N"|""|""|""|"48098.0000"|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|"The foundation's purposes are to promote, encourage, and support all educational activities at the Eastern Maine Community College."|"N"|"N"|""|""|""|"78793.0000"|""
"01-0452620"|"FRIENDS OF CASCO BAY"|"665468"|"To improve and protect the environmental health of Casco Bay, Maine"|"N"|"N"|""|"10844.0000"|"671.0000"|"508081.0000"|"Y"
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"To provide food and clothing to the needy"|"N"|"N"|""|""|""|"868301.0000"|""
"01-6006524"|"BRIDGTON PUBLIC LIBRARY"|"667828"|"Public Library"|"N"|"N"|""|""|""|"177244.0000"|""
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"667821"|"Sanford Library Association is a public library which provides books and programs to the residents of the town of Sanford and surrounding communities."|"N"|"N"|""|""|""|"406655.0000"|""
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|"The library provides books, services and programs to the residents of the town of North Berwick and surrounding towns."|"N"|"N"|""|""|""|"141289.0000"|""
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|"Public Library"|"N"|"N"|""|""|""|"355587.0000"|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|"Public library Skidompha Library supports and enriches our communities by fostering literacy, providing ready access to information resources, encouraging lifelong learning, and promoting cultural and social interaction."|"N"|"N"|""|""|""|"330546.0000"|""
"01-0365436"|"Maine Administrators of Services For Children With Disabilities"|"667824"|"MADSEC provides support to its members, opportunities for professional growth to Maine educators, and leadership in shaping policies and practices which impact the quality of education for children with disabilities"|"N"|"N"|""|""|""|"907777.0000"|""
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"662304"|"The association's primary mission is to provide visitors and residents with tourism information, develop travel and tourism in Maine, and disclose other opportunities in"|"N"|"N"|""|""|""|""|"Y"
"01-0207716"|"VICTORIA MANSION"|"662305"|"Preserve/maintain Victoria Mansion"|"N"|"N"|""|""|""|"206414.0000"|""
"01-0524313"|"WINDHAM SCHOOL AGE CHILDCARE ASSOC"|"662306"|"Childcare is provided before & after school. Entertainment and care for children outside of school hours by providing breakfast and snacks as well as toys books and games."|"N"|"N"|""|""|""|"395394.0000"|""
