"C_EIN"|"C_Org_Name"|"OTHER_FACILITY_ID"|"XML_DOCUMENT_ID"|"OTHER_FAC_NAME"|"OTHER_FAC_STREET"|"OTHER_FAC_CITY"|"OTHER_FAC_STATE"|"OTHER_FAC_COUNTRY"|"OTHER_FAC_ZIP"|"OTHER_FAC_TYPE"
"01-0130427"|"BRIDGTON HOSPITAL"|"6915"|"824297"|"BRIDGTON INTERNAL MEDICINE"|"25 HOSPITAL DRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"6916"|"824300"|"SWIFT RIVER CLINIC"|"430 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"6917"|"824300"|"SWIFT RIVER CLINIC"|"430 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"6918"|"824300"|"SWIFT RIVER CLINIC"|"430 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"6919"|"824300"|"SWIFT RIVER CLINIC"|"430 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0215227"|"RUMFORD HOSPITAL"|"6920"|"824300"|"SWIFT RIVER CLINIC"|"430 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8530"|"839051"|"CENTRAL MAINE GASTROENTEROLOGY ASSOCIATE"|"77 BATES STREET SUITE 202"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8531"|"839051"|"CENTRAL MAINE SURGICAL ASSOCIATES"|"12 HIGH STREET SUITE 401"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8532"|"839051"|"CENTRAL MAINE HEART ASSOCIATES"|"60 HIGH STREET GROUND FLOOR"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8533"|"839051"|"CENTRAL MAINE OBSTETRICSGYNECOLOGY"|"12 HIGH STREET SUITE 200"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8534"|"839051"|"FAMILY HEALTH CARE ASSOCIATES"|"190 STETSON ROAD"|"AUBURN"|"ME"|"USA"|"04210"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8535"|"839051"|"CENTRAL MAINE PEDIATRICS"|"12 HIGH STREET SUITE 301"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8536"|"839051"|"CENTRAL MAINE HEMATOLOGY & ONCOLOGY"|"12 HIGH STREET SUITE 102"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8537"|"839051"|"CENTRAL MAINE UROLOGY"|"287 MAIN STREET SUITE 404"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8538"|"839051"|"CENTRAL MAINE NEUROLOGY"|"10 MINOT AVENUE"|"AUBURN"|"ME"|"USA"|"04210"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8539"|"839051"|"CENTRAL MAINE INTERNAL MEDICINE"|"12 HIGH STREET SUITE 400"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8540"|"839051"|"CENTRAL MAINE FAMILY MEDICINE RESIDENCY"|"76 HIGH STREET 1ST FLOOR"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8541"|"839051"|"CENTRAL MAINE FAMILY PRACTICE"|"12 HIGH STREET SUITE 302"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8542"|"839051"|"CENTRAL MAINE BARIATIRC SURGERY"|"10 HIGH STREET SUITE 105"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8543"|"839051"|"CENTRAL MAINE PAIN & HEADACHE CENTER"|"77 BATES STREET SUITE 101"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8544"|"839051"|"CENTRAL MAINE EAR NOSE & THROAT"|"12 HIGH STREET SUITE 102"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8545"|"839051"|"WOMEN'S SPECIALTY CENTER"|"287 MAIN STREET SUITE 201"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8546"|"839051"|"CENTRAL MAINE PLASTIC SURGERY"|"287 MAIN STREET SUITE 302"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8547"|"839051"|"MINOT AVENUE FAMILY MEDICINE"|"789 MINOT AVENUE"|"AUBURN"|"ME"|"USA"|"04210"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8548"|"839051"|"CENTRAL MAINE ENDOCRINOLOGY"|"287 MAIN STREET SUITE 301"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8549"|"839051"|"LISBON FAMILY PRACTICE"|"2 BISBEE ROAD"|"LISBON"|"ME"|"USA"|"04250"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8550"|"839051"|"CENTRAL MAINE PULMONARY & CRITICAL CARE"|"300 MAIN STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8551"|"839051"|"BRUNSWICK FAMILY HEALTH"|"329 MAINE STREET SUITE H"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8552"|"839051"|"CENTRAL MAINE SLEEP CENTER"|"60 HIGH STREET LOWER LEVEL"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8553"|"839051"|"CENTRAL MAINE PULMONARY & SLEEP MEDICINE"|"76 HIGH STREET SUITE 300"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8554"|"839051"|"TOPSHAM FAMILY MEDICINE"|"4 HORTON PLACE"|"TOPSHAM"|"ME"|"USA"|"04086"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8555"|"839051"|"POLAND COMMUNITY HEALTH CENTER"|"364 MAIN STREET"|"POLAND"|"ME"|"USA"|"04274"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8556"|"839051"|"GRAY FAMILY HEALTH CENTER"|"126 SHAKER ROAD ROUTE 26B"|"GRAY"|"ME"|"USA"|"04039"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8557"|"839051"|"CENTRAL MAINE HEART ASSOCIATION"|"11 EVERGREEN DRIVE"|"OAKLAND"|"ME"|"USA"|"04693"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8558"|"839051"|"CENTRAL MAINE SPORTS MEDICINE"|"77 BATES STREET SUITE 201"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8559"|"839051"|"MECHANIC FALLS FAMILY PRACTICE"|"22 PLEASANT STREET"|"MECHANIC FALLS"|"ME"|"USA"|"04256"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8560"|"839051"|"CMMC BLADDER CONTROL CENTER"|"287 MAIN STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8561"|"839051"|"BRUNSWICK PEDIATRICS"|"329 MAINE STREET SUITE J"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8562"|"839051"|"CENTRAL MAINE HEARING CENTER"|"12 HIGH STREET SUITE 102"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8563"|"839051"|"INFECTIOUS DISEASE ASSOCIATES"|"76 HIGH STREET SUITE 200"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8564"|"839051"|"CENTRAL MAINE FERTILITY CENTER"|"287 MAIN STREET SUITE 201"|"LEWISTON"|"ME"|"USA"|"04240"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8565"|"839051"|"BRUNSWICK NEUROLOGY"|"51 HARPSWELL ROAD SUITE 100"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8566"|"839051"|"BRUNSWICK WOMEN'S HEALTH"|"331 MAINE STREET SUITE 6"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8567"|"839051"|"BRUNSWICK PULMONOLOGY"|"329 MAINE STREET SUITE C"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8568"|"839051"|"NORWAY FAMILY MEDICINE"|"39 MAIN STREET"|"NORWAY"|"ME"|"USA"|"04268"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"8569"|"839051"|"CENTRAL MAINE HEART ASSOCIATES"|"329 MAINE STREET SUITE C"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT PHYSICIAN CLINIC"
"01-0153960"|"ST ANDREWS HOSPITAL"|"9647"|"853594"|"ST ANDREWS HOSPITAL DBA ST ANDREWS VILLAGE"|"145 EMERY LANE"|"BOOTHBAY HARBOR"|"ME"|"USA"|"04538"|"LONG-TERM CARE FACILITY"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9779"|"853837"|"SVH Convenient Care, LLC"|"1573 Main Street"|"Newport"|"ME"|"USA"|"04953"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9780"|"853837"|"SVH Rehabilitation Services"|"141 Leighton Street"|"Pittsfield"|"ME"|"USA"|"04967"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9781"|"853837"|"SVH Sleep Centter of Maine"|"114 Chandlet Street"|"Pittsfield"|"ME"|"USA"|"04967"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9782"|"853837"|"SVH Rehabitation Services"|"118 Moosehead Trail, Suite 4"|"Newport"|"ME"|"USA"|"04953"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9783"|"853837"|"Somerset Surgical Associates"|"72 North Main Road"|"Detroit"|"ME"|"USA"|"04929"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9784"|"853837"|"Eastern Maine Urology Services"|"72 North Main Road"|"Detroit"|"ME"|"USA"|"04929"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9785"|"853837"|"Sebasticook Regional Family Care"|""|"Pittsfield"|"ME"|"USA"|"04967"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9786"|"853837"|"Sebasticook Regional Family Care"|"8 Main Street"|"Newport"|"ME"|"USA"|"04953"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9787"|"853837"|"Sebasticook Regional Family Care"|"1309 Main Street, Unit 1"|"Clinton"|"ME"|"USA"|"04927"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9788"|"853837"|"Sebasticook Regional Family Care"|"447 Main Road"|"Carmel"|"ME"|"USA"|"04419"|"Outpatient Medical Facility"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"9789"|"853837"|"Sebasticook Valley Work Health, LLC"|"125 Main Street"|"Pittsfield"|"ME"|"USA"|"04967"|"Outpatient Medical Facility"
"02-0222157"|"Monadnock Community Hospital"|"10012"|"855150"|"Monadnock Orthopaedic Associates"|"458 Old Street Road Wellness Center"|"Peterborough"|"NH"|"USA"|"03458"|"Medical practice"
"02-0222157"|"Monadnock Community Hospital"|"10013"|"855150"|"Bond Wellness Center"|"458 Old Street Road Wellness Center"|"Peterborough"|"NH"|"USA"|"03458"|"Fitness center and rehabilitation services"
"02-0222157"|"Monadnock Community Hospital"|"10014"|"855150"|"Monadnock Regional Pediatrics"|"454 Old Street Road MAB Building"|"Peterborough"|"NH"|"USA"|"03458"|"Physician Practice"
"02-0222157"|"Monadnock Community Hospital"|"10015"|"855150"|"Jaffrey Family Medicine PT Satellite"|"82 Peterborough Street"|"Jaffrey"|"NH"|"USA"|"03452"|"Outpatient Physician office"
"02-0222157"|"Monadnock Community Hospital"|"10016"|"855150"|"Monadnock Family Care"|"454 Old Street Road MAB Building"|"Peterborough"|"NH"|"USA"|"03458"|"Physician practice"
"02-0222157"|"Monadnock Community Hospital"|"10017"|"855150"|"Peterborough Internal Medicine"|"454 Old Street Road MAB Building"|"Peterborough"|"NH"|"USA"|"03458"|"Physician practice"
"02-0222157"|"Monadnock Community Hospital"|"10018"|"855150"|"Monadnock Surgical Associates"|"454 Old Street Road MAB Building"|"Peterborough"|"NH"|"USA"|"03458"|"Physician practice"
"02-0222157"|"Monadnock Community Hospital"|"10019"|"855150"|"Monadnock Internists"|"454 Old Street Road MAB Building"|"Peterborough"|"NH"|"USA"|"03458"|"Physician practice"
"02-0222157"|"Monadnock Community Hospital"|"10020"|"855150"|"New Ipswich Family Medicine PT Satellite"|"821 Turnpike Road"|"New Ipswich"|"NH"|"USA"|"03071"|"Outpatient physician office"
"02-0222157"|"Monadnock Community Hospital"|"10021"|"855150"|"Monadnock Behavioral Health"|"458 Old Street Road Wellness Center"|"Peterborough"|"NH"|"USA"|"03458"|"Physician practice"
"02-0222157"|"Monadnock Community Hospital"|"10022"|"855150"|"Antrim Medical Group"|"12 Elm Street"|"Antrim"|"NH"|"USA"|"03440"|"Outpatient physician office"
"02-0222157"|"Monadnock Community Hospital"|"10023"|"855150"|"Rindge Family Practice"|"31 Sonja Drive Suite 2"|"Rindge"|"NH"|"USA"|"03461"|"Outpatient physician office"
"02-0222157"|"Monadnock Community Hospital"|"10024"|"855150"|"Neurology Center"|"458 Old Street Road Wellness Center"|"Peterborough"|"NH"|"USA"|"03458"|"Physician practice"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10580"|"862775"|"SMMC PRIMECARE & ANC FACILITY"|"9 HEALTHCARE DRIVE"|"BIDDEFORD"|"ME"|"USA"|"04005"|"PHYSICIAN OFFICES AND DIAGNOSTIC SERVICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10581"|"862775"|"SMMC PRIMECARE INTERNAL MEDICINE"|"30 WEST COLE ROAD"|"BIDDEFORD"|"ME"|"USA"|"04005"|"INTERNAL MEDICINE PHYSICIAN PRACTICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10582"|"862775"|"SMMC PRIMECARE COASTAL SURGERY"|"3 MEDICAL CENTER DRIVE"|"BIDDEFORD"|"ME"|"USA"|"04005"|"GENERAL SURGERY PHYSICIAN PRACTICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10583"|"862775"|"SMMC PRIMECARE INFECTIOUS DISEASE"|"2 MEDICAL CENTER DRIVE"|"BIDDEFORD"|"ME"|"USA"|"04005"|"INFECTIOUS DISEASE PHYSICIAN PRACTICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10584"|"862775"|"SMMC PRIMECARE NEUROLOGY"|"26 WEST COLE ROAD"|"BIDDEFORD"|"ME"|"USA"|"04005"|"NEUROLOGY PHYSICIAN PRACTICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10585"|"862775"|"SMMC PRIMECARE ORTHOPEDICS"|"10 WELLSPRING ROAD"|"BIDDEFORD"|"ME"|"USA"|"04005"|"ORTHOPEDIC SURGERY PHYSICIAN PRACTICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10586"|"862775"|"SMMC PRIMECARE &ANC FACILITY"|"4 SHAPE DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|"PHYSICIAN OFFICES AND DIAGNOSTIC SERVICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10587"|"862775"|"SMMC PRIMECARE PEDIATRICS"|"3 SHAPE DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|"PEDIATRIC PHYSICIAN PRACTICE"
