"C_EIN"|"C_Org_Name"|"bmf_id"|"ein"|"org_name"|"address_id"|"grp_exmpt"|"subsection_code"|"affil_code"|"deductn_code"|"ruling_yr"|"ruling_mo"|"foundn_code"|"activity_code1"|"activity_code2"|"activity_code3"|"org_code"|"district"|"advrule_expyr"|"advrule_expmo"|"class_code1"|"class_code2"|"class_code3"|"class_code4"|"tax_year"|"tax_month"|"income_code"|"income"|"acct_period"|"ntee_code"|"assets"|"ntee_qual"|"asset_code"|"second_name"|"filing_req_code"|"npo_active"|"submit_date"|"dummy_p"|"last_modified"|"care_of"|"idle_date"|"exempt_status_code"|"f990_revenue"
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"100297321"|"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"105883266"|"0000 "|"06"|"3"|"2"|"1921"|"10"|"00"|"205"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"06"|"6"|"1634260.0000"|"06 "|"S41"|"658550.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:00:00 AM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1589312.0000"
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"100297321"|"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"105883266"|"0000 "|"06"|"3"|"2"|"1921"|"10"|"00"|"205"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"06"|"6"|"1634260.0000"|"06 "|"S41"|"658550.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:00:00 AM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1589312.0000"
"01-0022320"|"AUGUSTA COUNTRY CLUB"|"100297322"|"01-0022320"|"AUGUSTA COUNTRY CLUB"|"105883267"|"0000 "|"07"|"3"|"2"|"1929"|"08"|"00"|"280"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"1568989.0000"|"12 "|"N50"|"1106017.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:01:00 AM"|"0"|"10/16/2015 6:21:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1357818.0000"
"01-0022320"|"AUGUSTA COUNTRY CLUB"|"100297322"|"01-0022320"|"AUGUSTA COUNTRY CLUB"|"105883267"|"0000 "|"07"|"3"|"2"|"1929"|"08"|"00"|"280"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"1568989.0000"|"12 "|"N50"|"1106017.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:01:00 AM"|"0"|"10/16/2015 6:21:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1357818.0000"
"01-0022320"|"AUGUSTA COUNTRY CLUB"|"100297322"|"01-0022320"|"AUGUSTA COUNTRY CLUB"|"105883267"|"0000 "|"07"|"3"|"2"|"1929"|"08"|"00"|"280"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"6"|"1568989.0000"|"12 "|"N50"|"1106017.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:01:00 AM"|"0"|"10/16/2015 6:21:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1357818.0000"
"01-0022415"|"Kennebec Valley Chamber of Commerce"|"100297323"|"01-0022415"|"KENNEBEC VALLEY CHAMBER OF COMMERCE"|"107788157"|"0000 "|"06"|"3"|"2"|"1945"|"08"|"00"|"200"|"402"|"403"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"4"|"490930.0000"|"12 "|"S41"|"264414.0000"|" "|"4"|""|"010"|"?"|"10/17/2004 9:01:00 AM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"479373.0000"
"01-0022415"|"Kennebec Valley Chamber of Commerce"|"100297323"|"01-0022415"|"KENNEBEC VALLEY CHAMBER OF COMMERCE"|"107788157"|"0000 "|"06"|"3"|"2"|"1945"|"08"|"00"|"200"|"402"|"403"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"4"|"490930.0000"|"12 "|"S41"|"264414.0000"|" "|"4"|""|"010"|"?"|"10/17/2004 9:01:00 AM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"479373.0000"
"01-0022415"|"Kennebec Valley Chamber of Commerce"|"100297323"|"01-0022415"|"KENNEBEC VALLEY CHAMBER OF COMMERCE"|"107788157"|"0000 "|"06"|"3"|"2"|"1945"|"08"|"00"|"200"|"402"|"403"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"4"|"490930.0000"|"12 "|"S41"|"264414.0000"|" "|"4"|""|"010"|"?"|"10/17/2004 9:01:00 AM"|"0"|"12/14/2015 5:48:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"479373.0000"
"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"100304485"|"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"107157691"|"0000 "|"06"|"3"|"2"|"1945"|"01"|"00"|"403"|"279"|"000"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"5"|"644293.0000"|"12 "|""|"160830.0000"|" "|"4"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"633965.0000"
"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"100304485"|"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"107157691"|"0000 "|"06"|"3"|"2"|"1945"|"01"|"00"|"403"|"279"|"000"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"5"|"644293.0000"|"12 "|""|"160830.0000"|" "|"4"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"633965.0000"
"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"100304485"|"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"107157691"|"0000 "|"06"|"3"|"2"|"1945"|"01"|"00"|"403"|"279"|"000"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"5"|"644293.0000"|"12 "|""|"160830.0000"|" "|"4"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"633965.0000"
"01-0024645"|"Bangor Symphony Orchestra"|"224994"|"01-0024645"|"BANGOR SYMPHONY ORCHESTRA"|"224994"|"0000 "|"03"|"3"|"1"|"1968"|"06"|"15"|""|"059"|"349"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"6"|"1683431.0000"|"06 "|"A69"|"1821821.0000"|"Z"|"6"|""|"010"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"11/9/2015 8:01:00 PM"|"% DAVID"|"12/14/2015 12:00:00 AM"|"01"|"1016119.0000"
"01-0024645"|"Bangor Symphony Orchestra"|"224994"|"01-0024645"|"BANGOR SYMPHONY ORCHESTRA"|"224994"|"0000 "|"03"|"3"|"1"|"1968"|"06"|"15"|""|"059"|"349"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"6"|"1683431.0000"|"06 "|"A69"|"1821821.0000"|"Z"|"6"|""|"010"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"11/9/2015 8:01:00 PM"|"% DAVID"|"12/14/2015 12:00:00 AM"|"01"|"1016119.0000"
"01-0024645"|"Bangor Symphony Orchestra"|"224994"|"01-0024645"|"BANGOR SYMPHONY ORCHESTRA"|"224994"|"0000 "|"03"|"3"|"1"|"1968"|"06"|"15"|""|"059"|"349"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"06"|"6"|"1683431.0000"|"06 "|"A69"|"1821821.0000"|"Z"|"6"|""|"010"|"Y"|"6/11/1998 12:00:00 AM"|"0"|"11/9/2015 8:01:00 PM"|"% DAVID"|"12/14/2015 12:00:00 AM"|"01"|"1016119.0000"
"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS #964"|"825913"|"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA"|"107157689"|"1156 "|"08"|"9"|"1"|"1951"|"10"|"00"|"279"|"265"|""|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"6"|"1863203.0000"|"03 "|""|"671416.0000"|" "|"5"|"964 AUGUSTA"|"010"|"?"|"9/20/2001 5:28:00 PM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"333346.0000"
"01-0027741"|"AUGUSTA MAINE ELKS LODGE NO. 964"|"825913"|"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA"|"107157689"|"1156 "|"08"|"9"|"1"|"1951"|"10"|"00"|"279"|"265"|""|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"6"|"1863203.0000"|"03 "|""|"671416.0000"|" "|"5"|"964 AUGUSTA"|"010"|"?"|"9/20/2001 5:28:00 PM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"333346.0000"
"01-0027741"|"AUGUSTA MAINE ELKS LODGE NO. 964"|"825913"|"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA"|"107157689"|"1156 "|"08"|"9"|"1"|"1951"|"10"|"00"|"279"|"265"|""|"5"|""|"0000  "|"00"|"1"|" "|" "|" "|"2015"|"03"|"6"|"1863203.0000"|"03 "|""|"671416.0000"|" "|"5"|"964 AUGUSTA"|"010"|"?"|"9/20/2001 5:28:00 PM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"333346.0000"
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"100304488"|"01-0029480"|"BIDDEFORD SACO CHAMBER OF COMMERCE INC"|"105890433"|"0000 "|"06"|"3"|"2"|"1945"|"11"|"00"|"200"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"186555.0000"|"12 "|"S41"|"65088.0000"|" "|"3"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"171855.0000"
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"100304488"|"01-0029480"|"BIDDEFORD SACO CHAMBER OF COMMERCE INC"|"105890433"|"0000 "|"06"|"3"|"2"|"1945"|"11"|"00"|"200"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"186555.0000"|"12 "|"S41"|"65088.0000"|" "|"3"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"171855.0000"
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"100304488"|"01-0029480"|"BIDDEFORD SACO CHAMBER OF COMMERCE INC"|"105890433"|"0000 "|"06"|"3"|"2"|"1945"|"11"|"00"|"200"|"000"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"186555.0000"|"12 "|"S41"|"65088.0000"|" "|"3"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"171855.0000"
"01-0032215"|"Boothbay Harbor Yacht Club"|"100304489"|"01-0032215"|"BOOTHBAY HARBOR YACHT CLUB"|"105890434"|"0000 "|"07"|"3"|"2"|"1968"|"08"|"00"|"280"|"318"|"319"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"11"|"5"|"928235.0000"|"11 "|"N50"|"1876549.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"7/16/2015 6:08:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"925109.0000"
"01-0032215"|"BOOTHBAY HARBOR YACHT CLUB"|"100304489"|"01-0032215"|"BOOTHBAY HARBOR YACHT CLUB"|"105890434"|"0000 "|"07"|"3"|"2"|"1968"|"08"|"00"|"280"|"318"|"319"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"11"|"5"|"928235.0000"|"11 "|"N50"|"1876549.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"7/16/2015 6:08:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"925109.0000"
"01-0032215"|"Boothbay Harbor Yacht Club"|"100304489"|"01-0032215"|"BOOTHBAY HARBOR YACHT CLUB"|"105890434"|"0000 "|"07"|"3"|"2"|"1968"|"08"|"00"|"280"|"318"|"319"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"11"|"5"|"928235.0000"|"11 "|"N50"|"1876549.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"7/16/2015 6:08:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"925109.0000"
"01-0039552"|"CAMDEN YACHT CLUB"|"100304491"|"01-0039552"|"CAMDEN YACHT CLUB"|"105890436"|"0000 "|"07"|"3"|"2"|"1967"|"10"|"00"|"319"|"317"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"466289.0000"|"12 "|""|"515661.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"437965.0000"
"01-0039552"|"CAMDEN YACHT CLUB"|"100304491"|"01-0039552"|"CAMDEN YACHT CLUB"|"105890436"|"0000 "|"07"|"3"|"2"|"1967"|"10"|"00"|"319"|"317"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"466289.0000"|"12 "|""|"515661.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"437965.0000"
"01-0039552"|"CAMDEN YACHT CLUB"|"100304491"|"01-0039552"|"CAMDEN YACHT CLUB"|"105890436"|"0000 "|"07"|"3"|"2"|"1967"|"10"|"00"|"319"|"317"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"4"|"466289.0000"|"12 "|""|"515661.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"437965.0000"
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"100304492"|"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"105890437"|"0000 "|"06"|"3"|"2"|"1952"|"01"|"00"|"200"|"403"|"279"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2015"|"06"|"6"|"1400417.0000"|"06 "|"S41"|"1004918.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1124483.0000"
"01-0043280"|"Portland Regional Chamber"|"100304492"|"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"105890437"|"0000 "|"06"|"3"|"2"|"1952"|"01"|"00"|"200"|"403"|"279"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2015"|"06"|"6"|"1400417.0000"|"06 "|"S41"|"1004918.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1124483.0000"
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"100304492"|"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"105890437"|"0000 "|"06"|"3"|"2"|"1952"|"01"|"00"|"200"|"403"|"279"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2015"|"06"|"6"|"1400417.0000"|"06 "|"S41"|"1004918.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"11/9/2015 8:01:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"1124483.0000"
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"100304493"|"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"107157686"|"0000 "|"06"|"3"|"2"|"1941"|"02"|"00"|"200"|"403"|"279"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"5"|"719857.0000"|"12 "|"S41"|"906399.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"692003.0000"
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"100304493"|"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"107157686"|"0000 "|"06"|"3"|"2"|"1941"|"02"|"00"|"200"|"403"|"279"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"5"|"719857.0000"|"12 "|"S41"|"906399.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"692003.0000"
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"100304493"|"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"107157686"|"0000 "|"06"|"3"|"2"|"1941"|"02"|"00"|"200"|"403"|"279"|"1"|""|"0000  "|"00"|"3"|" "|" "|" "|"2014"|"12"|"5"|"719857.0000"|"12 "|"S41"|"906399.0000"|" "|"5"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"8/11/2015 5:39:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"692003.0000"
"01-0052260"|"Cumberland Club"|"100304496"|"01-0052260"|"CUMBERLAND CLUB"|"105890441"|"0000 "|"07"|"3"|"2"|"1942"|"06"|"00"|"319"|"916"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"04"|"6"|"1544826.0000"|"12 "|"N50"|"1300749.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"6/12/2015 7:36:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"659582.0000"
"01-0052260"|"Cumberland Club"|"100304496"|"01-0052260"|"CUMBERLAND CLUB"|"105890441"|"0000 "|"07"|"3"|"2"|"1942"|"06"|"00"|"319"|"916"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"04"|"6"|"1544826.0000"|"12 "|"N50"|"1300749.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"6/12/2015 7:36:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"659582.0000"
"01-0052260"|"Cumberland Club"|"100304496"|"01-0052260"|"CUMBERLAND CLUB"|"105890441"|"0000 "|"07"|"3"|"2"|"1942"|"06"|"00"|"319"|"916"|"000"|"1"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"04"|"6"|"1544826.0000"|"12 "|"N50"|"1300749.0000"|" "|"6"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"6/12/2015 7:36:00 PM"|""|"12/14/2015 12:00:00 AM"|"01"|"659582.0000"
"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"100304498"|"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"105890443"|"0000 "|"12"|"3"|"2"|"1964"|"06"|"00"|"279"|"000"|"000"|"3"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"8"|"15089966.0000"|"12 "|""|"39234376.0000"|" "|"8"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"12/14/2015 5:48:00 PM"|"% SCOTT HALLOWELL CONTROLLER"|"12/14/2015 12:00:00 AM"|"01"|"15089966.0000"
"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"100304498"|"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"105890443"|"0000 "|"12"|"3"|"2"|"1964"|"06"|"00"|"279"|"000"|"000"|"3"|""|"0000  "|"00"|"1"|" "|" "|" "|"2014"|"12"|"8"|"15089966.0000"|"12 "|""|"39234376.0000"|" "|"8"|""|"010"|"?"|"10/17/2004 9:12:00 AM"|"0"|"12/14/2015 5:48:00 PM"|"% SCOTT HALLOWELL CONTROLLER"|"12/14/2015 12:00:00 AM"|"01"|"15089966.0000"
