"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_EXPENSES"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|""
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|"204297.0000"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|""
"01-0211807"|"Sweetser"|"631557"|""
"01-0265231"|"UPLIFT INC"|"631558"|"5291278.0000"
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|"9962039.0000"
"01-0358732"|"MOBIUS INC"|"631560"|"5240840.0000"
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|"3790403.0000"
"01-0388637"|"New England Baptist Bible College"|"631562"|"373024.0000"
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|"1370805.0000"
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|"7626892.0000"
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|"430988.0000"
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"10623823.0000"
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|""
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|"725743.0000"
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"1491848.0000"
"01-0331728"|"PATHWAYS INC"|"635244"|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|"472968.0000"
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"312811.0000"
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"4640864.0000"
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|"2960385.0000"
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|"12669806.0000"
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|""
"01-0262323"|"Northern Maine General"|"636949"|"10268631.0000"
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|""
"01-0052260"|"Cumberland Club"|"638152"|""
"01-0245261"|"ERSKINE ACADEMY"|"638153"|"7396709.0000"
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|""
"01-0367553"|"SETON VILLAGE"|"638155"|"1033820.0000"
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|"355393.0000"
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|"1857225.0000"
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"53771.0000"
"01-0281533"|"Green Valley Association"|"639787"|"2074272.0000"
"01-0532835"|"SAFE PASSAGE"|"639788"|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"4902649.0000"
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|"225691.0000"
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|""
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|"2829702.0000"
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"3873165.0000"
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|"96664.0000"
"01-0274898"|"HOPE ASSOCIATION"|"643658"|"2699498.0000"
"01-0357293"|"HERITAGE COURT INC"|"643659"|"311990.0000"
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"2361667.0000"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"1505615.0000"
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|""
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|""
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|"884313.0000"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|""
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|"4910558.0000"
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"1347805.0000"
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|"16379716.0000"
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|"2166391.0000"
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|"0.0000"
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|"4449274.0000"
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|""
"01-0545281"|"Greenwood"|"649555"|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|""
"01-0211507"|"Good Samaritan Agency"|"656619"|"617742.0000"
"01-0263507"|"Central Aroostook ARC"|"656620"|"5214591.0000"
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|""
"01-0351501"|"Community Partners Inc"|"660152"|""
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"662304"|""
"01-0207716"|"VICTORIA MANSION"|"662305"|"414143.0000"
"01-0524313"|"WINDHAM SCHOOL AGE CHILDCARE ASSOC"|"662306"|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|""
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"662309"|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|""
"01-6022815"|"ISLAND MEDICAL CENTER"|"662311"|""
"01-0320500"|"Evergreen Cemetery Association"|"663122"|""
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|"1058595.0000"
"01-0360256"|"York Public Library"|"663886"|""
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|""
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|""
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|""
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|"8249430.0000"
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"665467"|"1910573.0000"
"01-0452620"|"FRIENDS OF CASCO BAY"|"665468"|""
"01-0544421"|"OXFORD HILLS CHRISTIAN ACADEMY"|"665469"|""
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"667821"|""
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|""
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|"435677.0000"
"01-0365436"|"Maine Administrators of Services For Children With Disabilities"|"667824"|"961961.0000"
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"667825"|"389330.0000"
"01-0545335"|"United Ambulance Service"|"667826"|"8488494.0000"
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"1055998.0000"
"01-6006524"|"BRIDGTON PUBLIC LIBRARY"|"667828"|""
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"669155"|"903454.0000"
"01-0275130"|"Unity College"|"671110"|"12177022.0000"
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|"806285.0000"
"01-0686429"|"CLUB HORIZON, INC."|"671112"|""
"01-0781831"|"THE DOUGLAS CENTER"|"671113"|"1568972.0000"
"01-0793127"|"HAPPILY EVER AFTER Educational Programs Inc."|"671114"|""
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"673276"|""
"01-0351143"|"Belfast Free Library"|"673277"|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|""
"01-0538045"|"TEEN AND YOUNG PARENT PROGRAM OF KNOX COUNTY"|"673280"|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"2651917.0000"
"01-0865446"|"Cosby High School Athletic Boosters"|"673283"|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|""
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"674480"|""
"01-0266854"|"ELMHURST INC"|"677035"|""
"01-0367582"|"PORT RESOURCES INC"|"677036"|"13297083.0000"
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"1385050.0000"
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"677040"|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|""
"01-6123853"|"BC&T, LOCAL # 334 RETIREE HEALTH TRUST (NISSEN DIVISION)"|"677043"|"941353.0000"
"01-0215686"|"RICE PUBLIC LIBRARY"|"685653"|""
"01-0248668"|"HUBBARD FREE LIBRARY"|"685654"|""
"01-0249577"|"BREAKWATER SCHOOL"|"685655"|"2192418.0000"
"01-0275447"|"Children's Center Early Intervention & Family Support"|"685656"|"2699115.0000"
"01-0279587"|"Waban Projects Inc"|"685657"|"11550793.0000"
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|""
"01-0348849"|"MAPS"|"685660"|"6527659.0000"
"01-0355649"|"ST. JOHN VALLEY ASSOCIATES, INC."|"685661"|""
"01-0369660"|"Work First Inc"|"685662"|"1879946.0000"
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"685663"|""
"01-0459572"|"The Associates of the Osher Map Library"|"685664"|""
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"685665"|""
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"685666"|""
"01-0521260"|"RIPPLEFFECT INC"|"685667"|""
"01-0533796"|"The Maine Special Education/ Mental Health Collaborative"|"685668"|"2823319.0000"
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|"619056.0000"
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"601009.0000"
"01-0728178"|"ALVEOLI CORPORATION"|"685674"|""
"01-0768551"|"Ashland County Lifeworx Inc."|"685676"|""
"01-0869799"|"Washington's National Park Fund"|"685677"|""
"01-0892950"|"JUMP OF OHIO INC"|"685678"|"257730.0000"
"01-6015247"|"Naples Public Library"|"685681"|""
"01-6015647"|"Penobscot Marine Museum"|"685682"|"1065128.0000"
"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS #964"|"690075"|""
"01-0267159"|"NATIONAL SOCIETY OF THE COLONIAL DAMES IN THE STATE OF MAINE"|"690078"|""
"01-0682859"|"MUTUAL FUND DIRECTORS FORUM"|"690080"|"1529726.0000"
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|""
"01-0774338"|"North Ridgeville Amateur Soccer League"|"693275"|""
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOO"|"693283"|""
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"693293"|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|""
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"696900"|"8019253.0000"
"01-0158948"|"SIGMA KAPPA SORORITY"|"696902"|"2650058.0000"
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"696904"|"796632.0000"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"696907"|"5036905.0000"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"696908"|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"696910"|""
"01-0224718"|"CUMBERLAND FARMERS CLUB -PREVOST"|"696912"|""
"01-0237244"|"LEE ACADEMY"|"696914"|"4044253.0000"
"01-0243254"|"MORRISON CENTER"|"696916"|"2760844.0000"
"01-0275159"|"Junior Achievement of Maine Inc"|"696918"|"366818.0000"
"01-0278024"|"Independence Association"|"696919"|""
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION, INC."|"696921"|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"696923"|"6553194.0000"
"01-0343953"|"Damanscotta Lake Watershed Assoc"|"696925"|""
"01-0347381"|"Sacopee Valley Health Center"|"696927"|"3050515.0000"
"01-0349949"|"55 PLUS CENTER"|"696928"|""
"01-0351077"|"MAINE CANCER FOUNDATION"|"696930"|"2024091.0000"
"01-0352258"|"CHILDREN'S MUSEUM & THEATRE OF MAINE"|"696933"|"1131745.0000"
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTEM INC"|"696937"|"3298990.0000"
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"696939"|"1152370.0000"
"01-0380763"|"LAUDHOLM TRUST"|"696941"|"713438.0000"
"01-0406214"|"NAMI MAINE"|"696943"|"787361.0000"
"01-0406704"|"DANFORTH HABILITATION ASSOCTA"|"696945"|"2228613.0000"
"01-0409428"|"SCARBOROUGH ECONOMIC DEV CORP"|"696946"|""
"01-0445163"|"Anson Madison Starks Ambulance"|"696948"|"911564.0000"
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"696950"|""
"01-0520531"|"SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION"|"696952"|"158433.0000"
"01-0534293"|"THE CHILDREN'S CENTER"|"696953"|""
"01-0538534"|"Bangor Nursing & Rehabilitation Center"|"696955"|"6037105.0000"
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"696957"|""
"01-0547006"|"ASHLAND CARE GIVERS ASSOCIATION"|"696958"|""
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"696960"|"145322.0000"
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"696962"|"1682217.0000"
"01-0666441"|"CORI'S PLACE"|"696964"|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"696966"|"7783188.0000"
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL, INC."|"696968"|"4605144.0000"
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"696970"|""
"01-0702102"|"UNIVEST FOUNDATION"|"696972"|"982335.0000"
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"696974"|"326925.0000"
"01-0784491"|"FOR THE KID IN ALLOF US INC"|"696976"|"319038.0000"
"01-0816812"|"The Apple Blossom School and Family Center, Inc."|"696978"|""
"01-0842036"|"Lutheran Family Services of Colorado Foundation Inc"|"696981"|"0.0000"
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"696983"|""
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"696987"|"8526707.0000"
"01-6010284"|"SCARBOROUGH PUBLIC LIBRARY"|"696989"|"940130.0000"
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"696991"|"7981621.0000"
"01-6117658"|"Downeast Energy Corp HealthDental Plan"|"696995"|"2505103.0000"
"01-6153292"|"BIOREGIONAL CONSERVANCY & CULTURAL RECLAMATION TRUST"|"696997"|""
"02-0242389"|"GREAT BAY SERVICES INC"|"697005"|"2740811.0000"
"01-0364464"|"Vose Library"|"697765"|""
"01-0467754"|"The Camden Children's House Montessori School"|"697767"|""
"01-0762655"|"O.A.C.B.H.A. Foundation"|"697769"|"512008.0000"
"01-0803356"|"STEWART COUNTY ANIMAL MANAGEMENT PROGRAM"|"697770"|""
"01-0805468"|"LIVING BREAD RADIO INC"|"697772"|""
"01-0816065"|"CFNV CHARITABLE REAL ESTATE FUND"|"697774"|"2829815.0000"
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"704923"|""
"01-0780689"|"Hollenbeck Police Activities League"|"704936"|""
"01-0471173"|"KENNEBEC VALLEY COMMUNITY COLLEGE FOUNDATION"|"706108"|"162776.0000"
"01-0554275"|"CHARLOTTE ARTSFEST, INC."|"706109"|""
"01-0916973"|"HUMILITY OF MARY SHELTER INC"|"706110"|"1549893.0000"
"01-0191203"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC."|"706783"|"923196.0000"
"01-0211512"|"Home for the Aged"|"706784"|""
"01-0211543"|"BOYS & GIRLS CLUBS OF SOUTHERN MAINE"|"706785"|"2071096.0000"
"01-0228262"|"Northeast Hearing & Speech Center, Inc."|"706787"|"1415704.0000"
"01-0267689"|"KATAHDIN FRIENDS, INC."|"706788"|""
"01-0276272"|"GREATER PORTLAND LANDMARKS, INC."|"706789"|"459360.0000"
"01-0288347"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC. INSURANCE TRUST"|"706790"|"20130970.0000"
"01-0315931"|"Coastal Opportunities"|"706791"|"3817201.0000"
"01-0322531"|"Aroostook Area Agency on Aging, Inc."|"706792"|"3293323.0000"
"01-0322532"|"DAY ONE"|"706793"|"2858625.0000"
"01-0343697"|"GROUP HOME FOUNDATION, INC."|"706795"|"26049884.0000"
"01-0351782"|"DISABILITY RIGHTS CENTER"|"706796"|"1884963.0000"
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"706797"|"2304643.0000"
"01-0373396"|"The Park Danforth"|"706798"|"1537487.0000"
"01-0385020"|"HOSPICE VOLUNTEERS OF HANCOCK COUNTY"|"706799"|"244728.0000"
"01-0388609"|"STILLWATER MONTESSORI SCHOOL"|"706800"|""
"01-0407276"|"SUNRISE OPPORTUNITIES"|"706801"|"5634843.0000"
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY, MAINE"|"706802"|"172444.0000"
"01-0431293"|"Horizons Unlimited, Inc."|"706803"|""
"01-0440635"|"Addison Point Specialized Services, Inc"|"706804"|"2219542.0000"
"01-0443774"|"HANCOCK COUNTY HABITAT FOR HUMANITY"|"706805"|"79229.0000"
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"706806"|""
"01-0460969"|"HABITAT FOR HUMANITY 7 RIVERS MAINE"|"706807"|"655271.0000"
"01-0473057"|"CROSSROADS FOR WOMEN INC"|"706808"|"3414306.0000"
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"706809"|"664923.0000"
"01-0494454"|"PENOBSCOT VALLEY HOCKEY CONFERENCE"|"706811"|""
"01-0499934"|"ALLIES, INC."|"706812"|""
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"706814"|""
"01-0525631"|"Harbor Schools of Maine, Inc."|"706817"|"5616223.0000"
"01-0527277"|"Maine Indoor Air Quality Council"|"706818"|""
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST. MARY'S"|"706820"|"619821.0000"
"01-0553077"|"Links of Hope, Inc."|"706822"|"228018.0000"
"01-0555559"|"ECS MINISTRIES"|"706823"|"843639.0000"
"01-0586454"|"Full Spectrum Farms, Inc"|"706825"|""
"01-0593099"|"PENSACOLA BEACH ELEMENTARY SCHOOL, INC"|"706826"|"1016785.0000"
"01-0688897"|"Ohio Network of Children's Advocacy Centers"|"706828"|"395921.0000"
"01-0694045"|"FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION, INC"|"706829"|"1561016.0000"
"01-0733180"|"THE GLADES INITIATIVE, INC."|"706830"|"361658.0000"
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"706834"|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"706835"|""
"01-0824858"|"ANIMAL CARE TRUST"|"706836"|"2129885.0000"
"01-0825719"|"Vision Rescue International"|"706837"|""
"01-0869176"|"MOREHOUSE SENIOR APARTMENTS, INC."|"706838"|"86826.0000"
"01-0869701"|"Center for Civic Policy"|"706839"|"1237599.0000"
"01-6000787"|"Brunswick Public Library Association"|"706840"|""
"01-6021559"|"Hyde School"|"706841"|"7293481.0000"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"706842"|""
"01-0454077"|"WHA INC"|"713359"|"43802.0000"
"01-0558182"|"JCPE INVESTMENTS (NFP)"|"713360"|"2896854.0000"
"01-0725179"|"THE FLORENCE MELTON ADULT MINI-SCHOOL CORPORATION"|"713361"|"852066.0000"
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"713823"|""
"01-0482400"|"COURTYARD AFFORDABLE HOUSING CORP."|"713829"|"576100.0000"
"01-0466131"|"LA PUBLIC THEATER, INC."|"713906"|"573795.0000"
"01-6013485"|"BANGOR YMCA FOUNDATION"|"713912"|""
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"715187"|""
"01-0249983"|"KENNEBUNK FREE LIBRARY ASSOCIATION"|"715188"|""
"01-0511583"|"Nothern New England Center for Financial Training"|"715189"|""
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"715190"|""
"01-0314110"|"AMICUS"|"715589"|"4901926.0000"
"01-0817571"|"Pepperwood Foundation"|"715711"|"1310587.0000"
"01-0339489"|"St. Joseph's Rehabilitation & Residence"|"717278"|"12348486.0000"
"01-6047288"|"MOUNT DESERT NURSERY SCHOOL"|"717284"|""
"01-0351795"|"RELGRADE REGIONAL HEALTH CENTER, INC."|"719106"|""
"01-0469196"|"University of Maine at Fort Kent Foundation"|"719108"|""
"01-0860991"|"PLAINSBORO FREE PUBLIC LIBRARY FOUNDATION,INC"|"719110"|""
"01-0457589"|"MAINE RESOURCE RECOVERY ASSOCIATION"|"720228"|"201499.0000"
"01-0709661"|"UNIVERSAL SCHOOL"|"720230"|""
"01-0316964"|"RILEY SCHOOL, INC."|"721181"|""
"01-0349706"|"Onpoint Health Data"|"721182"|"4742199.0000"
"01-0473116"|"Peregrine Corporation"|"721183"|"4612189.0000"
"01-0659217"|"DONATE LIFE NORTH CAROLINA"|"721185"|""
"01-0856707"|"MONGIL CORPORATION"|"721186"|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"721187"|"4864283.0000"
"01-0332353"|"CORINTH HOUSING CORPORATION"|"723236"|"161365.0000"
"01-0575746"|"Saint Gaiannas Home Inc."|"723239"|""
"01-0582162"|"CONTEXTUAL FAMILY SERVICES"|"723242"|"225398.0000"
"01-0953296"|"SHREE PASHUPATINATH FOUNDATION USA"|"723244"|""
"01-0211538"|"Camp O-AT-KA, Inc."|"724478"|""
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"724479"|""
"01-0364237"|"Good Neighbors Inc"|"724480"|"3410543.0000"
"01-0370827"|"THE BAY SCHOOL"|"724481"|"933254.0000"
"01-0524329"|"KENNEBEC VALLEY DENTAL COALITION"|"724482"|""
"01-0595845"|"USA SOUTH ATHLETIC CONFERENCE, INC."|"724484"|"355597.0000"
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"724486"|"377233.0000"
