"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_CONTRACTORS"
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"0"
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|""
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|"0"
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"0"
"01-0331728"|"PATHWAYS INC"|"635244"|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|"0"
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"0"
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"0"
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|"0"
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|"0"
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|"1"
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|"0"
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|"0"
"01-0262323"|"Northern Maine General"|"636949"|"1"
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"0"
"01-0052260"|"Cumberland Club"|"638152"|"0"
"01-0245261"|"ERSKINE ACADEMY"|"638153"|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|"0"
"01-0367553"|"SETON VILLAGE"|"638155"|"0"
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|"0"
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"0"
"01-0281533"|"Green Valley Association"|"639787"|"0"
"01-0532835"|"SAFE PASSAGE"|"639788"|"0"
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"5"
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|"0"
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"0"
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|"0"
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"0"
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|"0"
"01-0274898"|"HOPE ASSOCIATION"|"643658"|"0"
"01-0357293"|"HERITAGE COURT INC"|"643659"|"0"
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|""
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"1"
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|"0"
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|""
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|"0"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"0"
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|"0"
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|"0"
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"0"
"01-0545281"|"Greenwood"|"649555"|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|"0"
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|"0"
"01-0211507"|"Good Samaritan Agency"|"656619"|"0"
"01-0263507"|"Central Aroostook ARC"|"656620"|"0"
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|"0"
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|"0"
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|"0"
"01-0351501"|"Community Partners Inc"|"660152"|"4"
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"662304"|"0"
"01-0207716"|"VICTORIA MANSION"|"662305"|"0"
"01-0524313"|"WINDHAM SCHOOL AGE CHILDCARE ASSOC"|"662306"|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|"0"
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"662309"|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|"0"
"01-6022815"|"ISLAND MEDICAL CENTER"|"662311"|"0"
"01-0320500"|"Evergreen Cemetery Association"|"663122"|"0"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|"0"
"01-0360256"|"York Public Library"|"663886"|"0"
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|"0"
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|"0"
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|"0"
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|"0"
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"665467"|"0"
"01-0452620"|"FRIENDS OF CASCO BAY"|"665468"|"0"
"01-0544421"|"OXFORD HILLS CHRISTIAN ACADEMY"|"665469"|"0"
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"667821"|"0"
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|"0"
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|""
"01-0365436"|"Maine Administrators of Services For Children With Disabilities"|"667824"|"0"
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"667825"|"0"
"01-0545335"|"United Ambulance Service"|"667826"|"0"
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"0"
"01-6006524"|"BRIDGTON PUBLIC LIBRARY"|"667828"|"0"
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"669155"|"0"
"01-0275130"|"Unity College"|"671110"|"1"
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|""
"01-0686429"|"CLUB HORIZON, INC."|"671112"|"0"
"01-0781831"|"THE DOUGLAS CENTER"|"671113"|"0"
"01-0793127"|"HAPPILY EVER AFTER Educational Programs Inc."|"671114"|"0"
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"673276"|"0"
"01-0351143"|"Belfast Free Library"|"673277"|"0"
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|"0"
"01-0538045"|"TEEN AND YOUNG PARENT PROGRAM OF KNOX COUNTY"|"673280"|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|"0"
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"7"
"01-0865446"|"Cosby High School Athletic Boosters"|"673283"|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|"0"
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"674480"|"0"
"01-0266854"|"ELMHURST INC"|"677035"|"0"
"01-0367582"|"PORT RESOURCES INC"|"677036"|"0"
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|"0"
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"0"
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"677040"|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|"0"
"01-6123853"|"BC&T, LOCAL # 334 RETIREE HEALTH TRUST (NISSEN DIVISION)"|"677043"|"0"
"01-0215686"|"RICE PUBLIC LIBRARY"|"685653"|"0"
"01-0248668"|"HUBBARD FREE LIBRARY"|"685654"|"0"
"01-0249577"|"BREAKWATER SCHOOL"|"685655"|"0"
"01-0275447"|"Children's Center Early Intervention & Family Support"|"685656"|"0"
"01-0279587"|"Waban Projects Inc"|"685657"|"0"
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|"0"
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|"0"
"01-0348849"|"MAPS"|"685660"|"0"
"01-0355649"|"ST. JOHN VALLEY ASSOCIATES, INC."|"685661"|"0"
"01-0369660"|"Work First Inc"|"685662"|"0"
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"685663"|"0"
"01-0459572"|"The Associates of the Osher Map Library"|"685664"|"0"
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"685665"|"0"
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"685666"|"0"
"01-0521260"|"RIPPLEFFECT INC"|"685667"|"0"
"01-0533796"|"The Maine Special Education/ Mental Health Collaborative"|"685668"|"0"
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|"0"
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"0"
"01-0728178"|"ALVEOLI CORPORATION"|"685674"|""
"01-0768551"|"Ashland County Lifeworx Inc."|"685676"|""
"01-0869799"|"Washington's National Park Fund"|"685677"|"0"
"01-0892950"|"JUMP OF OHIO INC"|"685678"|""
"01-6015247"|"Naples Public Library"|"685681"|"0"
"01-6015647"|"Penobscot Marine Museum"|"685682"|"0"
"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS #964"|"690075"|"0"
"01-0267159"|"NATIONAL SOCIETY OF THE COLONIAL DAMES IN THE STATE OF MAINE"|"690078"|"0"
"01-0682859"|"MUTUAL FUND DIRECTORS FORUM"|"690080"|"0"
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|""
"01-0774338"|"North Ridgeville Amateur Soccer League"|"693275"|"0"
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOO"|"693283"|"0"
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"693293"|"0"
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|"0"
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"696900"|"0"
"01-0158948"|"SIGMA KAPPA SORORITY"|"696902"|"0"
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"696904"|"0"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"696907"|"0"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"696908"|"0"
"01-0223879"|"SKOWHEGAN STATE FAIR"|"696910"|"0"
"01-0224718"|"CUMBERLAND FARMERS CLUB -PREVOST"|"696912"|""
"01-0237244"|"LEE ACADEMY"|"696914"|"1"
"01-0243254"|"MORRISON CENTER"|"696916"|"0"
"01-0275159"|"Junior Achievement of Maine Inc"|"696918"|"0"
"01-0278024"|"Independence Association"|"696919"|"0"
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION, INC."|"696921"|"0"
"01-0342356"|"Western Maine Transportation Services, Inc"|"696923"|"0"
"01-0343953"|"Damanscotta Lake Watershed Assoc"|"696925"|""
"01-0347381"|"Sacopee Valley Health Center"|"696927"|"0"
"01-0349949"|"55 PLUS CENTER"|"696928"|"0"
"01-0351077"|"MAINE CANCER FOUNDATION"|"696930"|"0"
"01-0352258"|"CHILDREN'S MUSEUM & THEATRE OF MAINE"|"696933"|"0"
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTEM INC"|"696937"|""
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"696939"|"0"
"01-0380763"|"LAUDHOLM TRUST"|"696941"|"0"
"01-0406214"|"NAMI MAINE"|"696943"|"0"
"01-0406704"|"DANFORTH HABILITATION ASSOCTA"|"696945"|""
"01-0409428"|"SCARBOROUGH ECONOMIC DEV CORP"|"696946"|"0"
"01-0445163"|"Anson Madison Starks Ambulance"|"696948"|"0"
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"696950"|"0"
"01-0520531"|"SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION"|"696952"|"0"
"01-0534293"|"THE CHILDREN'S CENTER"|"696953"|"0"
"01-0538534"|"Bangor Nursing & Rehabilitation Center"|"696955"|"3"
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"696957"|"0"
"01-0547006"|"ASHLAND CARE GIVERS ASSOCIATION"|"696958"|""
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"696960"|"0"
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"696962"|"0"
"01-0666441"|"CORI'S PLACE"|"696964"|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"696966"|"0"
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL, INC."|"696968"|"0"
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"696970"|"0"
"01-0702102"|"UNIVEST FOUNDATION"|"696972"|"0"
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"696974"|"0"
"01-0784491"|"FOR THE KID IN ALLOF US INC"|"696976"|""
"01-0816812"|"The Apple Blossom School and Family Center, Inc."|"696978"|""
"01-0842036"|"Lutheran Family Services of Colorado Foundation Inc"|"696981"|"0"
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"696983"|"0"
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"696987"|"0"
"01-6010284"|"SCARBOROUGH PUBLIC LIBRARY"|"696989"|"0"
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"696991"|"1"
"01-6117658"|"Downeast Energy Corp HealthDental Plan"|"696995"|"0"
"01-6153292"|"BIOREGIONAL CONSERVANCY & CULTURAL RECLAMATION TRUST"|"696997"|"0"
"02-0242389"|"GREAT BAY SERVICES INC"|"697005"|""
"01-0364464"|"Vose Library"|"697765"|"0"
"01-0467754"|"The Camden Children's House Montessori School"|"697767"|"0"
"01-0762655"|"O.A.C.B.H.A. Foundation"|"697769"|"0"
"01-0803356"|"STEWART COUNTY ANIMAL MANAGEMENT PROGRAM"|"697770"|"0"
"01-0805468"|"LIVING BREAD RADIO INC"|"697772"|"0"
"01-0816065"|"CFNV CHARITABLE REAL ESTATE FUND"|"697774"|"0"
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"704923"|""
"01-0780689"|"Hollenbeck Police Activities League"|"704936"|""
"01-0471173"|"KENNEBEC VALLEY COMMUNITY COLLEGE FOUNDATION"|"706108"|"0"
"01-0554275"|"CHARLOTTE ARTSFEST, INC."|"706109"|"0"
"01-0916973"|"HUMILITY OF MARY SHELTER INC"|"706110"|"0"
"01-0191203"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC."|"706783"|"1"
"01-0211512"|"Home for the Aged"|"706784"|"0"
"01-0211543"|"BOYS & GIRLS CLUBS OF SOUTHERN MAINE"|"706785"|"0"
"01-0228262"|"Northeast Hearing & Speech Center, Inc."|"706787"|"0"
"01-0267689"|"KATAHDIN FRIENDS, INC."|"706788"|"0"
"01-0276272"|"GREATER PORTLAND LANDMARKS, INC."|"706789"|"1"
"01-0288347"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC. INSURANCE TRUST"|"706790"|"0"
"01-0315931"|"Coastal Opportunities"|"706791"|"0"
"01-0322531"|"Aroostook Area Agency on Aging, Inc."|"706792"|"0"
"01-0322532"|"DAY ONE"|"706793"|"0"
"01-0343697"|"GROUP HOME FOUNDATION, INC."|"706795"|"0"
"01-0351782"|"DISABILITY RIGHTS CENTER"|"706796"|"0"
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"706797"|"0"
"01-0373396"|"The Park Danforth"|"706798"|"0"
"01-0385020"|"HOSPICE VOLUNTEERS OF HANCOCK COUNTY"|"706799"|"0"
"01-0388609"|"STILLWATER MONTESSORI SCHOOL"|"706800"|"0"
"01-0407276"|"SUNRISE OPPORTUNITIES"|"706801"|"0"
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY, MAINE"|"706802"|"0"
"01-0431293"|"Horizons Unlimited, Inc."|"706803"|"0"
"01-0440635"|"Addison Point Specialized Services, Inc"|"706804"|"0"
"01-0443774"|"HANCOCK COUNTY HABITAT FOR HUMANITY"|"706805"|"0"
"01-0450803"|"MAINE NATIONAL GUARD FOUNDATION FUND"|"706806"|"0"
"01-0460969"|"HABITAT FOR HUMANITY 7 RIVERS MAINE"|"706807"|"0"
"01-0473057"|"CROSSROADS FOR WOMEN INC"|"706808"|"1"
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"706809"|"0"
"01-0494454"|"PENOBSCOT VALLEY HOCKEY CONFERENCE"|"706811"|"0"
"01-0499934"|"ALLIES, INC."|"706812"|"0"
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"706814"|"0"
"01-0525631"|"Harbor Schools of Maine, Inc."|"706817"|"0"
"01-0527277"|"Maine Indoor Air Quality Council"|"706818"|"0"
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST. MARY'S"|"706820"|"0"
"01-0553077"|"Links of Hope, Inc."|"706822"|"0"
"01-0555559"|"ECS MINISTRIES"|"706823"|"0"
"01-0586454"|"Full Spectrum Farms, Inc"|"706825"|""
"01-0593099"|"PENSACOLA BEACH ELEMENTARY SCHOOL, INC"|"706826"|"0"
"01-0688897"|"Ohio Network of Children's Advocacy Centers"|"706828"|"0"
"01-0694045"|"FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION, INC"|"706829"|"0"
"01-0733180"|"THE GLADES INITIATIVE, INC."|"706830"|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"706834"|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"706835"|""
"01-0824858"|"ANIMAL CARE TRUST"|"706836"|"0"
"01-0825719"|"Vision Rescue International"|"706837"|""
"01-0869176"|"MOREHOUSE SENIOR APARTMENTS, INC."|"706838"|"0"
"01-0869701"|"Center for Civic Policy"|"706839"|""
"01-6000787"|"Brunswick Public Library Association"|"706840"|"0"
"01-6021559"|"Hyde School"|"706841"|"0"
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"706842"|"0"
"01-0454077"|"WHA INC"|"713359"|"0"
"01-0558182"|"JCPE INVESTMENTS (NFP)"|"713360"|"0"
"01-0725179"|"THE FLORENCE MELTON ADULT MINI-SCHOOL CORPORATION"|"713361"|"0"
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"713823"|"0"
"01-0482400"|"COURTYARD AFFORDABLE HOUSING CORP."|"713829"|"0"
"01-0466131"|"LA PUBLIC THEATER, INC."|"713906"|"0"
"01-6013485"|"BANGOR YMCA FOUNDATION"|"713912"|"0"
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"715187"|"0"
"01-0249983"|"KENNEBUNK FREE LIBRARY ASSOCIATION"|"715188"|"0"
"01-0511583"|"Nothern New England Center for Financial Training"|"715189"|"0"
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"715190"|"0"
"01-0314110"|"AMICUS"|"715589"|"0"
"01-0817571"|"Pepperwood Foundation"|"715711"|""
"01-0339489"|"St. Joseph's Rehabilitation & Residence"|"717278"|"2"
"01-6047288"|"MOUNT DESERT NURSERY SCHOOL"|"717284"|"0"
"01-0351795"|"RELGRADE REGIONAL HEALTH CENTER, INC."|"719106"|"0"
"01-0469196"|"University of Maine at Fort Kent Foundation"|"719108"|"0"
"01-0860991"|"PLAINSBORO FREE PUBLIC LIBRARY FOUNDATION,INC"|"719110"|"0"
"01-0457589"|"MAINE RESOURCE RECOVERY ASSOCIATION"|"720228"|"0"
"01-0709661"|"UNIVERSAL SCHOOL"|"720230"|"1"
"01-0316964"|"RILEY SCHOOL, INC."|"721181"|"0"
"01-0349706"|"Onpoint Health Data"|"721182"|"2"
"01-0473116"|"Peregrine Corporation"|"721183"|"0"
"01-0659217"|"DONATE LIFE NORTH CAROLINA"|"721185"|"0"
"01-0856707"|"MONGIL CORPORATION"|"721186"|"0"
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"721187"|"0"
"01-0332353"|"CORINTH HOUSING CORPORATION"|"723236"|"0"
"01-0575746"|"Saint Gaiannas Home Inc."|"723239"|"0"
"01-0582162"|"CONTEXTUAL FAMILY SERVICES"|"723242"|"0"
"01-0953296"|"SHREE PASHUPATINATH FOUNDATION USA"|"723244"|""
"01-0211538"|"Camp O-AT-KA, Inc."|"724478"|""
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"724479"|"0"
"01-0364237"|"Good Neighbors Inc"|"724480"|"0"
"01-0370827"|"THE BAY SCHOOL"|"724481"|"0"
"01-0524329"|"KENNEBEC VALLEY DENTAL COALITION"|"724482"|"0"
"01-0595845"|"USA SOUTH ATHLETIC CONFERENCE, INC."|"724484"|"0"
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"724486"|"0"
"01-0720150"|"Idaho Virtual Academy LEA No 452"|"724487"|"1"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"724489"|"0"
"01-0019705"|"ANCIENT FREE AND ACCEPTED MASONS OF MAINE GRAND LODGE"|"725843"|"0"
"01-0114110"|"MAINE WATER UTILITIES ASSN"|"725844"|"0"
"01-0119385"|"Megunticook Golf Club"|"725845"|"0"
"01-0211481"|"BANGOR CHILDREN'S HOME"|"725846"|"0"
"01-0212438"|"Maine Central Institute"|"725847"|"0"
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"725848"|"2"
"01-0267492"|"PORTLAND CHEVRA KADISHA"|"725849"|"0"
"01-0276859"|"Aroostook Mental Health Services, Inc."|"725851"|"0"
"01-0285920"|"East Grand Health Center Inc"|"725852"|"0"
"01-0318051"|"Central Maine Area Agency on Aging Inc"|"725853"|"0"
"01-0321597"|"DIOCESAN BUREAU OF HOUSING"|"725854"|"0"
"01-0332058"|"Hancock County Auditorium Associates"|"725855"|"0"
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"725856"|"0"
"01-0340713"|"KENNEBEC MONTESSORI SCHOOL"|"725857"|"0"
"01-0345826"|"Richmond Health Center"|"725859"|"0"
