"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"DBA"|"PHONE"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PERIOD_BEGIN"|"PERIOD_END"|"CHANGE_ADDR_CBX"|"CHANGE_NAME_CBX"|"INIT_RET_CBX"|"FINAL_RET_CBX"|"APP_PEND_CBX"|"PRINCIPAL_NAME"|"RECEIPT_TOT"|"TYPE"|"WEB"|"ORG_TYPE_CORPORATION_CBX"|"ORG_TYPE_TRUST_CBX"|"ORG_TYPE_ASSOCIATION_CBX"|"ORG_TYPE_OTHER_CBX"|"ORG_TYPE"|"FORMATION_YEAR"|"LEGAL_DOM"|"GROUP_RET_STATUS_CBX"|"GROUP_RET_ALL_AFFIL_CBX"|"GROUP_RET_GEN"|"LAST_MODIFIED"|"Prefix"|"FirstName"|"MiddleName"|"LastName"|"Suffix"|"Gender"|"ParseNameFlag"
"01-0868717"|"H E L P MINISTRIES, INC"|"593903"|"N"|"H E L P MINISTRIES, INC"|""|"727-542-3741"|""|"1381 OAK VILLAGE DR"|""|"LARGO"|"FL"|"USA"|"33778"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"JAMES C COBB"|"2030808.0000"|"03"|""|"Y"|""|""|""|""|"2007"|"FL"|"N"|""|""|"2/21/2012 2:53:35 AM"|""|"James"|"C"|"Cobb"|""|"Male"|"True"
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|"N"|"MAINE PRINCIPALS' ASSOCIATION"|""|"207-622-0217"|""|"50 INDUSTRIAL DRIVE"|""|"AUGUSTA"|"ME"|"USA"|"04338-2468"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"RICHARD DUROST"|"2115634.0000"|"03"|"WWW.MPA.CC"|"Y"|""|""|""|""|"1992"|"ME"|"N"|""|""|"2/21/2012 5:34:52 AM"|""|"Richard"|""|"Durost"|""|"Male"|"True"
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|"Y"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|""|"207-621-7700"|"C & C REALTY MANAGEMENT LLC"|"PO BOX 2506"|""|"AUGUSTA"|"ME"|"USA"|"04338"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"JOANNE CHAPMAN"|"345104.0000"|"03"|""|"Y"|""|""|""|""|"1980"|"ME"|"N"|""|""|"2/21/2012 5:35:12 AM"|""|"Joanne"|""|"Chapman"|""|"Female"|"True"
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|"N"|"Lake Bowen Baptist Church Child Cail"|""|"864-814-6280"|""|"404 Sagar Ridge Rd."|""|"Inman"|"SC"|"USA"|"29349"|"8/1/2010 12:00:00 AM"|"7/31/2011 12:00:00 AM"|""|""|""|""|""|"Mark Williams"|"455683.0000"|"03"|"www.lakebowenbaptist.com"|"Y"|""|""|""|""|"2003"|"SC"|"N"|"N"|""|"2/25/2012 12:41:32 AM"|""|"Mark"|""|"Williams"|""|"Male"|"True"
"01-0061310"|"Fraternal Order of Eagles"|"595509"|"N"|"Fraternal Order of Eagles"|""|"207-773-9448"|""|"184 St. John Street"|""|"Portland"|"ME"|"USA"|"04102"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|""|""|""|""|"Fraternal Order of Eagles"|"4002692.0000"|"08"|""|""|""|""|""|""|""|""|"N"|""|""|"3/3/2012 12:30:08 AM"|"Fraternal"|"Order"|"of"|"Eagles"|""|"Unknown"|"False"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|"N"|"MCARTHUR LIBRARY ASSOCIATION"|""|"207-284-4181"|""|"P.O. BOX 346"|""|"BIDDEFORD"|"ME"|"USA"|"04005"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|""|"936070.0000"|"03"|"www.mcarthurpubliclibrary.org"|"Y"|""|""|""|""|""|""|"N"|""|""|"3/4/2012 12:48:14 AM"|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"N"|"Maine Migrant Health Program, Inc."|""|"207-622-9252"|""|"P.O. Box 405"|""|"Augusta"|"ME"|"USA"|"04332-0405"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"Barbara Ginley"|"981430.0000"|"03"|"www.mainemigrant.org"|"Y"|""|""|""|""|"1986"|"ME"|"N"|""|""|"3/4/2012 12:49:00 AM"|""|"Barbara"|""|"Ginley"|""|"Female"|"True"
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"N"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|""|"207-582-3110"|""|"337 MAINE AVENUE"|""|"FARMINGDALE"|"ME"|"USA"|"04344"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|""|""|""|""|"MICHELE PINO"|"5097451.0000"|"03"|"WWW.SKCDC.ORG"|"Y"|""|""|""|""|""|"ME"|"N"|"N"|""|"3/14/2012 6:19:33 AM"|""|"Michele"|""|"Pino"|""|"Unknown"|"True"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"N"|"YMCA OF GREATER MANCHESTER"|""|"603-232-8668"|""|"30 MECHANIC STREET"|""|"MANCHESTER"|"NH"|"USA"|"03101"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|"Y"|""|""|""|"HAROLD J. JORDAN"|"12894137.0000"|"03"|"www.yogm.org"|"Y"|""|""|""|""|"1854"|"NH"|"N"|""|""|"3/14/2012 6:19:48 AM"|""|"Harold"|"J"|"Jordan"|""|"Male"|"True"
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"N"|"PORTLAND COUNTRY CLUB"|""|"207-781-2340"|""|"11 FORESIDE ROAD"|""|"FALMOUTH"|"ME"|"USA"|"04105-1797"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"BRADFORD A. HUNTER"|"4807645.0000"|"07"|"WWW.PORTLANDCOUNTRYCLUB.ORG"|"Y"|""|""|""|""|"1895"|"ME"|"N"|""|""|"3/15/2012 6:16:26 AM"|""|"Bradford"|"A"|"Hunter"|""|"Male"|"True"
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"N"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|""|"856-486-1990"|"PRD MANAGEMENT"|"4350 HADDONFIELD ROAD"|"117"|"PENNSAUKEN"|"NJ"|"USA"|"08109"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"524403.0000"|"03"|""|"Y"|""|""|""|""|"2001"|"NJ"|"N"|""|""|"3/15/2012 6:16:41 AM"|"Mount"|"Ephraim"|"Senior"|"Housing"|"Initiative"|"Unknown"|"True"
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"Y"|"NATURAL RESOURCES COUNCIL OF MAINE"|""|"207-622-3101"|""|"36 WADE ST"|""|"AUGUSTA"|"ME"|"USA"|"04330"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"Lisa Pohlmann"|"3663992.0000"|"03"|"www.nrcm.org"|"Y"|""|""|""|""|"1959"|"ME"|"N"|"N"|""|"3/23/2012 12:29:29 AM"|""|"Lisa"|""|"Pohlmann"|""|"Female"|"True"
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|"N"|"PENOBSCOT CHRISTIAN SCHOOL"|""|"207-947-2704"|""|"1423 OHIO STREET"|""|"BANGOR"|"ME"|"USA"|"04401"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|"PENOBSCOT CHRISTIAN SCHOOL"|"266989.0000"|"03"|"HTTP://WWW.PENOBSCOT-CHRISTIAN.PVT.K12.ME.US/"|"Y"|""|""|""|""|"1991"|"ME"|"N"|""|""|"3/23/2012 12:29:46 AM"|""|"Penobscot"|"Christian"|"School"|""|"Unknown"|"True"
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|"Y"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"PRESIDENTIAL OAKS"|"603-225-6644"|""|"200 PLEASANT STREET"|""|"CONCORD"|"NH"|"USA"|"03301"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|"ANNE PURINGTON"|"10981701.0000"|"03"|"WWW.PRESIDENTIALOAKS.COM"|"Y"|""|""|""|""|"1883"|"NH"|"N"|""|""|"3/24/2012 3:44:28 AM"|""|"Anne"|""|"Purington"|""|"Female"|"True"
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"Y"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|""|"207-854-2606"|"EMERALD MANAGEMENT"|"PO BOX 647 752 MAIN STREET"|""|"WESTBROOK"|"ME"|"USA"|"04098-0647"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"DIANE MACDONALD"|"470904.0000"|"03"|""|"Y"|""|""|""|""|"2001"|"ME"|"N"|""|""|"3/25/2012 1:43:11 AM"|""|"Diane"|""|"Macdonald"|""|"Female"|"True"
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|"N"|"PATTEN FREE LIBRARY"|""|"207-443-5141"|""|"33 SUMMER STREET"|""|"BATH"|"ME"|"USA"|"04530"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"DAVID L MILLER"|"1928429.0000"|"03"|"WWW.PATTEN.LIB.ME.UR"|"Y"|""|""|""|""|"1847"|"ME"|"N"|""|""|"3/25/2012 2:15:03 AM"|""|"David"|"L"|"Miller"|""|"Male"|"True"
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"N"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|""|"207-926-4532"|""|"PO BOX 65"|""|"NEW GLOUCESTER"|"ME"|"USA"|"04260"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|""|"800557.0000"|"03"|"WWW.OPPORTUNITYFARM.ORG"|"Y"|""|""|""|""|"1910"|"ME"|"N"|""|""|"3/26/2012 1:05:50 AM"|""|""|""|""|""|""|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|"N"|"Northern Maine Community College Education Foundation"|""|""|""|"33 Edgemont Drive"|""|"Presque Isle"|"ME"|"USA"|"04769"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|""|"1444385.0000"|"03"|"www.my.nmcc.edu/ICS/Foundation/"|"Y"|""|""|""|""|""|""|"N"|""|""|"3/27/2012 5:38:58 AM"|""|""|""|""|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|"N"|"BUILDERS BEYOND BORDERS, INC."|""|"203-847-5220"|""|"8 WILLARD ROAD"|""|"NORWALK"|"CT"|"USA"|"06851"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"STEVE LEWINE"|"1060808.0000"|"03"|"WWW.BUILDERSBEYONDBORDERS.ORG"|"Y"|""|""|""|""|"2002"|"CT"|"N"|""|""|"3/27/2012 6:04:32 AM"|""|"Steve"|""|"Lewine"|""|"Male"|"True"
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|"N"|"DYER LIBRARY ASSOCIATION"|""|"207-283-3861"|""|"371 MAIN STREET"|""|"SACO"|"ME"|"USA"|"04072"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|""|"1530496.0000"|"03"|"www.sacomuseum.org"|"Y"|""|""|""|""|""|"ME"|"N"|""|""|"5/4/2012 2:14:29 AM"|""|""|""|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|"N"|"Bangor Humane Society"|""|"207-942-8902"|""|"693 Mt. Hope Avenue"|""|"Bangor"|"ME"|"USA"|"04401"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|""|"837443.0000"|"03"|"www.bangorhumance.org"|"Y"|""|""|""|""|"1869"|"ME"|"N"|""|""|"5/4/2012 2:14:44 AM"|""|""|""|""|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|"N"|"Blue Hill Fire Company"|""|"207-374-5561"|""|"P.0. BOX 1167"|""|"Blue Hill"|"ME"|"USA"|"04614"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|""|"273007.0000"|"03"|""|"Y"|""|""|""|""|""|""|"N"|""|""|"5/4/2012 2:15:00 AM"|""|""|""|""|""|""|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|"N"|"FISH RIVER RURAL HEALTH"|""|"207-444-5973"|""|"P.O. BOX 309"|""|"EAGLE LAKE"|"ME"|"USA"|"04739-0309"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"John Martin"|"2660294.0000"|"03"|""|"Y"|""|""|""|""|""|""|"N"|""|""|"5/4/2012 2:15:23 AM"|""|"John"|""|"Martin"|""|"Male"|"True"
"01-0509802"|"CAFE, INC."|"620175"|"N"|"CAFE, INC."|""|"207-510-6060"|""|"51 NONESUCH PLAZA"|"H"|"SCARBOROUGH"|"ME"|"USA"|"04074"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"SAMUEL S. JOHNSON"|"3371722.0000"|"03"|"WWW.CAFEINC.ORG"|"Y"|""|""|""|""|"1996"|"ME"|"N"|""|""|"5/4/2012 2:16:10 AM"|""|"Samuel"|"S"|"Johnson"|""|"Male"|"True"
"01-0538232"|"Big Rock"|"620176"|"N"|"Big Rock"|""|"207-425-6711"|""|"PO Box 1001"|""|"Mars Hill"|"ME"|"USA"|"04758"|"5/1/2010 12:00:00 AM"|"4/30/2011 12:00:00 AM"|""|""|""|""|""|"Travis Kearney"|"518448.0000"|"03"|"www.bigrockmaine.com"|"Y"|""|""|""|""|"2000"|"ME"|"N"|""|""|"5/4/2012 2:20:43 AM"|""|"Travis"|""|"Kearney"|""|"Male"|"True"
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"N"|"WATERVILLE MAIN STREET"|""|"207-680-2055"|""|"177 MAIN STREET"|""|"WATERVILLE"|"ME"|"USA"|"04901"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"PATRICK MICHAUD"|"645804.0000"|"03"|"WWW.WATERVILLEMAINSTREET.ORG"|"Y"|""|""|""|""|"2001"|"ME"|"N"|""|""|"5/4/2012 2:21:55 AM"|""|"Patrick"|""|"Michaud"|""|"Male"|"True"
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"Y"|"Trustees of Monmouth Academy"|""|"207-933-4252"|""|"co David Heckman 157 Academy Road"|""|"Monmouth"|"ME"|"USA"|"04259"|"3/1/2010 12:00:00 AM"|"2/28/2011 12:00:00 AM"|""|""|""|""|""|"Richard Robertson"|"614058.0000"|"03"|""|"Y"|""|""|""|""|"1803"|"ME"|"N"|""|""|"5/4/2012 2:22:43 AM"|""|"Richard"|""|"Robertson"|""|"Male"|"True"
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"N"|"SARASOTA CREW, INC"|""|"941-966-9791"|""|"343 PALMETTO AVE."|""|"OSPREY"|"FL"|"USA"|"34229-9381"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"ROY DUPUIS"|"554977.0000"|"03"|"www.sarasotacrew.org"|"Y"|""|""|""|""|"2002"|"FL"|"N"|""|""|"5/4/2012 2:24:17 AM"|""|"Roy"|""|"Dupuis"|""|"Male"|"True"
"01-0785049"|"Queens Community Center, Inc."|"620181"|"N"|"Queens Community Center, Inc."|""|"212-925-2180"|""|"P. O. Box 686"|""|"New York"|"NY"|"USA"|"10002"|"6/1/2010 12:00:00 AM"|"5/31/2011 12:00:00 AM"|""|""|""|""|""|"Robert Luk"|"671520.0000"|"03"|""|"Y"|""|""|""|""|"2003"|"NY"|"N"|""|""|"5/4/2012 2:24:40 AM"|""|"Robert"|""|"Luk"|""|"Male"|"True"
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"N"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|""|"207-646-2918"|""|"PO BOX 910"|""|"MOODY"|"ME"|"USA"|"04054"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"CRYSTAL PRIEST"|"1296638.0000"|"03"|"WWW.ACTEM.ORG"|"Y"|""|""|""|""|"1995"|"ME"|"N"|""|""|"5/6/2012 2:49:38 AM"|""|"Crystal"|""|"Priest"|""|"Female"|"True"
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|"N"|"JARDY GIRLS, HEALTHY WOMEN, INC."|""|"207-861-8131"|""|"14 COMMON STREET"|""|"WATERVILLE"|"ME"|"USA"|"04903-0821"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"MEGAN WILLIAMS"|"378115.0000"|"03"|"WWW.JARDYGIRLSHEALTHYWOMEN.ORG"|"Y"|""|""|""|""|"2001"|"ME"|"N"|""|""|"5/6/2012 2:49:59 AM"|""|"Megan"|""|"Williams"|""|"Female"|"True"
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|"N"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|""|"781-329-5557"|""|"738 HIGH STREET"|""|"WESTWOOD"|"MA"|"USA"|"02090"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"FAYE LUNDBERG"|"315822.0000"|"03"|"WWW.WESTWOODMONTESSORI.ORG"|"Y"|""|""|""|""|"2002"|"MA"|"N"|""|""|"5/6/2012 2:51:16 AM"|""|"Faye"|""|"Lundberg"|""|"Female"|"True"
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|"Y"|"MAINE DENTAL ASSOC RELIEF FUND"|""|"207-622-7900"|""|"P O BOX 215"|""|"MANCHESTER"|"ME"|"USA"|"04351"|"4/1/2010 12:00:00 AM"|"3/31/2011 12:00:00 AM"|""|""|""|""|""|"FRANCES MILIANO"|"581977.0000"|"03"|""|""|""|"Y"|""|""|"1958"|"ME"|"N"|""|""|"5/7/2012 2:31:00 AM"|""|"Frances"|""|"Miliano"|""|"Female"|"True"
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|"N"|"The Laurel Park Community Boosters Club"|""|"276-632-5754"|""|"411 East Church Street"|""|"Martinsville"|"VA"|"USA"|"24112"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"Anita Ray"|"1234430.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"VA"|"N"|""|""|"5/10/2012 2:11:05 AM"|""|"Anita"|""|"Ray"|""|"Female"|"True"
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"N"|"PORTLAND REGIONAL CHAMBER"|""|"207-772-2811"|""|"60 PEARL STREET"|""|"PORTLAND"|"ME"|"USA"|"04101"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"GODFREY WOOD"|"1403662.0000"|"06"|"WWW.PORTLANDREGION.COM"|"Y"|""|""|""|""|"1952"|"ME"|"N"|""|""|"5/12/2012 9:03:38 AM"|""|"Godfrey"|""|"Wood"|""|"Male"|"True"
