"C_EIN"|"C_Org_Name"|"GOV_GRANT_ID"|"XML_DOCUMENT_ID"|"ORG_NAME"|"STREET"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"EIN"|"SECTION"|"ORG_CASH"|"ORG_NON_CASH"|"ORG_METHOD_VALUE"|"ORG_DESCR_NON_CASH"|"GRANT_PURPOSE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1927"|"1134741"|"DREXEL UNIVERSITY, MARY K. HOWETT SCHOLARSHIP FUND"|"3141 CHESTNUT STREET"|"PHILADELPHIA"|"PA"|"USA"|"19104"|"23-1352630"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1928"|"1134741"|"EMPLOYMENT SKILLS CENTER"|"29 S. HANOVER STREET"|"CARLISLE"|"PA"|"USA"|"17013"|"23-1995705"|"501(C)(3)"|"8000.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1929"|"1134741"|"FIRST UNITED METHODIST CHURCH"|"225 S. SECOND STREET"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"23-1510103"|"501(C)(3)"|"14159.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1930"|"1134741"|"FIRST UNITED METHODIST CHURCH OF MECHANICSBURG"|"135 W. SIMPSON"|"MECHANICSBURG"|"PA"|"USA"|"17055"|"23-1405614"|"501(C)(3)"|"7876.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1931"|"1134741"|"FRANCES LEITER CENTER"|"539 LINCOLN WAY EAST"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"23-1429838"|"501(C)(3)"|"8084.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1932"|"1134741"|"GETTYSBURG FOURSQUARE GOSPEL CHURCH"|"328 W. MIDDLE ST."|"GETTYSBURG"|"PA"|"USA"|"17325"|"23-1914533"|"501(C)(3)"|"13160.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1933"|"1134741"|"GETTYSBURG FOURSQUARE GOSPEL CHURCH"|"328 W. MIDDLE ST."|"GETTYSBURG"|"PA"|"USA"|"17325"|"23-1914533"|"501(C)(3)"|"7200.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1934"|"1134741"|"GETTYSBURG FOURSQUARE GOSPEL CHURCH"|"328 W. MIDDLE ST."|"GETTYSBURG"|"PA"|"USA"|"17325"|"23-1914533"|"501(C)(3)"|"20000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1935"|"1134741"|"GREYSTONE MANOR THERAPEUTIC RIDING CLUB"|"PO BOX 10724"|"LANCASTER"|"PA"|"USA"|"17605-0724"|"23-3059649"|"501(C)(3)"|"25000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1936"|"1134741"|"HARRISBURG ACADEMY"|"10 ERFORD ROAD"|"WORMLEYSBURG"|"PA"|"USA"|"17043"|"23-2119591"|"501(C)(3)"|"11199.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1937"|"1134741"|"HARRISBURG AREA COMMUNITY COLLEGE FOUNDATION"|"ONE HACC DRIVE"|"HARRISBURG"|"PA"|"USA"|"17110-2999"|"23-2353614"|"501(C)(3)"|"56000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1938"|"1134741"|"HARRISBURG PUBLIC SCHOOLS FOUNDATION"|"P.O. BOX 54"|"HARRISBURG"|"PA"|"USA"|"17108-0054"|"25-1818898"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1939"|"1134741"|"HARRISBURG SYMPHONY ASSOCIATION"|"800 CORPORATE CIRCLE"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1355180"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1940"|"1134741"|"HARRISBURG SYMPHONY ASSOCIATION"|"800 CORPORATE CIRCLE"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1355180"|"501(C)(3)"|"15000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1941"|"1134741"|"HARRISBURG SYMPHONY ASSOCIATION"|"800 CORPORATE CIRCLE"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1355180"|"501(C)(3)"|"11842.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1942"|"1134741"|"HARRISBURG SYMPHONY ASSOCIATION"|"800 CORPORATE CIRCLE"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1355180"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1943"|"1134741"|"HARRISBURG SYMPHONY ASSOCIATION"|"800 CORPORATE CIRCLE"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1355180"|"501(C)(3)"|"25000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1944"|"1134741"|"HARRISBURG SYMPHONY ORCHESTRA"|"800 CORPORATE CIRCLE"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1355180"|"501(C)(3)"|"6000.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1945"|"1134741"|"HARRISBURG UNIVERSITY OF SCIENCE AND TECHNOLOGY"|"304 MARKET STREET"|"HARRISBURG"|"PA"|"USA"|"17101"|"25-1900793"|"501(C)(3)"|"25000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1946"|"1134741"|"HARVARD LAW SCHOOL"|"LAW SCHOOL FUND"|"CAMBRIDGE"|"MA"|"USA"|"02138"|"04-2103580"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1947"|"1134741"|"HEALTHY COMMUNITIES PARTNERSHIP OF GREATER FRANKLIN CO., INC."|"232 LINCOLN WAY EAST"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"25-1887439"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1948"|"1134741"|"HEWITT FAMILY FOUNDATION"|"3290 NORTHSIDE PARKWAY NW"|"ATLANTA"|"GA"|"USA"|"30327"|"26-3941140"|"501(C)(3)"|"5207.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1949"|"1134741"|"HINDU AMERICAN RELIGIOUS INSTITUTE (HARI TEMPLE)"|"301 STIEGERWALT HOLLOW ROAD"|"NEW CUMBERLAND"|"PA"|"USA"|"17070-2725"|"23-1966089"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1950"|"1134741"|"HOOD COLLEGE"|"401 ROSEMENT AVE."|"FREDERICK"|"MD"|"USA"|"21701"|"52-0591608"|"501(C)(3)"|"14789.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1951"|"1134741"|"HOSPICE OF CENTRAL PENNSYLVANIA"|"1320 LINGLESTOWN ROAD"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-2106895"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1952"|"1134741"|"JEWISH COMMUNITY FOUNDATION OF CENTRAL PENNSYLVANIA"|"3301 N. FRONT STREET"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1352587"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1953"|"1134741"|"JEWISH COMMUNITY FOUNDATION OF CENTRAL PENNSYLVANIA"|"3301 N. FRONT STREET"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-1352587"|"501(C)(3)"|"50000.0000"|"0.0000"|""|""|"RELIGION"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1954"|"1134741"|"JEWISH FAMILY SERVICE OF GREATER HARRISBURG INC."|"3333 NORTH FRONT STREET"|"HARRISBURG"|"PA"|"USA"|"17110"|"23-2894802"|"501(C)(3)"|"6899.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1955"|"1134741"|"JEWISH FEDERATION OF GREATER HARRISBURG"|"3301 N. FRONT STREET"|"HARRISBURG"|"PA"|"USA"|"17110-1436"|"23-1352338"|"501(C)(3)"|"18000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1956"|"1134741"|"JOSHUA GROUP"|"1442 MARKET STREET"|"HARRISBURG"|"PA"|"USA"|"17103"|"31-1672530"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"SELF SUFICIENCY"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1957"|"1134741"|"JUMP STREET"|"100 NORTH CAMERON STREET"|"HARRISBURG"|"PA"|"USA"|"17101"|"23-2149354"|"501(C)(3)"|"8460.0000"|"0.0000"|""|""|"ARTS, HUMANITIES"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1958"|"1134741"|"JUNIOR ACHIEVEMENT OF SOUTH CENTRAL PA"|"610 S. GEORGE STREET"|"YORK"|"PA"|"USA"|"17403"|"23-1472517"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"EDUCATIONAL"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1959"|"1134741"|"LANCASTER COUNTY WORKFORCE INVESTMENT BOARD"|"313 WEST LIBERTY STREET"|"LANCASTER"|"PA"|"USA"|"17603"|"23-2147355"|"501(C)(3)"|"120000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1960"|"1134741"|"LANCASTER-LEBANON EDUCATION FOUNDATION"|"1020 NEW HOLLAND AVENUE"|"LANCASTER"|"PA"|"USA"|"17601"|"13-4281183"|"501(C)(3)"|"82000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1961"|"1134741"|"LATINO HISPANIC AMERICAN COMMUNITY CENTER"|"PO BOX 61943"|"HARRISBURG"|"PA"|"USA"|"17106"|"27-1032748"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1962"|"1134741"|"LEBANON VALLEY COLLEGE"|"101 N. COLLEGE AVENUE"|"ANNVILLE"|"PA"|"USA"|"17003"|"23-1352354"|"501(C)(3)"|"10000.0000"|"0.0000"|""|""|"MATH & SCIENCE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1963"|"1134741"|"LEBANON VALLEY COLLEGE"|"101 N. COLLEGE AVENUE"|"ANNVILLE"|"PA"|"USA"|"17003"|"23-1352354"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"MATH & SCIENCE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1964"|"1134741"|"LEBANON VALLEY COLLEGE"|"101 N. COLLEGE AVENUE"|"ANNVILLE"|"PA"|"USA"|"17003"|"23-1352354"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"MATH & SCIENCE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1965"|"1134741"|"LUTHERAN SOCIAL SERVICES OF SOUTH CENTRAL PENNSYLVANIA"|"1050 PENNSYLVANIA AVENUE"|"YORK"|"PA"|"USA"|"17404-1999"|"23-1476329"|"501(C)(3)"|"7112.0000"|"0.0000"|""|""|"HUMAN SERVICE"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1966"|"1134741"|"MENNO HAVEN, INC."|"2011 SCOTLAND AVENUE"|"CHAMBERSBURG"|"PA"|"USA"|"17201"|"23-6276101"|"501(C)(3)"|"7112.0000"|"0.0000"|""|""|"HEALTH"
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1967"|"1134741"|"MILLERSBURG YOUTH CENTER"|"CENTER STREET"|"MILLERSBURG"|"PA"|"USA"|"17061"|"45-2497510"|"501(C)(3)"|"5000.0000"|"0.0000"|""|""|"COMMUNITY DEV."
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"1968"|"1134741"|"NACER, USA"|"8320 SWANEY ROAD"|"BLUFFTON"|"OH"|"USA"|"45817"|"32-0254688"|"501(C)(3)"|"8300.0000"|"0.0000"|""|""|"COMMUNITY DEV."
