"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"SCH_O_XII_CBX"|"ACCOUNT"|"FINS_REVIEWED_CBX"|"FINS_AUDITED_CBX"|"OVERSIGHT_COMMITTEE_CBX"|"SCB_STMT_CBX"|"RQ_AUDIT_CBX"|"DID_RQ_AUDIT_CBX"|"REVIEWED_SCB_CBX"|"AUDITED_SCB_CBX"
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|"N"|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"603366"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|""|"A"|"N"|"Y"|"Y"|""|"Y"|"Y"|""|""
"01-0509802"|"CAFE, INC."|"620175"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0538232"|"Big Rock"|"620176"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"Y"|"O"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|""|"A"|"Y"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|""|"A"|"Y"|"N"|"Y"|""|"N"|""|""|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""|"C"|"Y"|"N"|"N"|"C"|"N"|""|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0211807"|"Sweetser"|"631557"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0265231"|"UPLIFT INC"|"631558"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|"N"|""|""
"01-0358732"|"MOBIUS INC"|"631560"|""|"C"|"N"|"Y"|"N"|"C"|"N"|""|""|""
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0388637"|"New England Baptist Bible College"|"631562"|""|"A"|"Y"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|""|"A"|"N"|"Y"|"N"|"S"|"N"|"N"|""|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|""|"A"|"Y"|"N"|"Y"|"C"|"N"|""|""|""
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0331728"|"PATHWAYS INC"|"635244"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|""|"A"|"Y"|"N"|"Y"|""|"N"|"N"|""|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|""|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0262323"|"Northern Maine General"|"636949"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|""|"C"|"Y"|"N"|"N"|""|"N"|"N"|""|""
"01-0052260"|"Cumberland Club"|"638152"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0245261"|"ERSKINE ACADEMY"|"638153"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0367553"|"SETON VILLAGE"|"638155"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|"N"|""|""
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|""|"C"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0281533"|"Green Valley Association"|"639787"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0532835"|"SAFE PASSAGE"|"639788"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|"N"|""|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|""|"A"|"N"|"Y"|"N"|"S"|"Y"|"Y"|""|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|""|"A"|"N"|"Y"|"N"|"S"|"Y"|"Y"|""|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|""|"A"|"Y"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0274898"|"HOPE ASSOCIATION"|"643658"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0357293"|"HERITAGE COURT INC"|"643659"|""|"A"|"N"|"Y"|"N"|"S"|"Y"|"Y"|""|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|""|"A"|"N"|"Y"|"N"|"B"|"N"|""|""|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|""|"C"|"N"|"N"|"N"|""|"N"|"N"|""|""
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"Y"|"C"|"Y"|"Y"|"N"|"S"|"N"|""|""|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|""|"A"|"N"|"Y"|"N"|"C"|"N"|""|""|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0545281"|"Greenwood"|"649555"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0211507"|"Good Samaritan Agency"|"656619"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0263507"|"Central Aroostook ARC"|"656620"|""|"A"|"N"|"Y"|"Y"|""|"N"|""|""|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0351501"|"Community Partners Inc"|"660152"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"662304"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0207716"|"VICTORIA MANSION"|"662305"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0524313"|"WINDHAM SCHOOL AGE CHILDCARE ASSOC"|"662306"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"662309"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-6022815"|"ISLAND MEDICAL CENTER"|"662311"|""|"A"|"Y"|"N"|"Y"|""|"N"|""|""|""
"01-0320500"|"Evergreen Cemetery Association"|"663122"|""|"A"|"N"|"N"|""|""|""|""|""|""
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0360256"|"York Public Library"|"663886"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|"Y"|"A"|"N"|"Y"|"N"|"B"|"N"|""|""|""
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"665467"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0452620"|"FRIENDS OF CASCO BAY"|"665468"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0544421"|"OXFORD HILLS CHRISTIAN ACADEMY"|"665469"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"667821"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0365436"|"Maine Administrators of Services For Children With Disabilities"|"667824"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"667825"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0545335"|"United Ambulance Service"|"667826"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-6006524"|"BRIDGTON PUBLIC LIBRARY"|"667828"|""|"A"|"N"|"N"|""|""|""|""|""|""
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"669155"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0275130"|"Unity College"|"671110"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|""|"A"|"N"|"Y"|"N"|"C"|"N"|""|""|""
"01-0686429"|"CLUB HORIZON, INC."|"671112"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0781831"|"THE DOUGLAS CENTER"|"671113"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0793127"|"HAPPILY EVER AFTER Educational Programs Inc."|"671114"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"673276"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0351143"|"Belfast Free Library"|"673277"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|"N"|""|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|"Y"|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0538045"|"TEEN AND YOUNG PARENT PROGRAM OF KNOX COUNTY"|"673280"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|""|"A"|"N"|"N"|""|""|""|""|""|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0865446"|"Cosby High School Athletic Boosters"|"673283"|""|""|""|""|""|""|""|""|""|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|""|"A"|"N"|"N"|""|""|""|""|""|""
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"674480"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0266854"|"ELMHURST INC"|"677035"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0367582"|"PORT RESOURCES INC"|"677036"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"677040"|""|"A"|"Y"|"N"|"Y"|"C"|"N"|""|""|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-6123853"|"BC&T, LOCAL # 334 RETIREE HEALTH TRUST (NISSEN DIVISION)"|"677043"|"Y"|"O"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0215686"|"RICE PUBLIC LIBRARY"|"685653"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0248668"|"HUBBARD FREE LIBRARY"|"685654"|""|"C"|"Y"|"Y"|"Y"|"S"|"N"|"N"|""|""
"01-0249577"|"BREAKWATER SCHOOL"|"685655"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0275447"|"Children's Center Early Intervention & Family Support"|"685656"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0279587"|"Waban Projects Inc"|"685657"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0348849"|"MAPS"|"685660"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0355649"|"ST. JOHN VALLEY ASSOCIATES, INC."|"685661"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0369660"|"Work First Inc"|"685662"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"685663"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0459572"|"The Associates of the Osher Map Library"|"685664"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"685665"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"685666"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0521260"|"RIPPLEFFECT INC"|"685667"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0533796"|"The Maine Special Education/ Mental Health Collaborative"|"685668"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|"Y"|""|""
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0728178"|"ALVEOLI CORPORATION"|"685674"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0768551"|"Ashland County Lifeworx Inc."|"685676"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0869799"|"Washington's National Park Fund"|"685677"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0892950"|"JUMP OF OHIO INC"|"685678"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-6015247"|"Naples Public Library"|"685681"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-6015647"|"Penobscot Marine Museum"|"685682"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS #964"|"690075"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0267159"|"NATIONAL SOCIETY OF THE COLONIAL DAMES IN THE STATE OF MAINE"|"690078"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0682859"|"MUTUAL FUND DIRECTORS FORUM"|"690080"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0774338"|"North Ridgeville Amateur Soccer League"|"693275"|""|"A"|"Y"|"N"|"N"|""|"N"|"N"|""|""
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOO"|"693283"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"693293"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"696900"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0158948"|"SIGMA KAPPA SORORITY"|"696902"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
