"C_EIN"|"C_Org_Name"|"FACILITY_ID"|"XML_DOCUMENT_ID"|"FACILITY_NAME"|"FACILITY_STREET"|"FACILITY_CITY"|"FACILITY_STATE"|"FACILITY_COUNTRY"|"FACILITY_ZIP"|"FACILITY_LICENSED_CBX"|"FACILITY_GENERAL_CBX"|"FACILITY_CILDRENS_CBX"|"FACILITY_TEACHING_CBX"|"FACILITY_CRITCAL_CBX"|"FACILITY_RESEARCH_CBX"|"FACILITY_ER24_CBX"|"FACILITY_ER_OTHER_CBX"|"FACILITY_DESCRIPTION"|"LINE_NUM"|"WEBSITE"|"FRG_ID"|"SLN"
"01-0211501"|"Eastern Maine Medical Center"|"17108"|"862777"|"Eastern Maine Medical Center"|"489 State Street"|"Bangor"|"ME"|"USA"|"04401"|"Y"|"Y"|""|"Y"|""|""|"Y"|""|""|"0"|""|""|""
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"17109"|"862779"|"MILES MEMORIAL HOSPITAL"|"35 MILES STREET"|"DAMARISCOTTA"|"ME"|"USA"|"04543"|"Y"|""|""|""|""|""|""|""|""|"1"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17110"|"862780"|"Mid Coast Hospital"|"123 Medical Center Drive"|"Brunswick"|"ME"|"USA"|"04011"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17111"|"862780"|"Mid Coast Hospital"|"121 Medical Center Drive"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"2"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17112"|"862780"|"Mid Coast Hospital"|"81 Medical Center Drive"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"3"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17113"|"862780"|"Mid Coast Hospital"|"11 Medical Center Drive"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"4"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17114"|"862780"|"Mid Coast Hospital"|"310 Bath Road"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"5"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17115"|"862780"|"Mid Coast Hospital"|"81 Medical Center Drive"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"6"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17116"|"862780"|"Mid Coast Hospital"|"430 Bath Road"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"7"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17117"|"862780"|"Mid Coast Hospital"|"66 Baribeau Drive"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"8"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17118"|"862780"|"Mid Coast Hospital"|"30 So Bristol Road"|"Bath"|"ME"|"USA"|"04543"|""|"Y"|""|""|""|""|""|""|""|"9"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17119"|"862780"|"Mid Coast Hospital"|"1356A Washington Avenue"|"Bath"|"ME"|"USA"|"04530"|""|"Y"|""|""|""|""|""|""|""|"10"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17120"|"862780"|"Mid Coast Hospital - Mid Coast Med Group"|"1 Bowdoin Mill Island"|"Topsham"|"ME"|"USA"|"04086"|""|"Y"|""|""|""|""|""|""|""|"11"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"17121"|"862780"|"Mid Coast Hospital"|"22 Maine Street Station"|"Brunswick"|"ME"|"USA"|"04011"|""|"Y"|""|""|""|""|""|""|""|"12"|""|""|""
"01-0217211"|"INLAND HOSPITAL"|"17122"|"862781"|"Inland Hospital"|"200 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"0"|""|""|""
"01-0219904"|"STEPHENS MEMORIAL HOSPITAL ASSOC"|"17123"|"862782"|"STEPHENS MEMORIAL HOSPITAL ASSOC"|"181 MAIN STREET"|"NORWAY"|"ME"|"USA"|"04268"|"Y"|""|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"17124"|"862783"|"Blue Hill Memorial Hospital"|"57 Water Street"|"Blue Hill"|"ME"|"USA"|"04614"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"0"|""|""|""
"01-0524834"|"SPRING HARBOR HOSPITAL"|"17125"|"862795"|"SPRING HARBOR HOSPITAL"|"123 ANDOVER ROAD"|"WESTBROOK"|"ME"|"USA"|"04092"|"Y"|""|""|""|""|""|""|""|""|"1"|""|""|""
"01-0829282"|"GOOD SHEPHERD MEDICAL CENTER-LINDEN"|"17126"|"862801"|"GSMC-LINDEN INC"|"404 N KAUFMAN STREET"|"LINDEN"|"TX"|"USA"|"75563"|"Y"|""|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"02-0222131"|"FRISBIE MEMORIAL HOSPITAL"|"17127"|"862805"|"FRISBIE MEMORIAL HOSPITAL"|"11 WHITEHALL RD"|"ROCHESTER"|"NH"|"USA"|"03867"|"Y"|"Y"|""|""|""|""|"Y"|""|"Geropsychiatric Unit"|"1"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"17506"|"867258"|"WALDO COUNTY GENERAL HOSPITAL"|"118 NORTHPORT AVENUE"|"BELFAST"|"ME"|"USA"|"04915"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"17507"|"867258"|"ARTHUR JEWELL COMMUNITY HEALTH CTR"|"55 REYNOLDS ROAD"|"BROOKS"|"ME"|"USA"|"04921"|""|"Y"|""|""|""|""|""|""|""|"2"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"17508"|"867258"|"DONALD S WALKER HEALTH CENTER"|"43 WEST MAIN STREET"|"LIBERTY"|"ME"|"USA"|"04949"|""|"Y"|""|""|""|""|""|""|""|"3"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"17509"|"867258"|"LINCOLNVILLE HEALTH CENTER"|"2399 ATLANTIC HIGHWAY"|"LINCOLNVILLE"|"ME"|"USA"|"04849"|""|"Y"|""|""|""|""|""|""|""|"4"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"17510"|"867258"|"SEARSPORT HEALTH CENTER"|"37 MORTLAND ROAD"|"SEARSPORT"|"ME"|"USA"|"04974"|""|"Y"|""|""|""|""|""|""|""|"5"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"17511"|"867258"|"STOCKTON SPRING REG HEALTH CENTER"|"11 CAPE JELLISON ROAD"|"STOCKTON SPRINGS"|"ME"|"USA"|"04981"|""|"Y"|""|""|""|""|""|""|""|"6"|""|""|""
"02-0222215"|"ST JOSEPH HPSPITAL"|"17605"|"889826"|"ST JO SEPH HOSPITAL"|"172 KINSLEY ST"|"NASHUA"|"NH"|"USA"|"03061-2013"|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|"1"|""|""|""
"01-0212435"|"St Joseph Hospital"|"17623"|"902670"|"St Joseph Hospital"|"360 Broadway PO Box 403"|"Bangor"|"ME"|"USA"|"04401"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"17656"|"908689"|"ST MARY'S REGIONAL MEDICAL CENTER"|"93 CAMPUS AVE"|"LEWISTON"|"ME"|"USA"|"04243-0291"|"Y"|""|""|""|""|""|""|""|""|"1"|""|""|""
"01-0481696"|"BIRCH BAY RETIREMENT VILLAGE"|"17866"|"972566"|"Birch Bay Village Retirement Community"|"PO BOX 8 10 Wayman Lane"|"Bar Harbor"|"ME"|"USA"|"04609"|""|""|""|""|""|""|""|"Y"|"Assisted living suites, independent living apartme"|"1"|""|""|""
"01-0545327"|"Penobscot Valley Hospital"|"18054"|"984102"|"Penbscot Valley Hospital"|"7 Transalpine Road"|"Lincoln"|"ME"|"USA"|"04457"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0244035"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"18208"|"991950"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"329 MAIN STREET"|"BRUNSWICK"|"ME"|"USA"|"04011"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"18713"|"1030129"|"NATIONWIDE CHILDREN'S HOSP (MAIN CAMPUS)"|"700 CHILDREN'S DRIVE"|"COLUMBUS"|"OH"|"USA"|"43205"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"MEPMATAL INTENSIVE CARE UNIT"|"1"|""|""|""
"01-0646166"|"INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC"|"18751"|"1031677"|"IU HEALTH BLACKFORD HOSPITAL"|"410 PILGRIM BOULEBARD"|"HARTFORD CITY"|"IN"|"USA"|"47348"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0211783"|"Calais Regional Hospital"|"19024"|"1040770"|"Calais Regional Hospital"|"24 Hospital Lane"|"Calas"|"ME"|"USA"|"04619"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0263198"|"Down East Community Hospital"|"19224"|"1053733"|"Down East Community Hospital"|"11 Hospital Drive"|"Machias"|"ME"|"USA"|"04654"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0211503"|"Franklin Memorial Hospital"|"19311"|"1065624"|"Franklin Memorial Hospital"|"111 Franklin Health Commons"|"Farmington"|"ME"|"USA"|"04938"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19389"|"1082137"|"JERSEY SHORE UNIVERSITY MEDICAL CENTER"|"1945 ROUTE 33"|"NEPTUNE"|"NJ"|"USA"|"07753"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|""|""|"1"|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19390"|"1082137"|"RIVERVIEW MEDICAL CENTER"|"ONE RIVER PLAZA"|"RED BANK"|"NJ"|"USA"|"07701"|"Y"|"Y"|""|""|""|"Y"|"Y"|""|""|"2"|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19391"|"1082137"|"OCEAN MEDICAL CENTER"|"425 JACK MARTIN BOULEVARD"|"BRICK"|"NJ"|"USA"|"08724"|"Y"|"Y"|""|""|""|"Y"|"Y"|""|""|"3"|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19392"|"1082137"|"SOUTHERN OCEAN MEDIAL CENTER"|"1140 RT 72 WEST"|"MANAHAWKIN"|"NJ"|"USA"|"08050"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"4"|""|""|""
"02-0223321"|"COTTAGE HOSPITAL"|"19444"|"1089887"|"COTTAGE HOSPITAL"|"SWIFTWATER ROAD"|"WOODSVILLE"|"NH"|"USA"|"03785"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0223482"|"Millinocket Regional Hospital"|"19726"|"1108441"|"Millinocket Regional Hospital"|"200 Somerset Street"|"Millinocket"|"ME"|"USA"|"04462"|"Y"|""|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"19774"|"1114633"|"HENRIETTA D GOODALL HOSPITAL INC"|"25 JUNE STREET"|"SANFORD"|"ME"|"USA"|"04073"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"19904"|"1125653"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"10501 EAST 91ST STREET"|"TULSA"|"OK"|"USA"|"74133"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"20130"|"1188071"|"REDINGTON-FAIRVIEW GENERAL HOS"|"46 FAIRVIEW AVENUE PO BOX 468"|"SKOWHEGAN"|"ME"|"USA"|"04976"|"Y"|""|""|""|"Y"|""|""|""|""|"0"|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"20227"|"1192039"|"BRIDGTON HOSPITAL"|"10 HOSPITALDRIVE"|"BRIDGTON"|"ME"|"USA"|"04009"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0215227"|"RUMFORD HOSPITAL"|"20228"|"1192042"|"RUMFORD HOSPITAL"|"420 FRANKLIN STREET"|"RUMFORD"|"ME"|"USA"|"04276"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|"OUTPATIENT PHYSICIANCLINIC"|"1"|""|""|""
"01-0198331"|"Maine Coast Regional Health Facilities"|"20398"|"1200788"|"Maine Coast Memorial Hospital"|"50 Union Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Y"|"Y"|""|""|""|""|"Y"|""|""|""|""|""|""
"01-0212444"|"York Hospital"|"20399"|"1200790"|"York Hospital"|"15 Hospital Drive"|"York"|"ME"|"USA"|"03909"|"Y"|"Y"|""|""|""|""|"Y"|""|""|"1"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"20795"|"1217810"|"WALDO COUNTY GENERAL HOSPITAL"|"118 NORTHPORT AVENUE"|"BELFAST"|"ME"|"USA"|"04915"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|""|"1"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"20796"|"1217810"|"ARTHUR JEWELL COMMUNITY HEALTH CTR"|"55 REYNOLDS ROAD"|"BROOKS"|"ME"|"USA"|"04921"|""|"Y"|""|""|""|""|""|""|""|"2"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"20797"|"1217810"|"DONALD S WALKER HEALTH CENTER"|"43 WEST MAIN STREET"|"LIBERTY"|"ME"|"USA"|"04949"|""|"Y"|""|""|""|""|""|""|""|"3"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"20798"|"1217810"|"LINCOLNVILLE HEALTH CENTER"|"2399 ATLANTIC HIGHWAY"|"LINCOLNVILLE"|"ME"|"USA"|"04849"|""|"Y"|""|""|""|""|""|""|""|"4"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"20799"|"1217810"|"SEARSPORT HEALTH CENTER"|"37 MORTLAND ROAD"|"SEARSPORT"|"ME"|"USA"|"04974"|""|"Y"|""|""|""|""|""|""|""|"5"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"20800"|"1217810"|"STOCKTON SPRING REG HEALTH CENTER"|"11 CAPE JELLISON ROAD"|"STOCKTON SPRINGS"|"ME"|"USA"|"04981"|""|"Y"|""|""|""|""|""|""|""|"6"|""|""|""
