"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FIRM_NAME"|"FIRM_STREET"|"FIRM_CITY"|"FIRM_STATE"|"FIRM_COUNTRY"|"FIRM_ZIP"|"FIRM_EIN"|"FIRM_PHONE"|"DISCUSS_WITH_PREPARER_CBX"|"PREP_SELF_EMP_CBX"
"01-0315000"|"Portland electrical Joint Apprenticeship & Training Fund"|"592792"|"Filler and Associates PA"|"70 Center Street PO Box 4177"|"Portland"|"ME"|"USA"|"04101-0377"|""|"207-772-0153"|"Y"|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"JUDITH A. GERVAIS, CPA"|"97 FARWELL ST"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-689-2325"|"Y"|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|"STEPHEN BARNARD ASSOCIATES INC"|"PO BOX 428"|"MANCHESTER"|"ME"|"USA"|"04351-0428"|""|"207-626-3181"|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|"MALLARD & MALLARD CPAS LLC"|"411 E CHURCH ST"|"MARTINSVILLE"|"VA"|"USA"|"24112-2910"|"01-0756964"|"276-632-5754"|"Y"|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|"BAKER NEWMAN & NOYES LLC"|"BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|""|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|"VITO COURTNEY & ASSOCIATES"|"PO BOX 246"|"MONMOUTH"|"ME"|"USA"|"04259"|"27-1711070"|"207-377-2794"|"Y"|""
"01-0043280"|"PORTLAND REGIONAL CHAMBER"|"626474"|"DAWSON, SMITH, PURVIS & BASSETT, P.A."|"15 CASCO STREET"|"PORTLAND"|"ME"|"USA"|"04101-2902"|""|"207-874-0355"|"Y"|""
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|"ROBUSTELLI SOUCY HUSSEY, P.A"|"P.O. BOX 1727"|"LEWISTON"|"ME"|"USA"|"04241-1727"|""|"207-783-2839"|"Y"|""
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|"Henry J. Hurford, Jr., CPA"|"P.O. Box 1"|"Boothbay Harbor"|"ME"|"USA"|"04538-0001"|""|"207-633-4040"|"Y"|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|"BAKER NEWMAN & NOYES"|"PO BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|""|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|"AUSTIN ASSOCIATES PA CPA'S"|"PO BOX 3400"|"AUBURN"|"ME"|"USA"|"04212-3400"|""|"207-783-9111"|"Y"|""
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|"EDWARDS FAUST & SMITH"|"716 UNION ST"|"BANGOR"|"ME"|"USA"|"04401-3156"|""|"207-947-4575"|"Y"|""
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|"KING AND ASSOCIATESCPAPC"|"320 CARLETON AVESTE 3500"|"CENTRAL ISLIP"|"NY"|"USA"|"11722"|""|"631-231-5336"|"Y"|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"BAKER NEWMAN & NOYES"|"BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|""|""
"01-0331728"|"PATHWAYS INC"|"635244"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|"OUELLETTE & ASSOCIATES, P.A."|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|""|"207-775-3496"|"Y"|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|"Macdonald Page & Co LLC"|"30 Long Creek Dr"|"South Portland"|"ME"|"USA"|"04106"|""|"207-774-5701"|""|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|"WOJESKI & COMPANY CPA'S PC"|"75 TROY ROAD"|"EAST GREENBUSH"|"NY"|"USA"|"12061"|""|"518-477-1102"|"Y"|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|"NATHAN WECHSLER & COMPANY PA"|"70 COMMERCIAL ST STE 401"|"CONCORD"|"NH"|"USA"|"03301"|""|"603-224-5357"|"Y"|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|"SEBER TANS PLC"|"555 W CROSSTOWN PARKWAY STE 304"|"KALAMAZOO"|"MI"|"USA"|"49008"|""|"269-343-8180"|""|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|"DAVID E TULLY & ASSOCIATES PA"|"20 TRAFALGAR SQUARE SUITE 202"|"NASHUA"|"NH"|"USA"|"03063"|""|"603-886-8885"|"Y"|""
"01-0262323"|"Northern Maine General"|"636949"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|""|"207-775-2387"|"Y"|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"G Michael Smith & Assoc PC"|"1551 Jennings Mill Rd 900-A"|"Bogart"|"GA"|"USA"|"30622"|""|"706-353-2016"|""|""
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|"Raymond A. Miller CPA"|"200 Lake Drive, Apt #2B"|"Olympia Fields"|"IL"|"USA"|"60461"|""|""|"Y"|""
"01-0052260"|"Cumberland Club"|"638152"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|""|""|"Y"|""
"01-0245261"|"ERSKINE ACADEMY"|"638153"|"WILLIAM H BREWER CPA"|"858 WASHINGTON STREET"|"BATH"|"ME"|"USA"|"04530"|""|"207-443-9759"|""|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|""|""|""|""|""|""|""|""|""|""
"01-0367553"|"SETON VILLAGE"|"638155"|"OTIS ATWELL"|"324 GANNETT DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|""|"207-780-1100"|""|""
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|"Richard M Walker CPA"|"PO Box 1170"|"Rangeley"|"ME"|"USA"|"04970-1170"|""|"207-864-5771"|""|""
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|"Bruce A. Bachelder, CPA"|"PO Box 1479"|"Damariscotta"|"ME"|"USA"|"04543"|""|"207-563-7540"|"Y"|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"Horton, McFarland & Veysey, LLC"|"P.O. Box 543"|"Ellsworth"|"ME"|"USA"|"04605"|"01-0219197"|"207-667-5529"|""|""
"01-0281533"|"Green Valley Association"|"639787"|"Chester M. Kearney, PA"|"P.O. Box 744"|"Houlton"|"ME"|"USA"|"04730-0744"|"01-0411241"|"207-532-4271"|""|""
"01-0532835"|"SAFE PASSAGE"|"639788"|"Macdonald Page & Co LLC"|"30 Long Creek Dr"|"South Portland"|"ME"|"USA"|"04106"|""|"207-774-5701"|""|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"LARSONALLEN LLP"|"2900 SOUTH QUINCY ST SUITE 150"|"ARLINGTON"|"VA"|"USA"|"22206"|""|"703-998-5100"|"Y"|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"DAWSON SMITH PURVIS & BASSETT PA"|"15 CASCO STREET"|"PORTLAND"|"ME"|"USA"|"04101-2902"|""|"207-874-0355"|"Y"|""
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|"MARTIN STARNES & ASSOCIATES, CPAS, P.A."|"730 13TH AVENUE DR SE"|"HICKORY"|"NC"|"USA"|"28602"|""|"828-327-2727"|"Y"|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|"DAVID M KING CPA PA"|"840 W LUTZ LAKE FERN RD"|"LUTZ"|"FL"|"USA"|"33548-5027"|""|"813-949-9522"|""|""
"01-0211807"|"Sweetser"|"631557"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|""|"207-775-2387"|"Y"|""
"01-0265231"|"UPLIFT INC"|"631558"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|"Macdonald Page & Co LLC"|"227 Water Street PO Box 2749"|"Augusta"|"ME"|"USA"|"04338"|""|"207-774-5701"|""|""
"01-0358732"|"MOBIUS INC"|"631560"|"WILLIAM H BREWER CPA"|"858 WASHINGTON STREET"|"BATH"|"ME"|"USA"|"04530"|""|"207-443-9759"|""|""
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|"BRANTNER, THIBODEAU & ASSOC."|"674 MT. HOPE AVENUE SUITE 1"|"BANGOR"|"ME"|"USA"|"04401"|"01-0535888"|"207-947-3325"|"Y"|""
"01-0388637"|"New England Baptist Bible College"|"631562"|""|""|""|""|""|""|""|""|""|""
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|"Felch & Company LLC"|"PO Box 906"|"Caribou"|"ME"|"USA"|"04736"|""|"207-498-3176"|"Y"|""
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|"ALBIN RANDALL & BENNETT"|"PO BOX 445 130 MIDDLE STREET"|"PORTLAND"|"ME"|"USA"|"04112-0445"|""|"207-772-1981"|"Y"|""
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|"Aharon Friedman"|"5 Remsen Avenue Suite 1"|"Monsey"|"NY"|"USA"|"10952"|""|"845-425-6809"|""|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"MAHONEYULBRICHCHRISTIANSEN & RUSS PA"|"30 EAST PLATO BOULEVARD"|"SAINT PAUL"|"MN"|"USA"|"55107-1809"|""|"651-227-6695"|"Y"|""
"01-0274898"|"HOPE ASSOCIATION"|"643658"|"OUELLETTE & ASSOCIATED PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0357293"|"HERITAGE COURT INC"|"643659"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"EDWARDS FAUST & SMITH"|"716 UNION ST"|"BANGOR"|"ME"|"USA"|"04401-3156"|""|"207-947-4575"|"Y"|""
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"HAWKINS ASH BAPTIE AND CO LLP"|"500 S SECOND STREETSUITE 200"|"LA CROSSE"|"WI"|"USA"|"54601"|""|"608-784-7737"|"Y"|""
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|""|""|""|""|""|""|""|""|""|""
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-786-0328"|"Y"|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"Macdonald Page & Co LLC"|"227 Water Street PO Box 2749"|"Augusta"|"ME"|"USA"|"04338"|""|"207-512-3421"|""|""
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|"Smith & Associates CPAs"|"50 Forest Falls Dr Ste 3"|"Yarmouth"|"ME"|"USA"|"04096-6937"|"01-0522395"|"207-846-8881"|""|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"BAGLEY AND GRANT"|"18 FOREST AVENUE"|"BANGOR"|"ME"|"USA"|"04401"|""|"207-942-3728"|"Y"|""
"01-0351501"|"Community Partners Inc"|"660152"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|""|"207-775-2387"|"Y"|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"JUDITH A. GERVAIS, CPA"|"97 FARWELL ST"|"LEWISTON"|"ME"|"USA"|"04240"|""|"207-689-2325"|"Y"|""
"01-0545281"|"Greenwood"|"649555"|"Dave B Straley CPA"|"PO Box 5406"|"Incline Village"|"NV"|"USA"|"89450"|""|"775-832-9222"|"Y"|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|"THE WINANS GROUP CPAS PC"|"3400 COLLEGE BLVD STE 120"|"LEAWOOD"|"KS"|"USA"|"66211"|""|"913-901-9555"|"Y"|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|"Bruce A. Bachelder, CPA"|"PO Box 1479"|"Damariscotta"|"ME"|"USA"|"04543"|""|"207-563-7540"|"Y"|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|"Honeck O'Toole, CPA's"|"50 Portland Pier"|"Portland"|"ME"|"USA"|"04101"|"01-0398174"|"207-774-0882"|"Y"|""
"01-0211507"|"Good Samaritan Agency"|"656619"|"Edwards, Faust & Smith"|"716 Union St"|"Bangor"|"ME"|"USA"|"04401-3156"|"01-0463272"|"207-947-4575"|"Y"|""
"01-0263507"|"Central Aroostook ARC"|"656620"|"Chester M. Kearney, PA"|"P.O. Box 1550"|"Presque Isle"|"ME"|"USA"|"04769"|"01-0411241"|"207-764-3171"|""|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|""|""|""|""|""|""|""|""|""|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|"THIS TAX RETURN PREPARED BY A NON-PAID PREPARER."|""|""|""|""|""|""|""|""|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|"FOSTER & COMPANY LLP CPA'S"|"78 MAIN STREET PO BOX C"|"BUCKSPORT"|"ME"|"USA"|"04416"|"27-3375939"|"207-469-7364"|"Y"|""
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|"RAY COOK CPA"|"317 MAIN STREET"|"WINTHROP"|"ME"|"USA"|"04364"|""|"207-377-8749"|""|""
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|"PARENTEBEARD LLC"|"220 REGENT COURT SUITE C"|"STATE COLLEGE"|"PA"|"USA"|"16801"|""|"814-237-6586"|"Y"|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"BALESTRA HARR & SCHERER CPAS"|"528 SOUTH WEST ST"|"PIKETON"|"OH"|"USA"|"45661"|""|"740-289-4131"|""|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|"SIMENSKY ENGSTROM & ASSOCIATES CPA'S"|"PO BOX 760"|"SACO"|"ME"|"USA"|"04072"|""|"207-284-5943"|"Y"|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|"EDWARDS FAUST & SMITH"|"716 UNION ST"|"BANGOR"|"ME"|"USA"|"04401-3156"|""|"207-947-4575"|""|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|"Felch & Company LLC"|"PO Box 906"|"Caribou"|"ME"|"USA"|"04736"|""|"207-498-3176"|"Y"|""
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|"PLANTE 7 MORAN PLLC"|"PO BOX 307"|"SOUTHFIELD"|"MI"|"USA"|"48037-0307"|""|"248-352-2500"|"Y"|""
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|"BIGELOW & COMPANY, CPA, P.C."|"500 COMMERCIAL STREET"|"MANCHESTER"|"NH"|"USA"|"03101"|"02-0394333"|"603-627-7659"|"Y"|""
"01-0360256"|"York Public Library"|"663886"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|""|"207-775-3496"|"Y"|""
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|""|""|""|""|""|""|""|""|""|""
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|"Osher & Associates, CPA's"|"11 E Hubbard Suite #3A"|"Chicago"|"IL"|"USA"|"60611"|"36-4333530"|"312-236-8590"|"Y"|""
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|"MURPHY, POWERS & WILSON CPAS, PC"|"ONE MERRILL INDUSTRIAL DRIVE"|"HAMPTON"|"NH"|"USA"|"03842-1942"|"02-0466387"|"603-926-8063"|""|""
"01-0320500"|"Evergreen Cemetery Association"|"663122"|"Troiano & Associates"|"1068 Main Street, Suite B"|"Sanford"|"ME"|"USA"|"04073"|"75-2996709"|"207-324-0226"|"Y"|""
"01-0275130"|"Unity College"|"671110"|"Berry Dunn McNeil & Parker LLC"|"36 Pleasant Street"|"Bangor"|"ME"|"USA"|"04401"|""|"207-942-1600"|"Y"|""
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|"ROBUSTELLI SOUCY HUSSEY PA"|"1071 LISBON ST"|"LEWISTON"|"ME"|"USA"|"04240-5768"|""|"207-783-2839"|"Y"|""
