"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_COMP_ORG"|"TOTAL_COMP_RELATED_ORG"|"TOTAL_COMP_OTHER"|"TOTAL_PERSONS_100000"|"FORMER_1A_CBX"|"ANYBODY_150000_CBX"|"ANYBODY_COMP_UNRELATED_CBX"
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|""|""|""|"0"|"N"|"N"|"N"
"01-0211807"|"Sweetser"|"631557"|"1067322.0000"|"0.0000"|"122952.0000"|"8"|"N"|"Y"|"N"
"01-0265231"|"UPLIFT INC"|"631558"|"141958.0000"|"0.0000"|"6960.0000"|"0"|"N"|"N"|"N"
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|"374823.0000"|""|"18799.0000"|"3"|"N"|"Y"|"N"
"01-0358732"|"MOBIUS INC"|"631560"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|"209897.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0388637"|"New England Baptist Bible College"|"631562"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|"75727.0000"|"0.0000"|"10493.0000"|"0"|"N"|"N"|"N"
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|"103475.0000"|""|""|"0"|"N"|"N"|"N"
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"76461.0000"|"0.0000"|"25372.0000"|"0"|"N"|"N"|"N"
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|"56421.0000"|""|"21011.0000"|""|"N"|"N"|"N"
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|"0.0000"|"175623.0000"|"0.0000"|"0"|"N"|"Y"|"N"
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|"54749.0000"|"0.0000"|"7688.0000"|"0"|"N"|"N"|"N"
"01-0331728"|"PATHWAYS INC"|"635244"|"182443.0000"|"0.0000"|"15761.0000"|"0"|"N"|"N"|"N"
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|"0.0000"|"7940.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"0.0000"|"5955.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|"125306.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|""|""|""|"0"|"N"|"N"|"N"
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|"175529.0000"|"0.0000"|"20706.0000"|"0"|"N"|"N"|"N"
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|"461678.0000"|"0.0000"|"87097.0000"|"3"|"N"|"Y"|"N"
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|"86692.0000"|"0.0000"|"0.0000"|""|"Y"|"N"|"N"
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|""|"225044.0000"|"23080.0000"|"1"|"N"|"Y"|"N"
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|"124447.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0262323"|"Northern Maine General"|"636949"|"110090.0000"|"0.0000"|"25701.0000"|"1"|"N"|"N"|"N"
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|"115398.0000"|""|""|"0"|"N"|"N"|"N"
"01-0052260"|"Cumberland Club"|"638152"|"85654.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0245261"|"ERSKINE ACADEMY"|"638153"|"104423.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|"80560.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0367553"|"SETON VILLAGE"|"638155"|"57795.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|""|""|""|"0"|"N"|"N"|"N"
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|"139585.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0281533"|"Green Valley Association"|"639787"|""|""|""|"0"|"N"|"N"|"N"
"01-0532835"|"SAFE PASSAGE"|"639788"|"98908.0000"|"75315.0000"|"7484.0000"|"0"|"N"|"N"|"N"
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"704774.0000"|"0.0000"|"82783.0000"|"4"|"Y"|"Y"|"N"
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|"3970.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|"31437.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|"98411.0000"|"0.0000"|"0.0000"|"0"|"Y"|"N"|"N"
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|"58619.0000"|""|""|""|"N"|"N"|"N"
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"61531.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|""|""|""|"0"|"N"|"N"|"N"
"01-0274898"|"HOPE ASSOCIATION"|"643658"|"91891.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0357293"|"HERITAGE COURT INC"|"643659"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|"303965.0000"|""|"20772.0000"|"2"|"N"|"N"|"N"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|""|""|""|""|"N"|"N"|"N"
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|""|""|""|""|"N"|"N"|"N"
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|"7392.0000"|""|""|"0"|"N"|"N"|"N"
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|"317496.0000"|"0.0000"|"0.0000"|"1"|"N"|"Y"|"N"
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"35327.0000"|""|""|""|"N"|"N"|"N"
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|"410240.0000"|""|"6000.0000"|"3"|"N"|"Y"|"N"
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|"147154.0000"|""|"16350.0000"|""|"N"|"N"|"N"
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|"39661.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|"1013371.0000"|"0.0000"|"148965.0000"|"7"|"N"|"Y"|"N"
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0545281"|"Greenwood"|"649555"|"88667.0000"|""|""|""|"N"|"N"|"N"
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|"88630.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|"45288.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211507"|"Good Samaritan Agency"|"656619"|"69305.0000"|""|"9235.0000"|"0"|"N"|"N"|"N"
"01-0263507"|"Central Aroostook ARC"|"656620"|""|""|""|"0"|"N"|"N"|"N"
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|""|""|""|"0"|"N"|"N"|"N"
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0351501"|"Community Partners Inc"|"660152"|"319512.0000"|"0.0000"|"35474.0000"|"0"|"N"|"N"|"N"
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"662304"|"92007.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0207716"|"VICTORIA MANSION"|"662305"|"67150.0000"|"0.0000"|"0.0000"|"0"|"Y"|"N"|"N"
"01-0524313"|"WINDHAM SCHOOL AGE CHILDCARE ASSOC"|"662306"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|"121900.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"662309"|"0.0000"|"230714.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0930709"|"Glenwood Family Ministries"|"662310"|""|""|""|""|"N"|"N"|"N"
"01-6022815"|"ISLAND MEDICAL CENTER"|"662311"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0320500"|"Evergreen Cemetery Association"|"663122"|""|""|""|"0"|"N"|"N"|"N"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|"205907.0000"|"0.0000"|"21332.0000"|"1"|"N"|"Y"|"N"
"01-0360256"|"York Public Library"|"663886"|"70498.0000"|"0.0000"|"21941.0000"|"0"|"N"|"N"|"N"
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|""|""|""|"0"|"N"|"N"|"N"
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|""|""|""|"0"|"N"|"N"|"N"
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|"74464.0000"|""|""|"0"|"N"|"N"|"N"
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|""|""|""|""|"N"|"N"|"N"
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"665467"|"14180.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0452620"|"FRIENDS OF CASCO BAY"|"665468"|"166504.0000"|"0.0000"|"6660.0000"|"0"|"N"|"N"|"N"
"01-0544421"|"OXFORD HILLS CHRISTIAN ACADEMY"|"665469"|"29619.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"667821"|"43472.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|"42214.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|"58069.0000"|""|"19904.0000"|""|"N"|"N"|"N"
"01-0365436"|"Maine Administrators of Services For Children With Disabilities"|"667824"|"92665.0000"|""|"2926.0000"|"0"|"N"|"N"|"N"
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"667825"|"50273.0000"|"16529.0000"|"7645.0000"|"0"|"N"|"N"|"N"
"01-0545335"|"United Ambulance Service"|"667826"|"149953.0000"|"0.0000"|"27925.0000"|"1"|"N"|"Y"|"N"
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6006524"|"BRIDGTON PUBLIC LIBRARY"|"667828"|"2000.0000"|""|""|"0"|"N"|"N"|"N"
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"669155"|"37703.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0275130"|"Unity College"|"671110"|"361213.0000"|"0.0000"|"61927.0000"|"2"|"N"|"Y"|"N"
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|"60598.0000"|""|"8630.0000"|""|"N"|"N"|"N"
"01-0686429"|"CLUB HORIZON, INC."|"671112"|"59524.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0781831"|"THE DOUGLAS CENTER"|"671113"|"105000.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0793127"|"HAPPILY EVER AFTER Educational Programs Inc."|"671114"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"673276"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0351143"|"Belfast Free Library"|"673277"|""|"59626.0000"|""|"0"|"N"|"N"|"N"
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|"69740.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0538045"|"TEEN AND YOUNG PARENT PROGRAM OF KNOX COUNTY"|"673280"|""|""|""|""|"N"|"N"|"N"
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|""|""|""|"0"|"N"|"N"|"N"
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"50769.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0865446"|"Cosby High School Athletic Boosters"|"673283"|""|""|""|""|"N"|"N"|"N"
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"674480"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0266854"|"ELMHURST INC"|"677035"|"74535.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0367582"|"PORT RESOURCES INC"|"677036"|"162990.0000"|"0.0000"|"20153.0000"|"0"|"N"|"N"|"N"
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"151622.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"677040"|""|""|""|""|"N"|"N"|"N"
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6123853"|"BC&T, LOCAL # 334 RETIREE HEALTH TRUST (NISSEN DIVISION)"|"677043"|"1316.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0215686"|"RICE PUBLIC LIBRARY"|"685653"|"43044.0000"|""|""|""|"N"|"N"|"N"
"01-0248668"|"HUBBARD FREE LIBRARY"|"685654"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0249577"|"BREAKWATER SCHOOL"|"685655"|"101344.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0275447"|"Children's Center Early Intervention & Family Support"|"685656"|"76232.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0279587"|"Waban Projects Inc"|"685657"|"123767.0000"|"0.0000"|"20471.0000"|"1"|"N"|"N"|"N"
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|"6154.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0348849"|"MAPS"|"685660"|"107578.0000"|""|"22374.0000"|"1"|"N"|"N"|"N"
"01-0355649"|"ST. JOHN VALLEY ASSOCIATES, INC."|"685661"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0369660"|"Work First Inc"|"685662"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"685663"|"10088.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0459572"|"The Associates of the Osher Map Library"|"685664"|""|""|""|"0"|"N"|"N"|"N"
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"685665"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"685666"|"23795.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0521260"|"RIPPLEFFECT INC"|"685667"|"72692.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0533796"|"The Maine Special Education/ Mental Health Collaborative"|"685668"|"112848.0000"|"0.0000"|"0.0000"|"1"|"N"|"N"|"N"
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"44584.0000"|""|""|"0"|"N"|"N"|"N"
"01-0728178"|"ALVEOLI CORPORATION"|"685674"|"72033.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0768551"|"Ashland County Lifeworx Inc."|"685676"|"29425.0000"|""|""|""|"N"|"N"|"N"
"01-0869799"|"Washington's National Park Fund"|"685677"|"79904.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0892950"|"JUMP OF OHIO INC"|"685678"|"57808.0000"|""|""|""|"N"|"N"|"N"
"01-6015247"|"Naples Public Library"|"685681"|"2692968.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6015647"|"Penobscot Marine Museum"|"685682"|"95316.0000"|""|"16115.0000"|"0"|"N"|"N"|"N"
"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS #964"|"690075"|"16000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0267159"|"NATIONAL SOCIETY OF THE COLONIAL DAMES IN THE STATE OF MAINE"|"690078"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0682859"|"MUTUAL FUND DIRECTORS FORUM"|"690080"|"839289.0000"|"0.0000"|"6960.0000"|"5"|"N"|"Y"|"N"
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|"40250.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0774338"|"North Ridgeville Amateur Soccer League"|"693275"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOO"|"693283"|""|""|""|"0"|"N"|"N"|"N"
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"693293"|"142887.0000"|"0.0000"|"28672.0000"|"1"|"N"|"Y"|"N"
