"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CASH_BOY"|"CASH_EOY"|"SAVINGS_BOY"|"SAVINGS_EOY"|"PLEDGES_GRANTS_BOY"|"PLEDGES_GRANTS_EOY"|"ACCOUNTS_RECEIVABLE_BOY"|"ACCOUNTS_RECEIVABLE_EOY"|"QUALIFIED_RECEIVABLE_BOY"|"QUALIFIED_RECEIVABLE_EOY"|"DISQUALIFIED_RECEIVABLE_BOY"|"DISQUALIFIED_RECEIVABLE_EOY"|"LOANS_RECEIVABLE_BOY"|"LOANS_RECEIVABLE_EOY"|"INVENTORY_BOY"|"INVENTORY_EOY"|"PREPAID_BOY"|"PREPAID_EOY"|"LBE_BASE"|"LESS_DEPRECIATION"|"LBE_BOY"|"LBE_EOY"|"PUBLIC_SECURITIES_BOY"|"PUBLIC_SECURITIES_EOY"|"OTHER_SECURITIES_BOY"|"OTHER_SECURITIES_EOY"|"INVEST_PROGRAMS_BOY"|"INVEST_PROGRAMS_EOY"|"INTANG_ASSETS_BOY"|"INTANG_ASSETS_EOY"|"OTHER_ASSETS_BOY"|"OTHER_ASSETS_EOY"|"ASSETS_TOTAL_BOY"|"ASSETS_TOTAL_EOY"|"ACCOUNTS_PAYABLE_BOY"|"ACCOUNTS_PAYABLE_EOY"|"GRANTS_PAYABLE_BOY"|"GRANTS_PAYABLE_EOY"|"DEFERRED_REVENUE_BOY"|"DEFERRED_REVENUE_EOY"|"TAX_EXEMPT_BONDS_BOY"|"TAX_EXEMPT_BONDS_EOY"|"ESCROW_LIABILITY_BOY"|"ESCROW_LIABILITY_EOY"|"PAYABLE_OFFICERS_BOY"|"PAYABLE_OFFICERS_EOY"|"SECURED_NOTES_PAYABLE_BOY"|"SECURED_NOTES_PAYABLE_EOY"|"UNSECURED_NOTES_PAYABLE_BOY"|"UNSECURED_NOTES_PAYABLE_EOY"|"LIABILITY_OTHER_BOY"|"LIABILITY_OTHER_EOY"|"LIABILITY_TOTAL_BOY"|"LIABILITY_TOTAL_EOY"|"UNRESTRICTED_BOY"|"UNRESTRICTED_EOY"|"TEMP_RESTRICTED_BOY"|"TEMP_RESTRICTED_EOY"|"PERM_RESTRICTED_BOY"|"PERM_RESTRICTED_EOY"|"CAPITAL_BOY"|"CAPITAL_EOY"|"PAID_IN_BOY"|"PAID_IN_EOY"|"RETAINED_BOY"|"RETAINED_EOY"|"NET_TOTAL_BOY"|"NET_TOTAL_EOY"|"BALANCES_BOY"|"BALANCES_EOY"
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"518778.0000"|"455683.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"518778.0000"|"455683.0000"|"522366.0000"|"457043.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|"522366.0000"|"457043.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"518778.0000"|"455683.0000"|"522366.0000"|"457043.0000"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"596288"|"200.0000"|"200.0000"|"946702.0000"|"380109.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1902587.0000"|"792370.0000"|"873113.0000"|"1110217.0000"|"1956204.0000"|"2644804.0000"|""|""|""|""|""|""|""|""|"3776219.0000"|"4135330.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"3673047.0000"|"4036288.0000"|"4400.0000"|""|"98772.0000"|"99042.0000"|""|""|""|""|""|""|"3776219.0000"|"4135330.0000"|"3776219.0000"|"4135330.0000"
"01-0414441"|"Maine Migrant Health Program, Inc."|"596289"|"493.0000"|"598.0000"|"365234.0000"|"173198.0000"|"6662.0000"|"13355.0000"|""|""|""|""|""|""|""|""|""|""|"121391.0000"|"11714.0000"|"433377.0000"|"163454.0000"|"43986.0000"|"269923.0000"|""|""|""|""|""|""|""|""|""|""|"537766.0000"|"468788.0000"|"49398.0000"|"47416.0000"|""|""|"252121.0000"|"61466.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"301519.0000"|"108882.0000"|"224776.0000"|"320620.0000"|"11471.0000"|"39286.0000"|""|""|""|""|""|""|""|""|"236247.0000"|"359906.0000"|"537766.0000"|"468788.0000"
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"49513.0000"|"7920.0000"|"155848.0000"|"188655.0000"|""|""|"4464.0000"|"4087.0000"|""|""|""|""|""|""|""|""|"4231.0000"|"4342.0000"|"1935604.0000"|"429196.0000"|"1501069.0000"|"1506408.0000"|""|""|""|""|""|""|""|""|"64381.0000"|"68708.0000"|"1779506.0000"|"1780120.0000"|"20020.0000"|"29095.0000"|""|""|"1897.0000"|"14.0000"|""|""|""|""|""|""|"1750094.0000"|"1726396.0000"|""|""|"34044.0000"|"32428.0000"|"1806055.0000"|"1787933.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"-26549.0000"|"-7813.0000"|"-26549.0000"|"-7813.0000"|"1779506.0000"|"1780120.0000"
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""|""|"92108.0000"|"127996.0000"|""|""|"19979.0000"|"14610.0000"|""|""|""|""|""|""|""|""|""|""|"3298879.0000"|"1249253.0000"|"2118387.0000"|"2049626.0000"|"3895491.0000"|"5089063.0000"|""|""|""|""|""|""|"573732.0000"|"609354.0000"|"6699697.0000"|"7890649.0000"|"3975.0000"|"3336.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3975.0000"|"3336.0000"|"4488803.0000"|"5629445.0000"|"35528.0000"|"32879.0000"|"2171391.0000"|"2224989.0000"|""|""|""|""|""|""|"6695722.0000"|"7887313.0000"|"6699697.0000"|"7890649.0000"
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|"410024.0000"|"53927.0000"|""|""|"30863.0000"|"11241.0000"|""|"8145.0000"|""|""|""|""|""|""|""|""|"16186.0000"|"5808.0000"|"2024414.0000"|"958905.0000"|"1143055.0000"|"1065509.0000"|"6442100.0000"|"6771521.0000"|""|""|""|""|""|""|""|""|"8042228.0000"|"7916151.0000"|"63430.0000"|"50752.0000"|""|""|"27425.0000"|"1375.0000"|""|""|""|""|""|""|"8987.0000"|""|""|""|""|""|"99842.0000"|"52127.0000"|"7942386.0000"|"7864024.0000"|""|""|""|""|""|""|""|""|""|""|"7942386.0000"|"7864024.0000"|"8042228.0000"|"7916151.0000"
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"532481.0000"|"10860.0000"|"162206.0000"|"197915.0000"|""|""|"66520.0000"|"49808.0000"|""|""|""|""|""|""|"41868.0000"|"50355.0000"|"2273.0000"|"2508.0000"|"42072.0000"|"27405.0000"|"18340.0000"|"14667.0000"|""|""|""|""|""|""|""|""|""|""|"823688.0000"|"326113.0000"|"574580.0000"|"57918.0000"|""|""|"39435.0000"|"39794.0000"|""|""|""|""|""|""|""|""|""|""|"573.0000"|"90.0000"|"614588.0000"|"97802.0000"|""|""|""|""|""|""|""|""|""|""|"209100.0000"|"228311.0000"|"209100.0000"|"228311.0000"|"823688.0000"|"326113.0000"
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|""|""|"172431.0000"|"181120.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"20211.0000"|"9636.0000"|"3216.0000"|"10575.0000"|"88.0000"|"83.0000"|""|""|""|""|""|""|""|""|"175735.0000"|"191778.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"3566.0000"|"5171.0000"|"3566.0000"|"5171.0000"|"84571.0000"|"16963.0000"|"87598.0000"|"169644.0000"|""|""|""|""|""|""|""|""|"172169.0000"|"186607.0000"|"175735.0000"|"191778.0000"
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|"136777.0000"|"86160.0000"|""|"59438.0000"|""|""|"2821.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"30054.0000"|"48754.0000"|"169652.0000"|"194352.0000"|""|"99.0000"|""|""|"19000.0000"|"19000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"19000.0000"|"19099.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"150652.0000"|"175253.0000"|"150652.0000"|"175253.0000"|"169652.0000"|"194352.0000"
"01-0785049"|"Queens Community Center, Inc."|"620181"|""|""|"644141.0000"|"1074142.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"8220.0000"|"8220.0000"|"652361.0000"|"1082362.0000"|""|""|""|""|""|""|""|""|""|""|"92914.0000"|"178236.0000"|""|""|""|""|"4000.0000"|"4000.0000"|"96914.0000"|"182236.0000"|""|""|""|""|""|""|"500.0000"|"500.0000"|""|""|"554947.0000"|"899626.0000"|"555447.0000"|"900126.0000"|"652361.0000"|"1082362.0000"
"01-0733041"|"SARASOTA CREW, INC"|"620180"|"10645.0000"|"11261.0000"|"46042.0000"|"26008.0000"|""|""|"966.0000"|"10695.0000"|""|""|""|""|""|""|"5593.0000"|"7338.0000"|"7576.0000"|"5258.0000"|"469329.0000"|"255212.0000"|"199150.0000"|"214117.0000"|""|""|""|""|""|""|""|""|"590.0000"|"590.0000"|"270562.0000"|"275267.0000"|"3708.0000"|"7127.0000"|"75000.0000"|""|""|""|""|""|""|""|""|""|"26650.0000"|"37719.0000"|""|"64000.0000"|""|""|"105358.0000"|"108846.0000"|"165204.0000"|"166421.0000"|""|""|""|""|""|""|""|""|""|""|"165204.0000"|"166421.0000"|"270562.0000"|"275267.0000"
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|""|""|"133868.0000"|"131825.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1078862.0000"|"1215228.0000"|""|""|""|""|""|""|""|""|"1212730.0000"|"1347053.0000"|""|""|"7001.0000"|"6674.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"7001.0000"|"6674.0000"|"31870.0000"|"26910.0000"|"445346.0000"|"583416.0000"|"728513.0000"|"730053.0000"|""|""|""|""|""|""|"1205729.0000"|"1340379.0000"|"1212730.0000"|"1347053.0000"
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|"15188.0000"|"12898.0000"|"1197.0000"|"1198.0000"|""|""|"1200.0000"|"862.0000"|""|""|""|""|""|""|"22281.0000"|"29895.0000"|""|""|"36415.0000"|"21152.0000"|"11943.0000"|"15263.0000"|""|""|""|""|""|""|""|""|"2613.0000"|"490.0000"|"54422.0000"|"60606.0000"|"21957.0000"|"25191.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"23918.0000"|"21957.0000"|"49109.0000"|"12908.0000"|"3675.0000"|"19557.0000"|"7822.0000"|""|""|""|""|""|""|""|""|"32465.0000"|"11497.0000"|"54422.0000"|"60606.0000"
"01-0538232"|"Big Rock"|"620176"|"9893.0000"|"626.0000"|""|""|"0.0000"|"0.0000"|"21792.0000"|"2298.0000"|""|""|""|""|"0.0000"|"0.0000"|"6068.0000"|"6288.0000"|"21632.0000"|"29660.0000"|"1561239.0000"|"966975.0000"|"678446.0000"|"594264.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"196.0000"|"1503.0000"|"738027.0000"|"634639.0000"|"35161.0000"|"112351.0000"|""|""|""|""|""|""|""|""|""|""|"429857.0000"|"503714.0000"|"0.0000"|"0.0000"|"1374.0000"|"4827.0000"|"466392.0000"|"620892.0000"|""|""|""|""|""|""|"271635.0000"|"13747.0000"|""|""|""|""|"271635.0000"|"13747.0000"|"738027.0000"|"634639.0000"
"01-0509802"|"CAFE, INC."|"620175"|"681384.0000"|"156592.0000"|""|"201163.0000"|"2650.0000"|""|"463363.0000"|"568929.0000"|""|""|""|""|""|"4000.0000"|""|""|"7845.0000"|"76556.0000"|"65594.0000"|"48629.0000"|"17717.0000"|"16965.0000"|""|""|""|""|""|""|""|""|"10676.0000"|"15322.0000"|"1183635.0000"|"1039527.0000"|"337131.0000"|"278174.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"337131.0000"|"278174.0000"|"846504.0000"|"761353.0000"|""|""|""|""|""|""|""|""|""|""|"846504.0000"|"761353.0000"|"1183635.0000"|"1039527.0000"
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|"126276.0000"|"124016.0000"|"726208.0000"|"823324.0000"|""|""|"203518.0000"|"243688.0000"|""|""|""|""|""|""|""|""|"11306.0000"|"16790.0000"|"1144477.0000"|"107011.0000"|"1038134.0000"|"1037466.0000"|""|""|""|""|""|""|""|""|""|""|"2105442.0000"|"2245284.0000"|"226956.0000"|"207086.0000"|""|""|""|""|""|""|""|""|""|""|"361069.0000"|"354357.0000"|""|""|""|""|"588025.0000"|"561443.0000"|"1230566.0000"|"1389917.0000"|"286851.0000"|"293924.0000"|""|""|""|""|""|""|""|""|"1517417.0000"|"1683841.0000"|"2105442.0000"|"2245284.0000"
"01-0443318"|"Blue Hill Fire Company"|"620172"|"59648.0000"|"52130.0000"|"2364.0000"|"2561.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"60909.0000"|"60661.0000"|"2339.0000"|"248.0000"|"508828.0000"|"768422.0000"|""|""|""|""|""|""|""|""|"573179.0000"|"823361.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"573179.0000"|"823361.0000"|""|""|""|""|""|""|""|""|""|""|"573179.0000"|"823361.0000"|"573179.0000"|"823361.0000"
"01-0215910"|"Bangor Humane Society"|"620171"|"57288.0000"|"196725.0000"|"247143.0000"|"171333.0000"|""|""|"16409.0000"|"11553.0000"|""|""|""|""|""|""|"2482.0000"|"2341.0000"|""|""|"2778685.0000"|"1261918.0000"|"1507469.0000"|"1516767.0000"|"958884.0000"|"920328.0000"|""|""|""|""|""|""|""|""|"2789675.0000"|"2819047.0000"|"7050.0000"|"20223.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"7050.0000"|"20223.0000"|"2746925.0000"|"2783824.0000"|"20700.0000"|""|"15000.0000"|"15000.0000"|""|""|""|""|""|""|"2782625.0000"|"2798824.0000"|"2789675.0000"|"2819047.0000"
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|""|"142689.0000"|"138829.0000"|"1000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|"2245290.0000"|"1768065.0000"|"555309.0000"|"477225.0000"|"1241299.0000"|"1476388.0000"|""|""|""|""|""|""|"4041.0000"|"2997.0000"|"1944338.0000"|"2095439.0000"|"53038.0000"|"56397.0000"|""|""|""|""|""|""|""|""|""|""|"10516.0000"|"10516.0000"|""|""|"162.0000"|""|"63716.0000"|"66913.0000"|"1826816.0000"|"1963925.0000"|"53806.0000"|"64601.0000"|""|""|""|""|""|""|""|""|"1880622.0000"|"2028526.0000"|"1944338.0000"|"2095439.0000"
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"25001.0000"|"1087903.0000"|"670244.0000"|""|"226318.0000"|"125337.0000"|"115737.0000"|"63523.0000"|""|""|""|""|""|""|""|""|"105980.0000"|"89492.0000"|"18591052.0000"|"11295063.0000"|"7906363.0000"|"7295989.0000"|"2386855.0000"|"2894284.0000"|""|""|""|""|""|""|"1202223.0000"|"1313427.0000"|"12638721.0000"|"12869955.0000"|"531660.0000"|"608972.0000"|""|""|"830459.0000"|"902531.0000"|"3040000.0000"|"2755000.0000"|""|""|""|""|"195000.0000"|"182000.0000"|""|""|"385256.0000"|"397963.0000"|"4982375.0000"|"4846466.0000"|"5229727.0000"|"5598039.0000"|"1514444.0000"|"1497525.0000"|"912175.0000"|"927925.0000"|""|""|""|""|""|""|"7656346.0000"|"8023489.0000"|"12638721.0000"|"12869955.0000"
"01-0285449"|"SOUTHERN KEENEBEC CHILD DEVELOPMENT CO"|"598995"|"100.0000"|"100.0000"|"829845.0000"|"816615.0000"|"269976.0000"|"289139.0000"|"39373.0000"|"32201.0000"|""|""|""|""|"0.0000"|"0.0000"|""|""|"74575.0000"|"69031.0000"|"1848167.0000"|"769663.0000"|"1132061.0000"|"1078504.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2345930.0000"|"2285590.0000"|"285286.0000"|"261763.0000"|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"1437.0000"|"4113.0000"|"286723.0000"|"265876.0000"|"2059207.0000"|"2019714.0000"|""|""|""|""|""|""|""|""|""|""|"2059207.0000"|"2019714.0000"|"2345930.0000"|"2285590.0000"
"01-0525615"|"Maine Winter Sports Center"|"562836"|"88322.0000"|"87095.0000"|""|""|""|""|"134414.0000"|"176596.0000"|""|""|""|""|"80087.0000"|"73942.0000"|""|""|""|""|"12756575.0000"|"5002153.0000"|"8070674.0000"|"7754422.0000"|""|""|""|""|""|""|""|""|""|""|"8373497.0000"|"8092055.0000"|"25615.0000"|"23012.0000"|""|""|""|""|""|""|""|""|""|""|"127379.0000"|"203363.0000"|""|"4764.0000"|""|""|"152994.0000"|"231139.0000"|"8216377.0000"|"7857511.0000"|"4126.0000"|"3405.0000"|""|""|""|""|""|""|""|""|"8220503.0000"|"7860916.0000"|"8373497.0000"|"8092055.0000"
