"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"GRANTS_ORGS_US"|"GRANTS_INDIVIDUALS_US"|"GRANTS_ORGS_NON_US"|"BENEFITS_TOTAL"|"COMPENSATION_CURRENT"|"COMPENSATION_DISQUALIFIED"|"WAGES_TOTAL"|"PENSION_TOTAL"|"EMPLOYEE_BENEFITS_TOTAL"|"PAYROLL_TAX_TOTAL"|"FEES_MANAGEMENT"|"FEES_LEGAL"|"ACCOUNTING_FEES_TOTAL"|"FEES_LOBBYING"|"FUNDRAISING_TOTAL"|"FEES_INVESTMENTS"|"FEES_OTHER"|"ADS_PROMO"|"OFFICE"|"INFO_TECH"|"EXP_ROYALTIES"|"OCCUPANCY_TOTAL"|"TRAVEL_TOTAL"|"ENTERTAIN_OFFICIALS"|"MEETINGS_TOTAL"|"INTEREST_TOTAL"|"PAYMENTS"|"DEPRECIATION_TOTAL"|"INSURANCE"|"EXPENSE_A_TOTAL"|"EXPENSE_B_TOTAL"|"EXPENSE_C_TOTAL"|"EXPENSE_D_TOTAL"|"EXPENSE_E_TOTAL"|"EXPENSES_TOTAL"|"TOTAL_PROGRAM_SERVICES"|"TOTAL_MANAGEMENT"|"TOTAL_FUNDRAISING"|"REPORT_COSTS_CBX"|"JOINT_TOTAL"|"JOINT_SERVICES"|"JOINT_GENERAL"|"JOINT_FUNDRAISING"|"ALL_OTHER_EXPENSES"|"EXPENSE_A_DESC"|"EXPENSE_B_DESC"|"EXPENSE_C_DESC"|"EXPENSE_D_DESC"
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"602212"|""|""|""|""|"0.0000"|"0.0000"|"181043.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"21060.0000"|"100.0000"|""|""|"13318.0000"|""|"14821.0000"|"3466.0000"|"36264.0000"|"10266.0000"|"2767.0000"|"2001.0000"|"1310.0000"|"289041.0000"|"289041.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"2625.0000"|""|""|""|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"602211"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"245683.0000"|"0.0000"|"965686.0000"|"32784.0000"|"132736.0000"|"86471.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"33551.0000"|"51353.0000"|"48192.0000"|"21539.0000"|"0.0000"|"0.0000"|"0.0000"|"25523.0000"|"0.0000"|"33367.0000"|"0.0000"|"0.0000"|""|"0.0000"|"84819.0000"|"68872.0000"|"14615.0000"|"48925.0000"|"276050.0000"|"2194705.0000"|"1564901.0000"|"241003.0000"|"388801.0000"|"Y"|"76673.0000"|"20753.0000"|""|"55920.0000"|"24539.0000"|""|""|""|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|""|""|""|""|""|""|"1076092.0000"|"35207.0000"|"167526.0000"|"79274.0000"|""|""|""|""|""|""|"156017.0000"|""|"95925.0000"|"13626.0000"|""|"437541.0000"|""|""|"42848.0000"|""|""|"487455.0000"|"35197.0000"|"172882.0000"|"53404.0000"|"806.0000"|""|""|"2853800.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"595509"|"37580.0000"|"12276.0000"|""|"18827.0000"|"18116.0000"|"0.0000"|"53307.0000"|""|"27084.0000"|"30622.0000"|""|"3210.0000"|""|""|""|""|""|"8027.0000"|"12343.0000"|""|""|"309699.0000"|""|""|"12756.0000"|"10276.0000"|"9145.0000"|"52810.0000"|""|"2893380.0000"|"223580.0000"|"193539.0000"|"43100.0000"|"10470.0000"|"3988840.0000"|"3787054.0000"|"130860.0000"|"0.0000"|""|""|""|""|""|"8693.0000"|""|""|""|""
"01-0793953"|"Lake Bowen Baptist Church Child Cail"|"594520"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"6.0000"|"0.0000"|"0.0000"|"6112.0000"|"2488.0000"|"20432.0000"|"24624.0000"|"269.0000"|"6584.0000"|""|"457043.0000"|""|""|""|""|""|""|""|"10937.0000"|""|""|""|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"594048"|""|""|""|""|""|""|""|""|""|""|"13464.0000"|""|"4800.0000"|""|""|""|""|"1057.0000"|"1156.0000"|""|""|""|""|""|""|"99232.0000"|""|"60250.0000"|"8544.0000"|"54337.0000"|"45243.0000"|"40461.0000"|"12051.0000"|"6073.0000"|"351433.0000"|"351433.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"4765.0000"|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"594047"|""|""|""|""|"445929.0000"|"0.0000"|"119176.0000"|"58697.0000"|"68998.0000"|"6899.0000"|""|""|""|""|""|""|"50242.0000"|""|"4901.0000"|""|""|"30570.0000"|""|""|"245725.0000"|"24851.0000"|""|"49118.0000"|"26976.0000"|"766459.0000"|"46565.0000"|"40268.0000"|"30013.0000"|"29037.0000"|"2100020.0000"|"1752678.0000"|"347342.0000"|"0.0000"|""|""|""|""|""|"55596.0000"|""|""|""|""
"01-0416939"|"Northern Maine Community College Education Foundation"|"606087"|""|""|""|""|""|""|""|""|""|""|""|""|"3200.0000"|""|""|""|"37200.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"1259000.0000"|"30709.0000"|"11318.0000"|"8104.0000"|"3850.0000"|"1362037.0000"|"1350652.0000"|"11385.0000"|"0.0000"|""|""|""|""|""|"8656.0000"|""|""|""|""
"01-0566395"|"BUILDERS BEYOND BORDERS, INC."|"606119"|""|""|""|""|""|""|"125500.0000"|""|""|"10171.0000"|""|""|"10108.0000"|""|""|""|"13278.0000"|""|"16240.0000"|""|""|""|"372322.0000"|""|"145.0000"|""|""|"2051.0000"|""|"107159.0000"|"52755.0000"|"32715.0000"|"29579.0000"|"19955.0000"|"846343.0000"|"609227.0000"|"185133.0000"|"51983.0000"|""|""|""|""|""|"54365.0000"|""|""|""|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|""|""|""|""|""|""|"40590.0000"|""|""|"3105.0000"|""|""|""|""|""|"2097.0000"|"11943.0000"|"36921.0000"|"20280.0000"|""|""|""|""|""|""|""|""|""|""|"94794.0000"|"51500.0000"|"25647.0000"|"19328.0000"|"3392.0000"|"309597.0000"|"136788.0000"|"78015.0000"|"94794.0000"|""|""|""|""|""|""|""|""|""|""
"01-0211539"|"PATTEN FREE LIBRARY"|"604474"|""|""|""|""|"63008.0000"|""|"306400.0000"|"18665.0000"|"45466.0000"|"29469.0000"|""|""|"3000.0000"|""|""|""|"3746.0000"|""|"16642.0000"|"18924.0000"|""|"56119.0000"|""|""|"1870.0000"|""|""|"86824.0000"|"9285.0000"|"3617.0000"|"52085.0000"|"1465.0000"|"13098.0000"|"2279.0000"|"736838.0000"|"644805.0000"|"87157.0000"|"4876.0000"|""|""|""|""|""|"4876.0000"|""|""|""|""
"01-0217639"|"OPPORTUNITY FARM FOR BOYS AND GIRLS"|"605545"|""|""|""|""|"130706.0000"|""|"474158.0000"|"26988.0000"|"66319.0000"|"52212.0000"|""|""|"11430.0000"|""|""|""|"83175.0000"|"290.0000"|"6251.0000"|""|""|"91801.0000"|"21.0000"|""|""|"605.0000"|""|"66116.0000"|""|"90000.0000"|"35236.0000"|"25909.0000"|"17932.0000"|"17032.0000"|"1222344.0000"|"840042.0000"|"274972.0000"|"107330.0000"|""|""|""|""|""|"26163.0000"|""|""|""|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"621389"|""|""|""|""|""|""|"175800.0000"|""|""|"13182.0000"|""|""|"3050.0000"|""|""|""|""|"1322.0000"|"1407.0000"|""|""|"55444.0000"|"4574.0000"|""|"6395.0000"|"298.0000"|""|"1800.0000"|""|"7857.0000"|"6560.0000"|"4788.0000"|"1038.0000"|"816.0000"|"291221.0000"|"276586.0000"|"14635.0000"|"0.0000"|""|""|""|""|""|"6890.0000"|""|""|""|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"621926"|""|""|""|""|""|""|""|""|""|""|""|""|"3625.0000"|""|""|"3750.0000"|"2364.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"9739.0000"|"0.0000"|"9739.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"0.0000"|""|""|""|"72934.0000"|""|""|""|""|""|""|""|"1078.0000"|""|""|""|""|""|"8334.0000"|"107.0000"|""|""|"4492.0000"|""|"91279.0000"|""|""|"4743.0000"|"1191.0000"|"22523.0000"|"6477.0000"|"19510.0000"|"14759.0000"|""|"276477.0000"|"232464.0000"|"44013.0000"|"0.0000"|""|""|""|""|""|"29050.0000"|""|""|""|""
"01-0538121"|"JARDY GIRLS, HEALTHY WOMEN, INC."|"621388"|""|""|""|""|"49703.0000"|""|"116619.0000"|""|"11938.0000"|"11858.0000"|""|""|"1200.0000"|""|""|""|""|""|"8690.0000"|""|""|"13464.0000"|"832.0000"|""|""|""|""|"3649.0000"|"6759.0000"|"59216.0000"|"29528.0000"|"22184.0000"|"6975.0000"|"6161.0000"|"360908.0000"|"275193.0000"|"44806.0000"|"40909.0000"|""|""|""|""|""|"12132.0000"|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"620170"|""|""|""|""|""|""|"377950.0000"|""|"8815.0000"|"28232.0000"|""|""|"3900.0000"|""|""|"10001.0000"|"1406.0000"|"10131.0000"|"9334.0000"|""|""|"61270.0000"|""|""|"526.0000"|"632.0000"|""|"80595.0000"|""|"105788.0000"|"52370.0000"|"22812.0000"|"6857.0000"|"4512.0000"|"788954.0000"|"762983.0000"|"23060.0000"|"2911.0000"|""|""|""|""|""|"3823.0000"|""|""|""|""
"01-0215910"|"Bangor Humane Society"|"620171"|""|""|""|""|""|""|"403599.0000"|""|""|"34496.0000"|""|"7532.0000"|"1433.0000"|""|""|"7362.0000"|"7590.0000"|""|"7865.0000"|"5485.0000"|""|"42834.0000"|""|""|""|"520.0000"|""|"97093.0000"|"62501.0000"|"61315.0000"|"35587.0000"|"31494.0000"|"23670.0000"|"17098.0000"|"931125.0000"|"829756.0000"|"71453.0000"|"29916.0000"|""|""|""|""|""|"83651.0000"|""|""|""|""
"01-0443318"|"Blue Hill Fire Company"|"620172"|"30826.0000"|""|""|""|""|""|""|""|""|""|""|""|"776.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2091.0000"|""|"4260.0000"|"2441.0000"|"1552.0000"|"983.0000"|"857.0000"|"45223.0000"|"38990.0000"|"5250.0000"|"983.0000"|""|""|""|""|""|"1437.0000"|""|""|""|""
"01-0452749"|"FISH RIVER RURAL HEALTH"|"620173"|""|""|""|""|""|""|"1470139.0000"|""|"348573.0000"|""|""|"158.0000"|""|""|""|""|""|"5075.0000"|""|""|""|"18713.0000"|"18651.0000"|""|""|"16112.0000"|""|""|"10698.0000"|"157637.0000"|"151381.0000"|"60586.0000"|"47019.0000"|"30810.0000"|"2493870.0000"|"2064197.0000"|"429673.0000"|"0.0000"|""|""|""|""|""|"158318.0000"|""|""|""|""
"01-0509802"|"CAFE, INC."|"620175"|""|""|""|""|"175380.0000"|""|"1602388.0000"|"16180.0000"|"211594.0000"|"144328.0000"|""|""|"12827.0000"|""|""|""|""|"2327.0000"|""|""|""|"146201.0000"|"107331.0000"|""|""|""|""|"7768.0000"|""|"603937.0000"|"153281.0000"|"71595.0000"|"31091.0000"|"23021.0000"|"3456867.0000"|"3456867.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"147618.0000"|""|""|""|""
"01-0538232"|"Big Rock"|"620176"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"25843.0000"|"0.0000"|"196387.0000"|""|"45551.0000"|"26673.0000"|""|"0.0000"|"3150.0000"|"0.0000"|"0.0000"|"0.0000"|""|"17199.0000"|"9048.0000"|""|"0.0000"|"84811.0000"|"2080.0000"|"0.0000"|"651.0000"|"13760.0000"|"0.0000"|"117760.0000"|"56032.0000"|"33859.0000"|"47410.0000"|"6785.0000"|"26932.0000"|"6378.0000"|"731118.0000"|"514285.0000"|"166716.0000"|"50117.0000"|""|""|""|""|""|"10809.0000"|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"620177"|""|""|""|""|"48840.0000"|""|"100086.0000"|""|"14497.0000"|"12629.0000"|""|""|""|""|""|""|""|"5212.0000"|""|""|""|"6600.0000"|"757.0000"|""|"2483.0000"|""|""|"4535.0000"|"7139.0000"|"382092.0000"|"15860.0000"|"10619.0000"|"8187.0000"|"6844.0000"|"666773.0000"|"554723.0000"|"112050.0000"|"0.0000"|""|""|""|""|""|"40393.0000"|""|""|""|""
"01-0545125"|"Trustees of Monmouth Academy"|"620178"|"4718.0000"|"32900.0000"|""|""|"500.0000"|""|""|""|""|""|""|""|"7650.0000"|""|""|"16174.0000"|""|""|"83.0000"|""|""|""|""|""|""|""|""|""|"1307.0000"|""|""|""|""|""|"63332.0000"|"37618.0000"|"25714.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0733041"|"SARASOTA CREW, INC"|"620180"|""|""|""|""|""|"149880.0000"|""|""|""|"13786.0000"|""|""|"6470.0000"|""|""|""|""|"2940.0000"|"3082.0000"|""|""|"27665.0000"|""|""|""|"1041.0000"|""|"69843.0000"|"18367.0000"|"137088.0000"|"37880.0000"|"13127.0000"|"10141.0000"|"4859.0000"|"510434.0000"|"417623.0000"|"89946.0000"|"2865.0000"|""|""|""|""|""|"14265.0000"|""|""|""|""
"01-0785049"|"Queens Community Center, Inc."|"620181"|""|""|""|""|"3500.0000"|""|"75292.0000"|""|"9183.0000"|"15974.0000"|""|""|""|""|""|""|"111629.0000"|"3530.0000"|"1420.0000"|""|""|"74436.0000"|"1336.0000"|""|""|""|""|""|""|"5800.0000"|"1630.0000"|"670.0000"|"2949.0000"|"3044.0000"|"326841.0000"|"326841.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"16448.0000"|""|""|""|""
"01-0388637"|"New England Baptist Bible College"|"631562"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"219413.0000"|"0.0000"|"27405.0000"|"14081.0000"|"0.0000"|""|"4305.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2393.0000"|"15784.0000"|"3073.0000"|"0.0000"|"8400.0000"|"1990.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"4792.0000"|"0.0000"|"30686.0000"|"200.0000"|"5465.0000"|"6534.0000"|"4126.0000"|"373024.0000"|"181285.0000"|"191739.0000"|"0.0000"|""|""|""|""|""|"24377.0000"|""|""|""|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|""|"2825998.0000"|""|""|"409261.0000"|""|"5369477.0000"|"454689.0000"|"729467.0000"|"486356.0000"|""|"36103.0000"|"53109.0000"|""|""|"134788.0000"|"13761.0000"|"97770.0000"|"76952.0000"|"177188.0000"|""|"1019197.0000"|"195292.0000"|""|"68291.0000"|"66064.0000"|""|"925829.0000"|"150661.0000"|"572441.0000"|"445230.0000"|"302768.0000"|"267609.0000"|"185418.0000"|"15630592.0000"|"12201533.0000"|"2394110.0000"|"1034949.0000"|""|""|""|""|""|"566873.0000"|""|""|""|""
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|""|""|""|""|""|"816774.0000"|""|""|"180945.0000"|"62725.0000"|""|""|""|""|""|""|""|""|"35228.0000"|""|""|"35979.0000"|"6766.0000"|""|""|""|""|"67705.0000"|"20070.0000"|"66984.0000"|"33932.0000"|"14715.0000"|"12078.0000"|"8185.0000"|"1370805.0000"|"1361477.0000"|"9328.0000"|"0.0000"|""|""|""|""|""|"8719.0000"|""|""|""|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|"158517.0000"|""|""|""|""|""|""|""|""|""|""|""|"6050.0000"|""|""|""|"480.0000"|""|"1709.0000"|""|""|"19642.0000"|""|""|""|""|""|"5940.0000"|"3115.0000"|"25999.0000"|"1171.0000"|"225.0000"|"1763.0000"|"31508.0000"|"256119.0000"|"241197.0000"|"14922.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
