"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PROVIDE_DESCRIPTION"|"NEEDS_ASSESSMENT"|"PATIENT_EDUCATION"|"COMMUNITY_INFORMATION"|"COMMUNITY_ACIVITIES"|"OTHER_INFORMATION"|"AFFILIATED_SYSTEM"|"IDENTIFY_STATES"|"SUPPLEMENTAL_INFORMATION"|"FRG_DESCR"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC."|"626475"|""|""|""|""|""|""|""|""|""|""
"01-6019359"|"Boothbay Region Student Aid Fund, Inc."|"626476"|""|""|""|""|""|""|""|""|""|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"627686"|""|""|""|""|""|""|""|""|""|""
"01-0211488"|"TRUSTEES OF BLOOMFIELD ACADEMY"|"628492"|""|""|""|""|""|""|""|""|""|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"628493"|""|""|""|""|""|""|""|""|""|""
"01-0211807"|"Sweetser"|"631557"|""|""|""|""|""|""|""|""|""|""
"01-0265231"|"UPLIFT INC"|"631558"|""|""|""|""|""|""|""|""|""|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|""|""|""|""|""|""|""|""|""|""
"01-0358732"|"MOBIUS INC"|"631560"|""|""|""|""|""|""|""|""|""|""
"01-0384633"|"CARRABASSETT VALLEY ACADEMY"|"631561"|""|""|""|""|""|""|""|""|""|""
"01-0388637"|"New England Baptist Bible College"|"631562"|""|""|""|""|""|""|""|""|""|""
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|""|""|""|""|""|""|""|""|""|""
"01-0490620"|"HOME RESOURCES OF MAINE INC"|"631565"|""|""|""|""|""|""|""|""|""|""
"01-0621733"|"EIZER BACHURIM DMONSEY FRIENDS OF TEENAGERS INC"|"631566"|""|""|""|""|""|""|""|""|""|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|""|""|""|""|""|""|""|""|""|""
"01-0376510"|"MAINE MENTAL HEALTH CONNECTIONS INC"|"633590"|""|""|""|""|""|""|""|""|""|""
"01-0698010"|"HSC NO5 HOUSING DEVELOPMENT FUND COMPANY INC"|"633591"|""|""|""|""|""|""|""|""|""|""
"01-0532411"|"MAINE SPACE GRANT CONSORTIUM"|"633915"|""|""|""|""|""|""|""|""|""|""
"01-0331728"|"PATHWAYS INC"|"635244"|""|""|""|""|""|""|""|""|""|""
"01-0367546"|"THE HOUSING FOUNDATION-DISP"|"635245"|""|""|""|""|""|""|""|""|""|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|""|""|""|""|""|""|""|""|""|""
"01-0482628"|"Jobs for Maine's Graduates, Inc."|"635247"|""|""|""|""|""|""|""|""|""|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"635248"|""|""|""|""|""|""|""|""|""|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"635249"|""|""|""|""|""|""|""|""|""|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|""|""|""|""|""|""|""|""|""|""
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|""|""|""|""|""|""|""|""|""|""
"01-0263519"|"TRUSTEES OF LEAVITT INSTITUTE"|"636692"|""|""|""|""|""|""|""|""|""|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"636693"|""|""|""|""|""|""|""|""|""|""
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"636694"|""|""|""|""|""|""|""|""|""|""
"01-0262323"|"Northern Maine General"|"636949"|""|""|""|""|""|""|""|""|""|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"636950"|""|""|""|""|""|""|""|""|""|""
"01-0052260"|"Cumberland Club"|"638152"|""|""|""|""|""|""|""|""|""|""
"01-0245261"|"ERSKINE ACADEMY"|"638153"|""|""|""|""|""|""|""|""|""|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"638154"|""|""|""|""|""|""|""|""|""|""
"01-0367553"|"SETON VILLAGE"|"638155"|""|""|""|""|""|""|""|""|""|""
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"638157"|""|""|""|""|""|""|""|""|""|""
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"638158"|""|""|""|""|""|""|""|""|""|""
"01-6024421"|"Town of Mount Desert Medical Center"|"638159"|""|""|""|""|""|""|""|""|""|""
"01-0281533"|"Green Valley Association"|"639787"|""|""|""|""|""|""|""|""|""|""
"01-0532835"|"SAFE PASSAGE"|"639788"|""|""|""|""|""|""|""|""|""|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|""|""|""|""|""|""|""|""|""|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|""|""|""|""|""|""|""|""|""|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|""|""|""|""|""|""|""|""|""|""
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|""|""|""|""|""|""|""|""|""|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|""|""|""|""|""|""|""|""|""|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|""|""|""|""|""|""|""|""|""|""
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|""|""|""|""|""|""|""|""|""|""
"01-0274898"|"HOPE ASSOCIATION"|"643658"|""|""|""|""|""|""|""|""|""|""
"01-0357293"|"HERITAGE COURT INC"|"643659"|""|""|""|""|""|""|""|""|""|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"643660"|""|""|""|""|""|""|""|""|""|""
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|""|""|""|""|""|""|""|""|""|""
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|""|""|""|""|""|""|""|""|""|""
"01-0201854"|"AMERICAN LEGION POST #40"|"644638"|""|""|""|""|""|""|""|""|""|""
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|""|""|""|""|""|""|""|""|""|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"645408"|""|""|""|""|""|""|""|""|""|""
"01-0771163"|"POCONO MOUNTAIN CHARTER SCHOOL"|"646407"|""|""|""|""|""|""|""|""|""|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|""|""|""|""|""|""|""|""|""|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|""|""|""|""|""|""|""|""|""|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|""|""|""|""|""|""|""|""|""|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|""|""|""|""|""|""|""|""|""|""
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|""|""|""|""|""|""|""|""|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|""|""|""|""|""|""|""|""|""|""
"01-0545281"|"Greenwood"|"649555"|""|""|""|""|""|""|""|""|""|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|""|""|""|""|""|""|""|""|""|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|""|""|""|""|""|""|""|""|""|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|""|""|""|""|""|""|""|""|""|""
"01-0211507"|"Good Samaritan Agency"|"656619"|""|""|""|""|""|""|""|""|""|""
"01-0263507"|"Central Aroostook ARC"|"656620"|""|""|""|""|""|""|""|""|""|""
"01-0601606"|"American Int'l School of Bamako Foundation"|"656621"|""|""|""|""|""|""|""|""|""|""
"01-6013080"|"STANTON BIRD CLUB, INC."|"657514"|""|""|""|""|""|""|""|""|""|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|""|""|""|""|""|""|""|""|""|""
"01-0351501"|"Community Partners Inc"|"660152"|""|""|""|""|""|""|""|""|""|""
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"662304"|""|""|""|""|""|""|""|""|""|""
"01-0207716"|"VICTORIA MANSION"|"662305"|""|""|""|""|""|""|""|""|""|""
"01-0524313"|"WINDHAM SCHOOL AGE CHILDCARE ASSOC"|"662306"|""|""|""|""|""|""|""|""|""|""
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|""|""|""|""|""|""|""|""|""|""
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"662309"|""|""|""|""|""|""|""|""|""|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|""|""|""|""|""|""|""|""|""|""
"01-6022815"|"ISLAND MEDICAL CENTER"|"662311"|""|""|""|""|""|""|""|""|""|""
"01-0320500"|"Evergreen Cemetery Association"|"663122"|""|""|""|""|""|""|""|""|""|""
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|""|""|""|""|""|""|""|""|""|""
"01-0360256"|"York Public Library"|"663886"|""|""|""|""|""|""|""|""|""|""
"01-0462712"|"Lewiston Auburn Area Housing Development Corporation"|"663887"|""|""|""|""|""|""|""|""|""|""
"01-0844012"|"The Sun-Times Judge Marovitz Lawyers Lend-A-Hand to Youth Program"|"663888"|""|""|""|""|""|""|""|""|""|""
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|""|""|""|""|""|""|""|""|""|""
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|""|""|""|""|""|""|""|""|""|""
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"665467"|""|""|""|""|""|""|""|""|""|""
"01-0452620"|"FRIENDS OF CASCO BAY"|"665468"|""|""|""|""|""|""|""|""|""|""
"01-0544421"|"OXFORD HILLS CHRISTIAN ACADEMY"|"665469"|""|""|""|""|""|""|""|""|""|""
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"667821"|""|""|""|""|""|""|""|""|""|""
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|""|""|""|""|""|""|""|""|""|""
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|""|""|""|""|""|""|""|""|""|""
"01-0365436"|"Maine Administrators of Services For Children With Disabilities"|"667824"|""|""|""|""|""|""|""|""|""|""
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"667825"|""|""|""|""|""|""|""|""|""|""
"01-0545335"|"United Ambulance Service"|"667826"|""|""|""|""|""|""|""|""|""|""
"01-0726924"|"LOAVES & FISHES FOOD PANTRY INC"|"667827"|""|""|""|""|""|""|""|""|""|""
"01-6006524"|"BRIDGTON PUBLIC LIBRARY"|"667828"|""|""|""|""|""|""|""|""|""|""
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"669155"|""|""|""|""|""|""|""|""|""|""
"01-0275130"|"Unity College"|"671110"|""|""|""|""|""|""|""|""|""|""
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|""|""|""|""|""|""|""|""|""|""
"01-0686429"|"CLUB HORIZON, INC."|"671112"|""|""|""|""|""|""|""|""|""|""
"01-0781831"|"THE DOUGLAS CENTER"|"671113"|""|""|""|""|""|""|""|""|""|""
"01-0793127"|"HAPPILY EVER AFTER Educational Programs Inc."|"671114"|""|""|""|""|""|""|""|""|""|""
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"673276"|""|""|""|""|""|""|""|""|""|""
"01-0351143"|"Belfast Free Library"|"673277"|""|""|""|""|""|""|""|""|""|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|""|""|""|""|""|""|""|""|""|""
"01-0538045"|"TEEN AND YOUNG PARENT PROGRAM OF KNOX COUNTY"|"673280"|""|""|""|""|""|""|""|""|""|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|""|""|""|""|""|""|""|""|""|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|""|""|""|""|""|""|""|""|""|""
"01-0865446"|"Cosby High School Athletic Boosters"|"673283"|""|""|""|""|""|""|""|""|""|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|""|""|""|""|""|""|""|""|""|""
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"674480"|""|""|""|""|""|""|""|""|""|""
"01-0266854"|"ELMHURST INC"|"677035"|""|""|""|""|""|""|""|""|""|""
"01-0367582"|"PORT RESOURCES INC"|"677036"|""|""|""|""|""|""|""|""|""|""
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|""|""|""|""|""|""|""|""|""|""
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|""|""|""|""|""|""|""|""|""|""
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"677040"|""|""|""|""|""|""|""|""|""|""
"01-0902152"|"Orange County Mormon Choral Organization"|"677041"|""|""|""|""|""|""|""|""|""|""
"01-6123853"|"BC&T, LOCAL # 334 RETIREE HEALTH TRUST (NISSEN DIVISION)"|"677043"|""|""|""|""|""|""|""|""|""|""
"01-0215686"|"RICE PUBLIC LIBRARY"|"685653"|""|""|""|""|""|""|""|""|""|""
"01-0248668"|"HUBBARD FREE LIBRARY"|"685654"|""|""|""|""|""|""|""|""|""|""
"01-0249577"|"BREAKWATER SCHOOL"|"685655"|""|""|""|""|""|""|""|""|""|""
"01-0275447"|"Children's Center Early Intervention & Family Support"|"685656"|""|""|""|""|""|""|""|""|""|""
"01-0279587"|"Waban Projects Inc"|"685657"|""|""|""|""|""|""|""|""|""|""
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|""|""|""|""|""|""|""|""|""|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|""|""|""|""|""|""|""|""|""|""
"01-0348849"|"MAPS"|"685660"|""|""|""|""|""|""|""|""|""|""
"01-0355649"|"ST. JOHN VALLEY ASSOCIATES, INC."|"685661"|""|""|""|""|""|""|""|""|""|""
"01-0369660"|"Work First Inc"|"685662"|""|""|""|""|""|""|""|""|""|""
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"685663"|""|""|""|""|""|""|""|""|""|""
"01-0459572"|"The Associates of the Osher Map Library"|"685664"|""|""|""|""|""|""|""|""|""|""
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"685665"|""|""|""|""|""|""|""|""|""|""
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"685666"|""|""|""|""|""|""|""|""|""|""
"01-0521260"|"RIPPLEFFECT INC"|"685667"|""|""|""|""|""|""|""|""|""|""
"01-0533796"|"The Maine Special Education/ Mental Health Collaborative"|"685668"|""|""|""|""|""|""|""|""|""|""
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|""|""|""|""|""|""|""|""|""|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|""|""|""|""|""|""|""|""|""|""
"01-0728178"|"ALVEOLI CORPORATION"|"685674"|""|""|""|""|""|""|""|""|""|""
"01-0768551"|"Ashland County Lifeworx Inc."|"685676"|""|""|""|""|""|""|""|""|""|""
"01-0869799"|"Washington's National Park Fund"|"685677"|""|""|""|""|""|""|""|""|""|""
"01-0892950"|"JUMP OF OHIO INC"|"685678"|""|""|""|""|""|""|""|""|""|""
"01-6015247"|"Naples Public Library"|"685681"|""|""|""|""|""|""|""|""|""|""
"01-6015647"|"Penobscot Marine Museum"|"685682"|""|""|""|""|""|""|""|""|""|""
"01-0027741"|"BENEVOLENT & PROTECTIVE ORDER OF ELKS #964"|"690075"|""|""|""|""|""|""|""|""|""|""
"01-0267159"|"NATIONAL SOCIETY OF THE COLONIAL DAMES IN THE STATE OF MAINE"|"690078"|""|""|""|""|""|""|""|""|""|""
"01-0682859"|"MUTUAL FUND DIRECTORS FORUM"|"690080"|""|""|""|""|""|""|""|""|""|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"693272"|""|""|""|""|""|""|""|""|""|""
"01-0774338"|"North Ridgeville Amateur Soccer League"|"693275"|""|""|""|""|""|""|""|""|""|""
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOO"|"693283"|""|""|""|""|""|""|""|""|""|""
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"693293"|""|""|""|""|""|""|""|""|""|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"696898"|""|""|""|""|""|""|""|""|""|""
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"696900"|""|""|""|""|""|""|""|""|""|""
"01-0158948"|"SIGMA KAPPA SORORITY"|"696902"|""|""|""|""|""|""|""|""|""|""
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"696904"|""|""|""|""|""|""|""|""|""|""
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"696907"|""|""|""|""|""|""|""|""|""|""
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"696908"|""|""|""|""|""|""|""|""|""|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"696910"|""|""|""|""|""|""|""|""|""|""
"01-0224718"|"CUMBERLAND FARMERS CLUB -PREVOST"|"696912"|""|""|""|""|""|""|""|""|""|""
"01-0237244"|"LEE ACADEMY"|"696914"|""|""|""|""|""|""|""|""|""|""
"01-0243254"|"MORRISON CENTER"|"696916"|""|""|""|""|""|""|""|""|""|""
"01-0275159"|"Junior Achievement of Maine Inc"|"696918"|""|""|""|""|""|""|""|""|""|""
"01-0278024"|"Independence Association"|"696919"|""|""|""|""|""|""|""|""|""|""
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION, INC."|"696921"|""|""|""|""|""|""|""|""|""|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"696923"|""|""|""|""|""|""|""|""|""|""
"01-0343953"|"Damanscotta Lake Watershed Assoc"|"696925"|""|""|""|""|""|""|""|""|""|""
"01-0347381"|"Sacopee Valley Health Center"|"696927"|""|""|""|""|""|""|""|""|""|""
"01-0349949"|"55 PLUS CENTER"|"696928"|""|""|""|""|""|""|""|""|""|""
"01-0351077"|"MAINE CANCER FOUNDATION"|"696930"|""|""|""|""|""|""|""|""|""|""
"01-0352258"|"CHILDREN'S MUSEUM & THEATRE OF MAINE"|"696933"|""|""|""|""|""|""|""|""|""|""
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTEM INC"|"696937"|""|""|""|""|""|""|""|""|""|""
"01-0378246"|"Southern Maine Regional Planning Commission, Inc."|"696939"|""|""|""|""|""|""|""|""|""|""
"01-0380763"|"LAUDHOLM TRUST"|"696941"|""|""|""|""|""|""|""|""|""|""
"01-0406214"|"NAMI MAINE"|"696943"|""|""|""|""|""|""|""|""|""|""
"01-0406704"|"DANFORTH HABILITATION ASSOCTA"|"696945"|""|""|""|""|""|""|""|""|""|""
"01-0409428"|"SCARBOROUGH ECONOMIC DEV CORP"|"696946"|""|""|""|""|""|""|""|""|""|""
"01-0445163"|"Anson Madison Starks Ambulance"|"696948"|""|""|""|""|""|""|""|""|""|""
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"696950"|""|""|""|""|""|""|""|""|""|""
"01-0520531"|"SOUTHERN MAINE COMMUNITY COLLEGE FOUNDATION"|"696952"|""|""|""|""|""|""|""|""|""|""
"01-0534293"|"THE CHILDREN'S CENTER"|"696953"|""|""|""|""|""|""|""|""|""|""
"01-0538534"|"Bangor Nursing & Rehabilitation Center"|"696955"|""|""|""|""|""|""|""|""|""|""
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"696957"|""|""|""|""|""|""|""|""|""|""
"01-0547006"|"ASHLAND CARE GIVERS ASSOCIATION"|"696958"|""|""|""|""|""|""|""|""|""|""
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"696960"|""|""|""|""|""|""|""|""|""|""
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"696962"|""|""|""|""|""|""|""|""|""|""
"01-0666441"|"CORI'S PLACE"|"696964"|""|""|""|""|""|""|""|""|""|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"696966"|""|""|""|""|""|""|""|""|""|""
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL, INC."|"696968"|""|""|""|""|""|""|""|""|""|""
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"696970"|""|""|""|""|""|""|""|""|""|""
"01-0702102"|"UNIVEST FOUNDATION"|"696972"|""|""|""|""|""|""|""|""|""|""
"01-0771157"|"ROTTERDAM HOUSING DEVELOPMENT FUND COMPANY INC"|"696974"|""|""|""|""|""|""|""|""|""|""
"01-0784491"|"FOR THE KID IN ALLOF US INC"|"696976"|""|""|""|""|""|""|""|""|""|""
"01-0816812"|"The Apple Blossom School and Family Center, Inc."|"696978"|""|""|""|""|""|""|""|""|""|""
"01-0842036"|"Lutheran Family Services of Colorado Foundation Inc"|"696981"|""|""|""|""|""|""|""|""|""|""
"01-0911124"|"STEPHEN J PONZILLO JR. MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"696983"|""|""|""|""|""|""|""|""|""|""
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"696987"|""|""|""|""|""|""|""|""|""|""
"01-6010284"|"SCARBOROUGH PUBLIC LIBRARY"|"696989"|""|""|""|""|""|""|""|""|""|""
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"696991"|""|""|""|""|""|""|""|""|""|""
"01-6117658"|"Downeast Energy Corp HealthDental Plan"|"696995"|""|""|""|""|""|""|""|""|""|""
